date,open_SO2,sate_SO2,"Alandi, Pune - IITM","Bhosari, Pune - IITM","Hadapsar, Pune - IITM","Karve Road, Pune - MPCB","Mhada Colony, Pune - IITM","MIT-Kothrud, Pune - IITM","Revenue Colony-Shivajinagar, Pune - IITM"
2020-11-24,25.8075,-0.0271550878,5.08,31.85,14.8,31.85,31.85,31.85,31.85
2020-11-25,22.769166666666667,0.1560252111999999,7.71,25.65,10.92,25.65,25.65,25.65,25.65
2020-11-26,16.01,-0.189999998,2.2,4.74,15.85,4.74,4.74,4.74,4.74
2020-11-27,8.198749999999999,-0.0622718518,3.02,4.99,17.91,4.99,4.99,4.99,4.99
2020-11-28,9.70166666666667,0.0720942614,52.72,9.08,12.68,9.08,9.08,9.08,9.08
2020-11-29,14.230833333333331,-0.261086047,3.33,16.52,10.48,16.52,16.52,16.52,16.52
2020-11-30,17.17666666666667,0.0249910618,41.16,7.59,9.43,7.59,7.59,7.59,7.59
2020-12-01,19.93875000000001,0.234398305,5.84,3.9,8.99,3.9,3.9,3.9,3.9
2020-12-02,20.340833333333336,0.0756042636,2.85,6.97,15.56,6.97,6.97,6.97,6.97
2020-12-03,25.629583333333333,0.010047109,2.64,9.06,16.14,9.06,9.06,9.06,9.06
2020-12-04,23.159166666666675,0.1107382992,3.94,3.63,3.63,3.63,3.63,3.63,3.63
2020-12-05,18.27541666666667,0.1568874778,7.9,7.9,7.9,7.9,7.9,7.9,7.9
2020-12-06,18.517916666666668,0.134873718,23.65,23.65,23.65,23.65,23.65,23.65,23.65
2020-12-07,18.10583333333334,0.117207065,7.23,7.23,7.23,7.23,7.23,7.23,7.23
2020-12-08,19.132916666666667,-0.01445398,16.15,16.15,16.15,16.15,16.15,16.15,16.15
2020-12-09,28.127916666666668,0.1167849736,28.04,28.04,28.04,28.04,28.04,28.04,28.04
2020-12-10,24.48875,0.082811773,19.52,19.52,19.52,19.52,19.52,19.52,19.52
2020-12-11,17.64375,0.0391733629999999,5.44,5.44,5.44,5.44,5.44,5.44,5.44
2020-12-12,13.840416666666668,0.080300808,11.44,11.44,11.44,11.44,11.44,11.44,11.44
2020-12-13,20.0875,0.1084037127999999,7.12,7.12,7.12,7.12,7.12,7.12,7.12
2020-12-14,34.36166666666667,0.0074738309999999,5.29,5.29,5.29,5.29,5.29,5.29,5.29
2020-12-15,19.417916666666667,-0.07877592,8.36,8.36,8.36,8.36,8.36,8.36,8.36
2020-12-16,15.151666666666666,-0.514333725,16.26,16.26,16.26,16.26,16.26,16.26,16.26
2020-12-17,17.605833333333326,0.230000004,18.19,18.19,18.19,18.19,18.19,18.19,18.19
2020-12-18,18.405833333333337,0.100205616,18.06,18.06,18.06,18.06,18.06,18.06,18.06
2020-12-19,12.940416666666666,0.133504525,10.09,10.09,10.09,10.09,10.09,10.09,10.09
2020-12-20,16.209583333333338,-0.0721101472,5.18,5.18,5.18,5.18,5.18,5.18,5.18
2020-12-21,24.457916666666662,0.0043126299999999,5.39,5.39,5.39,5.39,5.39,5.39,5.39
2020-12-22,30.428333333333324,0.280900568,7.35,7.35,7.35,7.35,7.35,7.35,7.35
2020-12-23,33.32083333333333,-0.322936624,6.86,6.86,6.86,6.86,6.86,6.86,6.86
2020-12-24,24.204583333333336,0.077679411,8.44,8.44,8.44,8.44,8.44,8.44,8.44
2020-12-25,20.216666666666665,-0.133902157,19.67,19.67,19.67,19.67,19.67,19.67,19.67
2020-12-26,26.05625,-0.038002871,22.88,22.88,22.88,22.88,22.88,22.88,22.88
2020-12-27,25.074583333333337,0.0364386378,19.07,19.07,19.07,19.07,19.07,19.07,19.07
2020-12-28,28.44666666666668,-0.193427786,21.42,21.42,21.42,21.42,21.42,21.42,21.42
2020-12-29,32.91208333333333,-0.0637572028,12.64,12.64,12.64,12.64,12.64,12.64,12.64
2020-12-30,26.494166666666658,-0.146614358,8.12,8.12,8.12,8.12,8.12,8.12,8.12
2020-12-31,17.365416666666672,0.072662815,18.77,18.77,18.77,18.77,18.77,18.77,18.77
2021-01-01,16.225833333333334,0.288094729,25.51,25.51,25.51,25.51,25.51,25.51,25.51
2021-01-02,26.107083333333332,0.0190502601999999,10.26,10.26,10.26,10.26,10.26,10.26,10.26
2021-01-03,18.613333333333337,-0.0592534107999999,25.24,25.24,25.24,25.24,25.24,25.24,25.24
2021-01-04,17.399166666666666,-0.0750050172,24.16,24.16,24.16,24.16,24.16,24.16,24.16
2021-01-05,18.955,0.0747929862,20.23,20.23,20.23,20.23,20.23,20.23,20.23
2021-01-06,22.52,0.0605102566,13.2,13.2,13.2,13.2,13.2,13.2,13.2
2021-01-07,15.567500000000008,-0.75,9.41,9.41,9.41,9.41,9.41,9.41,9.41
2021-01-08,18.18041666666667,0.0650747434,43.25,43.25,43.25,43.25,43.25,43.25,43.25
2021-01-09,13.128333333333336,-0.0482665912,13.7,13.7,13.7,13.7,13.7,13.7,13.7
2021-01-10,13.44375,0.0242054935999999,48.35,48.35,48.35,48.35,48.35,48.35,48.35
2021-01-11,17.191666666666666,0.239998072,14.67,14.67,14.67,14.67,14.67,14.67,14.67
2021-01-12,20.20916666666667,0.0282369934,15.83,15.83,15.83,15.83,15.83,15.83,15.83
2021-01-13,29.70875000000001,-0.22788547,20.17,20.17,20.17,20.17,20.17,20.17,20.17
2021-01-14,28.589999999999996,-0.0545595336,13.76,13.76,13.76,13.76,13.76,13.76,13.76
2021-01-15,32.49916666666666,0.396752894,17.21,17.21,17.21,17.21,17.21,17.21,17.21
2021-01-16,27.05125,-0.125668064,30.42,30.42,30.42,30.42,30.42,30.42,30.42
2021-01-17,21.15541666666667,0.361451864,7.68,7.68,7.68,7.68,7.68,7.68,7.68
2021-01-18,24.885,-0.099355914,9.88,9.88,9.88,9.88,9.88,9.88,9.88
2021-01-19,39.275000000000006,0.022737606,24.16,24.16,24.16,24.16,24.16,24.16,24.16
2021-01-20,25.769166666666663,-0.057327434,25.71,25.71,25.71,25.71,25.71,25.71,25.71
2021-01-21,31.21375,0.0519364884,10.21,10.21,10.21,10.21,10.21,10.21,10.21
2021-01-22,36.24458333333334,0.0782883406,14.18,14.18,14.18,14.18,14.18,14.18,14.18
2021-01-23,29.0725,-0.119591311,24.12,24.12,24.12,24.12,24.12,24.12,24.12
2021-01-24,24.48375,0.011767352,12.2,12.2,12.2,12.2,12.2,12.2,12.2
2021-01-25,32.351666666666674,0.086826704,24.6,24.6,24.6,24.6,24.6,24.6,24.6
2021-01-26,21.0175,-0.0908036272,9.81,9.81,9.81,9.81,9.81,9.81,9.81
2021-01-27,55.6725,0.053772531,25.87,25.87,25.87,25.87,25.87,25.87,25.87
2021-01-28,32.90708333333334,0.1159812839999999,7.72,7.72,7.72,7.72,7.72,7.72,7.72
2021-01-29,29.42458333333334,-0.013333325,21.79,21.79,21.79,21.79,21.79,21.79,21.79
2021-01-30,16.637083333333333,0.0410267594,8.41,8.41,8.41,8.41,8.41,8.41,8.41
2021-01-31,15.529166666666663,0.01760681,27.22,27.22,27.22,27.22,27.22,27.22,27.22
2021-02-01,18.185,0.09635634,24.26,24.26,24.26,24.26,24.26,24.26,24.26
2021-02-02,29.713749999999997,0.145923659,12.25,12.25,12.25,12.25,12.25,12.25,12.25
2021-02-03,30.587083333333336,0.098324291,22.37,22.37,22.37,22.37,22.37,22.37,22.37
2021-02-04,34.571250000000006,-0.1489770294,28.61,28.61,28.61,28.61,28.61,28.61,28.61
2021-02-05,21.254583333333333,0.02903007,26.68,26.68,26.68,26.68,26.68,26.68,26.68
2021-02-06,14.439166666666669,0.1388902834,24.9,24.9,24.9,24.9,24.9,24.9,24.9
2021-02-07,20.598333333333336,-0.030387661,12.09,12.09,12.09,12.09,12.09,12.09,12.09
2021-02-08,28.61958333333334,0.106582254,8.78,8.78,8.78,8.78,8.78,8.78,8.78
2021-02-09,32.723333333333336,0.044053357,12.5,12.5,12.5,12.5,12.5,12.5,12.5
2021-02-10,36.98500000000001,0.122124426,11.71,11.71,11.71,11.71,11.71,11.71,11.71
2021-02-11,24.189166666666665,0.083568961,13.73,13.73,13.73,13.73,13.73,13.73,13.73
2021-02-12,31.15333333333334,0.243746504,22.33,22.33,22.33,22.33,22.33,22.33,22.33
2021-02-13,30.447916666666668,0.042853282,25.86,25.86,25.86,25.86,25.86,25.86,25.86
2021-02-14,28.532916666666665,0.557548642,20.95,20.95,20.95,20.95,20.95,20.95,20.95
2021-02-15,27.676666666666662,0.0248855724,8.74,8.74,8.74,8.74,8.74,8.74,8.74
2021-02-16,24.205416666666665,0.480904073,9.53,9.53,9.53,9.53,9.53,9.53,9.53
2021-02-17,21.317083333333336,0.100366585,9.01,9.01,9.01,9.01,9.01,9.01,9.01
2021-02-18,19.90875,0.145431966,10.96,10.96,10.96,10.96,10.96,10.96,10.96
2021-02-19,13.475,-0.013999998,8.07,8.07,8.07,8.07,8.07,8.07,8.07
2021-02-20,13.689166666666663,0.0684203093999999,20.34,20.34,20.34,20.34,20.34,20.34,20.34
2021-02-21,15.635000000000003,-0.044050038,9.31,9.31,9.31,9.31,9.31,9.31,9.31
2021-02-22,25.74,0.0152199798,8.65,8.65,8.65,8.65,8.65,8.65,8.65
