date,open_NO2,sate_NO2,"PWD Juction, Kohima - NPCB"
2020-11-24,3.56,2802030000000000.0,34.39
2020-11-25,7.8737499999999985,3501276000000000.0,53.3
2020-11-26,7.617083333333333,3304330000000000.0,1.36
2020-11-27,10.697499999999998,4488820000000000.0,0.12
2020-11-28,5.2175,3817334000000000.0,0.47
2020-11-29,5.1779166666666665,2676400000000000.0,0.32
2020-11-30,8.171249999999999,3372366000000000.0,0.08
2020-12-01,11.4075,5037220000000000.0,0.29
2020-12-02,9.81083333333333,2938952600000000.0,2.67
2020-12-03,8.709999999999999,3241360000000000.0,2.62
2020-12-04,9.459166666666668,3472718000000000.0,2.69
2020-12-05,5.595,2952524000000000.0,2.66
2020-12-06,9.68041666666667,2285520000000000.0,2.71
2020-12-07,8.06875,3349448000000000.0,2.67
2020-12-08,9.839583333333334,4416030000000000.0,2.62
2020-12-09,11.011666666666668,3106634000000000.0,2.72
2020-12-10,7.8737499999999985,2351340000000000.0,2.72
2020-12-11,7.878333333333333,2902712000000000.0,2.66
2020-12-12,6.225416666666667,4056140000000000.0,2.68
2020-12-13,7.139166666666665,3445040000000000.0,2.73
2020-12-14,8.93625,2811682000000000.0,2.73
2020-12-15,7.4958333333333345,3315830000000000.0,2.7
2020-12-16,9.931666666666668,3869176000000000.0,2.69
2020-12-17,8.5525,3505510000000000.0,2.69
2020-12-18,9.895833333333334,3019976000000000.0,2.74
2020-12-19,7.0012500000000015,3273460000000000.0,2.68
2020-12-20,5.365833333333334,3128506000000000.0,2.68
2020-12-21,7.923749999999999,3589890000000000.0,2.7
2020-12-22,6.394583333333334,2656090000000000.0,2.68
2020-12-23,7.518333333333333,3002988000000000.0,2.69
2020-12-24,10.839583333333332,3381510000000000.0,2.75
2020-12-25,9.606666666666666,2401060600000000.0,2.68
2020-12-26,5.385416666666667,3814560000000000.0,2.69
2020-12-27,6.132916666666668,2957592000000000.0,2.69
2020-12-28,9.189166666666669,3055920000000000.0,2.72
2020-12-29,9.595416666666669,2278300000000000.0,2.71
2020-12-30,9.41958333333333,2891416000000000.0,2.62
2020-12-31,10.27166666666667,3406530000000000.0,2.68
2021-01-01,9.18,2363706000000000.0,2.7
2021-01-02,7.410833333333335,3408470000000000.0,2.7
2021-01-03,7.43375,3106186000000000.0,2.7
2021-01-04,9.14125,3607140000000000.0,2.71
2021-01-05,10.402083333333334,3257020000000000.0,2.7
2021-01-06,10.061666666666667,3567210000000000.0,2.69
2021-01-07,9.910416666666668,2195720000000000.0,2.76
2021-01-08,11.17625,5495812000000000.0,2.72
2021-01-09,7.484583333333334,3037150000000000.0,2.71
2021-01-10,8.539166666666668,2914276000000000.0,2.69
2021-01-11,10.726666666666665,3384270000000000.0,2.74
2021-01-12,10.870416666666664,2720320000000000.0,2.71
2021-01-13,10.136666666666668,2970640000000000.0,2.68
2021-01-14,8.413333333333334,2594060000000000.0,2.69
2021-01-15,10.307083333333331,3652590000000000.0,2.69
2021-01-16,5.927499999999999,1886330000000000.0,2.65
2021-01-17,6.155416666666668,3297908000000000.0,2.66
2021-01-18,5.066666666666667,2483140000000000.0,2.67
2021-01-19,6.967500000000001,3261988000000000.0,2.68
2021-01-20,2.9575,2787470000000000.0,2.71
2021-01-21,6.709583333333335,3025088000000000.0,2.72
2021-01-22,5.397083333333334,2758694000000000.0,2.7
2021-01-23,6.8758333333333335,2361684200000000.0,2.72
2021-01-24,8.987916666666669,3204754000000000.0,2.68
2021-01-25,9.840833333333334,2659590000000000.0,2.71
2021-01-26,12.588,3285576000000000.0,2.66
2021-01-27,4.632499999999999,2965120000000000.0,2.72
2021-01-28,7.038333333333333,3201804000000000.0,2.72
2021-01-29,7.858333333333333,2953730000000000.0,2.74
2021-01-30,5.332083333333334,3121270000000000.0,2.69
2021-01-31,7.322916666666667,3421740000000000.0,2.73
2021-02-01,8.839166666666667,4130920000000000.0,2.66
2021-02-02,8.810416666666667,2791342600000000.0,2.7
2021-02-03,10.335,3462530000000000.0,2.7
2021-02-04,11.400416666666665,3220818000000000.0,2.74
2021-02-05,9.727916666666667,3572290000000000.0,2.76
2021-02-06,6.557083333333331,3346862000000000.0,2.68
2021-02-07,4.1312500000000005,3015694000000000.0,2.74
2021-02-08,5.280833333333333,3239530000000000.0,2.66
2021-02-09,8.65,2671230000000000.0,2.64
2021-02-10,10.88625,1873170000000000.0,2.76
2021-02-11,9.423750000000004,3765650000000000.0,2.72
2021-02-12,9.188333333333334,2763820000000000.0,2.69
2021-02-13,7.460833333333333,2756062000000000.0,2.7
2021-02-14,7.074166666666668,3033570000000000.0,2.72
2021-02-15,9.047083333333331,4318260000000000.0,2.73
2021-02-16,10.551666666666668,3636418000000000.0,2.71
2021-02-17,12.343750000000002,4139540000000000.0,2.73
2021-02-18,7.985,2843026000000000.0,2.72
2021-02-19,4.860833333333334,3108960000000000.0,2.69
2021-02-20,7.12625,3219808000000000.0,2.72
2021-02-21,6.275416666666668,3932510000000000.0,2.71
2021-02-22,7.678333333333335,3077038000000000.0,2.72
2021-02-23,9.128333333333332,2593744000000000.0,2.74
2021-02-24,11.015833333333337,4807170000000000.0,2.71
2021-02-25,9.924166666666666,2944840000000000.0,2.72
2021-02-26,7.616250000000001,3692728000000000.0,2.7
2021-02-27,5.901666666666667,3093962000000000.0,2.69
2021-02-28,3.155416666666666,3557020000000000.0,2.7
2021-03-01,5.777083333333334,2873480000000000.0,2.69
2021-03-02,6.3620833333333335,5069740000000000.0,2.72
2021-03-03,5.46875,3758340000000000.0,2.71
2021-03-04,5.708333333333333,5058588000000000.0,2.73
2021-03-05,1.6575,7529270000000000.0,2.68
2021-03-06,1.7487500000000002,3265918000000000.0,2.7
2021-03-07,7.5225,2530600000000000.0,2.72
2021-03-08,6.78875,2821038600000000.0,2.69
2021-03-09,5.770416666666667,6508198000000000.0,2.7
2021-03-10,7.840833333333333,3065900000000000.0,2.69
2021-03-11,10.690833333333332,3024138000000000.0,2.67
2021-03-12,5.560833333333334,3815470000000000.0,2.64
2021-03-13,3.707916666666667,2082660000000000.0,2.65
2021-03-14,7.17695652173913,6363320000000000.0,0.95
2021-03-15,6.283333333333334,2644132000000000.0,2.17
2021-03-16,6.259583333333334,6074550000000000.0,1.81
2021-03-17,4.64375,3631210000000000.0,3.25
2021-03-18,7.677916666666667,1.02e+16,2.74
2021-03-19,8.878333333333334,7147360000000000.0,2.62
2021-03-20,6.355,7619880000000000.0,2.56
2021-03-21,6.127916666666667,5456390000000000.0,2.65
2021-03-22,5.645416666666667,1336690000000000.0,2.57
2021-03-23,5.617083333333334,1.08e+16,2.64
2021-03-24,5.5275,4328204600000000.0,2.68
2021-03-25,6.046666666666666,1.36e+16,2.62
2021-03-26,5.8725,9860030000000000.0,2.7
2021-03-27,4.562500000000001,9916930000000000.0,2.74
2021-03-28,5.985833333333333,1.09e+16,2.74
2021-03-29,6.169999999999999,1e+16,2.63
2021-03-30,1.4608333333333334,2894078000000000.0,2.58
2021-03-31,1.533333333333334,2924950000000000.0,2.43
2021-04-01,3.2062499999999994,4589910000000000.0,2.55
2021-04-02,4.055000000000001,3212956600000000.0,2.75
2021-04-03,4.795416666666667,3894980000000000.0,2.62
2021-04-04,4.934166666666667,3399320000000000.0,2.6
2021-04-05,6.350416666666668,4521384000000000.0,2.58
2021-04-06,4.124583333333334,3554280000000000.0,2.58
2021-04-07,7.7145833333333345,4568900000000000.0,2.61
2021-04-08,3.764166666666668,4466410000000000.0,2.74
2021-04-09,7.337083333333335,3322136000000000.0,2.55
2021-04-10,4.1000000000000005,3743370000000000.0,2.6
2021-04-11,3.3145833333333337,3569190000000000.0,2.61
2021-04-12,5.919583333333333,4296580000000000.0,2.64
2021-04-13,6.1475,4542230000000000.0,2.57
2021-04-14,8.888333333333334,5673020000000000.0,2.6
2021-04-15,8.764166666666668,4166800000000000.0,2.58
2021-04-16,8.80125,3770180000000000.0,2.63
2021-04-17,5.6570833333333335,4330970000000000.0,2.67
2021-04-18,3.270833333333333,3807082000000000.0,2.63
2021-04-19,3.934583333333334,4105290000000000.0,2.58
2021-04-20,6.352083333333332,4611880000000000.0,2.76
2021-04-21,8.277916666666666,3794646000000000.0,2.62
2021-04-22,3.974583333333333,2812580000000000.0,2.65
2021-04-23,6.577916666666668,773950000000000.0,2.63
2021-04-24,3.57875,3902480000000000.0,2.66
