date,open_NO2,sate_NO2,"Golden Temple, Amritsar - PPCB"
2020-11-24,27.075,8795280000000000.0,9.97
2020-11-25,19.33583333333333,6676496000000000.0,13.26
2020-11-26,24.718333333333334,6884440000000000.0,10.89
2020-11-27,20.499583333333334,5177098000000000.0,11.09
2020-11-28,35.80583333333333,6898240000000000.0,16.73
2020-11-29,47.51333333333334,6234758000000000.0,9.13
2020-11-30,38.50666666666666,7284120000000000.0,7.7
2020-12-01,38.46375,1.15e+16,9.16
2020-12-02,44.60249999999999,5072894000000000.0,9.24
2020-12-03,34.041666666666664,1.4e+16,19.58
2020-12-04,24.712499999999995,5260570000000000.0,19.73
2020-12-05,23.078333333333337,9384230000000000.0,8.39
2020-12-06,27.53958333333334,6691550000000000.0,5.48
2020-12-07,36.91499999999999,6324420000000000.0,6.12
2020-12-08,26.2375,6496906000000000.0,7.99
2020-12-09,21.756666666666664,7495604000000000.0,7.06
2020-12-10,30.62833333333333,5798480000000000.0,8.11
2020-12-11,17.7525,6202944000000000.0,4.3
2020-12-12,20.191666666666663,4576880000000000.0,22.21
2020-12-13,31.08541666666667,6292606000000000.0,23.06
2020-12-14,36.492916666666666,6065350000000000.0,21.95
2020-12-15,23.595416666666665,6335400000000000.0,21.38
2020-12-16,26.26375,5755510000000000.0,20.8
2020-12-17,30.021666666666665,1.02e+16,24.35
2020-12-18,40.46666666666667,7227842000000000.0,28.74
2020-12-19,37.895833333333336,7964640000000000.0,32.27
2020-12-20,32.86375000000001,6464588000000000.0,34.17
2020-12-21,38.00041666666667,9169080000000000.0,38.83
2020-12-22,46.443750000000016,7000122000000000.0,41.79
2020-12-23,41.27083333333333,6245640000000000.0,38.87
2020-12-24,42.64124999999999,6744360000000000.0,41.14
2020-12-25,36.865,5648110000000000.0,38.79
2020-12-26,29.32875,5038610000000000.0,33.53
2020-12-27,18.703333333333333,6098626000000000.0,29.46
2020-12-28,30.87208333333334,4436680000000000.0,27.2
2020-12-29,24.206666666666678,5380146000000000.0,27.49
2020-12-30,41.07041666666667,7829600000000000.0,30.01
2020-12-31,44.46208333333333,7120298000000000.0,31.32
2021-01-01,44.08374999999999,5066480000000000.0,29.34
2021-01-02,20.3325,2312180000000000.0,31.86
2021-01-03,11.821666666666664,8436302000000000.0,30.66
2021-01-04,11.132916666666668,8180480000000000.0,34.03
2021-01-05,11.156666666666666,5995328000000000.0,28.81
2021-01-06,23.8825,5397890000000000.0,23.56
2021-01-07,33.44458333333334,6481010000000000.0,23.18
2021-01-08,26.794166666666666,4976070000000000.0,22.33
2021-01-09,25.371666666666663,7200008000000000.0,20.17
2021-01-10,34.37625,7648616000000000.0,20.49
2021-01-11,37.80041666666667,6844304000000000.0,21.33
2021-01-12,38.57083333333333,4975772000000000.0,21.36
2021-01-13,46.26125,5833550000000000.0,20.14
2021-01-14,36.95041666666666,6647882000000000.0,18.63
2021-01-15,30.845416666666665,5053822000000000.0,20.85
2021-01-16,27.5725,7541354000000000.0,18.92
2021-01-17,22.24125,5821210000000000.0,19.96
2021-01-18,22.852916666666665,5243650000000000.0,22.6
2021-01-19,26.457500000000007,5451532000000000.0,21.03
2021-01-20,38.836666666666666,1.1e+16,21.1
2021-01-21,40.02375,6542396000000000.0,21.71
2021-01-22,10.656250000000002,8239058000000000.0,20.24
2021-01-23,14.708333333333336,6444566000000000.0,20.72
2021-01-24,22.465833333333336,6789810000000000.0,21.07
2021-01-25,32.83041666666667,5301138000000000.0,24.51
2021-01-26,36.35600000000001,6672790000000000.0,22.88
2021-01-27,35.129999999999995,6199550000000000.0,22.4
2021-01-28,40.156666666666666,6571164000000000.0,22.22
2021-01-29,27.872916666666654,8335070000000000.0,20.96
2021-01-30,31.53458333333333,5811352000000000.0,21.48
2021-01-31,25.805416666666677,7358970000000000.0,22.73
2021-02-01,28.6825,6978826000000000.0,22.11
2021-02-02,32.36291666666667,7234490000000000.0,22.03
2021-02-03,11.777500000000003,6767320000000000.0,21.18
2021-02-04,22.456666666666663,7011146000000000.0,19.0
2021-02-05,23.635416666666668,6284130000000000.0,19.26
2021-02-06,18.107916666666664,6388546000000000.0,18.41
2021-02-07,32.74458333333333,6564590000000000.0,19.44
2021-02-08,31.53125,6375136000000000.0,24.47
2021-02-09,32.77041666666667,6618830000000000.0,21.29
2021-02-10,28.615833333333335,6128058000000000.0,20.44
2021-02-11,29.881666666666664,7756730000000000.0,21.53
2021-02-12,41.71958333333334,7127770000000000.0,19.85
2021-02-13,35.40166666666667,6565778000000000.0,19.16
2021-02-14,30.97874999999999,6169750000000000.0,19.31
2021-02-15,29.50375,6912258000000000.0,21.03
2021-02-16,29.049999999999997,5381920000000000.0,19.18
2021-02-17,36.12666666666666,6414826000000000.0,21.19
2021-02-18,28.81,5704390000000000.0,20.86
2021-02-19,27.53958333333333,6996100000000000.0,21.62
2021-02-20,24.044166666666666,9669570000000000.0,23.72
2021-02-21,22.144166666666663,8997990000000000.0,23.42
2021-02-22,21.295,8418376000000000.0,22.75
2021-02-23,26.880416666666672,4600680000000000.0,24.64
2021-02-24,24.176666666666662,7057462000000000.0,31.27
2021-02-25,25.65125,4986400000000000.0,30.92
2021-02-26,9.635,5567742000000000.0,18.25
2021-02-27,22.144166666666663,4963070000000000.0,19.15
2021-02-28,20.184166666666663,5867780000000000.0,20.68
2021-03-01,13.935833333333337,5417334000000000.0,21.22
2021-03-02,24.027916666666663,4026600000000000.0,20.16
2021-03-03,20.680833333333336,7409022000000000.0,13.25
2021-03-04,18.422916666666666,4505290000000000.0,9.62
2021-03-05,20.4725,5036642000000000.0,8.92
2021-03-06,9.812916666666666,4629260000000000.0,9.85
2021-03-07,4.329583333333333,3471980000000000.0,8.59
2021-03-08,10.611666666666666,5826804000000000.0,9.07
2021-03-09,30.60833333333333,5021330000000000.0,8.93
2021-03-10,18.543333333333333,6941698000000000.0,8.12
2021-03-11,16.184166666666666,3205610000000000.0,8.08
2021-03-12,13.11166666666667,5661408000000000.0,7.89
2021-03-13,17.280416666666667,5383490000000000.0,8.92
2021-03-14,11.77608695652174,6102946000000000.0,8.23
2021-03-15,14.1325,5167522000000000.0,7.77
2021-03-16,15.529583333333337,3524300000000000.0,8.07
2021-03-17,15.20125,5627362000000000.0,8.24
2021-03-18,15.59875,3885260000000000.0,7.63
2021-03-19,14.63791666666667,6823890000000000.0,7.29
2021-03-20,15.175416666666663,6028700000000000.0,7.68
2021-03-21,7.234166666666666,5596936000000000.0,7.19
2021-03-22,8.210833333333332,6155630000000000.0,7.03
2021-03-23,8.5475,4029110000000000.0,7.11
2021-03-24,11.920833333333333,6629132000000000.0,7.26
2021-03-25,12.660833333333336,4853990000000000.0,8.99
2021-03-26,16.9675,6552978000000000.0,26.47
2021-03-27,11.58125,5369410000000000.0,23.76
2021-03-28,7.444166666666667,7091700000000000.0,22.52
2021-03-29,12.46,5073180000000000.0,23.83
2021-03-30,7.847083333333333,6148610000000000.0,8.92
2021-03-31,7.996666666666669,5582900000000000.0,15.18
2021-04-01,7.933333333333334,4987430000000000.0,17.75
2021-04-02,19.825833333333332,5669880000000000.0,29.69
2021-04-03,17.815,5718670000000000.0,54.64
2021-04-04,9.025833333333331,5588846000000000.0,69.34
2021-04-05,11.066249999999998,4559470000000000.0,57.97
2021-04-06,11.965833333333334,6084312000000000.0,35.45
2021-04-07,8.027500000000002,6036120000000000.0,26.68
2021-04-08,18.245833333333334,4399800000000000.0,28.56
2021-04-09,14.658749999999998,6213020000000000.0,32.17
2021-04-10,11.286666666666669,5751740000000000.0,37.82
2021-04-11,9.732083333333332,6416960000000000.0,46.13
2021-04-12,19.13833333333333,4732180000000000.0,37.95
2021-04-13,10.456666666666669,7539442000000000.0,39.08
2021-04-14,24.804583333333337,7981790000000000.0,45.78
2021-04-15,9.32875,5721056000000000.0,25.96
2021-04-16,7.127500000000001,1.0234228e+16,24.32
2021-04-17,8.252916666666666,6370980000000000.0,35.75
2021-04-18,10.42125,6259470000000000.0,17.83
2021-04-19,20.0975,5655370000000000.0,22.62
2021-04-20,10.624166666666666,5952050000000000.0,14.33
2021-04-21,7.400416666666668,5543260000000000.0,14.47
2021-04-22,11.4925,5572176000000000.0,14.17
2021-04-23,16.200416666666666,5256080000000000.0,14.78
2021-04-24,19.422500000000003,3265980000000000.0,4.64
2021-04-25,23.680416666666662,6799790000000000.0,3.75
2021-04-26,24.26,6075890000000000.0,15.45
2021-04-27,27.599166666666665,6957450000000000.0,22.41
2021-04-28,31.043750000000003,8107460000000000.0,19.46
2021-04-29,31.310416666666665,7868604000000000.0,16.94
2021-04-30,25.085833333333337,7983500000000000.0,17.72
2021-05-01,12.85,5934514000000000.0,18.22
2021-05-02,13.180416666666666,9388340000000000.0,17.83
2021-05-03,11.434166666666664,8366380000000000.0,17.27
2021-05-04,15.045833333333333,8757160000000000.0,15.8
2021-05-05,28.67,6613200000000000.0,15.61
2021-05-06,16.67083333333333,7836096000000000.0,17.73
2021-05-07,19.890416666666667,7703430000000000.0,12.67
2021-05-08,18.78291666666667,6366556000000000.0,14.15
2021-05-09,17.30875,9574600000000000.0,14.99
2021-05-10,18.075416666666666,7878500000000000.0,12.43
2021-05-11,23.55583333333334,1.17e+16,13.04
2021-05-12,12.839583333333332,1.02e+16,12.34
2021-05-13,12.802083333333336,5278660000000000.0,8.5
2021-05-14,14.962916666666668,6803190000000000.0,6.73
2021-05-15,12.89,6493876000000000.0,8.7
2021-05-16,7.803333333333332,8736090000000000.0,9.5
2021-05-17,9.871250000000002,4974536000000000.0,8.98
2021-05-18,6.739999999999999,1.05e+16,7.98
2021-05-19,10.337916666666668,6517560000000000.0,5.84
2021-05-20,19.0275,1.01e+16,5.75
2021-05-21,19.99458333333333,7105290000000000.0,6.08
2021-05-22,14.380833333333332,6135218000000000.0,6.65
2021-05-23,7.413333333333334,7569250000000000.0,7.5
2021-05-24,9.091666666666669,6367116000000000.0,6.87
2021-05-25,15.039166666666668,9484660000000000.0,9.08
2021-05-26,24.03916666666667,7751430000000000.0,9.27
2021-05-27,10.566666666666668,9666010000000000.0,10.12
2021-05-28,18.985000000000003,9978180000000000.0,8.59
2021-05-29,10.85875,6790900000000000.0,7.84
2021-05-30,8.893749999999999,8017950000000000.0,6.89
2021-05-31,7.877916666666668,5672510000000000.0,7.97
2021-06-01,21.03875,8125610000000000.0,6.76
2021-06-02,12.905,6891862000000000.0,7.45
2021-06-03,20.37541666666667,6930860000000000.0,7.69
2021-06-04,10.13625,7963660000000000.0,8.27
2021-06-05,11.470416666666669,8537570000000000.0,7.36
2021-06-06,11.3925,9340360000000000.0,7.83
2021-06-07,10.541666666666666,4785234000000000.0,8.58
2021-06-08,20.490416666666665,8562490000000000.0,19.74
2021-06-09,13.818333333333335,5264226000000000.0,26.16
2021-06-10,5.9070833333333335,8758650000000000.0,20.0
2021-06-11,5.173333333333335,6913930000000000.0,10.47
2021-06-12,4.664166666666667,9788250000000000.0,4.75
2021-06-13,6.102083333333333,8674490000000000.0,4.12
2021-06-14,12.170833333333333,7016430000000000.0,4.62
2021-06-15,18.922500000000003,1.38e+16,4.78
2021-06-16,7.842916666666666,6711968000000000.0,4.25
2021-06-17,12.18875,8287520000000000.0,4.38
2021-06-18,9.141666666666667,5731826000000000.0,4.71
2021-06-19,5.789583333333333,9690040000000000.0,4.52
2021-06-20,6.65375,7260130000000000.0,4.08
