date,open_NO2,sate_NO2,"Adarsh Nagar, Jaipur - RSPCB","Police Commissionerate, Jaipur - RSPCB"
2020-11-24,11.355,6071670000000000.0,50.31,58.38
2020-11-25,10.35875,4148840000000000.0,68.16,76.31
2020-11-26,13.64125,4628510000000000.0,35.41,50.79
2020-11-27,15.3825,5229334000000000.0,10.11,13.41
2020-11-28,25.731666666666666,5492570000000000.0,20.09,20.6
2020-11-29,39.781666666666666,5262206000000000.0,20.11,18.39
2020-11-30,50.83041666666665,4877900000000000.0,16.64,15.76
2020-12-01,39.01416666666666,6124330000000000.0,26.0,19.07
2020-12-02,42.8125,4427366000000000.0,38.54,24.55
2020-12-03,49.57833333333334,6388130000000000.0,47.6,38.52
2020-12-04,39.71833333333333,5280120000000000.0,75.88,71.35
2020-12-05,26.730000000000004,4926890000000000.0,28.54,94.15
2020-12-06,20.37166666666667,4770802000000000.0,19.05,71.33
2020-12-07,61.86708333333331,4445710000000000.0,34.06,75.62
2020-12-08,38.41416666666666,4537146000000000.0,41.66,75.37
2020-12-09,42.715833333333336,5777940000000000.0,76.01,103.8
2020-12-10,32.92333333333333,5207970000000000.0,64.35,99.92
2020-12-11,17.554999999999996,4848732000000000.0,89.15,97.19
2020-12-12,11.6725,5607350000000000.0,30.92,51.54
2020-12-13,16.579166666666666,4797688000000000.0,29.23,48.65
2020-12-14,26.211666666666662,3875150000000000.0,29.66,49.74
2020-12-15,16.229583333333334,5239376000000000.0,27.98,50.14
2020-12-16,18.99541666666667,4670820000000000.0,35.29,59.93
2020-12-17,16.032083333333333,5604540000000000.0,38.86,59.11
2020-12-18,27.90000000000001,5101152000000000.0,60.55,82.0
2020-12-19,32.97291666666667,5905880000000000.0,84.62,83.7
2020-12-20,37.23291666666667,4942308000000000.0,81.67,86.09
2020-12-21,42.120000000000005,4148760000000000.0,74.85,83.27
2020-12-22,40.05708333333333,4814076000000000.0,67.64,89.03
2020-12-23,28.51083333333333,5123460000000000.0,62.18,82.17
2020-12-24,20.647916666666664,4979046000000000.0,34.07,87.81
2020-12-25,52.77333333333334,6062860000000000.0,54.25,78.92
2020-12-26,44.68333333333334,7131250000000000.0,72.8,89.92
