date,open_NO2,sate_NO2,"Adarsh Nagar, Jaipur - RSPCB","Police Commissionerate, Jaipur - RSPCB"
2020-12-27,12.857916666666668,4840198000000000.0,30.36,63.31
2020-12-28,32.346666666666664,5168930000000000.0,47.43,67.12
2020-12-29,18.343333333333337,5525464000000000.0,56.73,78.3
2020-12-30,15.916666666666664,4580030000000000.0,38.68,62.34
2020-12-31,45.4975,4779050000000000.0,54.92,76.01
2021-01-01,8.807916666666667,5026450000000000.0,23.73,71.25
2021-01-02,7.62625,2297070000000000.0,19.1,61.85
2021-01-03,7.44625,5066276000000000.0,23.4,67.6
2021-01-04,8.382916666666667,4390146000000000.0,16.06,54.47
2021-01-05,17.708750000000002,5375824000000000.0,21.07,58.16
2021-01-06,12.081250000000002,3502090000000000.0,36.69,62.28
2021-01-07,31.07458333333334,5039132000000000.0,42.85,55.42
2021-01-08,12.692083333333336,4696730000000000.0,27.57,67.82
2021-01-09,9.189166666666669,4465930000000000.0,44.38,55.85
2021-01-10,15.93,3877160000000000.0,39.74,69.01
2021-01-11,16.868749999999995,4908400000000000.0,40.48,84.22
2021-01-12,18.230416666666667,4246162000000000.0,69.93,108.75
2021-01-13,42.990833333333335,5223750000000000.0,85.96,103.94
2021-01-14,40.87708333333333,4628814000000000.0,79.35,103.2
2021-01-15,32.73083333333333,4274940000000000.0,70.62,72.59
2021-01-16,29.863749999999992,4799308000000000.0,95.88,106.29
2021-01-17,5.574999999999999,5432630000000000.0,27.59,78.55
2021-01-18,14.367916666666666,5431000000000000.0,30.06,60.23
2021-01-19,28.908749999999998,5530326000000000.0,93.68,104.02
2021-01-20,25.702083333333334,4285740000000000.0,75.88,115.58
2021-01-21,30.567916666666672,3921704000000000.0,61.7,117.9
2021-01-22,13.21125,3809510000000000.0,47.08,96.26
2021-01-23,7.4941666666666675,5073666000000000.0,42.32,81.14
2021-01-24,8.952916666666667,3944290000000000.0,32.22,76.45
2021-01-25,20.22416666666667,4547000000000000.0,34.42,74.72
2021-01-26,22.5225,3688980000000000.0,42.18,86.93
2021-01-27,36.8425,3826390000000000.0,65.59,101.26
2021-01-28,35.78375,5147596000000000.0,51.21,100.23
2021-01-29,35.619166666666665,5920300000000000.0,69.41,96.18
2021-01-30,27.78125,4774510000000000.0,76.57,101.78
2021-01-31,21.442916666666665,5357440000000000.0,47.68,83.19
2021-02-01,35.96,5326638000000000.0,72.03,101.44
2021-02-02,30.94416666666667,5711900000000000.0,61.36,106.35
2021-02-03,41.64333333333333,5542560000000000.0,62.56,101.38
2021-02-04,12.547083333333331,4403406000000000.0,32.55,71.88
2021-02-05,13.583333333333334,6583120000000000.0,35.16,60.61
2021-02-06,16.262083333333333,4873604000000000.0,41.39,65.99
2021-02-07,35.794999999999995,4187450000000000.0,57.91,87.66
2021-02-08,48.23583333333334,5215208000000000.0,67.39,77.18
2021-02-09,37.6825,5134960000000000.0,38.71,92.99
2021-02-10,18.297500000000003,4942770000000000.0,19.51,104.07
2021-02-11,34.37291666666667,4631370000000000.0,33.91,80.38
2021-02-12,24.9875,3644460000000000.0,26.76,78.52
2021-02-13,16.14708333333333,5076412000000000.0,20.16,75.14
2021-02-14,20.141666666666666,4403270000000000.0,27.08,76.19
2021-02-15,19.00333333333333,5169800000000000.0,31.19,93.17
2021-02-16,18.995833333333334,5889940000000000.0,37.94,98.96
2021-02-17,20.297916666666666,4964656000000000.0,28.61,88.14
2021-02-18,20.81208333333333,5053190000000000.0,22.96,73.09
2021-02-19,18.2875,4312040000000000.0,26.86,86.6
2021-02-20,22.07583333333333,4942460000000000.0,39.88,84.34
2021-02-21,31.97666666666668,5023080000000000.0,47.8,86.58
2021-02-22,32.275,5095888000000000.0,49.72,106.89
2021-02-23,24.395,6001940000000000.0,78.28,110.55
2021-02-24,18.37208333333333,5137072000000000.0,56.67,83.69
2021-02-25,16.671249999999997,4603760000000000.0,53.77,65.32
2021-02-26,11.78875,4494706000000000.0,57.5,70.87
2021-02-27,9.669583333333334,4965880000000000.0,43.06,61.6
2021-02-28,12.972500000000002,4354660000000000.0,22.9,55.01
2021-03-01,7.758333333333335,3135666400000000.0,20.85,59.26
2021-03-02,12.452916666666669,4217930000000000.0,30.48,52.99
2021-03-03,29.613333333333333,4642522000000000.0,43.97,76.09
2021-03-04,15.550833333333332,4877330000000000.0,46.67,74.83
2021-03-05,17.56666666666667,4731970000000000.0,31.07,75.73
2021-03-06,10.9175,4215920000000000.0,40.68,73.93
2021-03-07,10.618333333333332,3102430000000000.0,38.17,71.71
2021-03-08,12.744583333333331,4487098000000000.0,55.31,57.65
2021-03-09,14.738333333333337,5002600000000000.0,53.91,53.57
2021-03-10,9.55625,4436606000000000.0,69.9,63.52
2021-03-11,9.92,4285280000000000.0,38.12,51.5
2021-03-12,13.045000000000002,5379852000000000.0,27.1,32.15
2021-03-13,14.308333333333332,3738340000000000.0,22.87,45.76
2021-03-14,13.150869565217391,5279392000000000.0,35.45,56.61
2021-03-15,21.7525,4963560000000000.0,36.08,51.27
2021-03-16,13.146666666666668,4440610000000000.0,36.88,57.18
2021-03-17,22.56,4207318000000000.0,36.31,55.18
2021-03-18,11.242916666666666,4636280000000000.0,21.57,42.45
2021-03-19,18.402083333333334,4302730000000000.0,24.08,47.14
2021-03-20,11.259583333333332,5404820000000000.0,48.58,53.54
2021-03-21,11.329583333333334,5007838000000000.0,19.28,42.54
2021-03-22,12.48,4421810000000000.0,26.96,49.02
2021-03-23,13.79333333333333,4863558000000000.0,29.72,44.56
2021-03-24,9.954166666666667,4936220000000000.0,46.85,59.35
2021-03-25,13.98291666666667,4813330000000000.0,47.36,62.21
2021-03-26,19.77958333333333,5572710000000000.0,62.23,85.08
2021-03-27,9.873333333333331,4914890000000000.0,56.22,69.82
2021-03-28,7.704166666666667,5553780000000000.0,47.57,75.54
2021-03-29,4.765416666666668,4115310000000000.0,28.82,49.89
2021-03-30,5.11625,4547180000000000.0,20.91,53.38
2021-03-31,6.464583333333333,5528150000000000.0,31.63,57.01
2021-04-01,10.365833333333336,4643920000000000.0,38.57,60.79
2021-04-02,19.62875,5528480000000000.0,30.59,69.8
2021-04-03,8.69,5043060000000000.0,29.81,66.43
2021-04-04,14.326250000000002,4116732000000000.0,36.98,84.16
2021-04-05,7.030000000000001,5134340000000000.0,38.76,89.5
2021-04-06,5.806666666666666,4776852000000000.0,23.6,66.69
2021-04-07,5.343333333333334,4615830000000000.0,18.9,55.51
2021-04-08,5.814166666666666,5138620000000000.0,19.17,62.8
2021-04-09,7.606250000000002,5841660000000000.0,26.96,59.4
2021-04-10,13.53,6008780000000000.0,25.41,57.31
2021-04-11,12.03125,5790450000000000.0,28.27,57.89
2021-04-12,21.50375,4475800000000000.0,39.57,85.05
2021-04-13,18.325,4945906000000000.0,39.83,78.84
2021-04-14,28.444583333333338,4928920000000000.0,40.66,82.62
2021-04-15,13.8325,5724902000000000.0,34.3,84.87
2021-04-16,12.524583333333334,5365610000000000.0,19.52,50.63
2021-04-17,5.6325,5394710000000000.0,8.14,37.24
2021-04-18,14.819583333333332,5550300000000000.0,2.89,32.63
2021-04-19,10.267083333333334,5487170000000000.0,18.05,50.12
2021-04-20,21.062916666666663,4644494000000000.0,20.91,48.68
2021-04-21,7.570833333333334,4891780000000000.0,17.36,38.11
2021-04-22,19.650416666666672,5088342000000000.0,13.02,30.53
2021-04-23,4.284166666666666,5323900000000000.0,12.22,24.27
2021-04-24,5.698333333333333,5007730000000000.0,14.29,35.21
2021-04-25,11.072499999999998,5774440000000000.0,21.16,39.56
2021-04-26,30.12375,5254070000000000.0,37.13,62.78
2021-04-27,13.272083333333333,5134020000000000.0,34.03,67.66
2021-04-28,8.931666666666667,4468120000000000.0,37.04,76.78
2021-04-29,7.657499999999999,5319262000000000.0,30.04,57.42
2021-04-30,15.350833333333334,5400160000000000.0,13.97,32.5
2021-05-01,19.28083333333333,4607922000000000.0,12.9,27.94
2021-05-02,21.547916666666666,4173500000000000.0,13.84,31.57
2021-05-03,20.84916666666666,5995130000000000.0,27.79,34.24
2021-05-04,16.919583333333332,5328354000000000.0,19.05,40.06
2021-05-05,10.279166666666669,3755850000000000.0,17.97,40.67
2021-05-06,6.390416666666668,4823644000000000.0,16.52,35.23
2021-05-07,8.019999999999998,5610360000000000.0,13.2,31.29
2021-05-08,5.24625,5071560000000000.0,11.13,27.98
2021-05-09,6.036666666666666,5489820000000000.0,11.52,22.69
2021-05-10,12.641666666666666,4099520000000000.0,16.46,19.83
2021-05-11,10.176249999999998,5660692000000000.0,21.12,21.94
2021-05-12,21.6525,4901460000000000.0,19.75,23.58
2021-05-13,11.324166666666668,5986340000000000.0,17.38,23.62
2021-05-14,7.987500000000002,5203340000000000.0,16.51,24.42
2021-05-15,4.109166666666666,5174752000000000.0,18.12,24.78
2021-05-16,14.171666666666669,5566900000000000.0,19.27,28.69
2021-05-17,6.189583333333335,4451540000000000.0,17.71,21.2
2021-05-18,4.9679166666666665,4696430000000000.0,15.72,25.62
2021-05-19,7.028333333333335,4979008000000000.0,15.97,26.34
2021-05-20,14.675000000000002,5752260000000000.0,19.99,26.84
2021-05-21,21.2225,5822820000000000.0,21.43,37.12
2021-05-22,11.162916666666668,3874612400000000.0,18.46,26.33
2021-05-23,8.639583333333334,6006350000000000.0,18.94,25.49
2021-05-24,10.486666666666666,4351074000000000.0,32.64,38.18
2021-05-25,10.887083333333331,6110520000000000.0,27.44,39.35
2021-05-26,9.177916666666668,4678850000000000.0,19.44,27.68
2021-05-27,16.67083333333333,6222660000000000.0,21.14,28.71
2021-05-28,5.719999999999999,5471170000000000.0,20.34,31.6
2021-05-29,5.887083333333334,4364710000000000.0,18.23,27.32
2021-05-30,12.826666666666668,5988690000000000.0,14.47,20.98
2021-05-31,22.95833333333333,4274498000000000.0,17.77,23.98
2021-06-01,7.759583333333334,5272740000000000.0,17.69,24.13
2021-06-02,16.073749999999993,5213172000000000.0,28.84,34.73
2021-06-03,25.38375,5363660000000000.0,47.63,43.35
2021-06-04,12.985416666666666,5085820000000000.0,30.1,57.42
2021-06-05,7.925833333333333,4415510000000000.0,15.72,33.62
2021-06-06,9.992083333333332,5703750000000000.0,16.92,28.27
2021-06-07,4.848749999999999,4260540000000000.0,12.71,30.47
2021-06-08,4.400833333333334,6029820000000000.0,10.51,31.48
2021-06-09,5.226249999999999,3917026400000000.0,12.41,32.83
2021-06-10,4.541666666666666,4583400000000000.0,11.13,31.17
2021-06-11,5.952500000000001,4615870000000000.0,14.08,27.52
2021-06-12,7.636666666666667,6087980000000000.0,11.68,11.68
2021-06-13,11.442916666666669,4857338000000000.0,10.88,10.88
2021-06-14,8.736666666666666,4334132000000000.0,20.81,44.4
2021-06-15,13.285000000000002,6212130000000000.0,16.8,33.64
2021-06-16,24.841666666666665,4761492000000000.0,14.25,31.44
2021-06-17,12.307500000000005,6289740000000000.0,18.81,40.48
2021-06-18,6.612083333333332,4658892000000000.0,13.46,35.02
2021-06-19,7.1883333333333335,4716032000000000.0,19.38,39.14
2021-06-20,4.6575,8258830000000000.0,20.63,34.12
2021-06-21,4.786250000000001,7250630000000000.0,24.67,49.85
2021-06-22,5.213749999999999,5988120000000000.0,17.32,42.42
2021-06-23,5.733333333333334,4910922000000000.0,16.12,36.47
2021-06-24,5.092916666666666,6165580000000000.0,19.94,41.13
2021-06-25,6.6745833333333335,3859394400000000.0,16.22,35.76
2021-06-26,6.9775,4683770000000000.0,20.53,47.65
2021-06-27,13.525416666666665,4514660000000000.0,19.5,32.01
2021-06-28,8.667499999999999,6062000000000000.0,25.54,37.89
2021-06-29,4.039583333333334,6585640000000000.0,26.62,52.34
2021-06-30,3.796250000000001,3989300000000000.0,15.49,31.52
2021-07-01,4.7425,3795670000000000.0,15.67,45.61
2021-07-02,4.2525,3592778400000000.0,14.86,30.89
2021-07-03,8.440000000000001,5355780000000000.0,15.06,33.62
2021-07-04,6.855833333333333,4782224000000000.0,17.93,32.63
2021-07-05,9.440833333333332,5275130000000000.0,32.85,46.68
2021-07-06,5.712083333333333,5220780000000000.0,22.75,49.05
2021-07-07,4.712083333333333,5573590000000000.0,18.0,38.54
2021-07-08,8.173333333333332,5154620000000000.0,15.83,37.25
2021-07-09,11.515,4615596000000000.0,21.01,45.96
2021-07-10,7.654166666666668,6429760000000000.0,25.39,43.04
2021-07-11,5.965833333333335,4866732000000000.0,9.94,27.39
2021-07-12,7.917083333333335,6871810000000000.0,9.18,36.59
2021-07-13,10.11458333333333,4468930000000000.0,11.61,29.7
2021-07-14,6.878333333333331,6666060000000000.0,13.4,29.33
2021-07-15,5.178750000000001,4500170000000000.0,17.35,31.76
2021-07-16,9.181666666666665,3910810000000000.0,18.4,28.26
2021-07-17,7.31125,4896690000000000.0,29.15,30.15
2021-07-18,6.784166666666667,4724844000000000.0,27.72,27.47
2021-07-19,15.845416666666669,4848432000000000.0,26.36,24.9
2021-07-20,6.035416666666666,4731586000000000.0,33.86,34.48
2021-07-21,10.905416666666667,4319670000000000.0,26.54,36.56
2021-07-22,21.422916666666666,4017808000000000.0,29.71,32.08
2021-07-23,20.685,5298144000000000.0,27.93,36.25
2021-07-24,13.987916666666669,4848340000000000.0,22.54,30.84
2021-07-25,8.6075,2819022400000000.0,21.59,31.31
2021-07-26,10.440416666666668,4559930000000000.0,30.31,28.48
2021-07-27,6.118333333333332,5371514000000000.0,24.97,28.97
2021-07-28,9.152916666666666,5375646000000000.0,30.19,26.26
2021-07-29,10.709166666666668,4014776000000000.0,19.83,30.81
2021-07-30,12.68625,4421962000000000.0,22.47,29.9
2021-07-31,7.385000000000002,4636258000000000.0,18.03,21.75
2021-08-01,6.56,5266754000000000.0,16.12,18.92
2021-08-02,6.633750000000002,4077946000000000.0,18.32,13.63
2021-08-03,7.208333333333336,3323448400000000.0,17.08,14.2
2021-08-04,13.402083333333335,4058588000000000.0,17.49,20.64
2021-08-05,15.433333333333335,5237606000000000.0,23.18,34.71
2021-08-06,21.81083333333333,3992870000000000.0,23.32,33.02
2021-08-07,15.32625,3831350000000000.0,24.1,30.76
2021-08-08,11.840416666666668,5573580000000000.0,21.26,26.07
2021-08-09,8.4825,5116900000000000.0,15.63,19.84
2021-08-10,6.494166666666665,4244362000000000.0,15.89,26.11
2021-08-11,8.342500000000001,5132210000000000.0,15.73,24.66
2021-08-12,8.816249999999998,5218320000000000.0,24.31,29.93
2021-08-13,8.510416666666666,4989360000000000.0,22.83,26.76
2021-08-14,6.191666666666667,3524870000000000.0,24.97,26.22
2021-08-15,8.292083333333332,5405370000000000.0,22.35,24.15
2021-08-16,9.087083333333332,5142270000000000.0,24.99,29.36
2021-08-17,12.96125,5526550000000000.0,27.94,40.93
2021-08-18,22.22958333333333,4634520000000000.0,29.2,32.12
2021-08-19,15.293333333333331,4247080000000000.0,31.28,33.66
2021-08-20,12.331249999999995,5053016000000000.0,17.87,18.95
2021-08-21,12.952499999999995,4842444000000000.0,14.07,16.85
2021-08-22,10.219583333333333,3997914000000000.0,10.9,11.11
2021-08-23,11.685,4312790000000000.0,18.24,28.72
2021-08-24,8.149166666666668,4464380000000000.0,24.71,25.59
2021-08-25,5.898333333333333,4123570000000000.0,23.11,22.86
2021-08-26,6.809583333333333,4285048000000000.0,22.99,18.12
2021-08-27,9.25875,4007540000000000.0,26.94,24.91
2021-08-28,12.496666666666668,4412586000000000.0,33.12,34.14
2021-08-29,10.456249999999995,4660572000000000.0,32.24,25.88
2021-08-30,8.647083333333333,4967452000000000.0,18.75,20.62
2021-08-31,8.398333333333333,5298612000000000.0,15.34,14.84
2021-09-01,10.172083333333331,3257608400000000.0,15.73,14.61
2021-09-02,13.275,3044710000000000.0,18.06,13.37
2021-09-03,16.625833333333333,4105450000000000.0,25.47,24.09
2021-09-04,15.690833333333336,3999550000000000.0,32.3,22.38
2021-09-05,19.75875,4674300000000000.0,30.17,21.03
2021-09-06,14.247916666666669,5236128000000000.0,35.31,33.95
2021-09-07,6.986666666666668,5092320000000000.0,20.58,22.54
2021-09-08,5.400833333333334,3878650000000000.0,16.27,16.1
2021-09-09,7.480416666666669,4495610000000000.0,19.14,20.01
2021-09-10,9.237083333333333,4685530000000000.0,18.26,22.13
2021-09-11,8.196666666666667,4093380000000000.0,16.32,18.98
2021-09-12,6.729583333333333,4540714000000000.0,17.42,21.53
2021-09-13,6.5425,4899772000000000.0,18.82,24.45
2021-09-14,5.248333333333333,4707250000000000.0,19.38,27.93
2021-09-15,4.399166666666667,2920530000000000.0,16.65,13.2
2021-09-16,4.845,4652770000000000.0,19.93,17.75
2021-09-17,7.932916666666668,3906734000000000.0,23.34,16.72
2021-09-18,6.010833333333332,5464470000000000.0,23.83,27.8
2021-09-19,10.41125,4507536000000000.0,17.78,19.67
2021-09-20,11.80125,5046572000000000.0,21.67,23.52
2021-09-21,15.73708333333333,3985160000000000.0,25.2,20.2
2021-09-22,11.025,4916016000000000.0,22.64,22.23
2021-09-23,8.965416666666664,4548798000000000.0,19.39,16.39
2021-09-24,8.151250000000003,5006700000000000.0,21.52,15.56
2021-09-25,9.598333333333334,5334184000000000.0,25.8,17.05
2021-09-26,6.306666666666666,4084980000000000.0,20.43,12.24
2021-09-27,6.579583333333336,5347780000000000.0,16.07,14.41
2021-09-28,5.163333333333333,5268470000000000.0,22.54,14.18
2021-09-29,6.062083333333334,4988168000000000.0,19.13,16.97
2021-09-30,19.97083333333333,4186744000000000.0,21.07,26.45
2021-10-01,16.708749999999995,4906930000000000.0,33.98,22.38
2021-10-02,11.015416666666669,4750178000000000.0,41.77,23.91
2021-10-03,7.960833333333334,3868410000000000.0,39.98,29.7
2021-10-04,13.545000000000002,4800952000000000.0,37.4,31.53
2021-10-05,23.600000000000005,3700890000000000.0,53.45,29.13
2021-10-06,32.84208333333333,4958742000000000.0,44.43,41.7
2021-10-07,44.96666666666667,5226970000000000.0,37.55,40.94
2021-10-08,24.71833333333333,6031788000000000.0,55.92,34.56
2021-10-09,18.259583333333328,5521740000000000.0,52.32,42.9
2021-10-10,19.87708333333333,5369920000000000.0,40.67,36.85
2021-10-11,14.47208333333333,4452932000000000.0,43.91,37.99
2021-10-12,31.54625,4982390000000000.0,35.88,37.99
2021-10-13,8.705833333333333,4888726000000000.0,35.17,27.71
2021-10-14,16.759999999999998,4932120000000000.0,51.87,30.15
2021-10-15,28.188333333333333,4108020000000000.0,64.21,38.43
2021-10-16,22.98708333333333,5534690000000000.0,61.7,40.65
2021-10-17,10.107083333333332,540202000000000.0,18.74,31.32
2021-10-18,12.731666666666667,5891908000000000.0,21.38,22.9
2021-10-19,17.613333333333333,6256000000000000.0,45.18,23.81
2021-10-20,22.24833333333333,5265602000000000.0,68.45,52.08
2021-10-21,9.486250000000002,4223360000000000.0,57.49,50.97
2021-10-22,13.275416666666668,5074296000000000.0,45.24,29.08
2021-10-23,12.003333333333336,4487470000000000.0,24.85,21.96
2021-10-24,23.424166666666665,5125082000000000.0,31.2,22.63
2021-10-25,23.73166666666667,6827680000000000.0,39.57,42.24
2021-10-26,20.505416666666665,5875260000000000.0,63.02,40.23
2021-10-27,42.20249999999999,6098894000000000.0,60.61,74.74
2021-10-28,28.505416666666655,6932640000000000.0,53.51,81.92
2021-10-29,22.54625,4983042000000000.0,76.32,102.02
2021-10-30,25.00833333333333,4238750000000000.0,107.34,154.39
2021-10-31,24.91583333333333,4769308000000000.0,90.8,112.96
2021-11-01,20.310416666666665,4659080000000000.0,46.89,91.7
2021-11-02,29.46083333333334,4040990000000000.0,56.73,104.6
2021-11-03,28.14166666666667,3797308400000000.0,54.94,82.45
2021-11-04,22.29875,8110570000000000.0,61.55,82.39
2021-11-05,40.60375,4467454000000000.0,103.06,101.08
2021-11-06,35.42125,4238690000000000.0,151.94,116.09
2021-11-07,19.4856,5365008000000000.0,68.12,110.94
2021-11-08,29.94541666666667,3783370000000000.0,93.66,97.08
2021-11-09,52.103333333333325,4960854000000000.0,74.84,108.62
2021-11-10,35.71666666666666,4816340000000000.0,83.2,111.97
2021-11-11,36.17208333333336,5996740000000000.0,78.36,120.82
2021-11-12,36.51624999999999,6355212000000000.0,82.06,116.58
2021-11-13,30.724166666666672,4985460000000000.0,83.78,138.16
2021-11-14,48.331666666666656,4532660000000000.0,87.19,112.62
2021-11-15,36.07291666666666,4927170000000000.0,75.0,111.53
2021-11-16,30.59583333333333,4563894000000000.0,78.89,117.2
2021-11-17,17.072083333333328,4831940000000000.0,63.65,103.83
2021-11-18,24.41916666666667,5046960000000000.0,48.2,69.02
2021-11-19,21.578333333333333,4245082000000000.0,38.17,54.8
2021-11-20,18.789166666666663,5602536000000000.0,41.57,56.46
2021-11-21,34.13625,4070004000000000.0,59.07,71.54
2021-11-22,24.14625,3910130000000000.0,67.82,89.42
2021-11-23,43.67416666666667,4187708000000000.0,71.8,107.64
2021-11-24,35.92541666666667,3973070000000000.0,51.26,98.85
2021-11-25,33.455000000000005,5337664000000000.0,65.15,116.27
2021-11-26,26.85291666666667,5152970000000000.0,47.1,87.4
2021-11-27,15.242916666666668,6445600000000000.0,37.17,66.72
2021-11-28,16.70583333333333,4565950000000000.0,43.23,60.95
2021-11-29,35.375,4073970000000000.0,51.1,75.18
2021-11-30,46.43541666666666,4490186000000000.0,57.13,104.63
2021-12-01,41.47416666666667,5296096000000000.0,69.86,86.08
2021-12-02,19.377916666666668,4430136000000000.0,52.09,71.57
2021-12-03,30.856250000000003,4172990000000000.0,46.37,55.18
2021-12-04,25.80125,4883000000000000.0,46.08,72.1
2021-12-05,17.254166666666666,3816840000000000.0,36.33,55.53
2021-12-06,16.860833333333332,5834460000000000.0,42.86,59.53
2021-12-07,30.68625,5371666000000000.0,52.5,68.04
2021-12-08,42.08083333333334,5324360000000000.0,63.88,85.48
2021-12-09,38.07749999999999,5275800000000000.0,60.98,57.36
2021-12-10,28.085833333333337,4504780000000000.0,73.34,72.51
2021-12-11,35.849999999999994,5171992000000000.0,66.95,77.93
2021-12-12,16.056250000000002,4866770000000000.0,48.38,54.28
2021-12-13,11.636666666666668,4963320000000000.0,23.03,47.56
2021-12-14,13.103333333333332,4563432000000000.0,23.28,61.03
2021-12-15,16.257916666666667,4570190000000000.0,35.37,53.39
2021-12-16,10.937916666666666,4828926000000000.0,30.4,51.94
2021-12-17,13.420416666666666,3985050000000000.0,40.82,57.27
2021-12-18,16.03375,4947190000000000.0,61.41,69.75
2021-12-19,25.404166666666665,4255730000000000.0,75.17,75.39
2021-12-20,42.95541666666666,4753650000000000.0,79.62,93.53
2021-12-21,48.7775,4109434000000000.0,84.27,102.92
2021-12-22,40.75208333333333,6521400000000000.0,81.14,105.55
2021-12-23,33.98416666666666,5341522000000000.0,52.73,83.97
2021-12-24,24.485833333333336,4103620000000000.0,52.82,77.32
2021-12-25,14.31083333333333,5520400000000000.0,41.67,63.17
2021-12-26,8.694999999999999,5891110000000000.0,27.74,53.58
2021-12-27,13.836666666666666,5003358000000000.0,23.86,39.31
2021-12-28,24.03375,5401686000000000.0,32.28,59.73
2021-12-29,18.1925,8128640000000000.0,50.31,67.55
2021-12-30,23.85416666666667,4456480000000000.0,54.8,67.58
2021-12-31,42.90208333333334,8099280000000000.0,46.36,61.08
