date,open_NO2,sate_NO2,"Ballygunge, Kolkata - WBPCB","Bidhannagar, Kolkata - WBPCB","Fort William, Kolkata - WBPCB","Jadavpur, Kolkata - WBPCB","Rabindra Bharati University, Kolkata - WBPCB","Victoria, Kolkata - WBPCB"
2020-12-15,68.40333333333335,5384970000000000.0,51.66,13.43,68.5,41.2,21.17,48.94
2020-12-16,81.94041666666668,1.26e+16,51.79,10.59,72.92,56.79,21.39,51.72
2020-12-17,62.44874999999999,7380038000000000.0,54.77,21.88,80.04,49.94,21.88,64.19
2020-12-18,60.53458333333335,1.23e+16,51.05,20.94,73.38,46.19,20.94,53.56
2020-12-19,56.5,6066288000000000.0,45.79,19.92,57.76,38.85,19.92,40.99
2020-12-20,60.376666666666665,6413080000000000.0,47.05,21.35,59.25,40.74,21.35,38.88
2020-12-21,72.70125,8084642000000000.0,63.35,25.29,82.7,52.71,25.29,56.6
2020-12-22,82.4975,6230120000000000.0,76.69,26.12,114.75,59.87,26.12,59.14
2020-12-23,80.21249999999999,5663876000000000.0,63.89,36.13,110.09,54.9,23.11,70.02
2020-12-24,81.88374999999998,8874100000000000.0,71.53,38.28,98.15,56.25,22.08,67.28
2020-12-25,75.18583333333332,9586460000000000.0,62.14,33.3,81.12,53.95,21.09,65.55
2020-12-26,66.28833333333331,6360678000000000.0,64.65,43.11,88.87,55.06,22.91,56.85
2020-12-27,71.26541666666665,8333840000000000.0,66.64,43.2,96.93,52.36,25.99,61.5
2020-12-28,82.41125,5027850000000000.0,78.36,49.22,147.81,59.39,24.58,73.7
2020-12-29,82.99666666666667,8574030000000000.0,80.82,45.34,114.26,66.83,26.52,114.26
2020-12-30,72.38791666666665,5402730000000000.0,62.82,35.36,124.31,56.5,22.38,83.95
2020-12-31,72.38666666666667,6239550000000000.0,59.58,35.92,116.16,51.01,23.64,82.6
2021-01-01,78.72708333333333,9331870000000000.0,54.73,32.64,83.09,48.81,24.38,71.75
2021-01-02,81.88375,9093142000000000.0,70.56,37.05,96.76,57.17,26.92,88.07
2021-01-03,76.48375,8223940000000000.0,69.79,35.46,108.67,62.34,26.48,88.63
2021-01-04,81.82583333333334,5965456000000000.0,65.96,39.38,108.55,61.88,23.17,95.15
2021-01-05,78.04333333333334,9354300000000000.0,53.36,38.79,86.5,62.29,23.04,87.2
2021-01-06,133.06375,4837484000000000.0,65.18,39.4,110.98,61.98,28.6,117.59
