date,open_SO2,sate_SO2,"FTI Kidwai Nagar, Kanpur - UPPCB","Nehru Nagar, Kanpur - UPPCB","NSI Kalyanpur, Kanpur - UPPCB"
2020-11-24,10.4,0.0583176256,27.38,27.38,27.38
2020-11-25,17.822083333333335,0.0358772422,21.79,21.79,21.79
2020-11-26,13.582916666666668,0.23821944,15.29,15.29,15.29
2020-11-27,18.04541666666667,0.1440425948,17.81,17.81,17.81
2020-11-28,21.204583333333336,0.048560105,10.36,10.36,10.36
2020-11-29,21.883750000000003,0.09004713,7.3,7.3,7.3
2020-11-30,25.43541666666667,-0.251741558,7.43,7.43,7.43
2020-12-01,26.146666666666665,0.1534142464,4.48,4.48,4.48
2020-12-02,32.53916666666666,0.0328056574,5.5,5.5,5.5
2020-12-03,25.125833333333333,-0.07739117,6.27,6.27,6.27
2020-12-04,28.913333333333327,0.169757262,16.16,16.16,16.16
2020-12-05,21.5325,-0.094871543,18.71,18.71,18.71
2020-12-06,38.03958333333333,-0.0003439799999999,18.94,18.94,18.94
2020-12-07,20.094583333333333,0.042551808,16.82,16.82,16.82
2020-12-08,30.27458333333333,0.0811887084,15.13,15.13,15.13
2020-12-09,29.315,0.222572267,22.5,22.5,22.5
2020-12-10,27.79083333333333,-0.0903534518,22.81,22.81,22.81
2020-12-11,21.600833333333338,-0.0717572488,15.86,15.86,15.86
2020-12-12,11.914166666666668,0.060000002,18.2,18.2,18.2
2020-12-13,11.6175,0.245093,11.76,11.76,11.76
2020-12-14,17.0025,0.176741257,12.32,12.32,12.32
2020-12-15,25.56124999999999,0.0264293572,12.78,12.78,12.78
2020-12-16,16.745416666666667,-0.0837638552,13.16,13.16,13.16
2020-12-17,16.486666666666668,0.0771536934,13.79,13.79,13.79
2020-12-18,16.827083333333334,0.0333285852,15.61,15.61,15.61
2020-12-19,13.959166666666665,-0.1755001886,23.03,23.03,23.03
2020-12-20,17.782083333333336,0.426642895,20.46,20.46,20.46
2020-12-21,20.743333333333336,-0.042216424,18.23,18.23,18.23
2020-12-22,17.132500000000004,0.0701038174,30.61,30.61,30.61
2020-12-23,25.797083333333333,-0.367174208,33.34,33.34,33.34
2020-12-24,19.54125,0.0251387494,18.45,18.45,18.45
2020-12-25,14.899583333333338,0.17157279,17.57,17.57,17.57
2020-12-26,16.404166666666665,0.1131455066,21.71,21.71,21.71
2020-12-27,14.107083333333334,0.569710553,37.36,37.36,37.36
2020-12-28,15.91541666666667,-0.072181456,17.76,17.76,17.76
2020-12-29,15.985,0.0707148923999999,16.51,16.51,16.51
2020-12-30,16.514999999999993,-0.204778299,15.22,15.22,15.22
2020-12-31,18.870000000000005,0.006986393,12.62,12.62,12.62
2021-01-01,27.339166666666657,-0.24783659,17.84,17.84,17.84
