date,open_SO2,sate_SO2,"DM College of Science, Imphal - Manipur PCB","Manipur University, Imphal - Manipur PCB"
2020-11-24,4.0675,-0.07,6.59,6.59
2020-11-25,5.83875,0.0249999985999999,9.12,9.12
2020-11-26,6.373750000000001,0.275000006,4.25,4.25
2020-11-27,10.639583333333333,-0.560000002,4.56,4.56
2020-11-28,11.0225,0.1289999902,8.91,8.91
2020-11-29,4.6375,-0.230000004,11.73,11.73
2020-11-30,6.555,0.1139999982,3.49,3.49
2020-12-01,8.746666666666668,0.049999997,8.71,8.71
2020-12-02,8.574583333333333,0.1339999996,12.0,12.0
2020-12-03,8.454166666666667,-0.0679999982,13.92,13.92
2020-12-04,6.672916666666667,-0.0789999932,14.59,14.59
2020-12-05,6.464166666666666,-0.159999996,14.76,14.76
2020-12-06,10.344583333333334,-0.25,14.65,14.65
2020-12-07,7.339166666666666,-0.1380000048,14.96,14.96
2020-12-08,9.513333333333334,-0.090000004,15.17,15.17
2020-12-09,10.548333333333332,-0.0940000026,15.3,15.3
2020-12-10,10.470833333333331,0.230000004,15.02,15.02
2020-12-11,9.034583333333332,0.3479999958,15.25,15.25
2020-12-12,7.169166666666666,0.219999999,15.74,15.74
2020-12-13,8.457916666666664,-0.415000021,15.78,15.78
2020-12-14,12.3725,-0.1939999972,15.81,15.81
2020-12-15,11.546666666666663,-0.239999995,16.11,16.11
2020-12-16,15.547916666666666,-1.600000014770342e-09,16.09,16.09
2020-12-17,8.57125,-0.005,16.03,16.03
2020-12-18,8.804999999999998,-0.1009999974,15.8,15.8
2020-12-19,8.086250000000001,-0.0339999982,15.79,15.79
2020-12-20,3.864166666666667,-0.0749999953999999,15.8,15.8
2020-12-21,5.829583333333332,-0.01,16.03,16.03
2020-12-22,8.27125,0.055,16.33,16.33
2020-12-23,5.570416666666666,0.1359999998,16.08,16.08
2020-12-24,7.245416666666668,-0.059999999,16.08,16.08
2020-12-25,11.862083333333336,-0.0960000022,16.14,16.14
2020-12-26,10.48125,-0.270000011,16.21,16.21
2020-12-27,9.317916666666669,0.0079999997999999,16.22,16.22
2020-12-28,12.068333333333332,0.050000001,16.19,16.19
2020-12-29,6.941666666666666,-0.370000005,16.23,16.23
2020-12-30,6.799583333333332,0.0949999897999999,16.8,16.8
2020-12-31,11.360000000000005,0.270000011,16.84,16.84
2021-01-01,9.845416666666663,-0.0660000046,16.56,16.56
2021-01-02,6.368333333333333,0.13499999,16.57,16.57
2021-01-03,6.053333333333334,0.0770000008,16.58,16.58
2021-01-04,11.283749999999998,0.1160000025999999,16.94,16.94
2021-01-05,16.46291666666667,0.0140000003999999,17.08,17.08
2021-01-06,7.737916666666667,-0.159999996,16.92,16.92
2021-01-07,10.137083333333331,-0.025000006,17.46,17.46
2021-01-08,14.51166666666667,-0.0659999966,17.16,17.16
2021-01-09,9.10125,0.61499995,16.94,16.94
2021-01-10,5.16625,0.0379999994,17.06,17.06
2021-01-11,9.373333333333331,-0.209999993,17.4,17.4
2021-01-12,9.3075,0.011999999,17.46,17.46
2021-01-13,11.135416666666664,0.0,16.84,16.84
2021-01-14,8.432083333333333,-0.089999996,17.11,17.11
2021-01-15,8.181666666666665,0.0399999891999999,17.27,17.27
2021-01-16,5.494583333333332,-0.1169999946,17.24,17.24
2021-01-17,2.64625,-0.0379999997999999,17.14,17.14
2021-01-18,9.485416666666666,0.07,17.31,17.31
2021-01-19,7.24625,-0.0190000006,17.35,17.35
2021-01-20,15.281249999999996,-0.0179999978,17.37,17.37
2021-01-21,10.924166666666666,0.2079999986,17.25,17.25
2021-01-22,4.522499999999999,-0.119999997,17.3,17.3
2021-01-23,5.454999999999999,-0.219999999,17.33,17.33
2021-01-24,8.86583333333333,-0.0560000026,17.62,17.62
2021-01-25,10.642083333333334,0.0,17.7,17.7
2021-01-26,9.191,0.1419999972,17.65,17.65
2021-01-27,2.98,0.150000006,17.62,17.62
2021-01-28,5.317083333333333,0.0280000009999999,17.82,17.82
2021-01-29,10.011250000000002,-0.304999977,18.05,18.05
2021-01-30,5.0216666666666665,0.439999998,17.96,17.96
2021-01-31,7.660833333333335,0.0019999995999999,17.78,17.78
2021-02-01,9.191666666666665,-0.389999986,17.87,17.87
2021-02-02,6.586250000000001,-0.0520000026,17.98,17.98
2021-02-03,5.8325,0.084999993,17.92,17.92
2021-02-04,5.05875,0.1279999982,18.05,18.05
2021-02-05,5.994583333333335,-0.054,18.5,18.5
2021-02-06,9.110833333333334,0.0070000011999999,18.69,18.69
2021-02-07,8.0425,0.0759999982,18.48,18.48
2021-02-08,7.188333333333333,0.689999998,18.13,18.13
2021-02-09,12.427083333333334,-0.0130000019999999,18.65,18.65
2021-02-10,13.068333333333332,-0.129999995,18.78,18.78
2021-02-11,13.767083333333332,0.0610000021999999,18.74,18.74
2021-02-12,13.079583333333334,0.330000013,18.95,18.95
2021-02-13,11.709999999999996,0.0369999959999999,18.97,18.97
2021-02-14,11.49875,0.234999999,18.96,18.96
2021-02-15,8.927916666666667,-0.195000008,19.1,19.1
2021-02-16,7.594166666666667,0.1169999904,19.03,19.03
2021-02-17,10.593750000000002,0.540000021,19.0,19.0
2021-02-18,5.917916666666669,-0.110000001,19.11,19.11
2021-02-19,4.555833333333333,0.1809999953999999,19.36,19.36
2021-02-20,7.97375,-0.0580000028,19.59,19.59
2021-02-21,8.267083333333334,0.1459999992,19.36,19.36
2021-02-22,8.659166666666666,0.1070000024,19.5,19.5
2021-02-23,9.782083333333333,0.959999979,19.43,19.43
2021-02-24,7.256666666666665,-0.074999996,19.37,19.37
2021-02-25,11.553333333333333,0.0029999992,19.68,19.68
2021-02-26,16.90208333333333,-0.1069999967999999,19.98,19.98
2021-02-27,13.063333333333334,0.1069999995999999,19.74,19.74
2021-02-28,9.0675,0.460000008,19.59,19.59
2021-03-01,9.641250000000005,0.1540000026,19.89,19.89
2021-03-02,10.394583333333337,-0.13499999,19.95,19.95
2021-03-03,12.568333333333335,0.1060000003999999,19.85,19.85
2021-03-04,8.93875,0.0959999917999999,19.82,19.82
2021-03-05,11.404583333333337,-0.0470000002,20.27,20.27
2021-03-06,5.9525,-0.0249999994,20.03,20.03
2021-03-07,8.67375,0.1169999999999999,19.81,19.81
2021-03-08,9.800416666666669,0.0480000011999999,20.2,20.2
2021-03-09,9.158333333333331,0.0260000002,20.23,20.23
2021-03-10,5.35125,0.0150000014,20.03,20.03
2021-03-11,8.661666666666667,0.230000004,20.15,20.15
2021-03-12,7.353333333333333,0.254999995,20.25,20.25
2021-03-13,6.427499999999999,-0.0339999982,20.54,20.54
2021-03-14,7.759565217391304,-0.239999995,20.46,20.46
2021-03-15,5.150000000000001,0.0929999976,20.7,20.7
2021-03-16,8.804583333333335,-0.090000004,20.69,20.69
2021-03-17,7.859583333333334,0.123999997,20.54,20.54
2021-03-18,9.811666666666667,-0.089999996,20.78,20.78
2021-03-19,8.887083333333333,-0.0379999994,20.51,20.51
2021-03-20,6.170416666666667,0.1229999904,20.61,20.61
2021-03-21,6.368750000000001,0.230000004,20.01,20.01
2021-03-22,7.524166666666667,-0.0479999984,20.1,20.1
2021-03-23,10.271666666666668,-0.055,20.53,20.53
2021-03-24,8.658333333333333,-0.0029999983999999,20.28,20.28
2021-03-25,9.431666666666665,-0.006000001,20.22,20.22
2021-03-26,6.534166666666668,0.800000012,20.44,20.44
2021-03-27,6.94958333333333,0.529999971,20.1,20.1
2021-03-28,7.40625,0.1610000006,20.13,20.13
2021-03-29,10.222083333333336,0.150000006,20.36,20.36
2021-03-30,5.627916666666667,0.03249625862743141,20.33,20.33
2021-03-31,6.110833333333335,0.1369999974,19.77,19.77
2021-04-01,11.302083333333334,0.01,20.11,20.11
2021-04-02,7.2575,0.1129999991999999,19.85,19.85
2021-04-03,7.226249999999999,0.089999996,20.13,20.13
2021-04-04,9.487916666666669,-0.25999999,20.1,20.1
2021-04-05,5.071666666666666,0.0490000018,20.15,20.15
2021-04-06,6.526666666666667,0.1339999992,20.15,20.15
2021-04-07,6.694166666666667,0.0209999994,20.27,20.27
2021-04-08,9.070416666666665,0.0890000059999999,20.6,20.6
2021-04-09,9.494583333333331,0.1859999997999999,20.37,20.37
2021-04-10,3.9616666666666656,0.1389999992,20.17,20.17
2021-04-11,9.359583333333337,-0.180000007,20.61,20.61
2021-04-12,7.73875,0.25999999,20.41,20.41
2021-04-13,7.514166666666668,0.155000001,20.43,20.43
2021-04-14,10.682083333333331,-0.064999998,20.4,20.4
2021-04-15,7.8325,0.01,20.51,20.51
2021-04-16,6.429583333333333,0.0239999994,20.71,20.71
2021-04-17,4.504583333333335,0.0100000012,20.82,20.82
2021-04-18,4.733333333333333,0.0459999977999999,20.82,20.82
2021-04-19,7.455416666666667,-0.330000013,20.83,20.83
2021-04-20,6.46041666666667,0.779999971,21.12,21.12
2021-04-21,8.49875,-0.090000004,21.29,21.29
2021-04-22,4.605833333333333,0.0559999972,21.75,21.75
2021-04-23,6.027500000000001,0.0259999998,21.88,21.88
2021-04-24,5.433333333333334,0.085000008,22.09,22.09
2021-04-25,4.765416666666667,0.0149999989999999,22.02,22.02
2021-04-26,6.672083333333334,-0.1079999984,21.71,21.71
2021-04-27,7.594999999999999,-0.109999999,22.02,22.02
2021-04-28,5.546250000000001,0.349999994,22.32,22.32
2021-04-29,7.329583333333336,-0.1100000043999999,22.25,22.25
2021-04-30,6.315,-0.0379999996,22.51,22.51
2021-05-01,5.330416666666667,0.01,22.01,22.01
2021-05-02,5.620416666666666,0.0719999998,21.66,21.66
2021-05-03,5.223333333333334,0.037999999,21.66,21.66
2021-05-04,8.225416666666666,0.0679999984,21.84,21.84
2021-05-05,7.56625,0.109999999,21.73,21.73
2021-05-06,4.776666666666666,0.0820000024,21.58,21.58
2021-05-07,5.099166666666666,0.0,21.72,21.72
2021-05-08,6.559583333333332,0.0460000008,21.91,21.91
2021-05-09,3.06125,0.0820000008,21.94,21.94
2021-05-10,6.665833333333333,0.0059999995999999,22.01,22.01
2021-05-11,4.296250000000001,-0.0520000001999999,21.93,21.93
2021-05-12,4.495833333333335,0.0299999986,21.89,21.89
2021-05-13,5.513749999999999,0.1090000062,22.03,22.03
2021-05-14,4.303333333333334,-0.0669999998,21.84,21.84
2021-05-15,4.2125,0.0670000024,22.15,22.15
2021-05-16,5.0225,0.2509999944,22.74,22.74
2021-05-17,8.565,-0.107999998,22.38,22.38
2021-05-18,4.0375000000000005,0.0999999989999999,22.47,22.47
2021-05-19,3.790000000000001,0.1149999967999999,22.29,22.29
2021-05-20,4.1275,-0.0360000039999999,22.45,22.45
2021-05-21,5.074583333333332,-0.2030000002,22.81,22.81
2021-05-22,4.209583333333334,-0.059999999,23.29,23.29
2021-05-23,2.2150000000000003,-0.07,22.95,22.95
2021-05-24,1.3612499999999998,0.0189999982,22.76,22.76
2021-05-25,1.1545833333333333,0.0260000006,22.57,22.57
2021-05-26,1.7354166666666666,0.0009999998,22.93,22.93
2021-05-27,4.107083333333335,0.0379999984,22.68,22.68
2021-05-28,5.614166666666666,-0.1980000004,22.8,22.8
2021-05-29,5.300833333333333,0.1320000024,22.61,22.61
2021-05-30,3.3204166666666666,-0.0219999998,22.62,22.62
2021-05-31,4.045416666666667,0.0379999994,23.38,23.38
2021-06-01,3.2954166666666667,-0.0139999994,23.5,23.5
2021-06-02,4.47,-0.2539999972,22.87,22.87
2021-06-03,4.364583333333333,-0.0930000006,22.9,22.9
2021-06-04,3.905833333333333,0.018999999,23.09,23.09
2021-06-05,3.06625,-0.0149999918,23.04,23.04
2021-06-06,4.6000000000000005,0.0359999984,23.15,23.15
2021-06-07,4.35,-0.0919999956,23.36,23.36
2021-06-08,4.58875,-0.0410000008,23.31,23.31
2021-06-09,3.841249999999999,-0.0360000036,23.47,23.47
2021-06-10,3.1695833333333336,-0.0489999978,23.02,23.02
2021-06-11,2.082083333333333,-0.0040000006,23.22,23.22
2021-06-12,1.0841666666666665,-0.023999999,23.39,23.39
2021-06-13,2.137083333333333,-0.0120000002,23.48,23.48
2021-06-14,5.184166666666667,-0.1389999978,23.11,23.11
2021-06-15,2.870833333333333,-0.024999998,23.54,23.54
2021-06-16,1.9145833333333335,0.1839999982,23.84,23.84
2021-06-17,1.6550000000000002,0.0769999986,23.66,23.66
2021-06-18,3.424583333333333,-0.049000001,23.76,23.76
2021-06-19,3.9658333333333338,0.0609999976,23.89,23.89
2021-06-20,3.765,0.0339999998,23.78,23.78
2021-06-21,5.4675,0.05,23.92,23.92
2021-06-22,5.346666666666667,-0.075000001,23.93,23.93
2021-06-23,3.884166666666667,0.189999998,24.07,24.07
2021-06-24,3.955000000000001,0.1060000032,23.73,23.73
2021-06-25,3.3025000000000007,-0.0340000006,24.51,24.51
2021-06-26,2.8783333333333334,-0.0680000006,25.84,25.84
2021-06-27,2.6116666666666664,0.01,25.93,25.93
2021-06-28,2.614166666666667,-0.0550000004,24.86,24.86
2021-06-29,3.299583333333333,0.021999999,24.09,24.09
2021-06-30,3.14875,0.0019999986,24.29,24.29
2021-07-01,4.265833333333334,0.0159999974,24.39,24.39
2021-07-02,4.2525,0.1759999998,24.41,24.41
2021-07-03,2.9925,-0.0120000003999999,25.33,25.33
2021-07-04,3.2691666666666666,0.0539999998,25.76,25.76
2021-07-05,3.7379166666666666,-0.067000001,25.51,25.51
2021-07-06,3.755833333333334,0.0209999987999999,24.91,24.91
2021-07-07,4.840833333333333,-0.0079999998,25.63,25.63
2021-07-08,5.873333333333334,-0.0840000019999999,25.31,25.31
2021-07-09,2.928333333333334,-0.0580000016,25.32,25.32
2021-07-10,1.83875,0.0209999999999999,25.59,25.59
2021-07-11,2.0629166666666667,0.119999997,25.44,25.44
2021-07-12,2.4575000000000005,0.0359999939999999,26.26,26.26
2021-07-13,4.2004166666666665,0.0869999986,25.76,25.76
2021-07-14,5.039583333333334,0.0230000034,25.79,25.79
2021-07-15,3.670416666666668,0.0219999996,26.25,26.25
2021-07-16,3.9987500000000007,0.1719999967999999,25.72,25.72
2021-07-17,3.077916666666667,0.1429999975999999,25.47,25.47
2021-07-18,3.633333333333334,-0.1210000015999999,25.8,25.8
2021-07-19,4.331666666666666,0.082999996,25.92,25.92
2021-07-20,5.357500000000001,0.2209999942,26.21,26.21
2021-07-21,2.87875,0.1230000015999999,26.41,26.41
2021-07-22,1.3925,0.0289999992,26.21,26.21
2021-07-23,4.014166666666667,-0.1829999984,25.83,25.83
2021-07-24,3.162083333333333,-0.047,25.84,25.84
2021-07-25,3.761249999999999,0.1289999988,25.93,25.93
2021-07-26,2.56875,0.0290000035999999,26.17,26.17
2021-07-27,1.5312499999999998,0.0189999994,26.3,26.3
2021-07-28,1.82625,-0.026,26.45,26.45
2021-07-29,1.9695833333333332,-0.0080000004,26.47,26.47
2021-07-30,4.4245833333333335,0.1569999934,26.26,26.26
2021-07-31,3.3779166666666662,0.018999999,27.11,27.11
2021-08-01,3.847083333333334,-0.030000002,26.29,26.29
2021-08-02,5.988333333333332,0.1489999964,26.41,26.41
2021-08-03,2.4170833333333337,-0.1060000018,26.33,26.33
2021-08-04,2.049166666666667,0.129999995,26.35,26.35
2021-08-05,2.8800000000000003,0.0729999996,26.62,26.62
2021-08-06,3.759166666666667,0.0190000002,26.33,26.33
2021-08-07,3.213333333333333,0.0160000017999999,26.46,26.46
2021-08-08,2.8662500000000004,0.0159999984,26.35,26.35
2021-08-09,3.56625,0.012999995,26.38,26.38
