date,open_SO2,sate_SO2,"Solapur, Solapur - MPCB"
2020-11-24,10.8625,0.18928428,14.8
2020-11-25,7.526666666666666,0.0526381952,25.53
2020-11-26,4.802083333333334,0.0068397508,25.13
2020-11-27,6.147916666666667,-0.0546698319999999,4.89
2020-11-28,3.4250000000000003,0.0673695527999999,5.08
2020-11-29,3.2591666666666668,-0.092149722,7.84
2020-11-30,4.2875,0.0422442572,9.43
2020-12-01,6.94875,-0.137641028,8.99
2020-12-02,4.398750000000001,0.0461012026,15.56
2020-12-03,5.970416666666668,0.046872646,16.14
2020-12-04,6.107083333333333,-0.0508995264,7.76
2020-12-05,5.295416666666666,0.229544729,5.67
2020-12-06,4.404166666666665,-0.078893177,6.73
2020-12-07,4.0200000000000005,-0.047129516,4.84
2020-12-08,7.069166666666668,0.091889881,4.11
2020-12-09,6.535,-0.149040252,4.8
2020-12-10,8.84458333333333,-0.082269043,6.71
2020-12-11,9.796666666666669,0.1137079715999999,7.22
2020-12-12,10.718333333333332,0.025580091,3.89
2020-12-13,8.355833333333333,0.0259534554,3.87
2020-12-14,9.407916666666669,-0.0036712259999999,4.75
2020-12-15,8.34375,-0.018085623,4.5
2020-12-16,6.0675,-0.227160946,4.43
2020-12-17,4.508333333333333,0.0374204,4.71
2020-12-18,7.673333333333335,0.0478359226,4.53
2020-12-19,6.250416666666666,0.00099688,4.67
2020-12-20,6.208749999999999,0.0210451796,4.64
2020-12-21,8.967083333333333,-0.203651145,4.81
2020-12-22,7.778750000000001,0.1324907662,5.05
2020-12-23,9.31166666666667,-0.322879761,5.6
2020-12-24,6.530416666666667,-0.097195074,4.73
2020-12-25,6.749583333333334,-0.333526433,3.64
2020-12-26,7.98791666666667,-0.037786882,7.99
2020-12-27,7.070833333333333,0.1364930498,16.54
2020-12-28,7.097916666666666,0.176187709,9.87
2020-12-29,7.674583333333333,0.0356286014,10.46
2020-12-30,7.233333333333333,-0.0191305342,12.56
2020-12-31,8.44,0.056703206,11.35
2021-01-01,7.203749999999999,0.335823506,9.23
2021-01-02,7.031249999999999,0.108545393,10.22
2021-01-03,6.245416666666666,0.1734639358,9.33
2021-01-04,6.4375,0.270000011,9.29
2021-01-05,5.96625,0.1244838101999999,9.27
2021-01-06,3.672916666666667,0.0269336746,9.2
2021-01-07,3.6491666666666673,0.1244000907999999,9.58
2021-01-08,5.667500000000001,0.0357797183999999,9.49
2021-01-09,3.953749999999999,-0.0409350298,15.95
2021-01-10,3.5149999999999992,0.07748463,12.47
2021-01-11,3.852500000000001,0.034465659,7.49
2021-01-12,5.142083333333333,0.13558058,6.82
2021-01-13,5.262916666666667,-0.023826344,8.76
2021-01-14,7.392083333333333,0.0151561565999999,9.69
2021-01-15,6.022500000000001,0.0089398704,9.57
2021-01-16,6.99125,0.130763575,9.36
2021-01-17,5.864583333333332,0.005079374,9.42
2021-01-18,6.6554166666666665,-0.023876179,9.31
2021-01-19,6.397500000000001,0.050062023,9.69
2021-01-20,9.607499999999998,0.048985027,9.0
2021-01-21,8.308333333333335,0.0358392184,6.81
2021-01-22,8.69625,-0.860062838,8.39
2021-01-23,4.672499999999999,0.1503482975999999,8.58
2021-01-24,7.076666666666667,-0.221592695,8.25
2021-01-25,8.025416666666665,-0.037526283,11.1
2021-01-26,12.4495,0.550177157,13.41
2021-01-27,6.825,0.120813705,11.69
2021-01-28,5.4375,0.0391392574,13.76
2021-01-29,4.941250000000001,0.0936918545999999,13.25
2021-01-30,5.144583333333334,0.1381551124,14.59
2021-01-31,6.495833333333334,0.0452514926,13.95
2021-02-01,5.457916666666667,0.119672224,12.37
2021-02-02,10.59,0.148584992,14.4
2021-02-03,9.74375,0.067590646,13.35
2021-02-04,10.187499999999998,-0.0351809243999999,9.08
2021-02-05,8.6975,0.105685107,9.24
2021-02-06,9.430833333333332,0.0721836776,18.07
