date,open_NO2,sate_NO2,"Civil Line, Jalandhar - PPCB"
2021-03-31,11.132916666666668,5689650000000000.0,19.0
2021-04-01,9.0375,5005730000000000.0,21.49
2021-04-02,27.10208333333333,5274550000000000.0,20.87
2021-04-03,23.115833333333335,5696440000000000.0,16.75
2021-04-04,7.25125,-532856000000000.0,42.18
2021-04-05,10.459166666666668,4710600000000000.0,105.85
2021-04-06,5.379999999999999,5646478000000000.0,0.94
2021-04-07,10.924583333333333,6274830000000000.0,13.87
2021-04-08,18.05583333333333,4319180000000000.0,16.71
2021-04-09,15.713750000000005,6538820000000000.0,18.41
2021-04-10,11.840416666666668,5730300000000000.0,12.41
2021-04-11,14.167916666666668,7425760000000000.0,14.16
2021-04-12,25.223333333333333,4893940000000000.0,12.83
2021-04-13,9.968333333333332,6709556000000000.0,13.84
2021-04-14,16.759166666666665,7220000000000000.0,18.39
2021-04-15,14.687916666666666,5414392000000000.0,17.53
2021-04-16,6.965416666666665,8818060000000000.0,17.56
2021-04-17,11.394583333333332,7376480000000000.0,35.75
2021-04-18,16.52,6537220000000000.0,39.07
2021-04-19,19.695416666666663,5912880000000000.0,34.72
2021-04-20,8.660416666666668,8409840000000000.0,28.37
2021-04-21,8.302916666666667,4891180000000000.0,17.6
2021-04-22,11.753750000000002,4730356000000000.0,8.46
2021-04-23,14.766666666666667,6446510000000000.0,13.9
2021-04-24,28.21041666666667,3684020000000000.0,21.21
2021-04-25,24.675,6653530000000000.0,27.31
2021-04-26,24.328333333333333,5649460000000000.0,25.13
2021-04-27,19.025416666666665,7736760000000000.0,26.69
2021-04-28,30.17583333333333,8030640000000000.0,22.38
2021-04-29,25.55875,7889540000000000.0,19.59
2021-04-30,24.543750000000003,7711210000000000.0,14.37
2021-05-01,13.072916666666664,5420812000000000.0,14.38
2021-05-02,14.500833333333333,9392640000000000.0,14.43
2021-05-03,16.548333333333336,8971680000000000.0,15.97
2021-05-04,15.580416666666665,1.02e+16,14.9
2021-05-05,18.796666666666667,6320770000000000.0,15.08
2021-05-06,13.999166666666666,134848000000000.0,15.03
2021-05-07,16.212083333333336,6926270000000000.0,20.52
2021-05-08,17.999166666666664,6632496000000000.0,24.57
2021-05-09,19.7725,1.09e+16,25.71
2021-05-10,13.28541666666667,7905500000000000.0,23.47
2021-05-11,27.203333333333333,1.17e+16,20.28
2021-05-12,18.129583333333333,7135616000000000.0,20.38
2021-05-13,14.56125,5793140000000000.0,21.44
2021-05-14,18.425833333333333,7056580000000000.0,20.12
2021-05-15,14.825000000000005,5863834000000000.0,20.76
2021-05-16,12.827916666666669,9688780000000000.0,19.1
2021-05-17,24.359583333333337,4788464600000000.0,19.15
2021-05-18,9.233333333333334,9116650000000000.0,20.49
2021-05-19,10.789583333333333,6843238000000000.0,18.68
2021-05-20,16.100833333333338,1.13e+16,16.52
2021-05-21,18.08833333333333,7528980000000000.0,15.28
2021-05-22,25.362916666666663,6179400000000000.0,17.48
2021-05-23,9.2525,7528680000000000.0,18.89
2021-05-24,15.422916666666666,4636644600000000.0,17.02
2021-05-25,28.1225,9322150000000000.0,14.57
2021-05-26,30.824583333333337,7825830000000000.0,7.81
2021-05-27,17.39875,1e+16,7.91
2021-05-28,15.544166666666673,9551130000000000.0,12.12
2021-05-29,7.322083333333335,8713030000000000.0,14.8
2021-05-30,12.632083333333334,9325270000000000.0,10.38
2021-05-31,9.459583333333336,5802112000000000.0,17.89
2021-06-01,19.58,8572790000000000.0,20.24
2021-06-02,18.8,6839204000000000.0,12.34
2021-06-03,28.147916666666664,6751140000000000.0,10.57
2021-06-04,12.094166666666666,8785440000000000.0,6.96
2021-06-05,13.899166666666666,6747850000000000.0,6.82
2021-06-06,28.41583333333333,7807930000000000.0,5.1
2021-06-07,12.394166666666669,2731650000000000.0,8.73
2021-06-08,19.38833333333333,7328210000000000.0,10.12
2021-06-09,19.43625,4912614000000000.0,6.43
2021-06-10,6.010416666666665,7669950000000000.0,7.35
2021-06-11,5.443333333333334,7805010000000000.0,6.68
2021-06-12,6.290833333333333,9624130000000000.0,6.6
2021-06-13,5.746666666666666,9075060000000000.0,12.45
2021-06-14,12.327083333333333,8751530000000000.0,11.76
2021-06-15,13.704999999999998,1.42e+16,9.92
2021-06-16,10.769583333333337,6678132000000000.0,14.06
2021-06-17,10.004583333333334,7270070000000000.0,15.15
2021-06-18,10.47375,5475680000000000.0,14.72
2021-06-19,6.066249999999999,9360210000000000.0,14.33
2021-06-20,7.963333333333334,7073530000000000.0,14.72
2021-06-21,22.100000000000005,8151350000000000.0,12.48
2021-06-22,22.3325,8027100000000000.0,10.17
2021-06-23,17.08375,5954480000000000.0,9.91
2021-06-24,18.5775,7539050000000000.0,12.47
2021-06-25,17.614166666666666,6429020000000000.0,7.81
2021-06-26,21.52083333333333,8162090000000000.0,18.3
2021-06-27,17.928749999999997,7733180000000000.0,28.43
2021-06-28,15.4525,8736490000000000.0,37.56
2021-06-29,11.61375,1.06e+16,23.96
2021-06-30,8.77875,6959930000000000.0,10.81
2021-07-01,17.323333333333334,6516170000000000.0,16.33
2021-07-02,19.25166666666666,5613862000000000.0,17.78
2021-07-03,21.16166666666667,7506160000000000.0,27.07
2021-07-04,11.9625,7018996000000000.0,39.23
2021-07-05,16.78666666666667,7689470000000000.0,48.32
2021-07-06,17.42375,8802460000000000.0,26.12
2021-07-07,22.866666666666664,6853710000000000.0,32.37
2021-07-08,11.565,7732000000000000.0,24.44
2021-07-09,7.857083333333333,3185710000000000.0,15.07
2021-07-10,5.744583333333334,6450490000000000.0,16.77
2021-07-11,5.586666666666667,6228608000000000.0,14.44
2021-07-12,6.882500000000001,6467952000000000.0,16.99
2021-07-13,10.870833333333335,5688320000000000.0,16.5
2021-07-14,10.439999999999996,8772830000000000.0,13.84
2021-07-15,9.572083333333332,5697450000000000.0,15.01
2021-07-16,13.752083333333331,5975650000000000.0,13.68
2021-07-17,7.088333333333334,6260610000000000.0,6.72
2021-07-18,8.534999999999998,6242260000000000.0,12.7
2021-07-19,16.208333333333332,6075564000000000.0,13.19
2021-07-20,10.89583333333333,5616276000000000.0,12.66
2021-07-21,12.79958333333333,5670770000000000.0,34.97
2021-07-22,10.054166666666667,5125880000000000.0,20.76
2021-07-23,14.060416666666669,6489240000000000.0,12.98
2021-07-24,9.0825,5773950000000000.0,6.47
2021-07-25,8.209583333333333,-2136300000000000.0,5.25
2021-07-26,10.421666666666669,5232320000000000.0,12.41
2021-07-27,10.16375,7336568000000000.0,23.01
2021-07-28,14.316249999999998,6133586000000000.0,13.19
2021-07-29,12.010416666666666,5364710000000000.0,8.47
2021-07-30,9.4125,6057140000000000.0,9.52
2021-07-31,10.739166666666664,3918280000000000.0,11.95
2021-08-01,9.35875,5161820000000000.0,7.04
2021-08-02,10.33,5762590000000000.0,14.17
2021-08-03,15.005833333333332,6118488000000000.0,18.28
2021-08-04,10.657083333333333,5084990000000000.0,12.4
2021-08-05,12.447499999999998,5960938000000000.0,7.44
2021-08-06,14.901666666666666,5511120000000000.0,10.01
2021-08-07,10.325,5679590000000000.0,12.01
2021-08-08,11.631666666666668,5981170000000000.0,5.08
2021-08-09,10.174583333333333,5262822000000000.0,14.9
2021-08-10,9.553333333333333,1503650000000000.0,11.19
2021-08-11,9.955,6478060000000000.0,11.95
2021-08-12,7.889583333333334,4677450000000000.0,10.85
2021-08-13,8.380416666666667,6375440000000000.0,11.59
2021-08-14,8.142916666666666,5336760000000000.0,8.95
2021-08-15,11.274166666666668,6067710000000000.0,12.44
2021-08-16,11.739583333333334,6111810000000000.0,8.72
2021-08-17,12.338333333333336,7042590000000000.0,7.59
2021-08-18,14.073333333333332,6726580000000000.0,6.82
2021-08-19,9.704166666666666,6923934000000000.0,14.07
2021-08-20,9.18,5565040000000000.0,13.88
2021-08-21,7.983333333333333,7337252000000000.0,8.03
2021-08-22,11.562083333333334,6840414000000000.0,17.42
2021-08-23,13.13,5242370000000000.0,14.55
2021-08-24,8.217500000000001,6024180000000000.0,16.56
2021-08-25,12.653333333333334,5356130000000000.0,15.61
2021-08-26,9.000833333333333,589853000000000.0,10.56
2021-08-27,9.131249999999998,5570170000000000.0,6.29
2021-08-28,6.320416666666668,5307086000000000.0,9.8
2021-08-29,10.362083333333333,6166720000000000.0,14.24
2021-08-30,14.585833333333332,5545190000000000.0,9.87
2021-08-31,9.432083333333336,5669290000000000.0,12.72
2021-09-01,13.714583333333332,5497580000000000.0,11.59
2021-09-02,17.794166666666673,7262070000000000.0,10.11
2021-09-03,16.96041666666667,5637702000000000.0,12.99
2021-09-04,12.079166666666666,6914960000000000.0,10.25
2021-09-05,17.34625,5999130000000000.0,18.17
2021-09-06,13.85,6186206000000000.0,15.84
2021-09-07,9.587083333333334,5706330000000000.0,11.5
2021-09-08,13.8225,7183460000000000.0,11.6
2021-09-09,12.000416666666665,6106824000000000.0,13.53
2021-09-10,15.119583333333336,7477918000000000.0,13.45
2021-09-11,9.35125,5797448000000000.0,7.69
2021-09-12,12.303333333333333,5373440000000000.0,4.52
2021-09-13,13.952083333333334,5167414000000000.0,6.89
2021-09-14,12.785833333333333,5739360000000000.0,8.32
2021-09-15,14.500416666666666,3960440000000000.0,9.28
2021-09-16,19.49208333333333,4053420000000000.0,7.75
2021-09-17,19.516250000000003,6715550000000000.0,7.17
2021-09-18,16.612083333333334,9522130000000000.0,5.95
2021-09-19,15.45375,5625180000000000.0,7.46
2021-09-20,10.538333333333332,5540072000000000.0,10.35
2021-09-21,11.72166666666667,6956120000000000.0,11.2
2021-09-22,12.594583333333333,6346468000000000.0,9.58
2021-09-23,16.264166666666668,6230724000000000.0,9.43
2021-09-24,19.876666666666665,3186030000000000.0,12.65
2021-09-25,20.975,5395874000000000.0,14.74
2021-09-26,14.705416666666665,5545090000000000.0,17.67
2021-09-27,22.300833333333333,6257834000000000.0,12.5
2021-09-28,22.103333333333328,4619850000000000.0,16.55
2021-09-29,16.190416666666664,6864382000000000.0,15.12
2021-09-30,18.025833333333328,6026770000000000.0,17.14
2021-10-01,10.339166666666666,4576240000000000.0,15.37
2021-10-02,17.71666666666667,5404410000000000.0,13.43
2021-10-03,15.62,5665140000000000.0,9.38
2021-10-04,18.247083333333336,6096400000000000.0,13.78
2021-10-05,22.323333333333327,5946820000000000.0,15.09
2021-10-06,30.69125,6956068000000000.0,17.15
2021-10-07,23.06416666666667,7338830000000000.0,22.13
2021-10-08,20.647916666666664,6944994000000000.0,29.91
2021-10-09,15.109166666666669,7660590000000000.0,25.66
2021-10-10,12.876666666666669,4046740000000000.0,13.12
2021-10-11,20.230416666666667,6564898000000000.0,16.54
2021-10-12,39.765,6555010000000000.0,23.7
2021-10-13,34.68625000000001,7101100000000000.0,17.53
2021-10-14,29.269583333333333,6273040000000000.0,28.94
2021-10-15,41.25375,5380062000000000.0,16.67
2021-10-16,32.79583333333333,5895450000000000.0,27.38
2021-10-17,8.441666666666665,4844670000000000.0,11.76
2021-10-18,19.74041666666667,6864954000000000.0,17.82
2021-10-19,35.54833333333333,9061370000000000.0,21.34
2021-10-20,34.28041666666666,6873512000000000.0,31.92
2021-10-21,34.322916666666664,1.01e+16,34.58
2021-10-22,15.864166666666668,5757220000000000.0,20.98
2021-10-23,6.479583333333333,6071080000000000.0,16.29
2021-10-24,16.58083333333333,5025162000000000.0,9.8
2021-10-25,19.412916666666664,6073890000000000.0,21.75
2021-10-26,41.1975,5111870000000000.0,24.12
2021-10-27,28.918333333333337,9377022000000000.0,40.0
2021-10-28,38.68958333333333,9503650000000000.0,28.9
2021-10-29,33.8225,6986338000000000.0,39.75
2021-10-30,29.575,6842230000000000.0,45.76
2021-10-31,28.887500000000003,3477588000000000.0,52.94
2021-11-01,12.24875,1e+16,32.15
2021-11-02,7.99125,1.34e+16,29.46
2021-11-03,34.6925,5302200000000000.0,35.76
2021-11-04,48.563750000000006,1.16e+16,46.24
2021-11-05,43.494166666666665,8323034000000000.0,45.1
2021-11-06,34.86208333333333,1.08e+16,37.88
2021-11-07,36.4516,6310834000000000.0,44.55
2021-11-08,24.74833333333334,9172790000000000.0,55.36
2021-11-09,48.85291666666665,6996642000000000.0,48.59
2021-11-10,37.04291666666666,8034860000000000.0,49.46
2021-11-11,40.52,1.01e+16,61.99
2021-11-12,43.40958333333334,5591358000000000.0,53.61
2021-11-13,39.90375,7846020000000000.0,56.28
2021-11-14,37.134166666666665,6796432000000000.0,47.1
2021-11-15,37.755,5889730000000000.0,68.92
2021-11-16,45.169166666666655,4853546000000000.0,64.99
2021-11-17,45.17541666666667,6260770000000000.0,60.09
2021-11-18,50.38208333333333,6733980000000000.0,57.68
2021-11-19,48.81,4257970000000000.0,64.9
2021-11-20,40.934583333333336,8593830000000000.0,66.83
2021-11-21,24.370833333333337,5556422000000000.0,54.52
2021-11-22,45.95958333333332,7895820000000000.0,59.19
2021-11-23,58.84125000000001,5865632000000000.0,69.04
2021-11-24,29.024583333333325,8091060000000000.0,51.56
2021-11-25,39.16333333333333,5983762000000000.0,41.13
2021-11-26,44.6475,7583170000000000.0,40.11
2021-11-27,46.24583333333334,1e+16,36.87
2021-11-28,35.769166666666656,5929280000000000.0,34.67
2021-11-29,22.802916666666665,7482010000000000.0,32.35
2021-11-30,48.692083333333336,5770582000000000.0,27.56
2021-12-01,42.3025,5668690000000000.0,35.28
2021-12-02,56.80666666666665,6618452000000000.0,27.41
2021-12-03,29.64291666666668,6490610000000000.0,22.21
2021-12-04,40.78,4739800000000000.0,23.94
2021-12-05,16.440416666666668,6084594000000000.0,21.32
2021-12-06,27.83625,6711510000000000.0,18.33
2021-12-07,37.900000000000006,6566888000000000.0,18.05
2021-12-08,49.63499999999999,8876190000000000.0,17.95
2021-12-09,48.94458333333333,5615138000000000.0,22.76
2021-12-10,40.62500000000001,6877310000000000.0,18.44
2021-12-11,46.81791666666666,4074598000000000.0,23.9
2021-12-12,48.78916666666666,9895680000000000.0,21.07
2021-12-13,44.35875000000001,1.15e+16,15.77
2021-12-14,50.45999999999999,7106276000000000.0,18.45
2021-12-15,46.49541666666666,7249380000000000.0,19.04
2021-12-16,29.85166666666667,6284642000000000.0,13.18
2021-12-17,32.57,4800250000000000.0,11.66
2021-12-18,33.11249999999999,6202820000000000.0,21.38
2021-12-19,38.36000000000001,7758480000000000.0,23.77
2021-12-20,54.32875000000001,9197720000000000.0,19.68
2021-12-21,52.476250000000014,4488640000000000.0,21.99
2021-12-22,48.23208333333333,1.18e+16,18.72
2021-12-23,44.026250000000005,6284432000000000.0,21.33
2021-12-24,56.739583333333336,9993380000000000.0,16.4
2021-12-25,41.376250000000006,6175656000000000.0,17.51
2021-12-26,32.26,7859534000000000.0,31.71
2021-12-27,36.645833333333336,4284862000000000.0,21.91
2021-12-28,39.44291666666666,9253530000000000.0,16.49
2021-12-29,42.7875,8000150000000000.0,14.07
2021-12-30,46.22416666666666,4794702000000000.0,21.72
2021-12-31,51.35583333333333,8327930000000000.0,23.37
