date,open_NO2,sate_NO2,"Civil Line, Jalandhar - PPCB"
2020-11-24,34.27250000000001,8809930000000000.0,18.4
2020-11-25,29.718333333333334,6373522000000000.0,11.9
2020-11-26,29.61916666666666,8191890000000000.0,9.18
2020-11-27,20.27208333333333,4919056000000000.0,8.77
2020-11-28,45.348333333333336,6179580000000000.0,6.02
2020-11-29,42.35125000000001,5790484000000000.0,9.43
2020-11-30,35.31958333333334,6832500000000000.0,9.86
2020-12-01,47.14875,8015880000000000.0,8.14
2020-12-02,52.45,3761620000000000.0,9.24
2020-12-03,36.77166666666667,1.4e+16,20.0
2020-12-04,23.77875,6410222000000000.0,19.06
2020-12-05,22.124166666666667,1.03e+16,18.56
2020-12-06,33.34916666666667,6834048000000000.0,18.57
2020-12-07,42.07708333333333,6092470000000000.0,16.84
2020-12-08,42.884583333333325,6435344000000000.0,18.67
2020-12-09,20.30708333333333,7136654000000000.0,16.46
2020-12-10,29.73958333333334,5600820000000000.0,15.28
2020-12-11,29.06083333333334,5751392000000000.0,19.07
2020-12-12,24.53125,7999980000000000.0,17.13
2020-12-13,31.70124999999999,6858322000000000.0,16.69
2020-12-14,39.019166666666656,5934636000000000.0,20.06
2020-12-15,23.324583333333333,3936822000000000.0,23.66
2020-12-16,25.19,3924190000000000.0,19.0
2020-12-17,35.943749999999994,8583030000000000.0,17.62
2020-12-18,46.45708333333334,3302400000000000.0,19.71
2020-12-19,26.15875,7407060000000000.0,15.73
2020-12-20,23.777083333333337,4988216000000000.0,17.06
2020-12-21,47.64666666666668,1.09e+16,21.68
2020-12-22,48.83916666666665,6297918000000000.0,21.6
2020-12-23,45.38208333333333,6025200000000000.0,16.27
2020-12-24,44.31875,5192726000000000.0,17.7
2020-12-25,39.21083333333335,5854490000000000.0,15.68
2020-12-26,31.82,5481160000000000.0,16.06
2020-12-27,17.704166666666673,6578726000000000.0,19.57
2020-12-28,46.68833333333333,5657760000000000.0,17.45
2020-12-29,28.61375,6021268000000000.0,18.13
2020-12-30,46.83958333333333,7913940000000000.0,23.16
2020-12-31,42.26208333333333,4518016000000000.0,19.84
2021-01-01,48.41791666666668,5284960000000000.0,20.38
2021-01-02,30.01875,3608922000000000.0,17.78
2021-01-03,14.037916666666668,7146892000000000.0,23.17
2021-01-04,15.072499999999996,7941930000000000.0,24.37
2021-01-05,11.871250000000002,5771834000000000.0,26.57
2021-01-06,31.110000000000003,5251152000000000.0,20.13
2021-01-07,32.02,6483938000000000.0,20.3
2021-01-08,37.594583333333325,5385110000000000.0,25.5
2021-01-09,19.867500000000003,5484070000000000.0,25.94
2021-01-10,22.1025,7720160000000000.0,32.67
2021-01-11,29.86833333333333,6001450000000000.0,23.43
2021-01-12,33.69541666666667,4712446000000000.0,21.22
2021-01-13,33.9275,5970150000000000.0,23.18
2021-01-14,52.77249999999999,6849862000000000.0,25.91
2021-01-15,46.78875,5437170000000000.0,26.7
2021-01-16,18.45416666666667,7594148000000000.0,24.14
2021-01-17,18.03708333333333,6661280000000000.0,9.9
2021-01-18,32.66291666666667,4094600000000000.0,12.14
2021-01-19,21.82041666666667,3244630000000000.0,23.52
2021-01-20,31.70875,1.3e+16,23.85
2021-01-21,31.48625,6231208000000000.0,24.72
2021-01-22,12.495833333333335,7080026000000000.0,19.52
2021-01-23,16.53708333333334,6179356000000000.0,22.79
2021-01-24,19.8725,7677120000000000.0,17.03
2021-01-25,34.944583333333334,5101524000000000.0,17.07
2021-01-26,33.1865,6742510000000000.0,42.92
2021-01-27,30.5025,5706550000000000.0,19.65
2021-01-28,40.03541666666666,5878842000000000.0,22.08
2021-01-29,31.61875000000001,7853190000000000.0,20.55
2021-01-30,35.193749999999994,5453138000000000.0,17.42
2021-01-31,25.32625,6778100000000000.0,81.92
2021-02-01,32.8225,6273492000000000.0,69.36
2021-02-02,34.49333333333333,5506480000000000.0,9.21
2021-02-03,22.656666666666663,6026770000000000.0,13.12
2021-02-04,22.370416666666667,8049798000000000.0,13.3
2021-02-05,24.835416666666664,5910170000000000.0,13.92
2021-02-06,23.635416666666668,6436048000000000.0,15.05
2021-02-07,31.675,6025780000000000.0,18.73
2021-02-08,32.13875,4365776000000000.0,26.7
2021-02-09,22.69541666666667,6010930000000000.0,24.26
2021-02-10,30.140833333333333,6662646000000000.0,17.24
2021-02-11,26.81583333333333,7931960000000000.0,18.27
2021-02-12,33.34916666666667,5652390000000000.0,19.81
2021-02-13,25.321666666666676,7273724000000000.0,20.04
2021-02-14,19.460416666666664,6295820000000000.0,21.97
2021-02-15,27.93625,7287770000000000.0,19.0
2021-02-16,24.3625,5100860000000000.0,17.47
2021-02-17,27.655416666666667,5712776000000000.0,17.24
2021-02-18,24.105833333333333,5822130000000000.0,18.17
2021-02-19,23.771666666666672,5531820000000000.0,16.35
2021-02-20,25.8825,9835650000000000.0,17.26
2021-02-21,23.58833333333334,7620650000000000.0,16.03
2021-02-22,25.86125,7389434000000000.0,23.06
2021-02-23,36.43333333333332,5554200000000000.0,16.68
2021-02-24,29.19125,6891514000000000.0,14.7
2021-02-25,29.895000000000007,5151880000000000.0,16.46
2021-02-26,12.551666666666668,5075484000000000.0,21.85
2021-02-27,21.579166666666666,5341680000000000.0,17.59
2021-02-28,25.125833333333333,5176020000000000.0,17.99
2021-03-01,16.632083333333334,5116228000000000.0,22.14
2021-03-02,22.102083333333336,3798730000000000.0,26.53
2021-03-03,21.500833333333333,7796512000000000.0,17.48
2021-03-04,18.29958333333333,4403280000000000.0,19.28
2021-03-05,16.7325,4822132000000000.0,17.16
2021-03-06,8.268750000000002,4731690000000000.0,17.26
2021-03-07,3.6012500000000007,4145984000000000.0,11.03
2021-03-08,20.79208333333333,2349770000000000.0,9.43
2021-03-09,24.36375,5853650000000000.0,9.65
2021-03-10,19.37708333333333,6762270000000000.0,12.44
2021-03-11,15.733333333333333,3739060000000000.0,13.96
2021-03-12,16.294583333333332,5581836000000000.0,18.68
2021-03-13,16.072916666666664,5095990000000000.0,22.82
2021-03-14,13.17086956521739,5709388000000000.0,25.58
2021-03-15,16.03333333333334,4807150000000000.0,23.48
2021-03-16,14.77125,4108900000000000.0,21.26
2021-03-17,15.299583333333333,5886832000000000.0,25.19
2021-03-18,16.64875,4055150000000000.0,34.77
2021-03-19,15.48,5925642000000000.0,31.25
2021-03-20,16.746666666666666,5736880000000000.0,19.86
2021-03-21,5.01625,5497460000000000.0,19.29
2021-03-22,11.949166666666663,5927670000000000.0,23.19
2021-03-23,7.686666666666667,3380350000000000.0,24.12
2021-03-24,13.35875,2656990000000000.0,24.22
2021-03-25,13.586249999999998,4593890000000000.0,23.88
2021-03-26,16.353749999999998,6405206000000000.0,26.47
2021-03-27,13.628750000000004,3972060000000000.0,23.76
2021-03-28,7.374166666666667,5962428000000000.0,22.52
2021-03-29,14.969166666666665,4550570000000000.0,23.83
2021-03-30,8.290833333333333,6058588000000000.0,21.16
