date,open_NO2,sate_NO2,"Doon University, Dehradun - UKPCB"
2020-11-24,22.705,4348372000000000.0,93.57
2020-11-25,13.72791666666667,4716522000000000.0,26.04
2020-11-26,8.656666666666665,6111800000000000.0,31.69
2020-11-27,19.112916666666667,4256704000000000.0,23.56
2020-11-28,18.480416666666667,4106980000000000.0,10.15
2020-11-29,24.063333333333336,4221608000000000.0,16.02
2020-11-30,23.960000000000004,6626380000000000.0,8.41
2020-12-01,28.6875,3606858200000000.0,21.17
2020-12-02,24.079166666666666,5127040000000000.0,45.35
2020-12-03,23.740416666666665,5437590000000000.0,77.88
2020-12-04,20.218749999999996,5008198000000000.0,121.57
2020-12-05,16.802500000000002,3605760000000000.0,168.2
2020-12-06,16.28375,4710166000000000.0,137.38
2020-12-07,22.315,6205390000000000.0,125.08
2020-12-08,25.79583333333333,4517266000000000.0,126.17
2020-12-09,25.94583333333333,7451220000000000.0,135.83
2020-12-10,21.102083333333333,3112732000000000.0,166.45
2020-12-11,21.284166666666664,4478220000000000.0,178.07
2020-12-12,12.425833333333337,2798960000000000.0,108.54
2020-12-13,14.620416666666664,5145156000000000.0,49.83
2020-12-14,25.876666666666665,3762910000000000.0,40.57
2020-12-15,26.852500000000003,6499864000000000.0,50.95
2020-12-16,24.365833333333335,5447550000000000.0,54.2
2020-12-17,26.747083333333336,4847530200000000.0,48.11
2020-12-18,28.795416666666664,4647320000000000.0,66.15
2020-12-19,20.87333333333333,3554050000000000.0,87.48
2020-12-20,29.235416666666666,6328312000000000.0,109.49
2020-12-21,38.30041666666667,3701550000000000.0,123.85
2020-12-22,25.07291666666667,4740066000000000.0,116.89
2020-12-23,26.29125,3634660000000000.0,131.69
2020-12-24,24.6625,4795370000000000.0,112.78
2020-12-25,22.71666666666667,4766790000000000.0,89.87
2020-12-26,25.040000000000006,3724102000000000.0,117.4
2020-12-27,13.214166666666664,3594220000000000.0,119.49
2020-12-28,18.3825,5912780000000000.0,102.26
2020-12-29,23.11458333333333,3979672000000000.0,135.15
2020-12-30,23.1725,4340040000000000.0,131.75
2020-12-31,30.454166666666666,5030346000000000.0,184.61
2021-01-01,33.82583333333334,3994840000000000.0,159.63
2021-01-02,19.9425,3360252000000000.0,151.7
2021-01-03,15.171666666666663,3894818000000000.0,114.31
2021-01-04,20.357499999999995,4919560000000000.0,107.99
2021-01-05,6.029583333333332,4376136000000000.0,123.53
2021-01-06,17.249166666666664,4799648000000000.0,118.63
2021-01-07,24.445000000000004,4678518000000000.0,123.82
2021-01-08,20.95875000000001,1903460000000000.0,128.43
2021-01-09,13.471250000000005,4796398000000000.0,116.43
2021-01-10,17.296666666666667,2678650000000000.0,124.04
2021-01-11,24.074166666666667,3804760000000000.0,111.22
2021-01-12,30.97583333333333,3411310000000000.0,122.62
2021-01-13,32.224166666666655,5428990000000000.0,145.28
2021-01-14,36.44375,3928236000000000.0,173.25
2021-01-15,23.02541666666667,5317240000000000.0,194.72
2021-01-16,15.478749999999998,4716786000000000.0,155.07
2021-01-17,20.6075,3332040200000000.0,126.94
2021-01-18,19.486666666666675,3131690000000000.0,153.24
2021-01-19,22.07916666666667,4249740000000000.0,163.83
2021-01-20,27.32833333333333,4875050000000000.0,129.51
2021-01-21,28.661666666666665,4159650000000000.0,134.38
2021-01-22,24.454999999999995,1.01e+16,116.51
2021-01-23,18.495833333333334,4600618000000000.0,88.84
2021-01-24,16.580416666666668,5627540000000000.0,134.59
2021-01-25,20.56833333333333,5000770000000000.0,135.47
2021-01-26,18.5485,4716080000000000.0,155.88
2021-01-27,19.5575,3573062000000000.0,138.34
2021-01-28,22.823749999999997,3663250000000000.0,118.81
2021-01-29,20.09,4715900000000000.0,112.91
2021-01-30,19.12,5286092000000000.0,92.55
2021-01-31,17.2775,5605400000000000.0,120.33
2021-02-01,22.598749999999995,4484790000000000.0,119.01
2021-02-02,24.19583333333333,5260670000000000.0,140.67
2021-02-03,7.623333333333336,4475502000000000.0,83.78
2021-02-04,8.527916666666668,4148554000000000.0,76.4
2021-02-05,17.2225,5770540000000000.0,88.84
2021-02-06,14.36208333333333,4620668000000000.0,88.19
2021-02-07,22.07416666666667,4066360000000000.0,96.7
2021-02-08,20.235416666666666,3862312000000000.0,107.76
