date,open_NO2,sate_NO2,"Buddhi Vihar, Moradabad - UPPCB","Eco Herbal Park, Moradabad - UPPCB","Employment Office, Moradabad - UPPCB"
2020-11-24,27.5025,5758582000000000.0,40.91,40.91,40.91
2020-11-25,30.674999999999997,1.07e+16,36.64,36.64,36.64
2020-11-26,20.536250000000003,5205670000000000.0,13.85,13.85,13.85
2020-11-27,15.394583333333332,5629958000000000.0,19.01,19.01,19.01
2020-11-28,17.884583333333328,7032960000000000.0,20.21,20.21,20.21
2020-11-29,22.866250000000004,5461612000000000.0,13.96,13.96,13.96
2020-11-30,23.99875,6630960000000000.0,23.47,23.47,23.47
2020-12-01,33.187083333333334,5034444000000000.0,3.17,3.17,3.17
2020-12-02,37.59833333333333,6936200000000000.0,5.51,5.51,5.51
2020-12-03,37.65,1.22e+16,15.21,15.21,15.21
2020-12-04,36.83291666666666,5860980000000000.0,21.14,21.14,21.14
2020-12-05,26.89625000000001,7456430000000000.0,8.74,8.74,8.74
2020-12-06,20.5825,5684142000000000.0,13.62,13.62,13.62
2020-12-07,19.025,6180710000000000.0,14.48,14.48,14.48
2020-12-08,26.979999999999997,6170504000000000.0,11.45,11.45,11.45
2020-12-09,20.56458333333333,5319060000000000.0,10.11,10.11,10.11
2020-12-10,20.046666666666667,6289000000000000.0,16.24,16.24,16.24
2020-12-11,23.901666666666667,5022226000000000.0,21.95,21.95,21.95
2020-12-12,23.55291666666666,4552100000000000.0,14.78,14.78,14.78
2020-12-13,8.531666666666665,5083176000000000.0,11.98,11.98,11.98
2020-12-14,15.82458333333333,5899410000000000.0,8.94,8.94,8.94
2020-12-15,16.175,5892722000000000.0,8.36,8.36,8.36
2020-12-16,10.325,4996440000000000.0,7.86,7.86,7.86
2020-12-17,9.961666666666666,5470688000000000.0,7.4,7.4,7.4
2020-12-18,11.4975,7072220000000000.0,6.87,6.87,6.87
2020-12-19,10.978333333333332,1.23e+16,6.6,6.6,6.6
2020-12-20,32.13083333333333,5923992000000000.0,46.25,46.25,46.25
2020-12-21,38.49958333333333,6666300000000000.0,11.08,11.08,11.08
2020-12-22,18.39583333333333,6281718000000000.0,11.06,11.06,11.06
