date,open_SO2,sate_SO2,"Buddhi Vihar, Moradabad - UPPCB","Eco Herbal Park, Moradabad - UPPCB","Employment Office, Moradabad - UPPCB"
2020-11-24,6.629999999999999,-0.0842587956,10.26,10.26,10.26
2020-11-25,9.050833333333332,0.0467698138,13.81,13.81,13.81
2020-11-26,9.404999999999998,0.25,13.51,13.51,13.51
2020-11-27,11.31875,0.0243862448,11.86,11.86,11.86
2020-11-28,6.979166666666667,0.25909251,3.76,3.76,3.76
2020-11-29,6.553333333333334,-0.0588603108,3.37,3.37,3.37
2020-11-30,9.090000000000002,0.190470055,6.62,6.62,6.62
2020-12-01,15.227083333333333,0.022658581,6.71,6.71,6.71
2020-12-02,13.301249999999998,-0.0360588088,11.74,11.74,11.74
2020-12-03,18.122916666666665,0.027797058,6.4,6.4,6.4
2020-12-04,25.999583333333337,0.039999999,26.56,26.56,26.56
2020-12-05,8.160833333333333,0.033096649,29.47,29.47,29.47
2020-12-06,22.64041666666667,0.4060187286,23.4,23.4,23.4
2020-12-07,10.655,0.529690325,23.35,23.35,23.35
2020-12-08,9.820416666666668,0.0808215256,24.4,24.4,24.4
2020-12-09,9.443333333333332,0.810000002,29.49,29.49,29.49
2020-12-10,13.044166666666667,0.4669552248,29.59,29.59,29.59
2020-12-11,12.064583333333331,0.0420671642,29.54,29.54,29.54
2020-12-12,14.89333333333333,0.0140145099999999,20.59,20.59,20.59
2020-12-13,9.410416666666668,0.582916866,21.62,21.62,21.62
2020-12-14,7.027083333333333,0.193388551,17.87,17.87,17.87
2020-12-15,11.487916666666663,-0.0140295213999999,21.51,21.51,21.51
2020-12-16,11.090000000000002,-0.282651007,22.46,22.46,22.46
2020-12-17,9.405,0.056738189,22.0,22.0,22.0
2020-12-18,10.493333333333332,1.19000006,27.39,27.39,27.39
2020-12-19,8.521666666666665,0.067528717,33.99,33.99,33.99
2020-12-20,12.780416666666667,-0.140000001,7.01,7.01,7.01
2020-12-21,9.69,0.097543351,34.36,34.36,34.36
2020-12-22,8.292083333333332,-0.051106561,46.74,46.74,46.74
2020-12-23,8.920833333333334,0.119525753,31.29,31.29,31.29
2020-12-24,15.463749999999996,0.1115949138,28.44,28.44,28.44
2020-12-25,8.695416666666668,0.490475953,3.29,3.29,3.29
2020-12-26,6.402916666666665,-0.102332868,37.05,37.05,37.05
2020-12-27,8.58375,0.318636686,27.79,27.79,27.79
2020-12-28,16.47833333333333,-0.0242505884,22.09,22.09,22.09
2020-12-29,9.344583333333334,-0.1086583805999999,24.22,24.22,24.22
2020-12-30,10.092083333333331,0.1029029519999999,22.85,22.85,22.85
2020-12-31,13.83333333333333,-0.1739760914,21.29,21.29,21.29
2021-01-01,12.98625,1.42999995,27.42,27.42,27.42
2021-01-02,22.511250000000008,0.0576973431999999,29.89,29.89,29.89
2021-01-03,9.629166666666665,0.0012745329999999,26.15,26.15,26.15
2021-01-04,9.060833333333331,-0.298345238,27.0,27.0,27.0
2021-01-05,9.172916666666667,-0.022707362,22.61,22.61,22.61
2021-01-06,12.633333333333328,0.1220000023999999,23.67,23.67,23.67
2021-01-07,10.765,0.0607123429999999,26.12,26.12,26.12
2021-01-08,10.561666666666666,-0.337636054,19.7,19.7,19.7
2021-01-09,12.579583333333334,-0.0199323855999999,24.99,24.99,24.99
2021-01-10,9.361250000000004,-0.405764014,20.43,20.43,20.43
2021-01-11,6.653333333333333,0.0257866711999999,20.0,20.0,20.0
2021-01-12,9.130833333333332,0.0619858389999999,23.74,23.74,23.74
2021-01-13,7.414999999999998,0.055336937,21.89,21.89,21.89
2021-01-14,13.625416666666668,0.0953874243999999,20.73,20.73,20.73
2021-01-15,7.398750000000002,0.3691054414,20.7,20.7,20.7
2021-01-16,9.781666666666668,0.0370661433999999,4.69,4.69,4.69
2021-01-17,8.82916666666667,0.1090144652,1.52,1.52,1.52
2021-01-18,14.241666666666667,-0.0872072874,2.47,2.47,2.47
2021-01-19,17.36791666666667,1.01809144,26.83,26.83,26.83
2021-01-20,13.416666666666664,-0.419301599,19.72,19.72,19.72
2021-01-21,10.379166666666668,0.0872137878,3.21,3.21,3.21
2021-01-22,7.798749999999999,-0.470187426,1.06,1.06,1.06
2021-01-23,11.047499999999998,0.0094279602,2.04,2.04,2.04
2021-01-24,6.540833333333333,-0.0449116886,1.92,1.92,1.92
2021-01-25,8.447916666666664,-0.0312248484,1.84,1.84,1.84
2021-01-26,10.22,-0.1456832408,1.78,1.78,1.78
2021-01-27,5.842499999999999,0.285058969,23.45,23.45,23.45
2021-01-28,9.896250000000004,0.480602354,1.97,1.97,1.97
2021-01-29,14.590833333333336,0.109935477,1.82,1.82,1.82
2021-01-30,9.262916666666667,-0.0509232447999999,4.68,4.68,4.68
2021-01-31,15.08625,-0.034122948,8.47,8.47,8.47
2021-02-01,12.33125,0.1132355553999999,6.56,6.56,6.56
2021-02-02,11.996249999999996,-0.138862506,8.6,8.6,8.6
2021-02-03,13.05916666666667,-0.0383415855999999,4.65,4.65,4.65
2021-02-04,14.365,-0.0317204597999999,5.55,5.55,5.55
2021-02-05,12.577083333333334,-0.266549289,4.49,4.49,4.49
2021-02-06,10.840833333333334,0.169230948,5.06,5.06,5.06
2021-02-07,6.405000000000001,0.178040713,4.62,4.62,4.62
2021-02-08,8.61083333333333,0.0534533984,3.17,3.17,3.17
2021-02-09,18.890000000000004,0.471369952,7.13,7.13,7.13
2021-02-10,6.7425,-0.0117535196,7.29,7.29,7.29
2021-02-11,9.057500000000005,0.39605093,11.65,11.65,11.65
2021-02-12,6.252499999999998,-0.1386492244,6.0,6.0,6.0
2021-02-13,8.575416666666667,-0.085083879,3.69,3.69,3.69
2021-02-14,5.066249999999999,0.000929525,5.64,5.64,5.64
2021-02-15,8.950416666666671,0.098831468,7.67,7.67,7.67
2021-02-16,16.234583333333333,-0.205243871,10.92,10.92,10.92
2021-02-17,10.169166666666667,-0.0967289268,9.1,9.1,9.1
2021-02-18,15.567916666666669,0.262551844,9.64,9.64,9.64
2021-02-19,17.08125,0.1213469474,9.5,9.5,9.5
2021-02-20,9.96166666666667,-0.059861325,6.26,6.26,6.26
2021-02-21,10.350833333333334,-0.215425029,9.06,9.06,9.06
2021-02-22,13.900833333333331,0.319999993,10.64,10.64,10.64
2021-02-23,13.379166666666668,0.430064291,13.14,13.14,13.14
2021-02-24,17.287916666666664,0.0988277252,14.69,14.69,14.69
2021-02-25,16.699999999999996,0.090479597,15.73,15.73,15.73
2021-02-26,14.20833333333333,-0.1020312925999999,14.6,14.6,14.6
2021-02-27,6.507499999999998,-0.001211444,12.34,12.34,12.34
2021-02-28,7.835416666666667,-0.1461546831999999,12.46,12.46,12.46
2021-03-01,10.374166666666667,-0.209222823,11.33,11.33,11.33
2021-03-02,15.025416666666665,-0.209000468,12.35,12.35,12.35
2021-03-03,14.479166666666666,0.0432104094,10.82,10.82,10.82
2021-03-04,13.578333333333338,0.067667566,18.97,18.97,18.97
2021-03-05,13.82375,0.045064833,11.09,11.09,11.09
2021-03-06,11.516666666666667,0.2901465,11.65,11.65,11.65
2021-03-07,14.280416666666667,0.1502220898,13.49,13.49,13.49
2021-03-08,7.918333333333334,-0.273579568,13.27,13.27,13.27
2021-03-09,9.035416666666666,0.034801688,11.29,11.29,11.29
2021-03-10,12.236250000000004,-0.0091664322,14.28,14.28,14.28
2021-03-11,14.211666666666666,0.213781297,17.09,17.09,17.09
2021-03-12,6.726666666666668,0.1207095965999999,17.36,17.36,17.36
2021-03-13,7.1066666666666665,0.023500556,14.74,14.74,14.74
2021-03-14,9.717826086956524,0.0176351234,13.55,13.55,13.55
2021-03-15,13.40125,-0.067668967,15.07,15.07,15.07
2021-03-16,11.485,-0.0501821322,13.03,13.03,13.03
2021-03-17,9.895416666666666,-0.362433434,17.41,17.41,17.41
2021-03-18,13.216666666666669,-0.209083945,18.79,18.79,18.79
2021-03-19,22.30250000000001,0.1050035075999999,18.2,18.2,18.2
2021-03-20,7.765416666666667,0.198045179,19.54,19.54,19.54
2021-03-21,7.879583333333332,-0.0924859588,26.58,26.58,26.58
2021-03-22,5.94875,0.066615753,16.7,16.7,16.7
2021-03-23,5.933333333333333,0.0604449666,12.0,12.0,12.0
