date,open_NO2,sate_NO2,"City Center, Gwalior - MPPCB","Phool Bagh, Gwalior - Mondelez Ind"
2020-11-24,10.197499999999998,4942030000000000.0,69.27,69.27
2020-11-25,10.2325,4182696000000000.0,41.5,41.5
2020-11-26,12.982083333333335,4410740000000000.0,16.45,16.45
2020-11-27,14.925,3946852000000000.0,11.46,11.46
2020-11-28,12.409999999999998,3925410000000000.0,17.88,17.88
2020-11-29,15.636666666666663,4546902000000000.0,11.63,11.63
2020-11-30,18.738333333333333,3795130000000000.0,10.46,10.46
2020-12-01,16.364583333333332,4570616000000000.0,6.65,6.65
2020-12-02,12.452083333333334,3845640000000000.0,22.25,22.25
2020-12-03,23.854583333333338,3883240000000000.0,50.8,50.8
2020-12-04,21.54333333333333,4427562000000000.0,61.05,61.05
2020-12-05,10.52,4532710000000000.0,53.4,53.4
2020-12-06,19.795833333333334,4626004000000000.0,42.77,42.77
2020-12-07,16.67041666666667,3563850000000000.0,45.51,45.51
2020-12-08,16.950416666666666,4304520000000000.0,49.01,49.01
2020-12-09,21.65875,4318220000000000.0,51.57,51.57
2020-12-10,23.124166666666664,5172930000000000.0,51.65,51.65
2020-12-11,12.5125,3660792000000000.0,53.63,53.63
2020-12-12,11.628333333333332,4438032000000000.0,27.52,27.52
2020-12-13,16.452916666666663,4361344000000000.0,35.42,35.42
2020-12-14,22.4275,2855410000000000.0,39.17,39.17
2020-12-15,23.0075,4472316000000000.0,40.43,40.43
2020-12-16,19.1225,3601290000000000.0,40.06,40.06
2020-12-17,8.37,4035230000000000.0,31.54,31.54
2020-12-18,10.34625,3932220000000000.0,48.1,48.1
2020-12-19,9.73375,2148820000000000.0,49.18,49.18
2020-12-20,10.125833333333333,4082260000000000.0,53.02,53.02
2020-12-21,17.361666666666668,3336280000000000.0,57.0,57.0
2020-12-22,26.10916666666667,4547618000000000.0,57.54,57.54
2020-12-23,27.825416666666666,4828340000000000.0,59.68,59.68
2020-12-24,21.045,3981078000000000.0,60.46,60.46
2020-12-25,20.341666666666665,5158020000000000.0,55.24,55.24
2020-12-26,16.85625,3814730000000000.0,56.41,56.41
2020-12-27,7.912916666666667,6286492000000000.0,44.22,44.22
2020-12-28,17.547083333333333,5063770000000000.0,45.17,45.17
2020-12-29,15.598750000000004,6048832000000000.0,48.84,48.84
2020-12-30,17.042499999999997,3792520000000000.0,49.81,49.81
2020-12-31,20.83708333333333,4387820000000000.0,45.39,45.39
2021-01-01,7.712499999999999,4105260000000000.0,44.54,44.54
2021-01-02,10.951666666666666,4345594000000000.0,45.99,45.99
2021-01-03,6.509166666666665,3372580000000000.0,23.34,23.34
2021-01-04,6.752083333333334,4425920000000000.0,26.72,26.72
2021-01-05,6.703749999999999,4486426000000000.0,30.37,30.37
2021-01-06,15.744583333333331,6399580000000000.0,30.43,30.43
2021-01-07,10.763333333333335,4770744000000000.0,24.61,24.61
2021-01-08,7.06375,4113384000000000.0,26.15,26.15
2021-01-09,6.892083333333333,3926704000000000.0,40.7,40.7
2021-01-10,6.422083333333334,2959940000000000.0,31.74,31.74
2021-01-11,6.554166666666666,1674770000000000.0,31.42,31.42
2021-01-12,8.825833333333334,4005062000000000.0,44.74,44.74
2021-01-13,15.588749999999996,2354120000000000.0,51.55,51.55
2021-01-14,20.74833333333333,3874524000000000.0,51.07,51.07
2021-01-15,16.586666666666666,4885500000000000.0,47.66,47.66
2021-01-16,17.06416666666667,4428050000000000.0,47.31,47.31
2021-01-17,4.035833333333334,4835160000000000.0,29.56,29.56
2021-01-18,13.112083333333336,4507198000000000.0,30.91,30.91
2021-01-19,12.494583333333331,4798930000000000.0,42.25,42.25
2021-01-20,10.4125,2586620000000000.0,45.16,45.16
2021-01-21,20.17708333333333,4583510000000000.0,49.57,49.57
2021-01-22,7.637916666666666,2913680000000000.0,37.61,37.61
2021-01-23,8.944166666666666,4639928000000000.0,34.33,34.33
2021-01-24,7.583749999999999,3866950000000000.0,33.05,33.05
2021-01-25,11.14125,4328360000000000.0,33.67,33.67
2021-01-26,12.448999999999998,3456600000000000.0,35.33,35.33
2021-01-27,24.1175,1870060000000000.0,45.23,45.23
2021-01-28,16.658749999999998,3447418000000000.0,39.68,39.68
2021-01-29,11.40208333333333,3109730000000000.0,50.83,50.83
2021-01-30,11.419583333333334,4479290000000000.0,54.1,54.1
2021-01-31,21.750416666666663,3590290000000000.0,58.95,58.95
2021-02-01,26.90291666666667,4611066000000000.0,55.43,55.43
2021-02-02,16.505833333333335,4072560000000000.0,57.76,57.76
2021-02-03,13.37708333333333,4502228000000000.0,54.4,54.4
2021-02-04,13.394999999999998,5936880000000000.0,37.96,37.96
2021-02-05,9.597083333333332,5501080000000000.0,30.34,30.34
2021-02-06,7.625416666666667,3985576000000000.0,38.4,38.4
2021-02-07,12.022916666666667,5222130000000000.0,36.81,36.81
2021-02-08,14.2725,3612428000000000.0,49.72,49.72
2021-02-09,21.98041666666667,4481470000000000.0,48.08,48.08
2021-02-10,20.062083333333334,3910780000000000.0,51.4,51.4
2021-02-11,13.88125,3792880000000000.0,48.36,48.36
2021-02-12,11.980416666666663,3177730000000000.0,52.31,52.31
2021-02-13,13.213750000000005,5952498000000000.0,51.14,51.14
2021-02-14,10.918333333333337,3616560000000000.0,42.62,42.62
2021-02-15,14.812499999999998,3566020000000000.0,50.83,50.83
2021-02-16,11.502499999999998,4117736000000000.0,37.88,37.88
2021-02-17,22.28458333333333,5072322000000000.0,34.28,34.28
2021-02-18,16.154583333333335,5395350000000000.0,50.54,50.54
2021-02-19,14.80375,3657302000000000.0,47.95,47.95
2021-02-20,10.745416666666666,5414020000000000.0,52.95,52.95
2021-02-21,11.6125,2027010000000000.0,50.12,50.12
2021-02-22,10.875000000000004,4227844000000000.0,54.46,54.46
2021-02-23,13.4475,4920010000000000.0,54.48,54.48
2021-02-24,12.292916666666668,4896074000000000.0,55.47,55.47
2021-02-25,3.5579166666666677,4512380000000000.0,47.27,47.27
2021-02-26,4.56,3922832000000000.0,32.75,32.75
2021-02-27,7.672499999999999,3948090000000000.0,36.36,36.36
2021-02-28,14.238333333333337,3265680000000000.0,46.67,46.67
2021-03-01,8.33875,4256942000000000.0,38.92,38.92
2021-03-02,5.477916666666666,3987890000000000.0,44.06,44.06
2021-03-03,11.569583333333332,4941396000000000.0,50.04,50.04
2021-03-04,13.593749999999998,4376080000000000.0,47.92,47.92
2021-03-05,9.384166666666664,3952838000000000.0,45.35,45.35
2021-03-06,6.82,3667530000000000.0,44.91,44.91
2021-03-07,5.234583333333332,3751834000000000.0,39.02,39.02
