date,open_SO2,sate_SO2,"Shrinath Puram, Kota - RSPCB"
2020-11-24,4.2925,0.20713684,9.46
2020-11-25,14.047916666666667,0.0734879796,9.55
2020-11-26,15.438333333333333,0.093079206,8.78
2020-11-27,8.508333333333335,0.0489028896,9.99
2020-11-28,8.040833333333333,0.205809802,9.22
2020-11-29,22.00375,0.1064805661999999,10.27
2020-11-30,20.88583333333333,0.139059275,10.34
2020-12-01,12.905833333333335,0.200257421,10.82
2020-12-02,22.923333333333336,0.111151934,9.59
2020-12-03,32.24666666666668,0.43850258,10.47
2020-12-04,30.641666666666666,0.1135360659999999,9.46
2020-12-05,18.24208333333333,0.450740546,9.51
2020-12-06,12.328333333333331,0.0582737896,9.85
2020-12-07,25.255,0.291965455,9.29
2020-12-08,21.82375,0.026806295,7.88
2020-12-09,18.19458333333333,0.110667385,9.28
2020-12-10,34.40000000000001,0.381012887,9.49
2020-12-11,7.864166666666666,0.10580659,9.64
2020-12-12,6.396250000000002,-0.0043082824,9.24
2020-12-13,9.382916666666665,-0.0016490116,9.37
2020-12-14,12.76041666666667,0.1204143776,9.37
2020-12-15,17.402916666666666,0.0835705155999999,9.48
2020-12-16,8.595416666666667,0.044441629,9.47
2020-12-17,11.185833333333331,-0.103221111,9.43
2020-12-18,22.06,-0.350235462,9.89
2020-12-19,20.313333333333336,0.076603748,9.88
2020-12-20,13.24125,0.1268013958,9.71
2020-12-21,26.42666666666668,0.198614135,11.11
2020-12-22,21.5175,0.078000284,9.96
2020-12-23,20.86666666666666,-0.123658061,9.62
2020-12-24,18.079583333333336,-0.0012430381999999,9.7
2020-12-25,24.677916666666672,-0.027216243,9.86
2020-12-26,16.787916666666664,0.080167972,9.26
2020-12-27,11.404166666666663,0.1925489932,9.68
2020-12-28,7.564583333333335,0.13228637,9.04
2020-12-29,8.924166666666666,0.144612937,9.37
2020-12-30,7.854999999999999,0.238408521,9.37
2020-12-31,9.4575,0.0153254103999999,9.36
2021-01-01,13.252083333333331,-0.0110965552,10.15
2021-01-02,16.769166666666667,0.0813671506,9.81
2021-01-03,15.298749999999998,0.056218254,9.63
2021-01-04,10.475,-0.0681820227999999,9.22
2021-01-05,7.9958333333333345,0.2764260782,9.27
2021-01-06,4.97125,-0.209999993,9.06
2021-01-07,14.253749999999998,0.0991787106,9.21
2021-01-08,19.161666666666665,0.1728548884,9.25
2021-01-09,14.774166666666668,0.048074732,9.15
2021-01-10,9.180416666666668,0.0727618176,9.36
2021-01-11,10.47625,-0.012866457,9.48
2021-01-12,22.54166666666667,0.0289936538,9.51
2021-01-13,25.228333333333325,0.112624004,9.65
2021-01-14,21.010416666666664,0.0104918648,9.39
2021-01-15,16.059166666666673,-0.006054012,10.01
2021-01-16,15.64375,-0.0001467862,9.58
2021-01-17,9.892083333333334,-0.575609922,9.42
2021-01-18,17.33625,0.170670494,10.42
2021-01-19,9.765416666666669,-0.097482964,9.39
2021-01-20,22.381249999999994,0.001123646,10.57
2021-01-21,14.199166666666668,0.0448674288,9.73
2021-01-22,12.9,0.073246062,9.54
2021-01-23,6.01625,0.0835349482,9.64
2021-01-24,5.8125,-0.352435172,9.63
2021-01-25,13.296666666666662,0.0690257703999999,9.79
2021-01-26,10.714,-0.165873796,9.7
2021-01-27,3.955,0.022341453,10.06
2021-01-28,9.832916666666668,-0.0013715406,9.79
2021-01-29,12.630000000000004,0.07554552,9.96
2021-01-30,29.073750000000004,0.1283913322,9.72
2021-01-31,23.540833333333328,0.274225205,9.86
2021-02-01,32.76041666666667,0.0180651849999999,9.95
2021-02-02,23.54375,-0.095037773,9.63
2021-02-03,16.427916666666665,0.011415402,10.08
2021-02-04,8.864583333333334,0.153382182,9.9
2021-02-05,9.349583333333335,0.14878273,9.69
2021-02-06,9.3175,-0.0462081394,9.97
2021-02-07,19.660416666666663,0.103584811,9.63
2021-02-08,34.54666666666666,0.0233580922,9.53
2021-02-09,34.89000000000001,-0.653367877,10.32
2021-02-10,12.46125,-0.0072023771999999,10.52
2021-02-11,32.746666666666684,0.141070262,9.73
2021-02-12,22.137500000000003,0.35394308,9.92
2021-02-13,19.32208333333333,-0.3018604068,9.59
2021-02-14,21.27625,0.111692674,10.07
2021-02-15,42.51083333333334,-0.0085365779999999,9.78
2021-02-16,6.487916666666667,0.30757302,9.82
2021-02-17,14.215833333333338,0.0968947752,9.82
2021-02-18,18.91708333333333,-0.093096659,10.13
2021-02-19,16.977916666666662,-0.035221808,10.4
2021-02-20,15.060833333333337,0.174315289,10.02
2021-02-21,20.986249999999995,0.040034644,10.17
2021-02-22,18.160416666666663,-0.0266235377999999,10.05
2021-02-23,19.82041666666666,0.344321936,9.65
2021-02-24,30.47,-0.0043036895999999,10.05
2021-02-25,4.720833333333333,0.373658031,9.82
