date,open_NO2,sate_NO2,"Gangapur Road, Nashik - MPCB"
2021-04-16,6.989166666666667,5732750000000000.0,15.83
2021-04-17,8.891666666666667,4471550000000000.0,14.62
2021-04-18,6.160833333333334,4527998000000000.0,16.61
2021-04-19,6.047083333333333,3141110000000000.0,15.3
2021-04-20,6.369166666666668,3969154000000000.0,15.74
2021-04-21,9.98875,3817530000000000.0,15.36
2021-04-22,9.134166666666667,6113950000000000.0,25.34
2021-04-23,8.200833333333334,7815470000000000.0,14.88
2021-04-24,6.999583333333334,3051690000000000.0,17.48
2021-04-25,7.268333333333333,1415550000000000.0,20.09
2021-04-26,15.414583333333336,5259930000000000.0,21.5
2021-04-27,13.560000000000002,4210272000000000.0,20.47
2021-04-28,13.871250000000002,4366900000000000.0,21.02
2021-04-29,10.989583333333334,5476380000000000.0,27.32
2021-04-30,28.704166666666666,4541140000000000.0,26.54
2021-05-01,17.350416666666664,4015134000000000.0,35.45
2021-05-02,16.254583333333333,4054598000000000.0,32.34
2021-05-03,12.283749999999998,4506270000000000.0,29.53
2021-05-04,8.273750000000001,4140826000000000.0,23.19
2021-05-05,8.19,4419550000000000.0,20.17
2021-05-06,7.222500000000001,4471546000000000.0,19.65
2021-05-07,7.676666666666667,4302530000000000.0,19.15
2021-05-08,5.960833333333334,4050840000000000.0,15.09
2021-05-09,4.483750000000001,4774990000000000.0,24.29
2021-05-10,4.552916666666667,4601790000000000.0,12.44
2021-05-11,4.452083333333333,5590090000000000.0,12.93
2021-05-12,4.1937500000000005,5036220000000000.0,11.03
2021-05-13,5.804166666666667,3867078000000000.0,10.3
2021-05-14,13.27958333333333,4443120000000000.0,12.35
2021-05-15,5.7625,5270270000000000.0,19.14
2021-05-16,5.302083333333333,3838826000000000.0,37.07
2021-05-17,5.29,3834416000000000.0,13.34
2021-05-18,5.528749999999999,3936612000000000.0,17.85
2021-05-19,13.712083333333332,3051430000000000.0,13.85
2021-05-20,6.105416666666666,3255434000000000.0,11.94
2021-05-21,5.394166666666667,5196940000000000.0,11.04
2021-05-22,4.433750000000001,3370360000000000.0,10.99
2021-05-23,4.088333333333334,4612490000000000.0,25.25
2021-05-24,3.992083333333334,4839250000000000.0,10.02
2021-05-25,4.148750000000001,5386050000000000.0,9.95
2021-05-26,3.5570833333333343,2558550000000000.0,28.07
2021-05-27,6.566249999999999,177057000000000.0,27.47
2021-05-28,7.596666666666667,4506040000000000.0,21.42
2021-05-29,6.71875,3889034000000000.0,10.11
2021-05-30,12.9525,3656320000000000.0,10.03
2021-05-31,18.004583333333333,3692350000000000.0,12.78
2021-06-01,20.96416666666666,3855098000000000.0,16.21
2021-06-02,14.076666666666666,4018640000000000.0,32.1
2021-06-03,19.750416666666663,5008320000000000.0,8.96
2021-06-04,11.885000000000003,3823680000000000.0,8.0
2021-06-05,23.52791666666667,4272526000000000.0,8.01
2021-06-06,16.32791666666667,3794910000000000.0,8.0
2021-06-07,16.600833333333334,3760106000000000.0,7.99
2021-06-08,11.575833333333334,3751340000000000.0,7.99
2021-06-09,9.18875,4716490000000000.0,7.98
2021-06-10,14.110833333333334,4658188000000000.0,7.97
2021-06-11,15.162916666666666,3752252000000000.0,8.0
2021-06-12,6.152916666666667,1055830000000000.0,8.01
2021-06-13,10.340416666666668,5174780000000000.0,8.0
2021-06-14,14.20375,4193104000000000.0,8.03
2021-06-15,16.529166666666665,3163266000000000.0,7.99
2021-06-16,10.261666666666668,4991800000000000.0,8.0
2021-06-17,11.413333333333334,4337228000000000.0,31.15
2021-06-18,13.556666666666665,3303276000000000.0,56.64
2021-06-19,11.271666666666668,4028480000000000.0,52.08
2021-06-20,10.745416666666666,3050960000000000.0,46.81
2021-06-21,5.372083333333333,3434834000000000.0,45.21
2021-06-22,12.551666666666668,3350130000000000.0,42.92
2021-06-23,12.67125,4231106000000000.0,42.71
2021-06-24,18.300416666666667,3766842000000000.0,38.34
2021-06-25,9.517083333333334,3489406000000000.0,40.99
2021-06-26,3.864166666666667,3617566000000000.0,31.79
2021-06-27,6.726666666666667,3848048000000000.0,30.99
2021-06-28,9.996249999999998,570130000000000.0,31.71
2021-06-29,21.67125,3608820000000000.0,27.98
2021-06-30,11.15041666666667,3982058000000000.0,27.61
2021-07-01,10.15125,3235146000000000.0,28.63
2021-07-02,12.700000000000005,3215570000000000.0,26.55
2021-07-03,10.75291666666667,4189080000000000.0,26.03
2021-07-04,10.74,3679890000000000.0,23.4
2021-07-05,5.388749999999999,3723200000000000.0,24.58
2021-07-06,6.7316666666666665,2573460000000000.0,22.81
2021-07-07,4.841666666666668,3880446000000000.0,22.89
2021-07-08,7.735833333333333,4030728000000000.0,25.19
2021-07-09,10.48625,3240794000000000.0,22.64
2021-07-10,6.2245833333333325,3499432000000000.0,25.04
2021-07-11,17.311249999999998,2967750000000000.0,23.22
2021-07-12,8.952083333333336,3657440000000000.0,29.81
2021-07-13,11.385000000000003,3341596000000000.0,24.74
2021-07-14,10.996666666666668,3781400000000000.0,23.47
2021-07-15,13.1475,4379138000000000.0,23.85
2021-07-16,13.651666666666667,3694248000000000.0,24.49
2021-07-17,6.514166666666667,3444704000000000.0,19.38
2021-07-18,3.3175000000000003,3972330000000000.0,19.32
2021-07-19,5.163333333333334,3223864000000000.0,18.57
2021-07-20,5.169166666666667,3532526000000000.0,19.12
2021-07-21,2.85125,4628856000000000.0,18.55
2021-07-22,3.5525,3313652000000000.0,16.8
2021-07-23,6.0304166666666665,3671320000000000.0,18.47
2021-07-24,2.875833333333333,3790330000000000.0,16.62
2021-07-25,3.17,3437520000000000.0,16.04
2021-07-26,4.63625,3229544000000000.0,18.45
2021-07-27,6.940416666666668,3944950000000000.0,18.8
2021-07-28,6.387499999999999,3556920000000000.0,20.1
2021-07-29,3.6779166666666665,4465742000000000.0,17.53
2021-07-30,2.568333333333333,4289934000000000.0,17.34
2021-07-31,1.9800000000000004,3708364000000000.0,16.51
2021-08-01,2.0625,4243594000000000.0,15.48
2021-08-02,3.3329166666666663,4188410000000000.0,17.33
2021-08-03,4.861249999999999,3651952000000000.0,20.02
2021-08-04,3.0933333333333337,4589922000000000.0,17.94
2021-08-05,3.57125,3779670000000000.0,17.23
2021-08-06,4.312916666666666,3475612000000000.0,18.0
2021-08-07,9.054583333333332,3428500000000000.0,17.34
2021-08-08,14.249166666666667,4330942000000000.0,16.56
2021-08-09,12.492916666666671,3235556000000000.0,18.13
2021-08-10,14.112916666666669,2903346000000000.0,20.46
2021-08-11,6.94,3975228000000000.0,20.27
2021-08-12,6.645833333333333,3290974000000000.0,18.78
2021-08-13,6.906249999999997,5202800000000000.0,17.25
2021-08-14,6.065833333333335,3554000000000000.0,17.61
2021-08-15,10.764583333333334,3807784000000000.0,19.05
2021-08-16,14.34375,3411504000000000.0,17.5
2021-08-17,13.127083333333331,4273592000000000.0,18.36
2021-08-18,6.385833333333333,4517252000000000.0,18.87
2021-08-19,5.96625,3349634000000000.0,15.14
2021-08-20,11.364166666666668,3941308000000000.0,19.97
2021-08-21,13.962916666666668,3700606000000000.0,26.36
2021-08-22,11.6275,3480704000000000.0,18.33
2021-08-23,12.052916666666668,3075712000000000.0,17.97
2021-08-24,13.432500000000005,3116468000000000.0,19.35
2021-08-25,11.909999999999998,3569360000000000.0,16.99
2021-08-26,14.979583333333336,4302070000000000.0,16.55
2021-08-27,15.597500000000002,3720610000000000.0,15.22
2021-08-28,8.400833333333333,2692590000000000.0,14.97
2021-08-29,7.0575,3168980000000000.0,15.1
2021-08-30,6.075833333333335,3645164000000000.0,16.74
2021-08-31,10.61875,3779418000000000.0,20.85
2021-09-01,12.704583333333332,3501166000000000.0,20.64
2021-09-02,12.80375,3587136000000000.0,18.92
2021-09-03,17.658333333333335,2836276000000000.0,14.3
2021-09-04,11.715833333333334,4370122000000000.0,12.58
2021-09-05,12.04375,3597198000000000.0,11.7
2021-09-06,8.377083333333333,3607780000000000.0,14.46
2021-09-07,18.66583333333333,4051172000000000.0,19.68
2021-09-08,13.826249999999996,4213454000000000.0,21.03
2021-09-09,8.770416666666666,3770246000000000.0,17.59
2021-09-10,14.012916666666667,3636088000000000.0,15.64
2021-09-11,10.612916666666663,3544076000000000.0,17.67
2021-09-12,7.970416666666666,4775036000000000.0,19.96
2021-09-13,3.793333333333333,3897210000000000.0,20.73
2021-09-14,10.522083333333333,3768214000000000.0,16.42
2021-09-15,12.948750000000002,4021978000000000.0,22.14
2021-09-16,16.86833333333333,2055650000000000.0,16.63
2021-09-17,15.600833333333332,3732422000000000.0,19.16
2021-09-18,12.485,4271858000000000.0,19.32
2021-09-19,13.339166666666664,3324878000000000.0,14.52
2021-09-20,13.265833333333331,4126370000000000.0,15.49
2021-09-21,5.425,3742430000000000.0,16.25
2021-09-22,9.750416666666665,3623060000000000.0,17.02
2021-09-23,14.344166666666668,4205290000000000.0,14.7
2021-09-24,10.17,3365604000000000.0,17.53
2021-09-25,8.2175,3672098000000000.0,12.66
2021-09-26,5.691666666666667,3226672000000000.0,12.7
2021-09-27,8.381666666666668,3934888000000000.0,13.81
2021-09-28,7.525000000000001,4090360000000000.0,18.43
2021-09-29,10.354166666666666,3999374000000000.0,18.69
2021-09-30,10.335833333333335,2164010000000000.0,20.7
2021-10-01,17.914166666666663,4074614000000000.0,16.24
2021-10-02,12.045416666666666,4536210000000000.0,24.28
2021-10-03,19.16458333333333,2948240000000000.0,20.89
2021-10-04,12.687499999999998,3589982000000000.0,16.36
2021-10-05,13.382083333333332,4466800000000000.0,18.46
2021-10-06,10.769166666666669,4784614000000000.0,24.68
2021-10-07,17.547083333333337,5128870000000000.0,28.02
2021-10-08,21.47833333333333,5334380000000000.0,26.85
2021-10-09,15.423749999999997,3414660000000000.0,20.89
2021-10-10,13.998333333333331,4281470000000000.0,16.83
2021-10-11,17.985833333333336,4064412000000000.0,22.98
2021-10-12,20.30666666666667,4461070000000000.0,21.79
2021-10-13,15.5475,4124082000000000.0,29.9
2021-10-14,15.020833333333329,4397000000000000.0,28.63
2021-10-15,14.18458333333333,3652260000000000.0,25.22
2021-10-16,17.376250000000002,4752882000000000.0,18.7
2021-10-17,7.955416666666667,3289974000000000.0,23.85
2021-10-18,5.48125,4039794000000000.0,18.18
2021-10-19,14.056666666666665,4636690000000000.0,21.22
2021-10-20,23.266666666666666,4320240000000000.0,23.52
2021-10-21,30.371250000000003,3838810000000000.0,25.95
2021-10-22,24.65583333333333,3911184000000000.0,21.3
2021-10-23,13.120416666666667,3292810000000000.0,23.64
2021-10-24,12.357499999999996,3794660000000000.0,18.54
2021-10-25,20.74875,4113798000000000.0,21.46
2021-10-26,19.55375,2758760000000000.0,25.43
2021-10-27,9.577083333333336,3498268000000000.0,38.1
2021-10-28,7.783333333333332,3354500000000000.0,28.13
2021-10-29,7.4049999999999985,3976498000000000.0,36.67
2021-10-30,9.509166666666667,4008370000000000.0,38.15
2021-10-31,12.566249999999998,3102730000000000.0,45.16
2021-11-01,20.656666666666663,3840306000000000.0,48.14
2021-11-02,11.497916666666669,4099980000000000.0,39.67
2021-11-03,13.934166666666664,4684030000000000.0,46.33
2021-11-04,13.040833333333332,4511530000000000.0,40.94
2021-11-05,18.050833333333333,3982486000000000.0,30.77
2021-11-06,14.445,4335946000000000.0,28.01
2021-11-07,14.227999999999998,3271484000000000.0,32.84
2021-11-08,14.512083333333337,5325170000000000.0,40.89
2021-11-09,12.7,5505900000000000.0,39.11
2021-11-10,11.381666666666668,3900784000000000.0,36.38
2021-11-11,8.656666666666668,4316490000000000.0,44.07
2021-11-12,7.268333333333334,3790286000000000.0,42.28
2021-11-13,8.0725,3282090000000000.0,43.62
2021-11-14,23.50916666666667,3024275400000000.0,36.12
2021-11-15,17.583750000000002,3966582000000000.0,42.62
2021-11-16,9.028333333333336,4488120000000000.0,35.46
2021-11-17,8.421250000000002,4311760000000000.0,31.44
2021-11-18,16.567916666666665,3713552000000000.0,24.78
2021-11-19,12.199166666666668,3925082000000000.0,34.2
2021-11-20,6.425416666666668,3600164000000000.0,29.31
2021-11-21,11.545,3873238000000000.0,25.93
2021-11-22,24.004999999999992,3832446000000000.0,22.45
2021-11-23,21.8125,3730548000000000.0,18.02
2021-11-24,20.44208333333333,4779420000000000.0,23.47
2021-11-25,23.680416666666677,3555840000000000.0,24.05
2021-11-26,24.205416666666668,3405414000000000.0,24.61
2021-11-27,15.869166666666668,4118610000000000.0,26.7
2021-11-28,9.932916666666667,3749868000000000.0,29.86
2021-11-29,8.676250000000001,3275960000000000.0,37.07
2021-11-30,8.367916666666666,3379070000000000.0,32.73
2021-12-01,7.812500000000001,3793512000000000.0,23.6
2021-12-02,9.407083333333333,4645542000000000.0,24.75
2021-12-03,11.770416666666668,4068152000000000.0,26.59
2021-12-04,17.732499999999998,3859770000000000.0,27.38
2021-12-05,16.019583333333333,4732908000000000.0,20.99
2021-12-06,16.865416666666665,4356096000000000.0,30.45
2021-12-07,19.22208333333333,3673416000000000.0,36.7
2021-12-08,20.75375,3416620000000000.0,43.18
2021-12-09,22.045416666666664,4027970000000000.0,37.02
2021-12-10,14.17375,3760150000000000.0,40.28
2021-12-11,10.795416666666668,4491340000000000.0,41.62
2021-12-12,14.3675,3710792000000000.0,38.87
2021-12-13,32.01625,3384110000000000.0,30.45
2021-12-14,25.211666666666677,3696300000000000.0,22.78
2021-12-15,32.04416666666667,3052178000000000.0,30.73
2021-12-16,18.48583333333333,3248949400000000.0,25.27
2021-12-17,23.866250000000004,4606670000000000.0,31.34
2021-12-18,15.872083333333334,3322610000000000.0,30.16
2021-12-19,13.59125,3911734000000000.0,33.19
2021-12-20,25.92083333333333,4672400000000000.0,39.57
2021-12-21,47.45250000000001,3568842000000000.0,38.58
2021-12-22,41.65624999999999,4391330000000000.0,35.85
2021-12-23,32.087916666666665,3601468000000000.0,30.91
2021-12-24,25.879999999999995,3667090000000000.0,25.32
2021-12-25,16.64375,4334836000000000.0,21.35
2021-12-26,23.012500000000003,3588570000000000.0,29.68
2021-12-27,48.57874999999999,2813320000000000.0,36.86
2021-12-28,15.50125,3986458000000000.0,23.04
2021-12-29,10.93125,4123740000000000.0,24.67
2021-12-30,8.760416666666666,4125184000000000.0,29.03
2021-12-31,13.184166666666664,3184830000000000.0,31.98
