date,open_NO2,sate_NO2,"Gangapur Road, Nashik - MPCB"
2020-11-24,13.11,4200800000000000.0,8.89
2020-11-25,19.55708333333333,3656012000000000.0,59.45
2020-11-26,13.30208333333333,4220350000000000.0,22.94
2020-11-27,6.651250000000002,3954602000000000.0,20.88
2020-11-28,5.317916666666666,3351200000000000.0,16.83
2020-11-29,16.807916666666667,4404780000000000.0,17.9
2020-11-30,26.700833333333332,4202822000000000.0,8.15
2020-12-01,17.643749999999997,5136250000000000.0,15.49
2020-12-02,14.98125,3522772000000000.0,19.09
2020-12-03,23.977500000000003,4755430000000000.0,23.7
2020-12-04,23.67333333333333,3866540000000000.0,47.04
2020-12-05,18.314166666666665,5099880000000000.0,38.55
2020-12-06,11.710416666666667,4490428000000000.0,45.76
2020-12-07,13.745416666666664,5199980000000000.0,39.66
2020-12-08,22.260416666666668,3487470000000000.0,33.62
2020-12-09,20.92125,4000992000000000.0,30.55
2020-12-10,27.374999999999982,3333350000000000.0,35.44
2020-12-11,22.0775,4045782000000000.0,40.53
2020-12-12,9.465,3904488000000000.0,33.35
2020-12-13,15.995416666666667,3173591400000000.0,27.25
2020-12-14,25.65625,3479776000000000.0,40.1
2020-12-15,11.75583333333333,5069880000000000.0,30.88
2020-12-16,16.019166666666663,4153070000000000.0,33.42
2020-12-17,14.9525,4455530000000000.0,40.65
2020-12-18,18.457916666666662,3442452000000000.0,39.18
2020-12-19,10.464583333333332,4441480000000000.0,43.76
2020-12-20,12.570833333333333,3367792000000000.0,42.07
2020-12-21,18.564166666666665,3557480000000000.0,50.83
2020-12-22,21.28833333333334,4891824000000000.0,65.62
2020-12-23,25.19125,6113280000000000.0,60.25
2020-12-24,18.504166666666663,4308650000000000.0,53.85
2020-12-25,13.15625,4205214000000000.0,57.92
2020-12-26,26.305416666666662,4092180000000000.0,56.18
2020-12-27,14.392083333333336,4254652000000000.0,32.84
2020-12-28,16.850416666666664,4477720000000000.0,40.85
2020-12-29,17.368750000000002,3417279400000000.0,46.35
2020-12-30,24.615,4917940000000000.0,47.1
2020-12-31,12.7525,4688460000000000.0,47.23
2021-01-01,19.394166666666667,4188118000000000.0,37.42
2021-01-02,14.195,3789650000000000.0,35.71
2021-01-03,16.59,4143728000000000.0,32.27
2021-01-04,17.230416666666667,3945536000000000.0,36.73
2021-01-05,19.59625,3842360000000000.0,31.79
2021-01-06,17.737499999999994,4717470000000000.0,36.08
2021-01-07,9.97125,4619928000000000.0,41.88
2021-01-08,20.951666666666664,4245144000000000.0,34.28
2021-01-09,12.850000000000003,4889310000000000.0,32.35
2021-01-10,15.127500000000005,4086610000000000.0,38.87
2021-01-11,18.61583333333333,4459010000000000.0,46.54
2021-01-12,16.169583333333335,3860358000000000.0,49.33
2021-01-13,18.722083333333337,3935310000000000.0,31.99
2021-01-14,25.80458333333333,4048810000000000.0,33.27
2021-01-15,19.67,4283220000000000.0,31.68
2021-01-16,18.61125,4264730000000000.0,34.46
2021-01-17,27.31416666666667,3712860000000000.0,33.18
2021-01-18,23.647916666666664,3739470000000000.0,31.24
2021-01-19,20.56,4305912000000000.0,25.64
2021-01-20,25.371249999999996,3710890000000000.0,23.26
2021-01-21,29.01791666666666,4468514000000000.0,29.92
2021-01-22,26.811666666666667,4930000000000000.0,66.78
2021-01-23,15.744583333333331,4358846000000000.0,30.73
2021-01-24,15.31875,4177980000000000.0,26.91
2021-01-25,20.06458333333333,3639210000000000.0,42.75
2021-01-26,13.3495,3415162000000000.0,39.74
2021-01-27,21.5925,3748100000000000.0,51.13
2021-01-28,13.68875,4556170000000000.0,40.14
2021-01-29,13.42,4016760000000000.0,74.08
2021-01-30,13.231249999999996,3313996000000000.0,56.01
2021-01-31,11.905416666666667,4773980000000000.0,59.9
2021-02-01,15.51291666666667,4538720000000000.0,68.58
2021-02-02,21.86083333333333,4756672000000000.0,74.63
2021-02-03,20.09625,5875940000000000.0,64.54
2021-02-04,17.400833333333335,3798054000000000.0,46.66
2021-02-05,10.531666666666668,3590170000000000.0,37.62
2021-02-06,6.745833333333334,3710726000000000.0,50.53
2021-02-07,11.128333333333336,4655180000000000.0,60.93
2021-02-08,17.119583333333335,4138040000000000.0,49.29
2021-02-09,28.16166666666666,4244700000000000.0,75.81
2021-02-10,25.73375,4239810000000000.0,67.93
2021-02-11,32.513333333333335,3435426000000000.0,68.04
2021-02-12,18.2325,4009020000000000.0,58.61
2021-02-13,14.22,3403150000000000.0,40.4
2021-02-14,13.834583333333333,4006730000000000.0,36.34
2021-02-15,15.080416666666666,3607976000000000.0,38.05
2021-02-16,14.794583333333334,4757950000000000.0,31.34
2021-02-17,15.309166666666668,3158840000000000.0,51.0
2021-02-18,8.931666666666667,4328040000000000.0,46.58
2021-02-19,9.705833333333333,3461330000000000.0,38.58
2021-02-20,8.6,4067362000000000.0,45.63
2021-02-21,10.2925,4582330000000000.0,55.37
2021-02-22,27.22916666666666,4142470000000000.0,65.93
2021-02-23,25.669166666666666,5263010000000000.0,58.89
2021-02-24,19.27875,4693826000000000.0,44.98
2021-02-25,14.079166666666666,5922750000000000.0,33.01
2021-02-26,18.007916666666667,3742100000000000.0,33.23
2021-02-27,12.955000000000004,4024552000000000.0,26.6
2021-02-28,16.315833333333334,3697010000000000.0,35.21
2021-03-01,12.891666666666666,3798474000000000.0,33.23
2021-03-02,14.54875,4165170000000000.0,34.63
2021-03-03,14.64875,4228644000000000.0,57.34
2021-03-04,16.797499999999996,4902890000000000.0,49.51
2021-03-05,20.21916666666667,5078390000000000.0,59.65
2021-03-06,15.027499999999998,4427580000000000.0,37.41
2021-03-07,10.059583333333334,4348640000000000.0,25.89
2021-03-08,18.1225,4688930000000000.0,33.59
2021-03-09,15.059583333333334,5125000000000000.0,35.86
2021-03-10,15.277500000000002,3781362000000000.0,33.58
2021-03-11,12.995000000000005,5016120000000000.0,31.92
2021-03-12,9.826250000000002,4303470000000000.0,22.32
2021-03-13,9.681666666666668,5609720000000000.0,42.97
2021-03-14,10.712608695652174,3969490000000000.0,31.42
2021-03-15,12.629999999999995,6893230000000000.0,34.52
2021-03-16,11.52375,5634410000000000.0,31.02
2021-03-17,11.232083333333334,3772844000000000.0,33.44
2021-03-18,9.365,4895920000000000.0,37.91
2021-03-19,13.690000000000005,3356882000000000.0,40.49
2021-03-20,14.288333333333334,4138060000000000.0,48.21
2021-03-21,17.90125,5475440000000000.0,40.77
2021-03-22,18.261666666666667,3636270000000000.0,54.27
2021-03-23,13.032083333333338,4027880000000000.0,57.32
2021-03-24,16.34125,-1588950000000000.0,46.88
2021-03-25,9.0175,4438030000000000.0,37.87
2021-03-26,9.465416666666664,3918602000000000.0,58.37
2021-03-27,11.940833333333336,5213170000000000.0,39.88
2021-03-28,11.285833333333334,5154740000000000.0,36.12
2021-03-29,7.644166666666667,5542660000000000.0,26.31
2021-03-30,7.935416666666668,3724430000000000.0,21.66
2021-03-31,6.847916666666666,3920630000000000.0,21.53
2021-04-01,8.349166666666667,3186380000000000.0,19.66
2021-04-02,10.378749999999998,5327534000000000.0,21.19
2021-04-03,7.019583333333333,5263280000000000.0,20.38
2021-04-04,10.277500000000002,3881660000000000.0,16.64
2021-04-05,6.515,4686500000000000.0,22.18
2021-04-06,8.200833333333334,4553530000000000.0,23.26
2021-04-07,8.900416666666667,5227470000000000.0,24.03
2021-04-08,9.664583333333333,2420940000000000.0,22.51
2021-04-09,10.755,4743210000000000.0,19.21
2021-04-10,12.007083333333334,5126110000000000.0,22.72
2021-04-11,14.255833333333332,4205808000000000.0,23.19
2021-04-12,15.894999999999998,4312290000000000.0,21.07
2021-04-13,29.47083333333333,4460780000000000.0,25.1
2021-04-14,24.790833333333328,4015836000000000.0,32.74
2021-04-15,8.580416666666666,4555720000000000.0,25.64
