date,open_SO2,sate_SO2,"Bandra Kurla Complex, Mumbai - IITM","Bandra, Mumbai - MPCB","Borivali East, Mumbai - IITM","Borivali East, Mumbai - MPCB","Chakala-Andheri East, Mumbai - IITM",Chhatrapati Shivaji Intl,"Colaba, Mumbai - MPCB","Deonar, Mumbai - IITM","Kandivali East, Mumbai - MPCB","Khindipada-Bhandup West, Mumbai - IITM","Kurla, Mumbai - MPCB","Malad West, Mumbai - IITM","Mazgaon, Mumbai - IITM","Mulund West, Mumbai - MPCB","Navy Nagar-Colaba, Mumbai - IITM","Powai, Mumbai - MPCB","Siddharth Nagar-Worli, Mumbai - IITM","Sion, Mumbai - MPCB","Vasai West, Mumbai - MPCB","Vile Parle West, Mumbai - MPCB"
2020-12-15,44.1325,-0.087623805,10.02,16.24,3.9,3.9,10.18,9.72,11.56,8.36,3.9,5.77,19.67,6.55,2.32,5.77,2.51,5.77,2.32,6.75,17.29,11.5
2020-12-16,39.88166666666667,-0.1644063906,10.55,16.69,4.21,4.21,2.53,10.44,11.83,16.26,22.54,2.13,19.5,7.16,2.19,9.03,2.17,6.07,2.19,3.98,16.99,11.47
2020-12-17,36.57291666666668,-0.0539786704,10.0,16.79,3.84,3.84,7.17,9.0,14.3,18.19,24.56,6.0,21.46,3.16,7.62,10.81,2.05,6.16,7.62,8.52,17.03,10.3
2020-12-18,35.33124999999999,0.004047233,10.49,16.51,3.73,3.73,18.69,8.41,15.34,18.06,21.68,2.18,23.13,3.12,6.01,9.74,2.87,6.32,6.01,6.95,16.91,10.39
2020-12-19,20.797500000000003,1.79999995,9.1,16.52,3.61,3.61,3.77,5.57,11.94,10.09,16.6,5.83,24.15,6.77,6.85,11.02,3.57,6.83,6.85,6.92,16.85,10.63
2020-12-20,25.730833333333333,0.32335791,16.27,15.87,3.45,3.45,2.21,7.85,20.73,5.18,13.01,2.71,23.07,7.24,3.16,2.71,5.29,7.59,3.16,8.24,16.87,10.71
2020-12-21,33.93083333333333,0.0634927646,18.71,15.58,3.71,3.71,3.35,6.12,14.48,5.39,16.43,7.26,26.52,7.06,3.49,23.3,4.72,8.41,3.49,6.62,16.93,11.74
2020-12-22,48.19041666666666,0.324919999,21.06,15.26,3.67,3.67,4.36,12.56,20.21,7.35,17.17,2.68,27.71,6.72,9.46,18.95,6.61,8.81,9.46,10.31,17.02,11.15
2020-12-23,52.90458333333334,-2.10448575,6.97,16.2,3.34,3.34,3.17,10.56,18.44,6.86,15.23,6.75,25.54,3.1,7.71,19.38,7.65,7.9,7.71,10.43,17.3,9.72
2020-12-24,41.02291666666667,-0.007429526,7.9,17.04,3.38,3.38,5.11,10.71,17.42,8.44,15.49,5.67,26.95,6.91,3.95,20.91,5.63,8.47,3.95,8.44,17.16,8.69
2020-12-25,51.165833333333325,-0.1265453315999999,21.17,15.26,3.59,3.59,2.68,12.9,12.21,19.67,16.21,1.63,27.61,6.94,2.96,16.78,6.06,8.68,2.96,10.15,17.19,13.27
2020-12-26,48.95666666666667,-0.365133345,8.47,15.36,3.74,3.74,9.67,10.31,19.06,22.88,18.31,1.87,27.66,3.36,7.5,18.42,5.13,9.49,7.5,7.45,17.21,13.23
2020-12-27,41.67333333333334,0.2905537082,6.67,14.8,3.62,3.62,1.7,11.19,28.01,19.07,17.62,1.53,27.42,7.17,7.35,12.98,6.36,8.24,7.35,5.02,17.13,12.34
2020-12-28,43.10458333333333,0.000498098,3.14,14.54,3.57,3.57,1.97,7.69,20.7,21.42,16.69,2.94,27.67,3.1,3.33,13.8,5.05,7.29,3.33,3.95,16.43,12.21
2020-12-29,58.48208333333333,0.1695780887999999,7.36,14.71,3.34,3.34,1.54,10.2,15.86,12.64,16.02,16.66,30.52,6.93,10.41,16.66,3.47,7.9,10.41,5.82,16.72,12.83
2020-12-30,46.94458333333333,0.245163813,3.19,14.98,3.59,3.59,6.16,8.99,15.42,8.12,15.71,16.71,32.98,3.26,3.84,16.71,3.78,8.31,3.84,9.99,16.82,12.73
2020-12-31,40.58166666666667,-0.00016761,4.59,15.8,3.68,3.68,2.88,9.24,10.21,18.77,17.45,1.65,36.61,3.3,9.46,17.68,3.55,8.6,9.46,7.74,16.92,13.43
2021-01-01,49.84499999999998,0.196038094,9.81,16.02,3.81,3.81,8.5,12.29,4.68,25.51,16.87,4.06,37.67,6.92,7.38,13.18,9.71,8.85,7.38,10.42,17.17,13.77
2021-01-02,48.24625,0.2140990346,2.74,15.59,4.08,4.08,2.65,8.67,1.3,10.26,20.11,3.08,37.59,3.18,2.98,11.14,4.99,8.32,2.98,8.75,17.18,14.05
