date,open_NO2,sate_NO2,"Punjab Agricultural University, Ludhiana - PPCB"
2020-11-24,45.7525,8721586000000000.0,33.45
2020-11-25,28.10291666666666,5143870000000000.0,26.13
2020-11-26,19.825,1.07e+16,50.21
2020-11-27,18.84958333333333,6380618000000000.0,15.47
2020-11-28,42.76791666666666,7295200000000000.0,15.7
2020-11-29,74.03750000000001,6308526000000000.0,17.79
2020-11-30,33.870416666666664,7038340000000000.0,24.11
2020-12-01,46.46541666666667,9063446000000000.0,14.31
2020-12-02,50.86458333333334,5933752000000000.0,18.32
2020-12-03,62.85499999999999,1.38e+16,20.34
2020-12-04,29.65291666666666,7972802000000000.0,28.38
2020-12-05,27.70375,8338350000000000.0,22.77
2020-12-06,35.85833333333333,7619974000000000.0,28.85
2020-12-07,36.74416666666667,6476380000000000.0,17.26
2020-12-08,48.05958333333333,7061982000000000.0,21.2
2020-12-09,19.0725,8007948000000000.0,30.7
2020-12-10,32.57708333333333,7148160000000000.0,39.82
2020-12-11,35.97875,6143438000000000.0,40.01
2020-12-12,24.31708333333334,1.33e+16,14.99
2020-12-13,30.35833333333333,6725328000000000.0,14.19
2020-12-14,35.417916666666656,5373654000000000.0,11.23
2020-12-15,22.032916666666665,6154194000000000.0,17.28
2020-12-16,24.105833333333333,5405026000000000.0,17.5
2020-12-17,32.56,9192088000000000.0,17.31
2020-12-18,34.77,5897662000000000.0,23.35
2020-12-19,18.47875,6250560000000000.0,21.57
2020-12-20,17.918333333333337,5581396000000000.0,19.49
2020-12-21,46.43958333333333,1.13e+16,25.29
2020-12-22,44.275416666666665,6522160000000000.0,28.76
2020-12-23,42.70583333333334,6572000000000000.0,26.73
2020-12-24,40.96458333333334,6144220000000000.0,22.39
2020-12-25,31.94958333333334,5634930000000000.0,20.44
2020-12-26,46.17458333333334,7512730000000000.0,17.66
2020-12-27,23.241666666666664,5972320000000000.0,21.07
2020-12-28,43.50875,9356420000000000.0,17.61
2020-12-29,25.406250000000004,7028460000000000.0,15.63
2020-12-30,40.13875000000001,7554620000000000.0,16.89
2020-12-31,39.92083333333334,5463804000000000.0,16.31
2021-01-01,50.32375000000001,5913178000000000.0,25.0
2021-01-02,28.81833333333333,5895622000000000.0,15.47
2021-01-03,15.316250000000002,5430534000000000.0,11.86
2021-01-04,19.765416666666663,7581540000000000.0,16.1
2021-01-05,12.827916666666669,7281970000000000.0,18.16
2021-01-06,28.46083333333333,7279542000000000.0,16.45
2021-01-07,29.021666666666665,6048830000000000.0,12.82
2021-01-08,38.175,6748140000000000.0,15.62
2021-01-09,17.42375,6845142000000000.0,18.23
2021-01-10,17.504166666666666,6095624000000000.0,18.08
2021-01-11,22.797083333333333,7926600000000000.0,18.66
2021-01-12,24.941666666666677,4810562000000000.0,29.44
2021-01-13,28.707500000000007,6974440000000000.0,44.54
2021-01-14,62.81916666666667,6899884000000000.0,46.18
2021-01-15,57.86416666666668,7365190000000000.0,50.7
2021-01-16,16.584166666666665,6820958000000000.0,30.96
2021-01-17,18.48583333333333,6788860000000000.0,43.19
2021-01-18,28.461250000000003,5404194000000000.0,47.71
2021-01-19,18.571666666666665,5076074000000000.0,36.81
2021-01-20,24.662916666666664,1.05e+16,24.97
2021-01-21,39.188750000000006,7322936000000000.0,24.31
2021-01-22,14.502083333333331,5537654000000000.0,49.71
2021-01-23,19.878749999999997,6197644000000000.0,33.46
2021-01-24,18.652083333333334,9130790000000000.0,26.02
2021-01-25,28.794166666666666,6937898000000000.0,38.03
2021-01-26,24.5555,5755650000000000.0,42.92
2021-01-27,45.5,5147130000000000.0,26.35
2021-01-28,43.310833333333335,7097272000000000.0,51.48
2021-01-29,27.882083333333338,8801280000000000.0,57.98
2021-01-30,34.761250000000004,4985950000000000.0,56.1
2021-01-31,33.70458333333334,7390870000000000.0,81.92
2021-02-01,27.680833333333336,6735434000000000.0,69.36
