date,open_NO2,sate_NO2,"Gurdeo Nagar, Aurangabad - BSPCB","More Chowk Waluj, Aurangabad - MPCB"
2020-11-24,5.8175,3239650000000000.0,20.45,12.72
2020-11-25,7.008333333333334,3615878000000000.0,33.48,13.06
2020-11-26,3.6887499999999993,4636160000000000.0,49.18,21.71
2020-11-27,2.6995833333333343,4628204000000000.0,30.11,24.08
2020-11-28,2.140833333333333,4198610000000000.0,35.74,14.9
2020-11-29,12.427083333333334,4340842000000000.0,20.21,19.73
2020-11-30,11.395,3172000000000000.0,24.21,14.77
2020-12-01,9.206666666666663,4384080000000000.0,9.41,22.73
2020-12-02,8.476250000000002,3792178000000000.0,13.47,19.96
2020-12-03,13.401249999999996,4802470000000000.0,23.13,20.06
2020-12-04,16.30875,3617722000000000.0,41.22,25.09
2020-12-05,8.325,4471420000000000.0,57.97,25.16
2020-12-06,8.652083333333334,3610694000000000.0,55.87,25.45
2020-12-07,10.362083333333333,4558110000000000.0,53.92,25.0
2020-12-08,11.646249999999997,3131300000000000.0,59.49,25.53
2020-12-09,12.642499999999998,3677612000000000.0,44.73,25.19
2020-12-10,6.485416666666666,4649730000000000.0,35.0,25.28
2020-12-11,16.854166666666664,3623614000000000.0,53.68,27.33
2020-12-12,4.219166666666667,3489348000000000.0,36.7,33.02
2020-12-13,13.322083333333332,3603234000000000.0,30.93,27.25
2020-12-14,20.801250000000003,3664954000000000.0,30.78,30.0
2020-12-15,14.698750000000004,3372710000000000.0,55.2,31.87
2020-12-16,9.969583333333336,5853510000000000.0,56.55,30.1
2020-12-17,7.4925,4377600000000000.0,44.45,30.04
2020-12-18,17.3,3179558000000000.0,44.12,29.98
2020-12-19,4.744166666666667,4267950000000000.0,45.88,30.0
2020-12-20,6.638333333333332,4010946000000000.0,42.45,30.0
2020-12-21,10.662083333333332,3631280000000000.0,37.83,29.96
2020-12-22,13.162083333333335,3508740000000000.0,48.18,63.28
2020-12-23,12.238333333333332,5330440000000000.0,45.65,30.0
2020-12-24,9.807500000000005,3963290000000000.0,48.67,27.75
2020-12-25,7.677916666666667,3530968000000000.0,44.76,27.48
2020-12-26,10.533333333333331,3832320000000000.0,37.1,27.27
2020-12-27,12.255416666666669,4255476000000000.0,75.76,27.6
2020-12-28,7.408333333333331,3981620000000000.0,64.8,27.63
2020-12-29,14.683749999999996,3536634000000000.0,49.54,27.36
2020-12-30,8.237916666666669,3767690000000000.0,52.81,27.52
2020-12-31,4.3029166666666665,3300434000000000.0,40.98,27.55
2021-01-01,4.061249999999999,5150700000000000.0,12.19,27.41
2021-01-02,6.023333333333333,4429060000000000.0,74.38,27.54
2021-01-03,6.283750000000001,4464734000000000.0,64.22,27.5
2021-01-04,2.9154166666666668,3696450000000000.0,54.32,27.57
2021-01-05,4.754166666666666,3242028000000000.0,49.65,27.74
2021-01-06,5.416666666666665,4576450000000000.0,45.25,27.91
2021-01-07,5.467500000000001,4480776000000000.0,43.36,27.65
2021-01-08,12.798333333333334,4591640000000000.0,42.48,27.61
2021-01-09,8.045833333333333,4263520000000000.0,40.74,27.67
2021-01-10,6.84125,4314636000000000.0,31.71,27.3
2021-01-11,12.59625,4450530000000000.0,30.84,27.32
2021-01-12,7.021249999999999,4107780000000000.0,27.08,27.33
2021-01-13,8.131666666666666,4734700000000000.0,38.17,27.44
2021-01-14,13.133333333333333,3621384000000000.0,27.49,27.32
2021-01-15,14.464583333333332,3684440000000000.0,26.81,27.54
2021-01-16,7.469999999999999,3578544000000000.0,27.87,27.54
2021-01-17,3.0970833333333334,4579540000000000.0,26.07,27.61
2021-01-18,6.047499999999999,3536300000000000.0,23.78,27.74
2021-01-19,12.88541666666667,3006364000000000.0,25.78,27.49
2021-01-20,10.525,4113180000000000.0,33.05,27.56
2021-01-21,16.298333333333336,4431358000000000.0,29.72,27.48
2021-01-22,14.064166666666663,4543320000000000.0,27.51,27.66
