date,open_NO2,sate_NO2,"Gurdeo Nagar, Aurangabad - BSPCB","More Chowk Waluj, Aurangabad - MPCB"
2021-01-23,14.212083333333332,3512998000000000.0,24.85,27.39
2021-01-24,10.00625,4984920000000000.0,22.52,29.58
2021-01-25,11.898333333333332,3533000000000000.0,28.14,29.66
2021-01-26,11.320000000000002,4021432000000000.0,22.04,30.39
2021-01-27,10.82,4455580000000000.0,22.09,30.02
2021-01-28,10.06,4124950000000000.0,24.83,29.32
2021-01-29,3.654583333333333,4328870000000000.0,29.1,28.57
2021-01-30,3.9154166666666663,3524068000000000.0,26.24,27.09
2021-01-31,4.847083333333332,4045460000000000.0,38.89,59.9
2021-02-01,5.673333333333333,3830814000000000.0,39.76,68.58
2021-02-02,9.19375,5068470000000000.0,46.62,24.84
2021-02-03,15.287916666666668,4187360000000000.0,36.75,24.45
2021-02-04,15.539583333333333,3935102000000000.0,59.05,29.72
2021-02-05,9.87,3220120000000000.0,48.83,29.64
2021-02-06,2.6091666666666664,3993086000000000.0,34.78,29.16
2021-02-07,4.776666666666667,4134650000000000.0,29.58,29.0
2021-02-08,7.695833333333333,3986234000000000.0,62.66,49.29
2021-02-09,16.05875,3595630000000000.0,55.13,32.88
2021-02-10,18.500833333333333,4168600000000000.0,51.56,29.54
2021-02-11,14.834166666666668,4450144000000000.0,48.7,29.71
2021-02-12,17.43541666666667,4001880000000000.0,46.76,29.85
2021-02-13,8.235,3140032000000000.0,45.81,29.96
2021-02-14,11.3825,4867940000000000.0,44.45,29.84
2021-02-15,9.976666666666665,3960000000000000.0,46.07,29.83
2021-02-16,4.94875,3750720000000000.0,50.56,30.04
2021-02-17,2.6579166666666665,3050951400000000.0,46.63,30.14
2021-02-18,3.9545833333333342,4236640000000000.0,47.23,30.06
2021-02-19,5.458333333333333,4701260000000000.0,41.65,30.13
2021-02-20,4.048333333333335,4170538000000000.0,40.66,30.44
2021-02-21,7.065416666666668,5676640000000000.0,47.01,29.74
2021-02-22,10.946666666666667,4103990000000000.0,47.3,30.05
2021-02-23,14.558750000000002,5077070000000000.0,49.14,30.04
2021-02-24,16.94041666666667,4518084000000000.0,38.52,30.03
2021-02-25,12.000833333333334,5788630000000000.0,53.57,30.33
2021-02-26,6.888333333333335,3916940000000000.0,34.06,30.27
2021-02-27,6.310833333333334,4404220000000000.0,32.92,32.59
2021-02-28,10.430416666666666,4573110000000000.0,37.4,35.42
2021-03-01,8.797499999999998,3572412000000000.0,40.16,35.09
2021-03-02,9.932916666666667,4548740000000000.0,41.02,35.18
2021-03-03,9.858333333333333,4109230000000000.0,47.93,35.38
2021-03-04,12.211666666666668,5357360000000000.0,48.13,35.3
2021-03-05,11.612083333333333,4379476000000000.0,49.95,35.11
2021-03-06,10.285833333333333,5105290000000000.0,46.81,35.03
2021-03-07,9.240833333333336,4475610000000000.0,35.43,34.77
2021-03-08,8.231249999999998,4344890000000000.0,19.23,34.8
2021-03-09,10.61125,5796280000000000.0,35.72,35.41
2021-03-10,7.40875,3508548000000000.0,49.4,35.12
2021-03-11,9.0675,5098620000000000.0,34.47,35.29
2021-03-12,4.572083333333333,4523532000000000.0,19.71,34.76
2021-03-13,8.950416666666666,5141090000000000.0,18.16,35.35
2021-03-14,7.11695652173913,6683200000000000.0,24.02,35.35
2021-03-15,10.45875,4913588000000000.0,41.31,35.44
2021-03-16,10.618749999999997,6253420000000000.0,42.16,35.17
2021-03-17,10.465833333333332,-2666320000000000.0,44.3,35.06
2021-03-18,11.075,6916020000000000.0,42.62,34.92
2021-03-19,3.3770833333333337,3928220000000000.0,17.14,34.86
2021-03-20,4.368333333333332,3954280000000000.0,3.0,35.03
2021-03-21,10.037083333333332,5525360000000000.0,3.0,35.12
2021-03-22,12.734166666666669,5486960000000000.0,3.0,34.98
2021-03-23,6.645833333333333,3688750000000000.0,4.02,35.04
2021-03-24,10.340833333333334,6494780000000000.0,4.38,35.1
2021-03-25,4.7875000000000005,5288930000000000.0,3.68,35.12
2021-03-26,4.13,3510648000000000.0,8.97,35.45
2021-03-27,6.912083333333334,5184820000000000.0,10.77,34.84
2021-03-28,9.554583333333335,5127680000000000.0,12.44,35.22
2021-03-29,8.571250000000001,7147190000000000.0,13.24,34.9
2021-03-30,4.271666666666667,4976830000000000.0,12.84,38.39
2021-03-31,4.298749999999999,4584414000000000.0,10.1,45.22
2021-04-01,4.246666666666667,3753390000000000.0,9.37,45.38
2021-04-02,5.014583333333333,-1493660000000000.0,9.37,45.44
2021-04-03,4.368333333333333,5861310000000000.0,9.28,45.27
2021-04-04,3.4662500000000005,2844116000000000.0,9.37,45.62
2021-04-05,4.334583333333334,5411000000000000.0,9.36,44.88
2021-04-06,6.705416666666668,5371810000000000.0,9.44,45.13
2021-04-07,10.362916666666669,5343190000000000.0,9.61,45.07
2021-04-08,8.841666666666667,4976440000000000.0,9.79,45.21
2021-04-09,15.52833333333333,6245650000000000.0,10.42,45.4
2021-04-10,3.64375,4159410000000000.0,10.49,45.18
2021-04-11,6.117916666666669,3864182000000000.0,10.49,45.07
2021-04-12,6.072083333333333,4587980000000000.0,13.35,45.24
2021-04-13,4.627916666666667,5104216000000000.0,14.85,45.16
2021-04-14,8.411249999999999,5603070000000000.0,13.66,45.01
2021-04-15,9.010833333333332,4714090000000000.0,12.69,44.88
2021-04-16,6.432916666666667,4392388000000000.0,14.66,45.46
2021-04-17,2.8791666666666664,5538770000000000.0,17.18,45.28
2021-04-18,7.185416666666668,2880660000000000.0,17.17,45.06
2021-04-19,4.01625,4330480000000000.0,17.16,45.59
2021-04-20,3.178333333333333,3693452000000000.0,47.06,44.56
2021-04-21,4.71375,4290722000000000.0,38.55,45.16
2021-04-22,6.4725,7673780000000000.0,45.37,45.21
2021-04-23,7.539583333333333,4605322000000000.0,52.0,45.08
2021-04-24,3.959583333333334,5060670000000000.0,19.2,45.38
2021-04-25,3.30875,6824780000000000.0,19.24,45.45
2021-04-26,4.331666666666667,6533960000000000.0,19.22,45.16
2021-04-27,5.05375,3280234000000000.0,19.23,45.14
2021-04-28,13.87625,4947980000000000.0,19.23,45.48
2021-04-29,7.391249999999999,4718004000000000.0,31.36,45.32
2021-04-30,4.37,4387906000000000.0,32.32,44.83
2021-05-01,4.973750000000001,4068490000000000.0,35.36,35.45
2021-05-02,3.919583333333334,4027964000000000.0,32.59,32.34
2021-05-03,8.545833333333333,6231970000000000.0,35.18,44.52
2021-05-04,7.648333333333331,-855093000000000.0,33.67,41.68
2021-05-05,7.502083333333334,5420710000000000.0,18.98,44.33
2021-05-06,8.781666666666665,3442118000000000.0,18.93,45.07
2021-05-07,5.584166666666666,3855794000000000.0,26.98,45.44
2021-05-08,5.67875,6106000000000000.0,19.05,45.17
2021-05-09,4.935833333333334,5310500000000000.0,18.85,45.41
2021-05-10,6.810416666666668,5678840000000000.0,18.19,45.11
2021-05-11,4.56375,6673090000000000.0,17.23,45.08
2021-05-12,5.300833333333332,5998810000000000.0,17.23,45.45
2021-05-13,8.785416666666666,3981270000000000.0,16.88,45.07
2021-05-14,8.374166666666667,5638100000000000.0,18.19,44.91
2021-05-15,2.023333333333333,3710638000000000.0,23.97,42.24
2021-05-16,2.4216666666666664,3089766000000000.0,23.37,40.63
2021-05-17,1.81125,4882750000000000.0,20.35,43.13
2021-05-18,2.40625,3500270000000000.0,21.63,44.8
2021-05-19,5.743333333333332,4209318000000000.0,21.84,44.8
2021-05-20,3.8754166666666654,-298043000000000.0,19.73,45.11
2021-05-21,5.257916666666667,5350290000000000.0,21.93,44.67
2021-05-22,3.807916666666667,4203540000000000.0,20.61,45.0
2021-05-23,2.625833333333333,4054880000000000.0,23.14,44.79
2021-05-24,2.228333333333333,4815860000000000.0,21.8,44.61
2021-05-25,3.3225,4655020000000000.0,21.29,45.35
2021-05-26,4.220416666666667,4521730000000000.0,17.66,45.21
2021-05-27,4.140416666666667,5988410000000000.0,2.69,45.46
2021-05-28,4.4679166666666665,5714890000000000.0,2.7,45.35
2021-05-29,4.770416666666667,3589288000000000.0,2.69,44.97
2021-05-30,6.241666666666666,5660040000000000.0,2.69,45.31
2021-05-31,9.615416666666668,4911184000000000.0,2.69,45.43
2021-06-01,9.923333333333332,4519190000000000.0,2.67,44.33
2021-06-02,12.097083333333332,5081440000000000.0,10.64,44.41
2021-06-03,7.522916666666667,4273262000000000.0,17.65,29.15
2021-06-04,9.364166666666666,4412940000000000.0,19.01,16.85
2021-06-05,6.167083333333332,-212690000000000.0,18.53,27.67
2021-06-06,7.973333333333334,3522710000000000.0,17.97,27.75
2021-06-07,5.708750000000001,3737382000000000.0,22.63,27.1
2021-06-08,7.53,4323360000000000.0,23.09,27.52
2021-06-09,8.108749999999999,5964130000000000.0,17.02,27.55
2021-06-10,8.542916666666667,4354680000000000.0,13.72,27.31
2021-06-11,3.3000000000000007,3576074000000000.0,15.24,27.39
2021-06-12,5.215000000000001,4772840000000000.0,13.56,27.59
2021-06-13,4.737916666666667,4736910000000000.0,12.86,27.72
2021-06-14,5.7629166666666665,4238568000000000.0,15.24,28.06
2021-06-15,3.3233333333333337,3586200000000000.0,16.43,27.6
2021-06-16,2.577916666666667,4050382000000000.0,15.16,27.58
2021-06-17,3.0362500000000003,3629030000000000.0,14.38,27.34
2021-06-18,2.2070833333333337,4456600000000000.0,42.41,27.44
2021-06-19,1.70125,3901504000000000.0,40.05,27.64
2021-06-20,2.967083333333333,3790460000000000.0,61.38,27.61
2021-06-21,5.66875,-306703000000000.0,42.58,27.45
2021-06-22,7.3775,3793042000000000.0,29.33,27.28
2021-06-23,8.524583333333336,4518798000000000.0,13.08,27.45
2021-06-24,8.278333333333334,4047018000000000.0,16.9,27.24
2021-06-25,10.70375,4372710000000000.0,19.85,27.29
2021-06-26,5.6275,4251160000000000.0,20.23,31.79
2021-06-27,4.442916666666667,3802544000000000.0,19.76,30.99
2021-06-28,8.155416666666667,4347292000000000.0,28.48,27.38
2021-06-29,11.096249999999998,4033780000000000.0,27.32,27.58
2021-06-30,10.114583333333332,3588634000000000.0,19.66,27.34
2021-07-01,8.558333333333334,3659624000000000.0,14.27,27.41
2021-07-02,3.905833333333334,3725398000000000.0,11.6,26.99
2021-07-03,4.328333333333334,3854230000000000.0,15.7,27.33
2021-07-04,6.394583333333332,4433820000000000.0,18.34,27.4
2021-07-05,4.680000000000001,3768026000000000.0,20.1,27.48
2021-07-06,5.239166666666667,4106630000000000.0,26.17,27.44
2021-07-07,6.672083333333333,4090470000000000.0,15.25,27.4
2021-07-08,6.995416666666665,3820096000000000.0,11.86,27.49
2021-07-09,7.095416666666666,4483124000000000.0,23.71,27.17
2021-07-10,6.62,3288994000000000.0,12.41,25.04
2021-07-11,6.09,3595524000000000.0,7.8,27.55
2021-07-12,4.004583333333333,3712600000000000.0,8.87,27.61
2021-07-13,10.51625,3297690000000000.0,8.07,27.37
2021-07-14,11.04,3443782000000000.0,7.25,27.51
2021-07-15,9.545,4538560000000000.0,5.98,27.53
2021-07-16,6.286666666666666,3589056000000000.0,12.11,27.67
2021-07-17,6.332083333333331,3585220000000000.0,20.62,27.27
2021-07-18,5.227916666666666,3909528000000000.0,16.61,27.37
2021-07-19,8.0125,3753900000000000.0,20.75,27.68
2021-07-20,7.930000000000001,4559644000000000.0,14.67,27.82
2021-07-21,4.398750000000001,3700938000000000.0,15.26,27.37
2021-07-22,6.0225,4230384000000000.0,13.77,27.67
2021-07-23,7.361250000000002,3384430000000000.0,13.04,18.47
2021-07-24,5.840416666666667,3943678000000000.0,9.66,16.62
2021-07-25,6.304166666666666,3463958000000000.0,10.31,16.04
2021-07-26,4.996666666666667,3766322000000000.0,18.91,10.66
2021-07-27,4.093750000000001,2699560000000000.0,12.21,3.84
2021-07-28,5.362916666666667,3530392000000000.0,16.05,3.51
2021-07-29,7.771250000000002,3276712000000000.0,16.33,3.88
2021-07-30,8.800416666666669,3329902000000000.0,9.08,4.49
2021-07-31,2.35125,4009402000000000.0,7.48,3.76
2021-08-01,4.2420833333333325,3712004000000000.0,11.15,3.38
2021-08-02,5.869583333333334,4407752000000000.0,11.97,4.41
2021-08-03,6.84,3685798000000000.0,21.7,4.42
2021-08-04,8.345833333333333,4503098000000000.0,20.16,4.04
2021-08-05,8.155833333333332,3887838000000000.0,4.24,4.08
2021-08-06,5.612916666666666,4186100000000000.0,12.1,4.0
2021-08-07,5.049166666666667,3633804000000000.0,17.36,3.71
2021-08-08,7.89375,1188330000000000.0,7.44,3.7
2021-08-09,9.496250000000002,3153094000000000.0,11.44,3.86
2021-08-10,11.909583333333332,3909204000000000.0,11.33,3.77
2021-08-11,7.419166666666666,3387638000000000.0,9.49,3.59
2021-08-12,7.254583333333334,3258430000000000.0,42.98,3.56
2021-08-13,6.367083333333333,3741916000000000.0,68.89,3.34
2021-08-14,6.055000000000001,3684316000000000.0,36.99,3.36
2021-08-15,5.764583333333334,3694426000000000.0,28.3,3.23
2021-08-16,6.408749999999998,3830752000000000.0,21.29,3.87
2021-08-17,10.08375,4190440000000000.0,23.85,4.01
2021-08-18,6.809166666666666,3880502000000000.0,55.54,3.85
2021-08-19,9.217083333333337,3612548000000000.0,16.36,4.09
2021-08-20,9.639583333333333,4100066000000000.0,8.14,4.29
2021-08-21,6.766249999999999,4127422000000000.0,7.66,6.92
2021-08-22,6.760833333333333,3904086000000000.0,18.76,5.8
2021-08-23,6.666666666666667,3836780000000000.0,21.82,4.74
2021-08-24,7.527916666666667,263270000000000.0,33.87,4.63
2021-08-25,6.657499999999999,3325256000000000.0,44.48,4.05
2021-08-26,10.42125,4114738000000000.0,34.25,4.45
2021-08-27,9.35625,3460366000000000.0,31.03,5.31
2021-08-28,5.956666666666666,2915790000000000.0,25.02,14.97
2021-08-29,3.879166666666667,3909544000000000.0,14.17,3.68
2021-08-30,7.387083333333334,4013862000000000.0,11.35,3.92
2021-08-31,9.956666666666669,3241726000000000.0,22.24,3.75
2021-09-01,5.203749999999999,3559082000000000.0,22.81,5.99
2021-09-02,6.243750000000001,3589460000000000.0,37.5,7.15
2021-09-03,7.666250000000001,3630552000000000.0,50.27,6.09
2021-09-04,8.954583333333332,3702052000000000.0,67.71,4.62
2021-09-05,8.1,3997616000000000.0,65.22,4.11
2021-09-06,7.23875,3937958000000000.0,26.22,5.13
2021-09-07,8.549999999999999,3784562000000000.0,8.88,5.88
2021-09-08,2.8258333333333336,4584020000000000.0,64.17,4.29
2021-09-09,5.1475,4031120000000000.0,22.95,4.21
2021-09-10,3.5362500000000003,3888694000000000.0,13.69,3.74
2021-09-11,2.98,4198382000000000.0,12.78,4.63
2021-09-12,6.502500000000001,4717432000000000.0,18.19,4.62
2021-09-13,7.881249999999999,4256842000000000.0,13.4,4.68
2021-09-14,5.598333333333333,3704298000000000.0,13.61,4.05
2021-09-15,3.776666666666666,4712262000000000.0,26.51,4.61
2021-09-16,4.66375,3954082000000000.0,14.12,4.24
2021-09-17,6.5625,3857670000000000.0,28.21,4.55
2021-09-18,5.357916666666667,3819624000000000.0,45.43,4.11
2021-09-19,6.369583333333334,2670290000000000.0,53.08,6.24
2021-09-20,8.818749999999998,4361950000000000.0,31.06,3.94
2021-09-21,11.671666666666669,3856188000000000.0,20.33,4.46
2021-09-22,9.26333333333333,4117410000000000.0,30.47,4.71
2021-09-23,10.846250000000005,3729058000000000.0,5.41,4.47
2021-09-24,7.895833333333332,3720810000000000.0,4.85,5.33
2021-09-25,8.523749999999998,3780522000000000.0,5.05,5.54
2021-09-26,4.44375,3841854000000000.0,4.77,5.76
2021-09-27,5.546666666666667,3268602000000000.0,8.26,5.76
2021-09-28,9.284583333333332,3389288000000000.0,5.75,4.59
2021-09-29,7.491666666666666,3405760000000000.0,5.05,4.91
2021-09-30,8.669583333333332,3912780000000000.0,4.54,20.7
2021-10-01,7.523333333333333,5578740000000000.0,4.55,16.24
2021-10-02,6.8254166666666665,6181420000000000.0,4.99,5.98
2021-10-03,7.617499999999999,3544570000000000.0,7.45,6.86
2021-10-04,7.9975,4926934000000000.0,27.79,8.84
2021-10-05,10.98375,4719370000000000.0,70.35,18.46
2021-10-06,4.970833333333333,3518354000000000.0,30.72,6.58
2021-10-07,7.442499999999998,4400940000000000.0,42.53,28.02
2021-10-08,7.493333333333333,3238230000000000.0,31.48,26.85
2021-10-09,7.616666666666667,4137540000000000.0,26.31,20.89
2021-10-10,10.246666666666666,4167090000000000.0,21.79,16.83
2021-10-11,7.363749999999999,3679856000000000.0,37.32,7.79
2021-10-12,9.030833333333332,4417220000000000.0,51.9,6.84
2021-10-13,6.984166666666667,3917272000000000.0,29.31,8.16
2021-10-14,6.860416666666667,3724100000000000.0,43.19,10.15
2021-10-15,5.687500000000001,3944342000000000.0,25.92,25.22
2021-10-16,5.709166666666668,3823478000000000.0,17.32,8.35
2021-10-17,4.436250000000001,4236752000000000.0,5.85,23.85
2021-10-18,5.78,3723480000000000.0,5.56,18.18
2021-10-19,7.668333333333333,1936680000000000.0,13.78,7.1
2021-10-20,10.753333333333336,3767398000000000.0,55.16,10.42
2021-10-21,12.470833333333331,3791470000000000.0,48.11,8.92
2021-10-22,18.14333333333333,3845328000000000.0,49.53,10.01
2021-10-23,13.531249999999998,3997420000000000.0,128.23,9.13
2021-10-24,9.415,1998240000000000.0,233.37,8.82
2021-10-25,11.315833333333332,3397228000000000.0,140.82,9.39
2021-10-26,6.671666666666667,2216070000000000.0,106.8,8.72
2021-10-27,4.879583333333333,3643896000000000.0,85.42,9.15
2021-10-28,4.104166666666667,3911174000000000.0,25.96,6.59
2021-10-29,3.97875,3903996000000000.0,26.97,7.55
2021-10-30,4.3825,4152150000000000.0,17.57,13.93
2021-10-31,6.9975,3923606000000000.0,9.71,17.93
2021-11-01,9.269166666666669,4451080000000000.0,25.19,19.42
2021-11-02,6.425416666666668,4179820000000000.0,33.75,19.33
2021-11-03,6.7825,3914522000000000.0,26.58,18.4
2021-11-04,7.140000000000001,3734920000000000.0,18.6,18.11
2021-11-05,5.798333333333333,3948226000000000.0,18.98,17.56
2021-11-06,4.075833333333335,4362500000000000.0,17.57,17.48
2021-11-07,5.11,4011226000000000.0,14.95,17.4
2021-11-08,5.507499999999999,5004490000000000.0,18.3,17.42
2021-11-09,6.074166666666667,4297930000000000.0,17.45,16.61
2021-11-10,5.717500000000001,3224458000000000.0,11.89,18.29
2021-11-11,4.259583333333334,3552010000000000.0,12.52,18.78
2021-11-12,3.21625,3337726000000000.0,17.85,19.72
2021-11-13,2.745833333333333,3409244000000000.0,19.8,18.94
2021-11-14,3.9216666666666655,3476828000000000.0,22.95,18.13
2021-11-15,5.483333333333333,3734914000000000.0,19.65,19.11
2021-11-16,3.5054166666666675,3593894000000000.0,26.5,17.76
2021-11-17,4.5683333333333325,3678186000000000.0,37.0,17.03
2021-11-18,10.579999999999998,4056930000000000.0,28.55,18.74
2021-11-19,5.2725,4213554000000000.0,23.57,19.11
2021-11-20,3.373333333333333,4869834000000000.0,24.06,17.49
2021-11-21,3.304583333333333,3951032000000000.0,30.67,16.73
2021-11-22,12.225833333333332,3836420000000000.0,21.95,18.7
2021-11-23,14.820833333333333,4205342000000000.0,53.05,18.24
2021-11-24,13.014583333333334,3923610000000000.0,63.36,17.04
2021-11-25,10.103333333333332,5269330000000000.0,56.82,17.61
2021-11-26,13.200833333333334,3281310000000000.0,51.91,17.59
2021-11-27,5.899166666666667,2486400000000000.0,38.25,18.2
2021-11-28,4.414166666666668,3317770000000000.0,36.52,17.53
2021-11-29,4.232083333333334,3494340000000000.0,44.79,16.84
2021-11-30,3.838333333333333,3671636000000000.0,42.78,16.73
2021-12-01,4.850416666666667,3843282000000000.0,48.27,16.41
2021-12-02,5.035416666666668,4604478000000000.0,38.87,16.67
2021-12-03,10.487500000000002,3948534000000000.0,36.01,16.77
2021-12-04,12.622916666666669,3923540000000000.0,25.1,16.9
2021-12-05,8.258333333333331,4351394000000000.0,31.19,19.85
2021-12-06,12.679166666666667,3703570000000000.0,39.59,17.75
2021-12-07,10.342083333333331,3681204000000000.0,37.45,15.82
2021-12-08,12.781249999999998,3541414000000000.0,44.96,16.8
2021-12-09,17.617916666666666,3431822000000000.0,37.13,17.7
2021-12-10,17.4275,4277300000000000.0,32.91,18.04
2021-12-11,9.68875,1911010000000000.0,37.83,16.96
2021-12-12,5.589583333333335,3287158000000000.0,53.39,17.61
2021-12-13,15.677083333333336,4137920000000000.0,44.83,17.63
2021-12-14,7.553333333333334,3570072000000000.0,35.57,17.22
2021-12-15,20.38833333333333,3839162000000000.0,37.28,16.09
2021-12-16,18.390416666666663,3384156000000000.0,34.22,16.34
2021-12-17,16.324583333333333,3279710000000000.0,36.8,17.56
2021-12-18,8.082083333333335,4037524000000000.0,25.12,17.19
2021-12-19,11.125416666666668,3417340000000000.0,26.56,16.41
2021-12-20,19.19083333333334,4387210000000000.0,38.69,17.0
2021-12-21,20.519583333333333,3496630000000000.0,39.65,17.49
2021-12-22,20.32083333333333,4712680000000000.0,36.57,19.47
2021-12-23,19.54208333333333,3804364000000000.0,45.41,20.02
2021-12-24,15.285833333333334,3316900000000000.0,33.84,22.07
2021-12-25,13.27375,4095074000000000.0,21.93,19.36
2021-12-26,13.3175,2414240000000000.0,27.21,18.93
2021-12-27,20.54958333333333,3360910000000000.0,33.23,18.6
2021-12-28,7.185000000000002,3656686000000000.0,16.34,18.41
2021-12-29,10.647916666666667,3590390000000000.0,11.56,16.26
2021-12-30,5.1937500000000005,3739700000000000.0,14.29,16.64
2021-12-31,11.250833333333333,3675962000000000.0,15.96,19.1
