date,open_NO2,sate_NO2,"Jawahar Nagar, Puducherry - PPCC"
2021-03-29,10.887916666666667,4198970000000000.0,8.21
2021-03-30,10.882083333333332,3672082000000000.0,8.31
2021-03-31,11.413333333333334,4416670000000000.0,7.65
2021-04-01,10.259583333333332,3767540000000000.0,6.22
2021-04-02,9.939166666666669,2644816000000000.0,8.33
2021-04-03,8.136250000000002,5683620000000000.0,6.07
2021-04-04,4.405,-976071000000000.0,7.28
2021-04-05,4.923750000000001,4695450000000000.0,8.57
2021-04-06,8.239166666666668,3945252000000000.0,5.66
2021-04-07,7.3112499999999985,3650820000000000.0,6.56
2021-04-08,6.559166666666666,1165050000000000.0,9.44
2021-04-09,5.243333333333333,4197700000000000.0,7.43
2021-04-10,6.310833333333332,2518550000000000.0,7.91
2021-04-11,4.0512500000000005,3551480000000000.0,7.69
2021-04-12,8.069583333333334,2981960000000000.0,5.44
2021-04-13,6.694583333333331,3913346000000000.0,6.78
2021-04-14,12.601250000000002,2136740000000000.0,6.46
2021-04-15,33.05125,4231046000000000.0,12.83
2021-04-16,16.763333333333335,4667840000000000.0,9.35
2021-04-17,7.621250000000001,4816470000000000.0,7.43
2021-04-18,8.447916666666668,5027948000000000.0,5.46
2021-04-19,11.231666666666667,5264890000000000.0,6.56
2021-04-20,7.817916666666668,-95926714400.0,6.19
2021-04-21,8.404583333333333,5135130000000000.0,5.75
2021-04-22,6.303333333333334,3953652000000000.0,6.35
2021-04-23,9.292500000000002,3821830000000000.0,7.67
2021-04-24,8.491666666666669,2592300000000000.0,5.28
2021-04-25,3.844583333333334,3741590000000000.0,3.89
2021-04-26,5.630833333333334,4630670000000000.0,4.96
2021-04-27,5.896666666666667,5093480000000000.0,5.15
2021-04-28,6.065833333333334,4817290000000000.0,6.35
2021-04-29,7.928333333333334,3809962000000000.0,5.89
2021-04-30,5.753749999999999,4224940000000000.0,4.92
2021-05-01,4.765833333333333,4528134000000000.0,5.48
2021-05-02,2.8008333333333333,3405630000000000.0,4.87
2021-05-03,4.91125,2608300000000000.0,4.67
2021-05-04,11.407083333333333,2956506000000000.0,6.01
2021-05-05,6.112083333333332,4370850000000000.0,7.57
2021-05-06,2.958333333333333,1903880000000000.0,5.6
2021-05-07,5.405,4267170000000000.0,4.91
2021-05-08,3.9604166666666663,3559866000000000.0,6.05
2021-05-09,4.608333333333333,2700860000000000.0,6.94
2021-05-10,10.249583333333335,2624020000000000.0,6.19
2021-05-11,13.480000000000002,4876410000000000.0,5.66
2021-05-12,12.49125,6588400000000000.0,4.36
2021-05-13,14.040416666666667,4287870000000000.0,3.97
2021-05-14,11.2325,6458790000000000.0,5.88
2021-05-15,19.890833333333333,3164728000000000.0,5.53
2021-05-16,13.427916666666665,2471332000000000.0,4.89
2021-05-17,8.668333333333331,4378002000000000.0,6.32
2021-05-18,8.569583333333334,3403800000000000.0,4.72
2021-05-19,15.07625,3814340000000000.0,4.21
2021-05-20,20.90375,2630290000000000.0,7.53
2021-05-21,27.904166666666672,3164353600000000.0,9.94
2021-05-22,14.573749999999997,3279332000000000.0,9.01
2021-05-23,13.58125,3626154000000000.0,8.06
2021-05-24,12.953333333333337,4734854000000000.0,9.44
2021-05-25,11.632083333333332,3936720000000000.0,6.7
2021-05-26,9.664166666666668,4451430000000000.0,7.22
2021-05-27,10.4625,3453610000000000.0,7.92
2021-05-28,7.054166666666667,3944580000000000.0,9.32
2021-05-29,6.027083333333333,4516140000000000.0,6.84
2021-05-30,6.682500000000001,3933940000000000.0,6.81
2021-05-31,7.182083333333334,3947784000000000.0,6.33
2021-06-01,10.155833333333332,4779200000000000.0,7.04
2021-06-02,16.590000000000003,4495854000000000.0,5.75
2021-06-03,15.007916666666668,7450400000000000.0,5.08
2021-06-04,15.255833333333332,4152510000000000.0,4.44
2021-06-05,23.037916666666664,4165542000000000.0,8.38
2021-06-06,14.990416666666665,4391450000000000.0,6.28
2021-06-07,10.405833333333334,384357000000000.0,6.32
2021-06-08,9.950833333333334,4248820000000000.0,8.05
2021-06-09,8.415000000000001,3754970000000000.0,10.44
2021-06-10,15.365416666666674,4052510000000000.0,9.0
2021-06-11,11.24875,4226460000000000.0,10.75
2021-06-12,10.972083333333332,3302530000000000.0,8.61
2021-06-13,5.975416666666665,3822160000000000.0,10.27
2021-06-14,15.769166666666669,3673865200000000.0,9.1
2021-06-15,11.687083333333332,5288280000000000.0,10.74
2021-06-16,9.7275,3341030000000000.0,9.76
2021-06-17,16.3575,4713710000000000.0,9.88
2021-06-18,16.534999999999997,3971354000000000.0,7.67
2021-06-19,10.564166666666669,4726020000000000.0,8.92
2021-06-20,8.3775,5009830000000000.0,9.43
2021-06-21,13.343333333333334,4192882000000000.0,8.22
2021-06-22,17.486666666666668,4874870000000000.0,9.76
2021-06-23,25.73375000000001,-3329720000000000.0,8.35
2021-06-24,20.68166666666666,4306470000000000.0,9.44
2021-06-25,8.649999999999999,966068000000000.0,11.37
2021-06-26,7.469166666666666,3442180000000000.0,9.23
2021-06-27,16.599999999999998,4252624000000000.0,10.31
2021-06-28,10.632916666666668,4332670000000000.0,9.68
2021-06-29,10.082083333333337,5266450000000000.0,5.1
2021-06-30,15.59625,3433730000000000.0,5.82
2021-07-01,17.417083333333334,6847080000000000.0,8.5
2021-07-02,11.691666666666665,1976112000000000.0,45.34
2021-07-03,15.884166666666667,5532210000000000.0,88.92
2021-07-04,14.204166666666667,4984410000000000.0,79.34
2021-07-05,9.993333333333334,5662440000000000.0,74.58
2021-07-06,12.344166666666666,7487580000000000.0,48.9
2021-07-07,21.76541666666667,2675712000000000.0,7.89
2021-07-08,12.195416666666668,4929520000000000.0,9.18
2021-07-09,20.694583333333338,-2868770000000000.0,8.9
2021-07-10,12.6025,3815730000000000.0,9.99
2021-07-11,20.1075,4923418000000000.0,9.58
2021-07-12,16.657083333333333,4333592000000000.0,9.61
2021-07-13,17.464999999999993,2130342000000000.0,14.14
2021-07-14,14.702083333333333,3819698000000000.0,9.85
2021-07-15,26.23333333333333,4457982000000000.0,12.2
2021-07-16,17.464583333333334,5903790000000000.0,8.26
2021-07-17,14.628749999999998,4018494000000000.0,7.66
2021-07-18,18.51583333333333,3377616000000000.0,7.73
2021-07-19,11.05958333333333,5363490000000000.0,8.21
2021-07-20,9.850416666666666,3852984000000000.0,13.13
2021-07-21,7.611250000000001,3632572000000000.0,11.63
2021-07-22,11.477083333333336,3205620000000000.0,8.58
2021-07-23,20.76375,3044166000000000.0,12.69
2021-07-24,13.22,4773660000000000.0,8.29
2021-07-25,16.963333333333335,7911000000000000.0,8.57
2021-07-26,11.67875,4175750000000000.0,8.05
2021-07-27,17.475833333333334,4602900000000000.0,9.1
2021-07-28,10.839583333333332,4346760000000000.0,9.45
2021-07-29,9.972500000000002,3117550000000000.0,15.39
2021-07-30,11.94375,4802010000000000.0,13.48
2021-07-31,8.469166666666668,4632620000000000.0,16.67
2021-08-01,11.250416666666666,5515000000000000.0,11.83
2021-08-02,11.529583333333337,4859860000000000.0,11.91
2021-08-03,10.888749999999996,4628038000000000.0,16.06
2021-08-04,7.3525,4889890000000000.0,17.15
2021-08-05,13.090000000000002,4704236000000000.0,11.5
2021-08-06,15.643333333333333,2891628000000000.0,9.34
2021-08-07,15.66666666666667,4030330000000000.0,11.39
2021-08-08,8.560833333333331,3224162000000000.0,7.77
2021-08-09,9.77,5466960000000000.0,8.15
2021-08-10,15.260833333333336,1039810000000000.0,11.79
2021-08-11,18.22458333333333,3111210000000000.0,13.75
2021-08-12,12.025,2323110000000000.0,9.75
2021-08-13,14.12083333333333,3170040000000000.0,11.08
2021-08-14,16.443749999999998,2808400000000000.0,10.76
2021-08-15,23.56,324127600000000.0,8.38
2021-08-16,18.519166666666667,1782218000000000.0,10.4
2021-08-17,18.500833333333336,6435540000000000.0,6.04
2021-08-18,24.49541666666666,4899570000000000.0,5.54
2021-08-19,21.723333333333333,3965112000000000.0,6.35
2021-08-20,9.02166666666667,4698978000000000.0,10.35
2021-08-21,16.20208333333333,4793498000000000.0,16.5
2021-08-22,12.324583333333337,5693770000000000.0,6.15
2021-08-23,20.404166666666665,3905190000000000.0,6.92
2021-08-24,16.18916666666667,3745562000000000.0,6.78
2021-08-25,15.290416666666667,3004830000000000.0,5.06
2021-08-26,11.224583333333332,6059590000000000.0,5.41
2021-08-27,20.8275,3628770000000000.0,10.76
2021-08-28,18.405833333333334,2705238000000000.0,6.64
2021-08-29,16.04166666666666,3501282000000000.0,5.72
2021-08-30,21.44583333333333,2734010000000000.0,9.24
2021-08-31,14.452916666666669,3113950000000000.0,8.75
2021-09-01,18.993333333333336,3564186000000000.0,9.09
2021-09-02,22.47041666666666,4216462000000000.0,10.43
2021-09-03,24.52791666666666,3481386000000000.0,8.13
2021-09-04,18.7825,2928007600000000.0,8.51
2021-09-05,20.170833333333334,4356990000000000.0,6.36
2021-09-06,12.737083333333333,4768514000000000.0,8.36
2021-09-07,23.2125,4051670000000000.0,5.44
2021-09-08,13.320833333333338,5848350000000000.0,5.02
2021-09-09,12.267916666666665,2819274000000000.0,8.14
2021-09-10,14.855000000000002,2868835600000000.0,6.0
2021-09-11,20.244583333333328,1590980000000000.0,6.96
2021-09-12,20.44375,3572860000000000.0,4.51
2021-09-13,22.131666666666664,3861828000000000.0,5.93
2021-09-14,13.881666666666668,4097230000000000.0,4.11
2021-09-15,18.0275,4936080000000000.0,3.88
2021-09-16,22.667083333333327,2526120000000000.0,8.23
2021-09-17,17.590833333333332,5179430000000000.0,9.89
2021-09-18,15.180416666666666,6225170000000000.0,8.03
2021-09-19,11.01791666666667,3991430000000000.0,4.93
2021-09-20,11.759583333333332,2894076000000000.0,5.48
2021-09-21,17.103749999999998,4481380000000000.0,5.81
2021-09-22,12.176249999999998,4640340000000000.0,6.66
2021-09-23,17.018333333333334,3378470000000000.0,5.28
2021-09-24,11.300833333333337,3961680000000000.0,9.18
2021-09-25,7.647500000000001,3728634000000000.0,6.0
2021-09-26,14.17,3255953600000000.0,7.56
2021-09-27,16.77875,1599220000000000.0,6.03
2021-09-28,21.52833333333333,3633070000000000.0,5.73
2021-09-29,11.602916666666664,3991206000000000.0,8.46
2021-09-30,14.21,3007000000000000.0,12.16
2021-10-01,6.97,122249000000000.0,8.76
2021-10-02,3.215833333333333,3596090000000000.0,7.61
2021-10-03,8.167916666666668,1517410000000000.0,7.35
2021-10-04,11.83875,3961200000000000.0,7.76
2021-10-05,21.691666666666677,3191736000000000.0,11.66
2021-10-06,20.46708333333333,4438866000000000.0,4.81
2021-10-07,30.59208333333333,6699000000000000.0,4.19
2021-10-08,32.6525,4330970000000000.0,7.47
2021-10-09,17.811666666666667,2609560000000000.0,8.09
2021-10-10,13.28291666666667,4317420000000000.0,8.45
2021-10-11,14.37333333333333,3713154000000000.0,15.12
2021-10-12,17.032083333333336,4775960000000000.0,17.26
2021-10-13,11.71625,-215522000000000.0,12.66
2021-10-14,25.21125,5014840000000000.0,5.55
2021-10-15,34.45833333333333,3014938000000000.0,11.06
2021-10-16,17.542083333333334,3455960000000000.0,3.87
2021-10-17,29.324583333333333,7270300000000000.0,8.63
2021-10-18,27.55625,2911898200000000.0,13.71
2021-10-19,24.74083333333333,3187440000000000.0,8.05
2021-10-20,30.641666666666666,5618370000000000.0,9.94
2021-10-21,19.592916666666664,3499230000000000.0,9.9
2021-10-22,10.37,4364246000000000.0,6.62
2021-10-23,22.862916666666663,4195030000000000.0,6.37
2021-10-24,17.090416666666666,3364642000000000.0,14.14
2021-10-25,13.964166666666666,3954280000000000.0,15.05
2021-10-26,9.46875,2884720000000000.0,17.7
2021-10-27,8.115833333333333,3338062000000000.0,14.69
2021-10-28,11.281666666666666,1174138000000000.0,17.46
2021-10-29,9.861666666666666,4653554000000000.0,13.95
2021-10-30,9.066666666666665,4624880000000000.0,12.34
2021-10-31,3.8025,4556340000000000.0,13.74
2021-11-01,3.9725,3700684000000000.0,11.55
2021-11-02,4.2175,7851020000000000.0,14.59
2021-11-03,7.020833333333335,3914624000000000.0,16.25
2021-11-04,22.405833333333334,4976414000000000.0,17.01
2021-11-05,13.02875,3899510000000000.0,10.01
2021-11-06,12.473749999999995,6455650000000000.0,11.86
2021-11-07,6.456799999999999,4689336000000000.0,11.14
2021-11-08,8.551249999999998,2578628000000000.0,12.89
2021-11-09,8.45333333333333,3339230000000000.0,15.15
2021-11-10,4.673333333333335,3678088000000000.0,10.37
2021-11-11,11.162916666666668,674667600000000.0,6.05
2021-11-12,21.705416666666665,3802566000000000.0,10.08
2021-11-13,35.98624999999999,3004874000000000.0,7.62
2021-11-14,23.69791666666666,3789586000000000.0,9.04
2021-11-15,16.107500000000005,2207124000000000.0,21.04
2021-11-16,11.697083333333332,4772078000000000.0,17.81
2021-11-17,15.795000000000002,3844014000000000.0,12.58
2021-11-18,8.379583333333334,3497640000000000.0,7.43
2021-11-19,19.22833333333333,3204932000000000.0,5.61
2021-11-20,25.70833333333333,6071480000000000.0,7.75
2021-11-21,11.05375,3702498000000000.0,17.41
2021-11-22,11.883333333333333,1947506000000000.0,15.52
2021-11-23,10.792916666666663,3957840000000000.0,10.33
2021-11-24,7.324166666666668,2088330000000000.0,13.89
2021-11-25,5.15625,4014494000000000.0,10.47
2021-11-26,9.65,3108108000000000.0,10.65
2021-11-27,3.95,1706150000000000.0,8.55
2021-11-28,2.35625,3147558000000000.0,11.42
2021-11-29,6.215,3059862000000000.0,16.53
2021-11-30,5.2995833333333335,4141340000000000.0,11.78
2021-12-01,4.467083333333333,3511910000000000.0,12.9
2021-12-02,8.891249999999998,4816792000000000.0,13.87
2021-12-03,17.91375,3223110000000000.0,19.47
2021-12-04,11.66125,2466940000000000.0,16.56
2021-12-05,10.70583333333333,3014980000000000.0,7.93
2021-12-06,20.2175,3868040000000000.0,12.0
2021-12-07,7.598333333333334,4527888000000000.0,16.4
2021-12-08,6.162916666666667,3626600000000000.0,12.27
2021-12-09,8.429166666666665,4312560000000000.0,12.93
2021-12-10,5.1345833333333335,2966190000000000.0,9.87
2021-12-11,2.672916666666667,4528914000000000.0,12.24
2021-12-12,3.9620833333333336,4692530000000000.0,7.25
2021-12-13,4.560416666666668,3294990000000000.0,12.32
2021-12-14,4.02875,3697692000000000.0,9.59
2021-12-15,7.062083333333334,3538090000000000.0,14.92
2021-12-16,7.4925,4104934000000000.0,14.59
2021-12-17,8.039583333333335,4573800000000000.0,15.66
2021-12-18,5.127916666666667,4327166000000000.0,15.64
2021-12-19,7.985416666666668,2809220000000000.0,14.77
2021-12-20,10.075833333333332,2337260000000000.0,17.49
2021-12-21,7.479166666666668,3402830000000000.0,18.53
2021-12-22,8.618333333333334,4433930000000000.0,27.91
2021-12-23,7.717916666666667,4006398000000000.0,32.33
2021-12-24,8.127083333333333,3188310000000000.0,20.15
2021-12-25,7.205416666666667,3721044000000000.0,20.1
2021-12-26,7.926666666666667,3073540000000000.0,18.68
2021-12-27,5.030833333333333,4945642000000000.0,16.72
2021-12-28,7.895833333333335,3077680000000000.0,16.55
2021-12-29,7.551666666666667,1830010000000000.0,16.12
2021-12-30,5.377916666666667,4414516000000000.0,14.88
2021-12-31,5.320833333333334,1759926000000000.0,15.06
