date,open_NO2,sate_NO2,"Jawahar Nagar, Puducherry - PPCC"
2020-11-24,3.03,2711888000000000.0,5.08
2020-11-25,6.381666666666667,3941174000000000.0,4.25
2020-11-26,16.151666666666667,1470635600000000.0,6.98
2020-11-27,8.275416666666667,3082838000000000.0,1.49
2020-11-28,4.0200000000000005,3708436000000000.0,1.57
2020-11-29,3.382083333333334,4803656000000000.0,4.15
2020-11-30,6.490416666666666,2408850000000000.0,7.02
2020-12-01,7.312083333333335,3750096000000000.0,7.53
2020-12-02,5.850833333333334,3782018000000000.0,9.01
2020-12-03,1.4804166666666665,3786204000000000.0,7.45
2020-12-04,1.5649999999999995,4003258000000000.0,7.9
2020-12-05,2.006249999999999,3691558000000000.0,4.82
2020-12-06,1.7695833333333333,3410108000000000.0,3.78
2020-12-07,2.3237499999999995,1757922000000000.0,4.97
2020-12-08,4.646666666666667,3757598000000000.0,13.74
2020-12-09,5.027916666666667,4117514000000000.0,18.11
2020-12-10,7.345833333333332,2886580000000000.0,21.04
2020-12-11,9.079166666666667,3432328000000000.0,14.45
2020-12-12,8.099166666666667,3433830000000000.0,21.79
2020-12-13,5.32875,4562992000000000.0,15.69
2020-12-14,6.5825000000000005,3822090000000000.0,15.75
2020-12-15,4.2629166666666665,5126980000000000.0,14.45
2020-12-16,3.0825,4538482000000000.0,10.37
2020-12-17,5.447499999999999,3682800000000000.0,3.73
2020-12-18,4.351666666666668,2978354000000000.0,4.33
2020-12-19,2.357083333333333,3934110000000000.0,3.61
2020-12-20,4.845,3527432000000000.0,14.49
2020-12-21,7.905416666666665,2486850000000000.0,18.57
2020-12-22,10.398333333333335,3544558000000000.0,10.82
2020-12-23,6.730416666666666,2078875800000000.0,13.46
2020-12-24,7.799166666666665,4108246000000000.0,12.96
2020-12-25,7.854583333333334,3776460000000000.0,11.49
2020-12-26,6.431666666666666,3762380000000000.0,10.22
2020-12-27,5.480416666666667,3658614000000000.0,8.48
2020-12-28,6.663749999999999,3546320000000000.0,9.22
2020-12-29,5.395416666666666,3343768000000000.0,6.3
2020-12-30,3.18,2725588000000000.0,4.73
2020-12-31,3.391666666666667,4972304000000000.0,3.38
2021-01-01,7.567083333333335,1988990000000000.0,3.45
2021-01-02,2.949583333333333,3870670000000000.0,6.26
2021-01-03,2.2425,3092250000000000.0,4.19
2021-01-04,2.4491666666666663,3531884000000000.0,5.47
2021-01-05,2.962916666666666,2902472000000000.0,7.51
2021-01-06,5.1466666666666665,3611838000000000.0,6.18
2021-01-07,3.6229166666666655,3784538000000000.0,7.92
2021-01-08,3.91,3082164000000000.0,8.19
2021-01-09,3.1704166666666667,4231496000000000.0,9.11
2021-01-10,4.903333333333334,3678046000000000.0,7.05
2021-01-11,10.933749999999998,2376058000000000.0,5.48
2021-01-12,2.9062500000000004,3920678000000000.0,15.62
2021-01-13,5.342083333333332,3731260000000000.0,16.01
2021-01-14,3.4133333333333336,3660458000000000.0,13.24
2021-01-15,6.412916666666667,3831032000000000.0,10.89
2021-01-16,4.8975,3371732000000000.0,15.73
2021-01-17,4.11875,4376560000000000.0,16.6
2021-01-18,7.782916666666668,2127890000000000.0,19.07
2021-01-19,7.359999999999999,3256692000000000.0,16.6
2021-01-20,6.515416666666667,3774484000000000.0,20.58
2021-01-21,6.288333333333334,4039532000000000.0,18.13
2021-01-22,5.559583333333333,2502730000000000.0,10.44
2021-01-23,5.509583333333333,4479474000000000.0,14.16
2021-01-24,7.3762500000000015,4352850000000000.0,16.61
2021-01-25,11.344166666666666,4136200000000000.0,20.75
2021-01-26,7.085000000000001,3680540000000000.0,19.14
2021-01-27,13.027499999999998,2041410000000000.0,21.48
2021-01-28,4.3075,3466018000000000.0,17.07
2021-01-29,4.668333333333333,2844140000000000.0,18.62
2021-01-30,3.3125,3021646000000000.0,17.66
2021-01-31,2.939166666666667,4094220000000000.0,14.06
2021-02-01,3.7695833333333337,4468046000000000.0,14.48
2021-02-02,3.27125,2306980000000000.0,17.45
2021-02-03,4.441666666666667,1690380000000000.0,16.82
2021-02-04,5.046666666666668,2655820000000000.0,19.63
2021-02-05,5.212083333333333,3862550000000000.0,19.27
2021-02-06,6.218333333333335,3780784000000000.0,18.8
2021-02-07,4.318333333333333,4281840000000000.0,16.33
2021-02-08,4.345416666666667,4718234000000000.0,11.99
2021-02-09,7.289166666666667,3985980000000000.0,21.5
2021-02-10,8.253749999999998,4121468000000000.0,22.53
2021-02-11,7.995,2354140000000000.0,23.15
2021-02-12,8.696666666666667,3392560000000000.0,19.88
2021-02-13,4.025416666666667,3096888000000000.0,20.3
2021-02-14,5.212916666666667,2205310000000000.0,13.3
2021-02-15,5.906666666666667,-3498620000000000.0,16.16
2021-02-16,5.035416666666667,4037100000000000.0,14.81
2021-02-17,4.522916666666667,3426338000000000.0,19.56
2021-02-18,5.15375,2767590000000000.0,17.14
2021-02-19,7.005416666666666,1520370000000000.0,14.22
2021-02-20,6.61,1447780000000000.0,11.94
2021-02-21,5.072916666666666,3215360000000000.0,12.79
2021-02-22,6.481250000000002,3028130000000000.0,13.76
2021-02-23,5.882916666666667,3290210000000000.0,18.62
2021-02-24,7.277499999999999,4614898000000000.0,17.26
2021-02-25,13.218333333333332,3379440000000000.0,13.89
2021-02-26,11.42875,3087556000000000.0,14.14
2021-02-27,8.73875,4437090000000000.0,12.3
2021-02-28,12.630833333333332,3652710000000000.0,11.19
2021-03-01,12.327916666666669,4434218000000000.0,10.46
2021-03-02,11.0475,3301340000000000.0,12.6
2021-03-03,8.215000000000002,-1229550000000000.0,15.93
2021-03-04,8.816249999999998,3516230000000000.0,12.75
2021-03-05,6.919999999999999,3811516000000000.0,11.78
2021-03-06,6.8670833333333325,2799030000000000.0,11.14
2021-03-07,3.2295833333333337,2180370000000000.0,9.8
2021-03-08,2.9641666666666677,2888470000000000.0,10.93
2021-03-09,2.8175000000000003,3021520000000000.0,9.03
2021-03-10,5.01125,2073450000000000.0,7.69
2021-03-11,6.11875,3082980000000000.0,7.38
2021-03-12,6.177499999999999,4230456000000000.0,11.07
2021-03-13,3.81125,2483100000000000.0,15.09
2021-03-14,6.480000000000001,3823652000000000.0,9.18
2021-03-15,5.163333333333333,3704360000000000.0,14.69
2021-03-16,9.022916666666664,2618410000000000.0,12.47
2021-03-17,8.222083333333336,4816600000000000.0,11.87
2021-03-18,7.235416666666667,2298570000000000.0,13.51
2021-03-19,7.006666666666667,2610950000000000.0,11.11
2021-03-20,6.719166666666666,5433860000000000.0,12.13
2021-03-21,5.919999999999999,4100498000000000.0,11.45
2021-03-22,5.765416666666667,3264780000000000.0,8.03
2021-03-23,6.532916666666668,2189150000000000.0,11.29
2021-03-24,7.69375,3098130000000000.0,14.13
2021-03-25,6.574999999999999,3939870000000000.0,9.96
2021-03-26,6.015,4561150000000000.0,9.73
2021-03-27,4.903333333333333,4330090000000000.0,9.69
2021-03-28,6.282499999999999,3131692000000000.0,9.11
