date,open_SO2,sate_SO2,"Rajbagh, Srinagar - JKSPCB"
2020-11-24,36.775,-0.169999987,18.41
2020-11-25,27.30458333333333,0.0063357102,2.1
2020-11-26,27.984583333333333,0.159940585,7.74
2020-11-27,30.55708333333334,-0.0023061002,8.53
2020-11-28,20.782499999999995,-0.009881074,9.83
2020-11-29,24.87125,0.053476964,12.05
2020-11-30,34.540416666666665,-0.104873739,5.99
2020-12-01,31.99791666666667,0.0233485094,6.61
2020-12-02,32.53458333333333,-0.019964337,8.99
2020-12-03,32.31458333333333,0.236820176,19.14
2020-12-04,33.78541666666666,-0.0096800369999999,12.18
2020-12-05,21.79583333333333,0.049920775,11.93
2020-12-06,18.914583333333336,-0.1016671121999999,14.75
2020-12-07,14.54416666666667,-0.00747956,17.97
2020-12-08,13.866666666666664,-0.0060306992,6.0
2020-12-09,26.90125,0.105743237,6.14
2020-12-10,30.666250000000005,-0.090059414,8.57
2020-12-11,22.297083333333333,0.0178232192,7.9
2020-12-12,16.22041666666667,0.001664191,5.18
2020-12-13,28.74,0.0057933984,2.92
2020-12-14,34.33166666666667,-0.025011148,3.26
2020-12-15,34.36333333333334,-0.0313531404,2.57
2020-12-16,29.75833333333334,-0.109955437,2.73
2020-12-17,31.899166666666662,-0.0200309009999999,3.34
2020-12-18,28.009583333333328,0.087812185,5.32
2020-12-19,19.90833333333333,0.193526447,7.86
2020-12-20,20.285833333333336,-0.0060415924,4.12
2020-12-21,27.28458333333332,0.058301147,3.13
2020-12-22,27.65666666666667,-0.0044014656,5.35
2020-12-23,31.144166666666667,0.128241733,5.37
2020-12-24,32.642916666666665,-0.0476394334,5.95
2020-12-25,27.045833333333345,0.044903446,6.42
2020-12-26,18.24458333333333,0.054853935,3.18
2020-12-27,18.283749999999998,0.0099435526,2.86
2020-12-28,31.212499999999995,-0.051743414,2.55
2020-12-29,24.745833333333337,-0.0018264826,6.65
2020-12-30,36.26916666666667,-0.085022286,11.63
2020-12-31,30.54708333333332,-0.0450767266,17.97
2021-01-01,31.947916666666675,-0.005081698,7.27
2021-01-02,24.711250000000007,-0.0047534214,18.08
2021-01-03,20.577916666666663,0.019922776,13.9
2021-01-04,25.52083333333333,0.049960386,11.41
2021-01-05,23.742500000000003,0.0200346562,8.24
2021-01-06,23.11125000000001,0.045012377,9.61
2021-01-07,26.58916666666667,-0.0133214494,8.01
2021-01-08,16.295833333333334,-0.031575065,10.0
2021-01-09,11.350416666666668,-0.0266428992,5.36
2021-01-10,13.736666666666666,0.110163398,5.17
