date,open_NO2,sate_NO2,"Manoharpur, Agra - UPPCB","Rohta, Agra - UPPCB","Sanjay Palace, Agra - UPPCB","Sector-3B Avas Vikas Colony, Agra - UPPCB","Shahjahan Garden, Agra - UPPCB","Shastripuram, Agra - UPPCB"
2021-08-15,7.0808333333333335,5307920000000000.0,2.01,10.04,13.04,1.29,13.04,1.29
2021-08-16,12.246666666666664,5013740000000000.0,1.65,16.11,13.22,3.62,13.22,3.62
2021-08-17,28.230416666666656,5883830000000000.0,3.47,19.39,12.03,3.4,12.03,3.4
2021-08-18,24.826666666666668,5187000000000000.0,4.56,11.39,11.39,4.04,11.39,4.04
2021-08-19,15.222916666666665,5326576000000000.0,3.86,9.06,9.06,4.18,9.06,4.18
2021-08-20,15.758749999999996,5500400000000000.0,1.81,6.98,6.98,2.46,6.98,2.46
2021-08-21,10.320833333333336,4753496000000000.0,2.39,6.8,6.8,4.05,6.8,4.05
2021-08-22,11.772916666666667,4922790000000000.0,1.92,6.41,6.41,1.91,6.41,1.91
2021-08-23,9.773333333333332,5152180000000000.0,1.79,7.07,7.07,2.02,7.07,2.02
2021-08-24,9.3925,7235640000000000.0,2.43,8.78,8.78,2.77,8.78,2.77
2021-08-25,5.88375,5409860000000000.0,2.12,8.51,8.51,2.04,8.51,2.04
2021-08-26,6.96875,5818580000000000.0,1.66,7.24,7.24,1.49,7.24,1.49
2021-08-27,12.485,4484980000000000.0,1.7,6.97,6.97,1.91,6.97,1.91
2021-08-28,20.61416666666667,4395000000000000.0,2.24,7.33,7.33,3.27,7.33,3.27
2021-08-29,11.256666666666666,4603682000000000.0,4.09,9.03,9.03,5.9,9.03,5.9
2021-08-30,11.375416666666666,5407062000000000.0,1.18,8.0,8.0,2.43,8.0,2.43
2021-08-31,14.622916666666663,5411340000000000.0,1.08,7.94,7.94,2.12,7.94,2.12
2021-09-01,13.499166666666666,5501030000000000.0,1.5,7.58,7.58,2.74,7.58,2.74
2021-09-02,16.262499999999996,5123550000000000.0,1.55,13.25,13.25,3.86,13.25,3.86
2021-09-03,17.258333333333333,4578220000000000.0,2.26,14.31,14.31,2.3,14.31,2.3
