date,open_SO2,sate_SO2,"Alipur, Delhi - DPCC","Anand Vihar, Delhi - DPCC","Ashok Vihar, Delhi - DPCC","Aya Nagar, Delhi - IMD","Bawana, Delhi - DPCC","Burari Crossing, Delhi - IMD","Chandni Chowk, Delhi - IITM","CRRI Mathura Road, Delhi - IMD",Dr,"DTU, Delhi - CPCB","Dwarka-Sector 8, Delhi - DPCC ","East Arjun Nagar, Delhi - CPCB","IGI Airport (T3), Delhi - IMD","IHBAS, Dilshad Garden, Delhi - CPCB","ITO, Delhi - CPCB","Jahangirpuri, Delhi - DPCC","Jawaharlal Nehru Stadium, Delhi - DPCC","Lodhi Road, Delhi - IITM","Lodhi Road, Delhi - IMD","Major Dhyan Chand National Stadium, Delhi - DPCC","Mandir Marg, Delhi - DPCC","Mundka, Delhi - DPCC","Najafgarh, Delhi - DPCC","Narela, Delhi - DPCC","Nehru Nagar, Delhi - DPCC","North Campus, DU, Delhi - IMD","NSIT Dwarka, Delhi - CPCB","Okhla Phase-2, Delhi - DPCC","Patparganj, Delhi - DPCC","Punjabi Bagh, Delhi - DPCC","Pusa, Delhi - DPCC","Pusa, Delhi - IMD","R K Puram, Delhi - DPCC","Rohini, Delhi - DPCC","Shadipur, Delhi - CPCB","Sirifort, Delhi - CPCB","Sonia Vihar, Delhi - DPCC","Sri Aurobindo Marg, Delhi - DPCC","Vivek Vihar, Delhi - DPCC","Wazirpur, Delhi - DPCC"
2020-11-24,59.96249999999999,-0.0819999986,12.09,11.6,11.55,14.8,12.68,8.07,17.89,17.36,17.36,4.21,34.75,9.63,34.75,8.08,17.89,8.07,16.67,16.67,16.67,13.58,4.56,16.57,5.74,12.53,10.95,11.55,31.85,17.36,2.6,12.56,14.37,14.37,14.8,5.38,8.56,12.4,8.95,7.78,14.45,10.29
2020-11-25,81.34041666666667,0.0619999967999999,16.48,7.89,15.64,10.92,21.96,7.68,21.79,18.97,18.97,6.09,23.76,24.14,23.76,19.27,21.79,7.68,22.25,22.25,22.25,19.3,10.63,27.73,7.46,23.74,20.36,15.64,25.65,18.97,5.56,3.67,29.33,29.33,10.92,12.39,12.62,7.46,16.09,28.23,19.12,7.67
2020-11-26,61.284166666666685,0.75,12.55,12.05,18.65,15.85,15.92,2.77,13.48,17.9,17.9,6.24,21.77,22.68,21.77,14.82,13.48,2.77,24.99,24.99,24.99,17.42,11.69,11.92,11.98,15.86,12.07,18.65,4.74,17.9,5.2,13.6,13.45,13.45,15.85,10.24,5.24,5.21,11.02,6.3,43.72,13.92
2020-11-27,39.547916666666666,-0.1140000159999999,18.06,18.45,14.61,17.91,29.25,0.72,16.14,17.25,17.25,15.11,20.14,18.45,20.14,10.93,16.14,0.72,28.84,28.84,28.84,20.31,22.76,25.71,22.03,18.06,2.05,14.61,4.99,17.25,7.65,9.64,9.72,9.72,17.91,13.88,9.72,8.1,11.11,9.3,24.02,14.01
2020-11-28,41.565,0.800000012,19.28,6.8,21.67,12.68,18.75,1.19,4.0,10.81,10.81,13.69,12.54,6.8,12.54,4.22,4.0,1.19,23.04,23.04,23.04,19.4,22.08,14.2,14.18,15.21,17.11,21.67,9.08,10.81,6.8,14.35,4.38,4.38,12.68,9.57,4.38,4.81,23.23,10.01,39.99,14.24
2020-11-29,82.09708333333336,-0.236000001,9.87,13.59,17.28,10.48,18.0,4.68,2.47,15.21,15.21,12.12,9.4,16.82,9.4,3.34,2.47,4.68,17.59,17.59,17.59,19.23,32.81,9.63,11.97,8.88,15.56,17.28,16.52,15.21,3.87,10.05,6.49,6.49,10.48,5.62,6.49,6.44,12.57,8.18,31.56,21.13
2020-11-30,71.22833333333334,0.319999993,8.31,11.48,10.28,9.43,3.09,2.84,4.15,9.87,9.87,6.91,7.59,25.2,7.59,6.28,4.15,2.84,8.43,8.43,8.43,11.32,39.16,4.44,12.17,9.6,7.23,10.28,7.59,9.87,4.24,21.11,12.44,12.44,9.43,1.86,10.12,10.46,6.28,4.83,25.22,14.77
2020-12-01,71.01916666666665,-0.1520000018,9.61,6.56,16.83,8.99,5.78,3.48,3.86,6.01,6.01,18.26,5.39,12.16,5.39,8.32,3.86,3.48,13.12,13.12,13.12,11.0,8.36,11.04,8.8,0.81,1.81,16.83,3.9,6.01,6.56,6.85,6.21,6.21,8.99,1.78,11.34,6.81,7.85,5.06,16.1,18.41
2020-12-02,51.38958333333333,-0.400000006,10.95,32.97,20.89,15.56,2.44,8.77,4.9,15.88,15.88,6.44,7.3,26.61,7.3,8.53,4.9,8.77,9.96,9.96,9.96,13.92,8.63,12.84,9.41,2.42,6.07,20.89,6.97,15.88,7.47,4.73,8.8,8.8,15.56,5.09,10.15,21.0,9.8,6.39,21.12,17.61
2020-12-03,112.7725,-0.07,18.21,45.31,20.84,16.14,7.05,16.37,35.97,21.25,21.25,7.18,13.2,32.74,13.2,17.13,35.97,16.37,25.21,25.21,25.21,18.63,12.18,18.91,13.25,16.32,9.77,20.84,9.06,21.25,9.26,20.36,18.15,18.15,16.14,8.73,13.97,38.63,15.51,9.21,39.02,24.79
