date,open_NO2,sate_NO2,"Alipur, Delhi - DPCC","Anand Vihar, Delhi - DPCC","Ashok Vihar, Delhi - DPCC","Aya Nagar, Delhi - IMD","Bawana, Delhi - DPCC","Burari Crossing, Delhi - IMD","Chandni Chowk, Delhi - IITM","CRRI Mathura Road, Delhi - IMD",Dr,"DTU, Delhi - CPCB","Dwarka-Sector 8, Delhi - DPCC ","East Arjun Nagar, Delhi - CPCB","IGI Airport (T3), Delhi - IMD","IHBAS, Dilshad Garden, Delhi - CPCB","ITO, Delhi - CPCB","Jahangirpuri, Delhi - DPCC","Jawaharlal Nehru Stadium, Delhi - DPCC","Lodhi Road, Delhi - IITM","Lodhi Road, Delhi - IMD","Major Dhyan Chand National Stadium, Delhi - DPCC","Mandir Marg, Delhi - DPCC","Mundka, Delhi - DPCC","Najafgarh, Delhi - DPCC","Narela, Delhi - DPCC","Nehru Nagar, Delhi - DPCC","North Campus, DU, Delhi - IMD","NSIT Dwarka, Delhi - CPCB","Okhla Phase-2, Delhi - DPCC","Patparganj, Delhi - DPCC","Punjabi Bagh, Delhi - DPCC","Pusa, Delhi - DPCC","Pusa, Delhi - IMD","R K Puram, Delhi - DPCC","Rohini, Delhi - DPCC","Shadipur, Delhi - CPCB","Sirifort, Delhi - CPCB","Sonia Vihar, Delhi - DPCC","Sri Aurobindo Marg, Delhi - DPCC","Vivek Vihar, Delhi - DPCC","Wazirpur, Delhi - DPCC"
2020-12-07,92.50624999999998,7011680000000000.0,32.13,66.18,43.86,21.03,28.82,50.48,36.25,17.07,87.45,22.96,50.5,50.9,46.5,69.85,49.47,50.48,34.0,35.31,7.06,49.47,61.95,37.04,24.33,40.95,72.49,26.11,30.79,53.81,24.48,50.26,57.26,52.69,53.06,21.61,84.18,49.49,37.64,28.45,34.06,44.91
2020-12-08,155.62708333333333,8619592000000000.0,26.5,84.06,50.6,15.51,41.58,54.02,37.67,23.76,79.89,28.59,53.15,71.84,40.69,86.73,53.04,54.02,30.12,25.68,6.69,53.04,59.65,34.4,16.49,40.79,74.04,28.1,31.98,58.18,33.2,44.39,70.89,49.4,50.97,23.63,86.72,47.37,48.91,27.62,35.77,48.24
2020-12-09,121.4408333333334,8613200000000000.0,35.94,96.71,60.62,19.43,39.98,63.43,35.64,26.98,82.79,29.94,62.02,83.97,55.19,98.74,59.8,63.43,32.63,29.66,6.93,59.8,67.38,45.75,16.05,50.67,77.01,29.26,37.31,64.99,37.9,57.63,71.13,62.04,57.18,30.26,107.07,55.12,56.01,28.07,38.87,62.3
2020-12-10,87.68124999999999,1.55e+16,52.42,110.85,68.67,27.89,59.76,81.85,23.09,31.32,91.11,35.44,74.36,100.95,92.28,112.01,71.13,81.85,35.61,67.58,7.8,71.13,78.96,50.8,22.69,63.86,95.57,33.46,44.92,74.15,43.57,60.36,71.99,76.14,65.64,40.84,126.18,72.94,67.73,29.53,40.36,69.7
2020-12-11,80.48374999999999,8274652000000000.0,61.48,117.87,76.68,32.01,64.22,92.04,50.57,40.42,109.91,41.07,81.99,119.59,113.29,127.47,74.78,92.04,31.91,54.51,7.08,74.78,86.31,57.58,14.2,80.46,97.17,36.25,54.14,86.27,50.29,75.75,83.31,104.18,65.91,47.26,149.62,101.34,72.39,31.76,41.8,78.81
2020-12-12,81.39708333333333,8298830000000000.0,29.12,19.81,53.51,19.11,33.53,61.18,13.88,14.22,76.0,118.77,56.25,61.7,44.98,79.29,51.31,61.18,48.39,27.66,6.54,51.31,67.58,32.62,31.0,46.6,76.02,45.12,30.34,54.29,28.18,67.21,52.38,22.15,46.47,27.93,86.02,42.54,48.15,29.03,38.39,44.11
2020-12-13,49.03875,7533242000000000.0,16.19,15.39,41.88,14.54,12.93,47.55,12.36,14.0,62.42,77.38,36.92,38.31,29.89,53.43,39.0,47.55,33.73,65.23,5.05,39.0,56.36,20.54,21.42,24.98,53.62,33.36,21.5,43.66,18.26,46.68,41.82,13.34,32.9,14.1,60.24,30.6,31.57,18.94,32.89,37.94
2020-12-14,76.32791666666665,7991240000000000.0,13.13,15.65,36.65,13.13,11.48,46.85,12.26,9.21,56.65,67.13,34.94,35.88,27.07,44.18,12.26,46.85,30.49,28.0,5.09,5.09,49.13,15.94,16.74,22.32,46.85,29.64,16.65,38.25,14.42,42.9,41.2,11.78,29.71,12.08,49.97,28.46,27.06,16.21,43.53,35.16
2020-12-15,78.34166666666668,7189594000000000.0,20.14,17.75,46.75,17.56,22.14,58.67,27.6,17.23,74.42,79.72,48.07,49.79,42.62,66.69,59.45,58.67,40.3,52.41,5.49,59.45,64.92,21.76,21.55,32.96,66.56,39.3,23.51,49.86,21.99,58.24,44.61,16.82,20.27,21.3,68.48,40.81,37.47,24.13,51.47,42.02
2020-12-16,52.86499999999999,7290640000000000.0,18.92,17.79,52.05,16.06,22.18,55.55,19.64,16.9,73.04,93.25,46.62,60.43,46.08,72.7,45.21,55.55,42.25,52.85,5.8,45.21,77.65,21.84,22.8,30.13,64.85,45.11,26.74,49.51,25.94,55.94,53.95,17.04,8.14,20.71,67.68,31.65,34.9,26.66,46.4,41.72
2020-12-17,49.116666666666674,9566020000000000.0,16.51,16.62,48.33,12.79,21.04,54.73,22.45,15.01,63.77,79.03,43.36,57.15,34.54,68.25,49.4,54.73,35.04,26.81,5.21,49.4,70.86,22.17,19.77,29.37,28.37,47.85,23.34,44.84,24.2,50.97,50.05,13.56,8.12,18.73,61.42,33.35,39.58,20.05,38.98,40.23
2020-12-18,55.50708333333333,7519580000000000.0,27.61,4.87,64.06,16.48,33.38,69.72,50.21,22.41,79.0,124.41,70.3,77.68,58.54,94.51,40.31,69.72,48.83,36.13,6.55,40.31,83.72,35.94,25.2,46.25,26.44,48.99,32.91,60.64,33.91,66.16,67.5,20.22,10.51,28.71,95.41,45.28,57.47,33.32,51.32,56.0
2020-12-19,44.08291666666668,8424090000000000.0,31.68,103.03,72.61,24.07,41.09,76.83,27.75,24.31,83.78,138.97,69.96,90.94,62.51,95.96,35.28,76.83,58.79,35.42,6.26,35.28,87.81,46.6,30.35,47.42,29.82,61.23,38.4,69.51,41.0,78.44,71.3,26.26,12.46,30.66,109.74,56.33,60.75,37.56,54.95,66.92
2020-12-20,52.93666666666667,6871248000000000.0,32.44,98.25,77.56,24.04,49.98,84.37,28.27,23.03,93.88,153.37,71.06,97.65,71.75,93.42,29.58,84.37,60.21,29.67,6.96,29.58,78.47,49.06,31.73,55.84,31.71,63.0,39.98,69.92,42.19,79.28,67.88,26.17,10.44,34.6,115.99,56.54,69.83,39.3,52.87,61.1
2020-12-21,82.62583333333333,1.25e+16,43.48,103.04,85.38,28.32,52.37,87.29,28.15,28.87,107.77,162.29,79.66,108.9,96.89,94.41,29.35,87.29,71.02,33.79,3.58,29.35,83.6,50.68,32.64,64.78,39.89,91.84,44.14,83.25,44.62,85.63,75.07,32.48,9.43,40.24,121.74,79.15,68.22,38.81,58.81,80.31
2020-12-22,114.41416666666667,8860044000000000.0,49.64,121.51,95.09,34.27,56.87,107.8,52.06,36.89,134.11,48.88,78.18,125.51,174.13,95.15,40.75,107.8,78.53,31.77,3.36,40.75,90.42,55.99,34.64,71.67,48.05,122.59,39.91,96.38,56.33,98.28,73.97,37.12,7.5,48.88,138.24,140.03,69.9,39.95,85.95,91.17
2020-12-23,123.3825,1.4e+16,52.2,127.06,90.97,37.23,57.31,87.97,41.61,41.2,149.12,43.33,95.33,105.27,206.93,82.54,52.97,87.97,85.6,37.74,6.68,52.97,89.81,55.02,35.08,69.49,54.1,167.9,46.37,108.5,54.3,95.62,88.39,41.88,8.68,43.33,141.13,176.33,59.05,45.55,71.34,86.67
2020-12-24,86.09625,1.1860352e+16,37.24,126.98,96.95,36.09,51.59,86.09,24.41,34.55,122.56,188.12,76.99,98.67,147.95,80.47,46.09,86.09,71.72,66.85,5.14,46.09,86.41,47.21,30.62,60.99,90.85,122.81,38.85,94.56,46.04,87.51,71.57,39.05,7.11,39.99,118.33,146.54,63.47,37.55,71.03,82.97
2020-12-25,75.40041666666666,7808510000000000.0,39.09,106.9,78.87,29.74,45.99,81.04,28.01,27.81,109.96,188.24,68.6,91.67,113.89,86.44,41.88,81.04,59.31,30.62,7.85,41.88,77.69,43.98,30.15,58.36,42.18,78.43,36.95,75.07,38.95,77.04,63.38,31.05,5.9,36.18,110.35,116.8,57.41,31.22,68.97,75.01
2020-12-26,85.31083333333335,1.5e+16,37.0,115.35,78.97,27.77,55.13,83.56,31.92,27.52,106.59,178.43,69.36,96.27,96.71,85.67,42.74,83.56,60.17,66.62,8.25,42.74,76.99,48.13,30.37,70.09,38.86,76.82,36.27,76.07,41.59,84.37,64.15,32.65,31.3,37.31,110.62,88.99,59.98,31.92,76.03,82.2
2020-12-27,61.377500000000005,9697496000000000.0,30.25,89.76,71.97,24.96,41.9,82.18,25.62,23.43,84.0,183.36,70.64,67.11,83.64,70.46,41.47,82.18,61.2,23.93,8.12,41.47,92.4,51.34,33.59,63.59,61.28,68.81,33.59,67.71,33.31,86.12,63.09,37.13,48.29,41.97,118.43,96.5,63.97,33.23,72.96,78.17
2020-12-28,70.91625,9540070000000000.0,27.49,70.73,52.25,21.88,27.5,105.6,25.98,17.2,79.76,107.26,50.36,47.88,57.89,52.35,36.88,105.6,42.85,65.4,7.92,36.88,62.24,30.38,29.48,42.95,31.81,50.35,29.08,53.84,21.25,62.08,55.43,24.51,49.96,21.3,74.01,40.85,39.71,28.71,60.82,58.56
2020-12-29,54.28625,1.2317682e+16,25.55,80.1,57.93,19.43,31.22,109.92,27.45,19.64,85.44,130.12,57.78,64.78,56.01,56.39,36.2,109.92,47.27,26.32,7.99,36.2,66.95,34.22,28.29,44.18,32.75,50.0,34.17,58.98,28.25,64.94,62.76,26.67,52.69,24.05,82.08,39.76,43.31,29.53,63.69,72.55
2020-12-30,79.17041666666667,9637690000000000.0,23.62,66.89,47.39,17.95,23.69,105.68,25.19,13.44,79.47,119.64,50.28,53.76,48.96,43.97,33.08,105.68,40.61,22.88,6.56,33.08,67.01,28.14,23.56,34.59,32.22,45.29,24.61,56.31,23.89,55.98,52.2,23.33,41.84,18.31,67.03,31.69,37.18,26.12,65.13,60.32
2020-12-31,99.79125,7012736000000000.0,29.48,101.23,68.75,26.25,31.73,114.68,31.34,17.02,92.73,151.81,56.14,93.47,70.61,61.99,38.47,114.68,52.27,26.73,8.36,38.47,72.57,39.75,27.06,42.69,68.87,70.38,39.8,64.18,38.93,68.22,57.73,47.09,53.04,30.08,88.11,56.19,61.17,32.81,83.19,81.54
2021-01-01,123.28208333333336,6493640000000000.0,25.72,97.6,79.21,28.48,43.46,104.69,14.46,21.03,94.56,160.61,86.76,99.07,134.19,82.55,48.18,104.69,76.5,27.01,10.12,48.18,105.25,62.11,57.21,48.34,57.28,142.06,42.35,73.61,47.13,113.9,76.46,110.89,65.69,41.79,178.37,101.37,75.11,40.98,71.68,95.75
2021-01-02,61.505833333333335,1.2641154e+16,31.53,90.35,83.13,21.89,52.85,84.47,73.51,9.35,73.07,200.05,81.29,87.75,76.65,96.58,45.84,84.47,71.21,44.54,5.67,45.84,96.5,76.25,49.34,61.55,45.09,92.5,27.41,60.07,38.18,101.37,62.44,80.65,67.66,50.71,132.13,46.17,89.64,49.18,73.17,94.33
2021-01-03,34.55041666666667,8918364000000000.0,20.62,60.04,47.16,13.83,28.58,53.48,54.67,5.49,58.44,170.95,55.09,58.41,48.56,51.75,32.51,53.48,45.99,35.04,3.81,32.51,68.74,59.4,34.7,38.19,40.48,55.77,13.17,48.54,23.71,67.07,40.83,51.96,47.83,27.49,66.99,30.27,52.27,34.9,60.63,58.79
2021-01-04,60.70583333333334,4643630000000000.0,20.07,73.46,46.12,13.08,24.26,44.95,34.13,9.46,68.29,153.98,58.01,64.67,51.54,41.46,34.24,44.95,47.69,38.05,7.05,34.24,66.08,71.01,30.3,33.89,25.02,56.77,67.6,66.64,29.81,62.8,49.15,53.22,35.88,22.45,66.57,34.87,40.63,31.34,52.3,62.41
2021-01-05,55.208333333333314,1.1520478e+16,12.88,56.34,38.13,13.66,21.73,35.3,31.5,5.83,67.36,122.66,51.68,48.82,53.44,31.54,31.43,35.3,42.42,17.76,5.13,31.43,55.13,31.05,33.1,30.35,15.67,43.15,55.96,45.34,24.92,52.13,36.99,46.46,49.75,19.93,56.72,32.73,34.16,33.38,38.45,54.27
2021-01-06,75.34291666666665,7930040000000000.0,17.85,55.27,38.42,13.6,26.67,31.71,24.06,11.91,51.78,142.71,44.17,50.01,51.59,28.57,30.02,31.71,35.8,62.3,7.55,30.02,50.45,26.89,24.28,28.84,10.55,55.56,24.95,39.95,23.05,52.81,39.92,48.03,40.39,24.44,57.1,37.12,33.85,29.69,30.05,50.49
2021-01-07,57.09291666666667,7329166000000000.0,10.28,53.06,34.15,8.85,15.95,31.08,13.51,17.2,55.63,98.87,35.27,38.55,35.51,26.55,27.92,31.08,27.7,8.46,8.76,27.92,45.56,11.86,17.44,19.4,17.4,22.07,21.69,37.11,18.44,39.17,38.79,32.29,28.86,15.5,39.97,26.45,21.72,19.72,24.54,46.35
2021-01-08,72.45875000000001,6915256000000000.0,14.08,60.25,42.51,15.19,22.96,36.35,30.41,10.84,65.9,102.61,43.24,50.52,42.51,39.08,33.25,36.35,40.12,25.01,12.4,33.25,55.4,19.43,21.51,28.35,15.41,18.54,15.97,57.54,25.48,47.48,41.11,48.12,42.85,17.07,54.49,33.86,30.55,35.24,32.33,52.02
2021-01-09,35.10875000000001,6896756000000000.0,13.35,63.96,44.32,14.33,18.47,41.14,17.42,24.98,63.04,108.43,45.79,54.89,42.85,46.53,35.73,41.14,33.74,12.96,13.13,35.73,60.64,15.85,18.03,21.78,13.53,17.82,18.89,50.21,28.03,43.73,40.89,45.27,36.4,15.94,53.26,26.63,30.5,33.0,29.26,51.33
2021-01-10,38.306666666666665,5472900000000000.0,11.29,58.42,37.38,10.25,23.59,38.66,14.71,18.52,49.76,93.31,39.87,46.63,34.69,41.94,27.29,38.66,23.76,10.3,10.26,27.29,50.02,20.27,13.65,18.34,13.41,15.64,14.32,38.6,21.55,37.4,35.51,33.2,25.93,12.76,38.1,17.33,27.22,22.63,11.11,44.28
2021-01-11,43.82583333333334,8243740000000000.0,15.72,72.35,44.85,13.12,26.81,44.9,16.31,21.05,50.89,105.07,47.17,53.7,37.66,54.44,32.79,44.9,31.09,12.68,11.94,32.79,55.31,22.15,15.86,23.96,16.07,15.3,15.17,44.11,26.3,45.71,44.83,39.93,32.5,16.45,40.1,18.37,34.79,22.89,10.31,56.29
2021-01-12,54.185833333333335,9440260000000000.0,17.99,77.41,50.73,17.31,24.44,49.09,16.06,27.54,68.99,111.52,60.66,65.45,69.4,63.33,36.64,49.09,39.62,27.1,10.45,36.64,53.62,26.16,22.35,31.36,26.62,13.12,13.37,57.9,32.51,57.11,41.65,38.9,41.19,20.73,59.13,52.92,41.39,25.35,12.87,64.33
2021-01-13,68.94625,1.85e+16,18.51,88.43,59.99,21.02,28.26,54.73,18.36,34.91,80.66,125.83,60.58,71.8,103.56,64.12,42.03,54.73,42.55,19.68,13.79,42.03,58.51,32.26,22.62,35.46,46.68,14.06,22.61,68.22,37.64,70.62,53.42,31.86,25.16,28.4,74.44,84.27,42.64,30.01,99.88,67.7
2021-01-14,134.60583333333332,6963034000000000.0,23.2,106.3,70.29,30.03,46.59,60.69,26.0,38.57,97.54,142.59,114.99,104.46,159.89,85.44,52.83,60.69,58.6,30.36,26.24,52.83,77.58,44.09,38.62,56.57,215.21,16.49,45.65,78.85,47.53,111.21,70.38,55.4,19.28,41.26,106.66,111.36,38.08,46.51,92.22,83.38
2021-01-15,168.45041666666663,1.59e+16,27.23,99.58,85.71,25.17,39.1,68.42,23.23,37.66,83.48,178.15,103.42,100.1,155.99,79.71,53.88,68.42,51.79,44.58,20.61,53.88,74.41,46.07,33.87,60.46,148.96,23.44,36.16,77.16,46.68,115.39,73.24,52.17,22.32,53.27,145.33,124.96,97.78,32.95,30.96,101.94
2021-01-16,66.70291666666667,7556694000000000.0,20.64,81.8,66.0,27.27,24.04,56.9,21.2,32.47,88.36,124.98,66.3,68.1,78.25,77.48,51.63,56.9,40.94,26.15,24.17,51.63,71.03,26.09,25.42,28.88,147.82,30.28,18.57,71.91,43.88,74.88,62.97,44.79,59.36,21.85,96.6,62.71,49.95,41.89,22.72,72.32
2021-01-17,41.54124999999999,6680310000000000.0,16.85,49.17,46.58,13.06,29.6,41.26,17.01,12.05,48.43,136.15,54.33,43.9,52.03,51.91,26.26,41.26,30.34,66.26,21.16,26.26,60.22,33.43,28.05,38.63,90.97,25.22,13.28,39.96,22.61,65.92,32.59,35.9,39.87,26.54,68.65,23.09,46.03,32.06,17.97,56.26
2021-01-18,64.79,1.0381628e+16,26.15,66.76,54.7,14.32,39.45,49.96,14.71,13.52,53.83,210.31,64.87,62.38,83.57,47.53,27.9,49.96,54.07,21.73,19.34,27.9,61.07,41.75,28.97,44.63,88.73,24.3,14.53,48.53,26.94,111.44,36.07,35.85,43.72,35.46,77.1,53.32,54.08,28.31,17.84,67.7
2021-01-19,53.208333333333336,6222950000000000.0,28.01,81.57,47.06,27.95,22.5,45.42,13.32,10.84,69.9,185.82,42.24,68.98,86.61,55.65,24.81,45.42,55.28,19.81,16.35,24.81,55.99,28.0,19.18,27.54,124.63,19.98,8.81,57.07,35.41,96.22,45.59,20.99,32.72,20.54,83.92,85.51,48.08,27.68,18.76,66.14
2021-01-20,34.444583333333334,1.1e+16,19.55,72.71,44.22,13.83,20.64,42.84,15.58,7.62,47.86,142.41,37.8,61.95,25.67,61.62,19.48,42.84,50.85,65.48,18.23,19.48,54.22,26.14,16.19,21.21,74.24,23.75,5.31,47.61,29.89,52.43,46.93,17.12,33.43,16.91,54.71,23.99,44.9,21.68,36.96,46.89
2021-01-21,63.46875,7435074000000000.0,38.46,103.3,57.57,23.18,31.27,52.84,32.05,8.37,55.1,276.46,54.94,74.64,55.98,53.06,51.53,52.84,65.05,67.01,19.87,51.53,55.75,34.7,26.52,38.06,67.56,22.05,8.86,57.98,36.61,90.0,53.72,22.38,46.6,25.93,71.95,55.56,50.94,26.11,50.7,101.07
2021-01-22,59.71958333333334,1.21e+16,32.81,63.59,58.38,19.35,39.31,54.87,26.14,7.89,52.55,181.5,58.13,61.88,86.65,68.268,55.46,54.87,62.72,30.33,17.35,55.46,60.98,50.42,41.87,41.76,80.08,21.13,10.68,42.63,26.66,139.4,37.08,26.86,42.08,31.83,91.27,86.93,55.25,30.96,38.85,79.64
2021-01-23,48.83208333333334,7763570000000000.0,35.46,58.67,46.91,14.0,32.11,45.37,27.34,11.0,41.3,143.41,46.66,52.97,29.91,51.79,44.96,45.37,59.4,29.87,20.48,44.96,55.3,41.1,27.13,54.28,83.63,24.09,5.36,38.49,22.52,77.56,32.73,27.43,40.06,28.65,59.45,24.56,47.12,30.06,36.66,67.25
2021-01-24,51.10958333333332,6770054000000000.0,24.23,56.28,48.8,14.84,22.63,48.43,26.86,10.97,59.98,123.99,42.95,53.37,39.9,47.43,45.17,48.43,45.39,31.44,16.79,45.17,45.02,22.7,18.89,31.22,89.76,20.98,5.41,44.08,25.53,72.22,38.35,21.53,37.82,17.78,59.71,38.15,20.98,29.15,34.88,60.78
2021-01-25,70.47291666666668,7265154000000000.0,21.09,77.9,42.84,14.86,17.33,46.15,27.72,12.38,62.85,112.43,41.96,53.61,41.55,29.75,46.99,46.15,62.37,65.26,16.96,46.99,45.83,22.1,17.59,25.01,77.77,19.15,10.72,46.03,23.06,68.53,38.45,18.83,33.82,15.74,53.67,49.39,36.63,23.56,30.39,58.59
2021-01-26,65.19550000000001,7802590000000000.0,28.91,56.03,55.67,18.14,21.93,61.69,27.86,12.92,64.8,121.69,48.15,69.04,55.31,35.7,47.78,61.69,57.09,64.7,17.2,47.78,46.39,30.88,20.64,31.7,89.8,18.83,12.56,47.5,26.82,67.93,38.07,19.95,43.63,20.7,73.98,39.41,44.41,25.34,38.73,74.32
2021-01-27,58.7775,1.11e+16,32.98,97.41,64.71,22.41,34.5,64.15,31.3,16.06,80.58,111.55,59.14,78.76,74.23,28.86,67.53,64.15,68.84,38.52,19.08,67.53,54.75,16.14,26.3,46.39,105.24,22.4,16.14,61.74,35.29,84.65,51.26,25.46,50.51,27.91,90.71,49.55,53.32,31.4,48.6,78.31
2021-01-28,98.19125,1.1388742e+16,34.02,96.77,72.77,29.44,40.31,64.36,34.65,12.62,95.31,136.71,75.37,90.13,99.8,33.63,82.23,64.36,95.99,48.23,21.47,82.23,62.86,42.78,31.34,57.57,149.67,21.92,27.12,73.7,40.86,124.19,52.21,29.91,69.7,32.93,115.24,124.21,57.67,48.28,51.21,88.93
2021-01-29,51.11041666666666,9544970000000000.0,37.2,89.06,70.03,33.05,36.23,69.93,43.25,15.45,82.39,118.81,70.93,91.94,57.62,32.8,75.68,69.93,79.9,39.23,17.33,75.68,51.06,48.97,31.56,44.16,97.18,23.74,32.37,68.58,38.6,90.93,63.28,24.4,61.88,25.24,110.8,76.51,54.35,36.7,50.64,91.95
2021-01-30,52.75874999999999,1.1332548e+16,37.04,93.45,67.69,28.55,33.18,61.24,37.86,17.32,72.45,99.31,67.45,84.78,68.4,42.15,75.05,61.24,77.16,42.15,19.05,75.05,54.44,53.94,30.05,50.45,84.04,26.2,31.47,66.71,41.03,79.99,63.6,25.79,61.16,27.2,85.62,54.06,62.39,33.87,47.88,84.36
