date,open_NO2,sate_NO2,"Alipur, Delhi - DPCC","Anand Vihar, Delhi - DPCC","Ashok Vihar, Delhi - DPCC","Aya Nagar, Delhi - IMD","Bawana, Delhi - DPCC","Burari Crossing, Delhi - IMD","Chandni Chowk, Delhi - IITM","CRRI Mathura Road, Delhi - IMD",Dr,"DTU, Delhi - CPCB","Dwarka-Sector 8, Delhi - DPCC ","East Arjun Nagar, Delhi - CPCB","IGI Airport (T3), Delhi - IMD","IHBAS, Dilshad Garden, Delhi - CPCB","ITO, Delhi - CPCB","Jahangirpuri, Delhi - DPCC","Jawaharlal Nehru Stadium, Delhi - DPCC","Lodhi Road, Delhi - IITM","Lodhi Road, Delhi - IMD","Major Dhyan Chand National Stadium, Delhi - DPCC","Mandir Marg, Delhi - DPCC","Mundka, Delhi - DPCC","Najafgarh, Delhi - DPCC","Narela, Delhi - DPCC","Nehru Nagar, Delhi - DPCC","North Campus, DU, Delhi - IMD","NSIT Dwarka, Delhi - CPCB","Okhla Phase-2, Delhi - DPCC","Patparganj, Delhi - DPCC","Punjabi Bagh, Delhi - DPCC","Pusa, Delhi - DPCC","Pusa, Delhi - IMD","R K Puram, Delhi - DPCC","Rohini, Delhi - DPCC","Shadipur, Delhi - CPCB","Sirifort, Delhi - CPCB","Sonia Vihar, Delhi - DPCC","Sri Aurobindo Marg, Delhi - DPCC","Vivek Vihar, Delhi - DPCC","Wazirpur, Delhi - DPCC"
2020-11-24,92.7075,9615744000000000.0,48.35,73.67,58.19,7.14,53.2,210.14,38.72,151.27,55.11,34.06,53.19,96.01,82.85,82.39,81.56,210.14,92.74,39.31,39.31,81.56,38.72,48.47,32.15,56.41,51.81,43.4,39.24,64.31,26.45,58.71,73.66,63.75,65.72,31.1,83.52,89.03,49.95,31.79,20.27,18.76
2020-11-25,85.68166666666667,1.3812974e+16,47.06,87.96,44.84,3.49,38.1,163.12,56.06,100.49,40.02,44.16,68.43,78.86,31.7,48.08,58.71,163.12,82.8,33.0,33.0,58.71,56.06,56.63,28.68,35.43,39.08,102.5,33.4,55.95,30.84,48.68,83.67,14.0,67.21,23.6,81.63,59.36,47.72,37.36,62.97,64.11
2020-11-26,63.53375,9999100000000000.0,33.04,43.54,36.85,20.88,30.54,93.86,48.98,23.37,33.07,46.37,48.56,51.81,20.25,27.37,43.45,93.86,41.85,13.22,13.22,43.45,48.98,47.39,36.27,40.73,57.57,29.95,27.15,33.81,17.28,69.85,54.68,17.16,37.17,28.57,37.39,46.57,40.94,22.84,56.77,39.66
2020-11-27,55.17958333333333,8749730000000000.0,29.3,21.16,13.32,13.05,15.47,78.91,19.97,15.98,7.34,20.04,16.02,21.16,4.28,18.9,12.08,78.91,12.16,2.16,2.16,12.08,19.97,18.78,11.47,29.3,13.9,13.97,13.75,13.09,25.78,27.98,13.37,13.37,16.01,7.82,13.37,12.95,17.22,3.38,22.63,32.31
2020-11-28,73.03083333333332,7059130000000000.0,22.62,6.11,15.85,13.12,20.51,38.28,19.55,9.14,8.73,18.52,15.47,6.11,3.21,26.95,17.18,38.28,14.23,14.23,14.23,17.18,19.55,23.02,10.86,23.03,17.77,16.24,15.04,12.07,6.11,30.15,15.34,15.34,22.86,8.19,15.34,25.79,11.71,16.59,23.31,25.62
2020-11-29,98.11875,7267996000000000.0,13.18,53.02,19.5,19.73,34.1,28.43,15.26,13.58,15.12,26.68,37.94,30.91,31.07,21.16,32.06,28.43,32.5,51.69,51.69,32.06,15.26,48.92,15.52,39.54,40.37,13.24,24.18,24.67,9.23,36.51,47.67,10.13,39.69,28.24,22.0,43.72,28.0,24.7,62.96,31.88
2020-11-30,102.80416666666667,7651080000000000.0,9.91,30.97,18.82,16.65,17.52,19.67,14.98,16.22,21.0,15.07,16.77,30.97,25.68,25.82,17.49,19.67,15.24,7.8,7.8,17.49,14.98,15.08,6.75,18.16,18.97,15.12,13.64,19.43,6.38,24.7,25.85,3.81,34.27,15.07,29.11,29.18,15.12,10.72,19.13,28.12
2020-12-01,117.44083333333332,9708334000000000.0,7.51,60.82,19.62,19.83,13.21,14.72,13.83,26.9,13.33,21.13,15.88,31.8,23.43,15.8,14.89,14.72,18.63,6.12,6.12,14.89,13.83,17.33,3.31,15.59,26.39,19.62,12.27,22.04,7.89,19.38,19.32,7.34,28.28,14.48,36.51,22.37,15.09,11.25,19.14,25.58
2020-12-02,75.09999999999998,1.03e+16,12.24,51.65,26.18,23.89,30.12,31.56,19.84,69.85,78.61,30.36,47.09,34.81,61.61,28.67,29.56,31.56,40.98,9.49,9.49,29.56,19.84,27.73,10.72,31.52,49.75,19.21,24.26,42.68,13.47,57.14,35.74,19.45,82.02,19.66,31.55,27.4,17.52,18.08,30.9,31.77
2020-12-03,133.94958333333338,1.9e+16,27.62,73.69,73.26,29.76,50.91,76.38,64.5,89.74,124.41,25.39,78.75,70.62,52.04,69.4,79.44,76.38,79.3,15.33,15.33,79.44,64.5,27.13,26.62,58.56,79.3,57.87,41.0,72.31,29.94,99.21,71.71,31.59,67.48,37.44,106.44,30.22,28.68,33.79,63.34,55.13
2020-12-04,102.19583333333335,1.1373576e+16,67.31,118.63,81.47,35.47,71.94,69.61,79.04,49.94,117.24,31.49,109.17,99.88,107.24,96.54,96.05,69.61,56.44,8.92,8.92,96.05,79.04,68.1,24.04,83.23,98.53,65.07,76.11,92.85,50.32,107.84,81.11,157.66,85.33,47.39,122.81,73.77,56.11,41.37,27.71,94.91
2020-12-05,69.83083333333333,8309010000000000.0,65.72,129.35,110.1,35.66,85.08,109.77,75.41,52.72,124.35,44.99,127.35,135.98,134.14,179.83,107.1,109.77,76.63,107.88,10.13,107.1,123.09,83.18,39.42,105.79,114.36,54.47,70.31,100.94,66.94,118.79,111.84,152.37,84.07,65.84,141.29,142.4,91.03,43.94,45.61,89.0
2020-12-06,93.45041666666668,9863328000000000.0,44.84,94.68,96.03,32.31,65.7,88.35,64.63,26.3,100.57,38.59,100.69,95.65,82.4,130.36,82.74,88.35,60.78,93.78,9.81,82.74,101.76,75.81,42.86,74.18,123.34,49.13,64.26,79.66,47.38,100.64,79.78,104.2,87.62,53.79,138.91,106.55,74.66,50.25,44.65,75.21
