date,open_NO2,sate_NO2,"Bandra Kurla Complex, Mumbai - IITM","Bandra, Mumbai - MPCB","Borivali East, Mumbai - IITM","Borivali East, Mumbai - MPCB","Chakala-Andheri East, Mumbai - IITM",Chhatrapati Shivaji Intl,"Colaba, Mumbai - MPCB","Deonar, Mumbai - IITM","Kandivali East, Mumbai - MPCB","Khindipada-Bhandup West, Mumbai - IITM","Kurla, Mumbai - MPCB","Malad West, Mumbai - IITM","Mazgaon, Mumbai - IITM","Mulund West, Mumbai - MPCB","Navy Nagar-Colaba, Mumbai - IITM","Powai, Mumbai - MPCB","Siddharth Nagar-Worli, Mumbai - IITM","Sion, Mumbai - MPCB","Vasai West, Mumbai - MPCB","Vile Parle West, Mumbai - MPCB"
2020-12-16,27.668750000000003,5517742000000000.0,35.3,0.9,59.02,2.76,26.25,36.54,44.58,38.57,37.47,17.93,71.52,6.78,22.81,25.2,37.76,20.46,22.81,82.54,19.31,35.73
2020-12-17,30.58208333333334,8414110000000000.0,35.1,0.89,56.85,2.79,28.8,34.04,45.17,45.46,23.04,21.69,54.95,26.7,17.81,27.63,11.79,20.85,17.81,87.27,21.22,34.36
2020-12-18,33.18166666666667,6930846000000000.0,35.39,0.91,50.49,2.55,54.08,38.5,46.71,48.92,41.41,22.24,17.11,16.3,14.48,18.82,58.56,24.48,14.48,85.0,24.08,39.71
2020-12-19,21.492083333333337,5803420000000000.0,32.41,0.9,52.42,2.45,28.58,30.72,57.87,42.08,58.29,20.15,14.86,99.68,14.33,11.85,15.91,22.17,14.33,83.51,22.0,45.25
2020-12-20,26.69708333333333,4254908000000000.0,27.8,0.94,13.85,2.14,25.6,28.93,62.72,44.85,50.03,18.83,18.97,7.71,12.27,18.83,54.01,18.81,12.27,70.26,20.04,34.05
2020-12-21,42.88333333333333,5231370000000000.0,62.77,0.94,14.2,2.37,29.11,33.26,58.98,48.55,67.89,56.8,27.4,18.64,26.0,21.03,45.03,30.16,26.0,99.43,19.1,48.51
2020-12-22,46.54583333333333,7962870000000000.0,36.11,0.91,52.34,2.84,32.25,37.06,82.3,60.8,81.06,64.16,32.13,37.26,16.84,23.12,75.52,30.63,16.84,130.42,18.55,57.1
2020-12-23,47.98208333333333,7046756000000000.0,36.4,0.94,58.95,3.5,32.88,39.36,92.95,78.48,61.13,66.45,25.85,29.03,21.87,19.99,96.92,33.89,21.87,106.91,18.64,61.75
2020-12-24,40.94041666666667,7341470000000000.0,35.01,0.92,54.17,3.57,33.16,41.54,71.34,69.42,80.05,73.2,31.81,28.74,19.23,17.55,67.53,36.5,19.23,83.75,21.45,52.45
2020-12-25,46.989583333333336,3758832000000000.0,62.84,0.96,15.54,3.4,34.16,45.98,74.29,80.36,70.46,70.64,29.8,88.58,16.76,15.91,20.5,44.61,16.76,82.3,23.98,61.27
2020-12-26,40.57666666666667,6393040000000000.0,34.24,0.95,58.92,3.26,60.04,53.43,66.47,62.58,72.5,67.6,26.67,92.25,14.95,17.79,16.95,32.41,14.95,68.59,28.62,59.7
2020-12-27,20.295416666666664,3328274000000000.0,62.05,0.99,58.98,3.06,28.43,48.65,61.41,52.14,68.33,61.59,26.0,31.98,23.99,9.47,17.78,26.41,23.99,67.33,25.76,36.92
2020-12-28,25.96166666666667,4495320000000000.0,40.49,0.97,58.01,4.05,55.08,41.0,45.26,43.99,64.98,46.58,22.85,6.09,15.29,15.95,5.25,17.03,15.29,62.48,23.33,34.67
2020-12-29,42.24791666666667,4656534000000000.0,78.36,0.96,64.66,4.66,32.05,47.73,61.88,74.59,71.24,16.13,27.03,9.16,16.04,16.13,8.41,34.15,16.04,79.98,22.6,44.94
2020-12-30,33.20291666666665,5694300000000000.0,42.43,0.93,70.14,5.73,65.63,41.36,62.92,57.54,81.17,16.46,26.16,19.81,15.17,16.46,15.2,38.12,15.17,75.88,23.48,45.68
2020-12-31,40.38375,7193970000000000.0,42.76,0.94,60.68,3.66,31.84,45.27,74.87,57.61,68.17,21.4,25.07,31.54,26.27,14.11,15.38,28.31,26.27,92.01,23.08,52.01
2021-01-01,53.63583333333335,6473876000000000.0,66.39,0.92,59.04,3.81,31.66,45.14,59.23,54.02,68.0,64.67,20.92,30.76,25.73,12.8,53.2,30.56,25.73,121.56,28.55,45.88
2021-01-02,37.55,5867780000000000.0,32.35,0.92,18.32,4.72,29.67,37.23,28.98,50.37,63.22,75.1,24.63,19.91,11.3,17.2,6.69,29.42,11.3,101.27,23.51,33.43
2021-01-03,36.94416666666665,6837180000000000.0,32.05,0.94,19.13,3.83,28.02,40.89,38.45,43.94,63.72,66.19,19.12,18.77,20.4,11.92,19.16,29.26,20.4,104.27,24.36,36.2
2021-01-04,44.24083333333334,3830104000000000.0,35.67,0.96,51.88,5.29,53.86,46.36,46.59,49.74,79.27,81.05,23.35,22.25,10.42,12.08,28.62,45.34,10.42,93.93,23.96,38.2
2021-01-05,24.86916666666667,5053598000000000.0,38.28,0.95,11.81,4.76,28.93,44.29,32.14,40.25,74.45,61.18,24.99,20.5,9.6,12.34,8.89,23.06,9.6,75.74,29.03,35.82
2021-01-06,27.425,5986410000000000.0,76.89,0.94,13.61,5.05,30.69,63.48,37.82,55.59,79.18,71.17,30.54,23.51,19.93,12.44,15.92,23.66,19.93,79.43,29.25,39.55
2021-01-07,65.18875000000001,7837390000000000.0,33.34,0.93,15.0,7.14,33.09,59.85,47.58,48.39,83.63,74.59,31.25,96.64,15.46,16.63,31.08,40.03,15.46,94.38,26.8,52.22
2021-01-08,34.70916666666667,6007784000000000.0,29.78,0.94,50.91,5.59,32.1,26.85,38.22,66.59,71.06,105.08,16.43,25.69,18.04,7.44,21.54,39.43,18.04,72.56,15.74,43.22
2021-01-09,26.232916666666664,7983730000000000.0,31.59,0.93,49.68,5.37,31.04,25.51,33.5,54.84,63.82,66.46,17.32,19.72,10.58,10.1,19.36,21.11,10.58,63.61,24.7,40.41
2021-01-10,29.682499999999997,6410762000000000.0,54.12,0.94,11.32,3.94,29.31,25.45,28.79,38.62,52.81,55.98,17.72,28.89,22.77,8.78,8.99,25.04,22.77,53.95,25.12,37.26
2021-01-11,37.29958333333333,6702830000000000.0,28.24,0.92,33.25,3.38,57.66,26.44,38.04,53.22,54.46,29.0,19.8,87.19,13.53,12.85,21.45,23.16,13.53,63.89,24.24,40.8
2021-01-12,25.19083333333334,3851760000000000.0,59.56,0.94,37.62,3.58,31.06,39.33,39.66,43.86,63.42,75.95,45.05,78.68,27.19,11.83,35.53,26.9,22.01,58.41,28.43,31.45
2021-01-13,25.641666666666666,4743720000000000.0,35.44,0.93,44.03,4.0,30.51,26.25,26.69,34.9,70.53,61.59,77.2,73.93,13.37,11.39,10.25,22.49,21.72,130.37,25.36,30.39
2021-01-14,48.938750000000006,4638056000000000.0,34.08,0.96,12.05,1.91,54.82,53.09,27.75,42.63,77.35,28.87,91.71,21.6,13.24,17.88,48.51,30.99,7.37,91.73,25.12,34.64
2021-01-15,47.410833333333336,4208630000000000.0,65.54,0.98,8.37,2.81,27.06,37.36,33.78,38.51,61.73,16.59,82.35,60.38,10.74,15.14,13.93,21.12,20.22,77.28,10.19,28.88
2021-01-16,57.863333333333344,6993330000000000.0,72.1,1.0,31.21,5.38,30.67,45.41,60.61,45.98,71.73,52.59,80.93,76.4,21.51,8.84,27.83,20.32,22.3,109.42,31.21,42.71
2021-01-17,54.69333333333333,4111866000000000.0,33.62,0.99,27.6,3.09,54.7,41.41,33.24,53.84,56.4,30.4,90.03,26.1,13.62,9.17,23.04,27.82,6.55,91.9,27.6,42.15
2021-01-18,38.785,6308150000000000.0,61.85,1.0,28.54,3.48,28.32,39.55,22.4,37.96,59.86,18.79,72.86,20.55,21.87,16.21,2.63,19.59,17.98,83.43,28.54,33.75
2021-01-19,39.95666666666666,7641282000000000.0,33.65,1.02,31.76,4.43,32.49,40.59,46.08,74.88,70.18,26.18,104.62,25.99,13.63,20.29,17.6,30.63,21.02,120.07,35.68,47.62
2021-01-20,42.385,5387460000000000.0,24.81,1.01,34.35,4.15,31.35,47.26,62.78,59.91,71.96,29.76,100.29,75.45,16.29,17.53,49.48,32.41,23.67,131.73,29.41,47.73
2021-01-21,53.90833333333334,4502552000000000.0,26.89,1.04,31.17,3.77,55.42,61.01,37.75,42.55,66.64,24.84,94.53,62.38,13.77,16.8,13.92,29.25,18.66,104.92,20.07,34.59
2021-01-22,50.63833333333333,5498870000000000.0,113.69,1.0,32.68,5.59,32.16,54.98,56.06,72.5,77.87,22.56,113.69,23.6,15.69,13.34,37.24,31.33,26.37,147.43,21.23,49.26
2021-01-23,31.445,7126800000000000.0,119.2,1.02,33.63,5.15,33.9,56.54,55.13,53.58,78.5,31.82,119.2,22.55,14.0,18.97,26.54,30.08,19.76,143.83,19.83,50.09
2021-01-24,32.03791666666667,7785110000000000.0,89.23,1.01,32.9,3.9,29.8,69.04,33.08,57.0,72.52,20.49,89.23,19.16,12.29,4.99,18.77,25.03,17.47,114.73,28.11,29.8
2021-01-25,42.9125,9078480000000000.0,97.83,1.02,32.22,5.22,29.32,89.51,46.56,57.96,71.01,34.32,97.83,16.66,27.0,15.16,27.75,33.13,24.03,121.16,20.2,39.45
2021-01-26,42.2065,4946756000000000.0,70.14,1.02,31.61,3.9,45.59,75.64,47.42,40.46,60.87,30.29,70.14,57.57,16.09,15.11,28.11,27.99,21.66,115.6,22.11,44.93
2021-01-27,35.215,6280840000000000.0,95.72,1.02,30.64,4.57,23.32,80.25,48.99,73.17,72.41,21.47,95.72,15.11,18.04,20.25,34.61,28.06,25.3,140.08,23.15,59.58
2021-01-28,34.99541666666667,6412044000000000.0,102.05,1.02,9.81,4.84,22.84,60.77,53.11,54.42,70.83,24.46,102.05,15.97,26.87,18.45,25.16,31.42,21.56,144.66,26.53,53.08
2021-01-29,47.32458333333333,5603790000000000.0,111.44,1.02,37.16,5.68,20.67,56.81,69.06,71.75,82.06,31.25,111.44,19.64,19.07,21.15,47.14,31.33,25.37,143.37,22.76,74.32
2021-01-30,29.39625,4700538000000000.0,100.88,1.03,32.02,3.66,19.98,63.43,71.97,54.61,78.54,25.28,100.88,24.18,35.44,8.35,63.01,34.17,10.35,123.31,29.26,65.96
2021-01-31,27.112083333333327,5741070000000000.0,93.64,1.03,33.05,3.89,17.35,51.91,67.13,38.34,73.09,19.75,93.64,25.99,82.31,19.75,18.65,28.37,27.53,108.11,37.09,52.97
2021-02-01,32.70166666666666,7456220000000000.0,91.97,1.02,32.49,3.8,39.46,42.77,57.08,42.55,46.81,39.83,91.97,69.45,83.68,16.12,51.03,28.63,23.89,95.34,38.58,64.04
2021-02-02,42.07625,6958416000000000.0,87.49,1.03,8.67,2.56,44.58,38.21,62.27,55.06,49.87,23.99,87.49,18.99,40.34,16.62,54.16,30.79,25.28,41.95,32.23,61.84
2021-02-03,62.047083333333326,1.02e+16,118.48,1.03,8.86,3.02,33.1,40.13,78.2,64.83,66.21,24.52,118.48,7.78,47.99,15.72,58.82,43.41,35.28,47.24,40.43,79.23
2021-02-04,33.11625,6952588000000000.0,107.68,1.02,28.67,2.99,45.53,43.47,76.3,66.21,73.92,17.02,107.68,7.92,53.45,17.06,64.8,21.42,29.23,51.51,43.83,66.57
2021-02-05,24.019166666666667,5629000000000000.0,79.5,1.03,11.23,3.64,21.88,43.7,45.07,36.78,71.71,19.85,79.5,29.5,74.1,15.87,24.85,17.62,18.02,76.83,37.2,35.06
2021-02-06,16.6775,4812826000000000.0,71.7,1.02,39.37,3.79,36.13,46.24,65.17,38.42,76.44,18.64,71.7,76.44,44.97,18.73,42.59,20.07,10.54,123.39,40.23,42.05
2021-02-07,23.469583333333333,5418260000000000.0,48.26,1.02,25.94,3.11,20.84,41.44,52.05,33.87,60.9,9.79,48.26,60.9,81.3,16.93,28.68,16.6,8.49,99.86,47.4,28.08
2021-02-08,40.76375,6503900000000000.0,55.28,1.03,7.97,2.37,34.03,27.23,83.43,42.22,71.43,20.15,55.28,71.43,77.76,20.15,93.04,27.25,35.42,129.63,32.13,44.5
2021-02-09,47.474583333333335,6655126000000000.0,116.23,1.03,10.65,5.91,23.61,77.26,66.92,62.84,84.63,25.88,116.23,84.63,43.24,24.97,17.01,37.05,8.05,131.87,47.07,47.14
2021-02-10,58.81958333333333,1.11e+16,115.95,1.03,11.01,10.25,27.56,50.46,69.85,61.34,85.58,22.33,115.95,85.58,109.2,18.31,67.06,41.45,38.76,111.39,42.64,36.68
2021-02-11,46.09791666666667,5023708000000000.0,134.64,1.03,10.94,4.18,47.79,58.58,76.87,76.86,86.7,18.43,134.64,86.7,67.38,29.21,87.86,28.08,39.29,67.37,43.17,37.71
2021-02-12,54.90833333333334,6968860000000000.0,124.21,1.03,34.32,5.76,29.76,44.78,56.36,55.7,81.03,56.97,124.21,81.03,115.29,40.01,35.03,39.8,23.73,60.7,40.91,49.02
2021-02-13,36.85708333333334,5298818000000000.0,95.28,1.03,32.89,7.49,42.89,52.44,45.19,63.55,71.02,43.57,95.28,71.02,40.24,41.9,50.46,29.78,19.75,59.08,36.51,38.52
2021-02-14,33.15208333333333,4322440000000000.0,70.77,1.01,30.01,3.86,41.06,46.65,26.32,40.79,59.93,32.26,70.77,59.93,61.38,40.88,5.6,20.67,14.07,54.23,35.35,24.14
2021-02-15,31.752916666666664,4680508000000000.0,61.44,1.03,27.75,3.55,36.51,39.14,18.61,34.22,49.36,18.66,61.44,49.36,22.06,32.24,0.26,16.05,2.3,58.79,33.07,20.1
2021-02-16,31.35291666666667,4248460000000000.0,41.92,57.99,24.44,3.22,30.34,25.12,24.53,27.88,39.74,37.19,41.92,39.74,18.78,18.24,38.18,12.2,14.31,57.99,28.99,19.98
2021-02-17,51.423333333333325,5545930000000000.0,27.01,84.06,7.64,2.56,48.51,33.45,25.9,39.05,46.26,43.47,55.19,46.26,63.22,20.71,3.16,15.33,14.8,84.06,35.22,33.4
2021-02-18,49.88916666666668,5817822000000000.0,53.1,81.56,29.76,2.98,102.06,41.18,44.99,49.99,62.17,61.1,84.33,41.15,87.38,24.74,40.36,31.06,87.38,81.56,39.98,51.37
2021-02-19,44.19041666666666,7550680000000000.0,47.84,91.82,7.36,3.24,93.67,42.5,40.05,36.62,54.57,42.15,66.58,7.2,69.3,19.87,18.54,19.52,69.3,91.82,40.13,39.9
2021-02-20,23.82416666666667,6611842000000000.0,56.26,78.54,8.17,4.95,57.63,37.7,39.61,41.31,55.47,20.07,63.54,23.58,69.06,19.06,24.21,19.29,69.06,78.54,36.25,33.76
2021-02-21,27.683333333333326,6484670000000000.0,26.79,92.43,25.75,3.03,47.03,39.5,45.57,30.57,51.12,35.1,39.68,28.96,69.8,23.66,44.88,14.41,69.8,92.43,39.0,28.16
2021-02-22,59.34875,5452114000000000.0,50.33,109.63,9.72,3.76,60.38,46.06,53.08,33.72,61.91,43.12,72.22,22.2,72.48,25.75,46.02,20.29,72.48,109.63,38.22,36.56
2021-02-23,69.61583333333333,6682610000000000.0,55.51,133.84,33.54,4.8,139.7,41.54,38.98,50.03,73.28,48.96,102.63,8.05,49.53,28.61,19.85,21.98,49.53,133.84,36.91,48.81
2021-02-24,53.70833333333334,9298620000000000.0,36.26,0.7,37.35,5.19,78.71,44.22,50.82,49.73,78.81,59.92,109.69,8.57,131.83,29.27,53.81,26.33,131.83,120.15,47.73,46.33
2021-02-25,40.09208333333333,7033102000000000.0,57.83,5.01,32.27,4.11,67.87,28.93,34.98,61.41,63.42,35.59,91.48,5.09,79.1,23.64,56.2,19.72,79.1,86.17,39.44,37.3
2021-02-26,40.49166666666666,7812890000000000.0,30.1,7.68,8.92,5.31,51.58,34.17,25.17,41.57,57.24,40.37,71.45,13.58,25.83,32.57,33.15,15.21,25.83,89.73,37.28,27.14
2021-02-27,24.234583333333337,6483230000000000.0,47.93,6.93,24.79,6.47,54.72,40.89,23.5,42.8,56.03,41.43,75.63,4.04,49.66,24.61,35.83,14.93,49.66,102.68,34.48,29.55
2021-02-28,26.141250000000003,6195360000000000.0,61.75,6.53,21.35,3.41,52.08,46.46,28.48,40.0,56.28,40.87,61.75,16.62,54.0,24.49,37.98,13.64,54.0,93.56,41.07,32.65
2021-03-01,24.87708333333333,5075242000000000.0,40.07,6.54,23.02,4.95,120.06,46.79,32.27,52.42,61.02,16.62,89.02,4.67,36.88,28.61,38.77,16.97,36.88,111.39,38.78,40.52
2021-03-02,27.596666666666675,4975220000000000.0,29.24,7.72,6.32,7.36,66.91,40.91,36.19,56.84,66.9,46.13,90.6,17.92,37.82,25.8,36.95,17.4,6.9,93.15,34.97,39.98
2021-03-03,27.13958333333333,5313026000000000.0,69.55,10.93,6.72,6.61,110.08,64.27,45.01,41.4,68.45,26.53,96.66,5.62,33.02,35.44,44.16,21.36,23.95,126.36,40.48,47.05
2021-03-04,26.49000000000001,7304130000000000.0,35.81,10.95,6.89,5.92,44.68,44.68,49.32,26.81,83.51,54.61,104.58,22.82,89.25,33.1,47.42,21.79,27.75,148.12,43.74,55.65
2021-03-05,68.15249999999999,9590650000000000.0,48.05,10.89,24.77,5.23,44.22,44.22,35.28,25.62,80.46,45.38,105.75,29.42,89.78,32.98,50.93,25.64,29.88,127.97,40.86,43.5
2021-03-06,52.10958333333335,6956740000000000.0,15.34,9.77,6.21,4.78,42.85,30.03,22.21,15.99,51.41,55.02,68.19,20.15,22.83,20.14,27.61,17.93,16.16,73.03,36.14,28.71
2021-03-07,26.76208333333333,5624620000000000.0,35.63,7.94,19.36,3.33,50.89,14.82,28.06,0.68,44.56,51.03,60.39,4.67,57.51,18.62,39.0,13.98,25.51,61.98,30.85,34.95
2021-03-08,31.93916666666667,3612440000000000.0,55.52,9.6,20.97,4.04,147.47,29.6,26.86,6.09,45.88,48.08,65.93,4.3,26.98,24.46,45.86,18.55,16.78,85.44,26.05,31.73
2021-03-09,35.21583333333333,6102700000000000.0,28.74,10.57,6.38,4.11,123.41,26.25,36.16,35.51,64.72,51.08,67.59,15.25,26.63,24.36,56.24,32.7,19.47,98.84,33.96,46.2
2021-03-10,43.08374999999999,5593974000000000.0,27.27,89.39,22.38,4.75,124.63,32.49,33.48,31.95,68.28,52.2,82.29,4.12,27.94,24.2,52.71,37.17,17.5,89.39,38.67,34.92
2021-03-11,35.91458333333333,5798760000000000.0,21.08,61.06,18.56,2.89,103.47,17.78,20.76,22.42,38.65,41.31,50.96,10.78,17.56,16.37,10.52,21.17,12.06,61.06,31.73,12.64
2021-03-12,25.61208333333334,5899200000000000.0,41.6,52.51,5.55,3.47,44.54,20.91,21.42,28.9,45.85,44.66,58.9,12.51,55.71,17.61,36.8,18.35,13.61,52.51,30.52,29.3
2021-03-13,21.72083333333333,7459960000000000.0,53.55,88.43,21.6,4.24,65.35,32.32,29.24,37.15,59.63,23.14,67.79,15.3,60.09,21.81,39.46,23.64,2.86,88.43,41.38,39.95
2021-03-14,41.009130434782605,7464970000000000.0,51.39,116.17,6.06,4.75,40.54,40.54,30.94,28.38,71.35,47.2,88.07,13.82,38.49,25.3,39.15,32.32,2.14,116.17,46.07,43.49
2021-03-15,28.325833333333332,6776370000000000.0,52.29,87.75,22.48,5.5,49.11,44.97,30.99,43.39,71.17,48.82,74.26,16.87,38.6,28.94,33.0,29.21,13.45,87.75,44.46,47.64
2021-03-16,27.668750000000003,6304170000000000.0,47.98,78.44,21.31,4.48,89.24,41.46,28.17,19.23,63.09,42.64,83.57,5.7,33.71,24.64,31.51,19.72,11.84,78.44,41.12,37.11
2021-03-17,31.945833333333336,4048106000000000.0,26.17,102.23,21.98,4.43,63.21,30.72,39.48,35.27,64.54,24.04,68.97,5.58,44.9,28.77,45.46,27.13,10.91,102.23,40.5,52.13
2021-03-18,39.04166666666666,4590320000000000.0,45.96,88.29,6.59,4.36,71.59,25.27,22.13,15.81,55.35,53.38,82.8,4.69,56.96,24.05,38.62,38.73,8.32,88.29,38.4,29.94
2021-03-19,29.61625,3948670000000000.0,43.32,58.96,18.59,3.69,34.97,19.25,24.55,27.32,23.55,39.93,57.75,14.62,49.2,17.05,46.71,16.9,11.58,58.96,34.46,25.93
2021-03-20,38.17916666666666,4837550000000000.0,18.71,43.2,18.25,3.1,46.67,13.68,15.69,8.9,26.59,39.86,44.42,2.85,33.99,14.0,8.35,15.13,17.53,43.2,31.43,16.56
2021-03-21,53.23708333333333,8421540000000000.0,28.66,49.43,17.99,3.48,52.73,15.55,26.37,14.31,18.78,20.18,55.59,2.82,46.25,14.6,8.72,20.08,32.39,49.43,32.97,17.86
2021-03-22,32.12375,6187660000000000.0,34.59,59.77,17.74,4.3,56.71,20.65,27.58,26.21,21.76,47.11,56.91,12.49,25.18,19.76,8.79,22.7,15.34,59.77,36.24,21.76
2021-03-23,34.40083333333333,6955220000000000.0,25.3,14.79,21.55,5.46,86.25,38.96,34.91,35.37,29.86,23.6,72.62,4.07,28.09,19.92,37.08,25.95,15.57,72.05,41.04,31.08
2021-03-24,32.081250000000004,3801918000000000.0,60.24,14.33,23.47,5.78,48.9,45.26,48.33,39.62,29.91,37.64,83.33,16.69,34.73,23.47,41.71,32.2,15.71,65.88,50.28,20.7
2021-03-25,18.186666666666667,5150030000000000.0,52.81,12.7,24.5,5.68,49.52,42.02,62.02,37.93,40.83,33.8,72.63,8.96,41.47,23.37,50.86,21.51,15.46,73.57,46.43,23.69
2021-03-26,26.86208333333333,4048922000000000.0,50.76,12.66,25.38,7.68,58.89,43.75,54.22,23.76,65.46,54.46,64.02,31.74,97.82,30.3,12.13,33.37,15.03,85.56,51.24,20.35
2021-03-27,27.382500000000007,6778290000000000.0,53.61,12.7,29.18,7.85,99.53,51.32,59.24,50.98,80.05,29.15,141.24,41.67,87.9,38.0,58.01,36.12,15.44,75.94,53.55,47.95
2021-03-28,50.27375000000001,8544420000000000.0,16.39,12.69,22.71,5.94,110.54,29.12,25.03,21.46,52.45,55.89,80.09,7.83,63.36,20.34,27.97,37.11,13.81,50.7,41.2,35.92
2021-03-29,60.74916666666667,6007290000000000.0,6.16,12.68,5.4,3.77,19.65,19.65,15.25,13.33,20.17,46.75,28.66,5.23,15.09,9.7,7.05,20.36,2.66,24.95,28.82,13.64
2021-03-30,60.31958333333333,5466950000000000.0,22.76,12.69,17.3,3.23,20.4,9.58,15.06,17.51,21.21,41.32,32.52,6.53,35.23,7.61,17.62,13.82,13.33,30.34,26.74,13.87
2021-03-31,53.16458333333333,5576680000000000.0,28.94,12.7,15.94,2.41,22.49,8.6,14.57,17.9,15.61,40.81,30.54,5.61,17.07,7.28,17.75,12.27,2.18,30.97,24.35,14.0
