date,open_NO2,sate_NO2,"Bandra Kurla Complex, Mumbai - IITM","Bandra, Mumbai - MPCB","Borivali East, Mumbai - IITM","Borivali East, Mumbai - MPCB","Chakala-Andheri East, Mumbai - IITM",Chhatrapati Shivaji Intl,"Colaba, Mumbai - MPCB","Deonar, Mumbai - IITM","Kandivali East, Mumbai - MPCB","Khindipada-Bhandup West, Mumbai - IITM","Kurla, Mumbai - MPCB","Malad West, Mumbai - IITM","Mazgaon, Mumbai - IITM","Mulund West, Mumbai - MPCB","Navy Nagar-Colaba, Mumbai - IITM","Powai, Mumbai - MPCB","Siddharth Nagar-Worli, Mumbai - IITM","Sion, Mumbai - MPCB","Vasai West, Mumbai - MPCB","Vile Parle West, Mumbai - MPCB"
2020-11-24,65.9775,3939040000000000.0,70.9,45.96,2.08,2.08,30.16,30.16,30.54,70.9,2.08,23.98,70.9,2.08,30.54,23.98,30.54,23.98,70.28,70.28,20.29,40.05
2020-11-25,42.755,5629722000000000.0,60.17,80.0,10.67,10.67,59.23,59.23,47.93,60.17,10.67,20.55,60.17,10.67,47.93,20.55,47.93,20.55,89.08,89.08,20.96,56.47
2020-11-26,25.568749999999994,4920060000000000.0,35.75,40.8,2.67,2.67,44.46,44.46,13.93,35.75,2.67,7.07,35.75,2.67,13.93,7.07,13.93,7.07,33.51,33.51,13.78,26.61
2020-11-27,14.680833333333332,4966084000000000.0,8.16,4.45,4.05,4.05,13.55,13.55,12.65,8.16,4.05,4.05,8.16,6.51,12.65,4.05,12.65,4.05,12.65,12.65,19.37,6.51
2020-11-28,22.612916666666667,6198192000000000.0,6.28,14.36,0.78,0.78,2.03,6.28,3.97,6.28,0.78,1.04,6.28,0.78,3.97,1.04,3.97,1.04,14.36,14.36,0.78,2.03
2020-11-29,28.44583333333333,5804500000000000.0,18.33,1.14,0.61,0.61,19.41,19.41,6.31,18.33,0.61,7.87,18.33,0.61,6.31,7.87,6.31,7.87,25.9,25.9,10.22,9.45
2020-11-30,38.24333333333334,7151918000000000.0,18.03,1.18,0.74,0.74,3.44,3.44,11.71,18.03,0.74,5.15,18.03,0.74,11.71,5.15,11.71,5.15,16.53,16.53,5.66,13.54
2020-12-01,41.19916666666668,7516420000000000.0,25.3,1.23,0.64,0.64,4.42,4.42,10.91,25.3,0.64,6.9,25.3,0.64,10.91,6.9,10.91,6.9,9.6,9.6,12.71,5.26
2020-12-02,42.91291666666667,3693404000000000.0,17.52,1.25,1.95,1.95,12.82,12.82,20.72,17.52,1.95,5.64,17.52,1.95,20.72,5.64,20.72,5.64,34.69,34.69,14.68,24.08
2020-12-03,46.53958333333333,5958160000000000.0,38.08,2.16,1.13,1.13,16.1,16.1,20.71,38.08,1.13,7.36,38.08,1.13,20.71,7.36,20.71,7.36,32.9,32.9,15.16,34.81
2020-12-04,51.19458333333333,5036834000000000.0,92.81,0.95,2.54,2.54,54.88,54.88,61.83,64.92,2.54,22.07,64.92,2.54,12.13,22.07,61.83,22.07,12.13,42.83,20.88,77.3
2020-12-05,34.40208333333333,6904730000000000.0,84.26,1.0,22.05,2.35,44.35,44.35,42.97,63.02,22.05,24.98,93.2,7.6,27.72,24.98,35.52,24.98,27.72,66.26,21.41,62.72
2020-12-06,51.54583333333334,7187510000000000.0,47.56,1.0,21.63,3.07,52.02,52.02,62.21,67.87,21.63,39.15,103.83,10.44,29.16,39.15,24.74,39.15,29.16,68.2,22.39,84.5
2020-12-07,48.16083333333335,6185724000000000.0,48.63,0.99,22.65,2.77,53.34,53.34,73.8,42.31,22.65,26.38,74.65,34.7,27.38,26.38,81.21,26.38,27.38,54.27,23.62,63.42
2020-12-08,38.135,7778560000000000.0,76.85,1.02,5.05,2.74,37.83,37.83,60.87,26.61,5.05,16.64,35.14,24.3,23.18,16.64,61.56,16.64,23.18,49.26,27.68,67.36
2020-12-09,78.32041666666667,4629348000000000.0,84.35,1.02,4.96,2.8,37.03,37.03,52.64,38.35,4.96,23.89,47.36,18.77,23.99,23.89,15.08,23.89,23.99,85.01,26.87,57.96
2020-12-10,45.97583333333333,5719650000000000.0,30.05,1.02,21.53,2.29,25.59,25.59,37.91,36.15,21.53,28.17,51.17,57.44,20.29,28.17,7.09,28.17,20.29,55.34,23.03,53.97
2020-12-11,39.778333333333336,3857516000000000.0,36.21,64.17,4.97,3.3,46.34,46.34,63.33,37.95,4.97,14.76,95.69,8.5,11.29,14.76,74.69,14.76,11.29,64.17,17.29,69.42
2020-12-12,22.656666666666663,6191734000000000.0,34.91,56.12,64.29,3.1,31.28,24.12,41.29,38.02,64.29,17.43,53.23,7.48,35.21,17.43,9.38,17.43,35.21,56.12,10.59,39.34
2020-12-13,24.791249999999994,3671252000000000.0,32.05,58.18,54.46,1.69,23.33,16.94,51.46,18.8,54.46,15.37,43.08,10.4,19.94,15.37,66.0,15.37,19.94,58.18,9.24,38.12
2020-12-14,33.18083333333333,3894710000000000.0,33.99,58.5,49.99,2.02,45.36,17.85,41.03,30.8,49.99,19.5,48.28,9.55,32.17,19.5,10.39,19.5,32.17,58.5,8.19,36.59
2020-12-15,25.133750000000003,8000760000000000.0,36.09,0.89,56.3,3.03,26.35,28.91,54.17,34.66,56.3,17.6,77.53,28.9,17.67,17.6,12.23,17.6,17.67,79.75,19.33,34.31
