date,open_SO2,sate_SO2,"Civil Lines, Bareilly - UPPCB","Rajendra Nagar, Bareilly - UPPCB"
2020-11-24,8.837499999999999,-0.0913926569999999,10.26,10.26
2020-11-25,17.502499999999998,0.0392206696,13.81,13.81
2020-11-26,15.075833333333334,-0.0773006694,13.51,13.51
2020-11-27,12.580000000000004,0.023612599,11.86,11.86
2020-11-28,9.612916666666669,0.453238755,3.76,3.76
2020-11-29,10.580833333333334,0.0033590937999999,3.37,3.37
2020-11-30,16.97541666666667,0.795827091,6.62,6.62
2020-12-01,23.08166666666666,0.0485162582,6.71,6.71
2020-12-02,18.99625,-0.3062233505999999,11.74,11.74
2020-12-03,20.110416666666666,0.169565475,6.4,6.4
2020-12-04,28.36458333333333,-0.700059652,26.56,26.56
2020-12-05,13.40791666666667,-0.229109287,29.47,29.47
2020-12-06,24.44833333333333,0.0160765485999999,23.4,23.4
2020-12-07,16.07875,-0.022281986,23.35,23.35
2020-12-08,13.587083333333334,0.0793791286,24.4,24.4
2020-12-09,14.825833333333335,0.1249596044,29.49,29.49
2020-12-10,14.377499999999998,0.0532301262,29.59,29.59
2020-12-11,13.81875,-0.0049724684,29.54,29.54
2020-12-12,10.3225,0.0147268109999999,20.59,20.59
2020-12-13,10.257500000000002,-0.004558368,21.62,21.62
2020-12-14,12.170000000000002,0.054587387,17.87,17.87
2020-12-15,15.49375,0.102058864,21.51,21.51
2020-12-16,18.25958333333333,0.159754127,22.46,22.46
2020-12-17,10.642500000000002,0.0319449127999999,22.0,22.0
2020-12-18,11.072083333333332,-0.043088962,27.39,27.39
2020-12-19,8.288333333333336,0.0653500018,33.99,33.99
2020-12-20,25.023333333333337,0.050476924,7.01,7.01
2020-12-21,15.242083333333332,-0.2992796,34.36,34.36
2020-12-22,14.221666666666666,0.1998213388,46.74,46.74
2020-12-23,14.831666666666663,0.112486854,31.29,31.29
2020-12-24,18.038333333333338,0.0670137494,28.44,28.44
2020-12-25,11.88583333333333,0.594663441,3.29,3.29
2020-12-26,13.97291666666667,0.0437557278,37.05,37.05
2020-12-27,13.848333333333334,-0.215680927,27.79,27.79
2020-12-28,14.019583333333332,0.0590478008,22.09,22.09
2020-12-29,16.733749999999997,-0.0834383748,24.22,24.22
2020-12-30,13.1775,0.469999999,22.85,22.85
2020-12-31,13.004166666666668,0.1160916344,21.29,21.29
2021-01-01,43.76416666666666,0.843333304,27.42,27.42
2021-01-02,21.219166666666663,-0.1544209108,29.89,29.89
2021-01-03,11.37791666666667,-0.1158735096,26.15,26.15
2021-01-04,14.827083333333334,0.1162449456,27.0,27.0
2021-01-05,9.997916666666669,0.109999999,22.61,22.61
2021-01-06,9.232083333333334,1.04999995,23.67,23.67
2021-01-07,11.392083333333332,0.1540654531999999,26.12,26.12
2021-01-08,14.565416666666666,0.244826436,19.7,19.7
2021-01-09,14.249166666666667,-0.133273222,24.99,24.99
2021-01-10,11.049166666666666,-0.32025212,20.43,20.43
2021-01-11,8.620833333333334,-0.0296547262,20.0,20.0
2021-01-12,12.0725,0.0595397908,23.74,23.74
2021-01-13,13.627916666666664,0.192353815,21.89,21.89
2021-01-14,14.34083333333333,0.2060615162,20.73,20.73
2021-01-15,17.431250000000002,-0.589999974,20.7,20.7
2021-01-16,8.029583333333333,0.0824111204,4.69,4.69
2021-01-17,9.201666666666668,0.1473822034,1.52,1.52
2021-01-18,24.523333333333326,-0.0072654894,2.47,2.47
2021-01-19,12.063333333333333,0.1925012916,26.83,26.83
2021-01-20,12.939583333333331,0.105526181,19.72,19.72
2021-01-21,13.68625,0.1703838526,3.21,3.21
2021-01-22,9.164583333333336,-0.281691611,1.06,1.06
2021-01-23,10.800416666666663,0.1752109181999999,2.04,2.04
2021-01-24,7.695833333333335,0.0143030828,1.92,1.92
2021-01-25,9.36625,0.1654932564,1.84,1.84
2021-01-26,11.575999999999995,-0.2161861478,1.78,1.78
2021-01-27,9.09,-0.0373435518,23.45,23.45
2021-01-28,14.21125,0.180893049,1.97,1.97
2021-01-29,14.486250000000004,-0.366733313,1.82,1.82
2021-01-30,9.236666666666666,0.3974610184,4.68,4.68
2021-01-31,17.469166666666666,0.357876241,8.47,8.47
2021-02-01,17.660416666666666,-0.0286768266,6.56,6.56
2021-02-02,13.02833333333333,0.039554227,8.6,8.6
2021-02-03,17.09166666666667,0.1297330994,4.65,4.65
2021-02-04,9.502083333333331,-0.0319387652,5.55,5.55
2021-02-05,12.54,0.164386304,4.49,4.49
2021-02-06,11.815416666666664,-0.266648084,5.06,5.06
2021-02-07,8.73958333333333,0.005047658,4.62,4.62
2021-02-08,13.006666666666662,-0.0887353309999999,3.17,3.17
2021-02-09,16.685,0.179892078,7.13,7.13
2021-02-10,12.90791666666667,0.077783834,7.29,7.29
2021-02-11,13.988333333333337,0.384084731,11.65,11.65
2021-02-12,11.135416666666666,-0.3661852445999999,6.0,6.0
2021-02-13,8.898333333333333,0.04319144,3.69,3.69
2021-02-14,7.079583333333332,-0.011058168,5.64,5.64
2021-02-15,10.615416666666668,0.076233805,7.67,7.67
2021-02-16,14.657500000000004,-0.012277561,10.92,10.92
2021-02-17,31.84833333333334,-0.2650939384,9.1,9.1
2021-02-18,14.545833333333327,0.105642371,9.64,9.64
2021-02-19,16.286666666666665,0.1556833904,9.5,9.5
2021-02-20,11.922916666666673,0.0910176432,6.26,6.26
2021-02-21,12.71583333333333,-0.0244346092,9.06,9.06
2021-02-22,16.672499999999996,-0.645184636,10.64,10.64
2021-02-23,19.14375,0.170297623,13.14,13.14
2021-02-24,26.20208333333333,0.1625564319999999,14.69,14.69
2021-02-25,25.50208333333333,-0.021595009,15.73,15.73
2021-02-26,17.44375,0.0334121141999999,14.6,14.6
2021-02-27,11.859583333333337,-0.279637903,12.34,12.34
2021-02-28,10.414166666666668,-0.1050748359999999,12.46,12.46
2021-03-01,11.238750000000003,-0.273599476,11.33,11.33
2021-03-02,16.705416666666668,0.408474505,12.35,12.35
2021-03-03,18.93958333333333,-0.0283584014,10.82,10.82
2021-03-04,16.168333333333337,0.251600623,18.97,18.97
2021-03-05,15.73625,0.2564293883999999,11.09,11.09
2021-03-06,11.464999999999998,0.266121596,11.65,11.65
2021-03-07,15.412916666666668,0.0709136255999999,13.49,13.49
2021-03-08,8.419166666666664,-0.0055365964,13.27,13.27
2021-03-09,12.72291666666667,0.0906595375999999,11.29,11.29
2021-03-10,16.036249999999995,-0.07728067,14.28,14.28
2021-03-11,21.398750000000003,-0.058219258,17.09,17.09
2021-03-12,21.239166666666662,0.0555777696,17.36,17.36
2021-03-13,8.134166666666665,0.185509786,14.74,14.74
2021-03-14,10.37391304347826,0.0577000374,13.55,13.55
2021-03-15,14.795,0.091066502,15.07,15.07
2021-03-16,12.269999999999998,0.0371959518,13.03,13.03
2021-03-17,11.2875,0.035769012,17.41,17.41
2021-03-18,14.627916666666666,0.121915631,18.79,18.79
2021-03-19,10.529166666666669,0.0473623292,18.2,18.2
2021-03-20,9.057916666666667,0.034814421,19.54,19.54
2021-03-21,10.517083333333334,-0.0695467844,26.58,26.58
2021-03-22,14.785833333333334,0.357539386,16.7,16.7
2021-03-23,14.571250000000004,-0.1826269213999999,12.0,12.0
2021-03-24,13.434583333333336,0.077051417,16.02,16.02
