date,open_SO2,sate_SO2,"Collectorate, Jodhpur - RSPCB"
2020-11-24,4.842499999999999,0.299158216,14.24
2020-11-25,12.069166666666666,0.0581693302,6.76
2020-11-26,7.578750000000003,0.030790869,8.89
2020-11-27,8.797083333333333,0.0102141904,4.39
2020-11-28,8.223333333333334,-0.043738302,4.45
2020-11-29,6.898749999999999,0.185275137,8.41
2020-11-30,9.79625,-0.079516612,4.41
2020-12-01,8.975000000000001,0.121270724,7.33
2020-12-02,10.393333333333334,0.0362950265999999,7.93
2020-12-03,14.214166666666666,-0.160982922,11.62
2020-12-04,6.075,0.0075225792,10.53
2020-12-05,5.031666666666666,-0.126237005,10.39
2020-12-06,7.776250000000001,-0.639999986,5.81
2020-12-07,15.382083333333332,0.094813228,6.41
2020-12-08,8.032083333333334,-0.035044909,7.28
2020-12-09,6.362916666666667,0.0768265106,6.24
2020-12-10,14.100833333333334,0.159896955,8.45
2020-12-11,5.730416666666667,0.1866619854,9.99
2020-12-12,5.78625,0.039914791,11.08
2020-12-13,4.857500000000001,-0.0369668022,11.21
2020-12-14,5.29375,-0.183099911,11.54
2020-12-15,6.704166666666667,-0.024276419,11.26
2020-12-16,8.487499999999999,0.312100887,12.58
2020-12-17,6.362083333333332,-0.03931465,11.67
2020-12-18,7.316249999999999,-0.0256909002,14.43
2020-12-19,5.829999999999999,0.216465428,10.66
2020-12-20,5.776666666666667,-0.031953163,15.64
2020-12-21,10.505416666666669,-0.041099459,10.41
2020-12-22,9.883333333333333,-0.180000007,9.19
2020-12-23,11.841666666666669,0.040690959,12.84
2020-12-24,8.914166666666665,0.126402423,11.2
2020-12-25,12.59708333333333,0.0716306418,10.18
2020-12-26,9.234166666666669,0.113537654,12.1
2020-12-27,6.06375,-0.092910355,13.45
2020-12-28,12.804166666666664,0.079634175,11.89
2020-12-29,7.887499999999999,0.0295165284,8.97
2020-12-30,5.922083333333333,-0.119701423,8.98
2020-12-31,5.7995833333333335,-0.212723508,9.97
2021-01-01,9.842916666666667,1.36000001,9.15
2021-01-02,5.3225,0.038498208,9.47
2021-01-03,6.449583333333334,-0.2864883152,8.86
2021-01-04,7.17875,-0.0128016166,11.63
2021-01-05,3.6183333333333327,0.0079703885999999,8.84
2021-01-06,4.046250000000001,-0.046394348,9.31
2021-01-07,5.8950000000000005,-0.119999997,6.5
2021-01-08,4.4745833333333325,0.044727013,6.19
2021-01-09,7.106249999999999,-0.06984362,7.12
2021-01-10,6.597083333333334,0.0187320636,6.6
2021-01-11,6.259999999999999,0.162361711,8.03
2021-01-12,5.562083333333334,-0.0043027494,7.49
2021-01-13,8.797500000000001,0.035352387,11.62
2021-01-14,10.641666666666667,-0.0217620675999999,7.51
2021-01-15,12.127916666666664,-0.069592662,9.47
2021-01-16,9.43833333333333,0.081707619,6.86
2021-01-17,9.512083333333337,0.181564733,9.28
2021-01-18,7.623750000000001,0.099310264,6.63
2021-01-19,5.777500000000001,0.0436135472,7.82
2021-01-20,7.530833333333333,-0.070030682,12.07
2021-01-21,7.552083333333333,0.0524436214,9.56
2021-01-22,2.8604166666666675,0.114430405,7.9
2021-01-23,5.301666666666666,-1.36000001,9.52
2021-01-24,4.6675,0.237323642,9.83
2021-01-25,4.82875,0.052696757,11.04
2021-01-26,5.857999999999999,-0.0177270178,10.66
2021-01-27,4.07,0.22699295,11.14
2021-01-28,6.42625,-0.0261874261999999,9.94
2021-01-29,8.300833333333333,0.050790086,13.76
2021-01-30,10.53875,-0.0003991191999999,19.56
2021-01-31,6.360416666666667,0.123761043,30.79
2021-02-01,12.535416666666665,-0.041070152,10.06
2021-02-02,8.969583333333333,-0.271706671,8.4
2021-02-03,12.016249999999998,-0.061382201,9.99
2021-02-04,10.41875,0.0479715493999999,8.17
2021-02-05,7.628333333333335,0.040711399,7.87
2021-02-06,5.72625,0.0496662618,8.59
2021-02-07,6.690833333333334,0.191113725,9.69
2021-02-08,10.328333333333331,-0.159999996,13.21
2021-02-09,7.631666666666667,-0.191956922,12.14
2021-02-10,16.89041666666667,0.043054108,11.34
2021-02-11,9.153333333333334,0.0347833636,8.85
2021-02-12,10.629166666666668,0.086207464,13.63
2021-02-13,5.931666666666666,0.0132187686,10.08
2021-02-14,8.285416666666666,0.095000856,9.61
2021-02-15,7.060833333333335,-0.0242714816,11.38
2021-02-16,12.095416666666669,-0.101369619,9.85
2021-02-17,7.773333333333334,0.006593572,8.88
2021-02-18,6.968749999999999,-0.131165728,11.26
2021-02-19,6.899166666666667,0.089940287,7.14
2021-02-20,6.882083333333334,0.0318988506,9.42
2021-02-21,10.382083333333334,-0.022164704,10.26
2021-02-22,10.758333333333333,0.0159592014,13.25
2021-02-23,8.2525,-0.087070562,11.54
2021-02-24,3.784583333333333,-0.25999999,9.28
2021-02-25,4.897500000000001,0.052772135,10.32
2021-02-26,4.4625,0.016075075,8.1
2021-02-27,4.092916666666667,-0.0351878624,9.1
2021-02-28,7.560833333333332,-0.090751126,8.61
2021-03-01,8.715000000000002,0.0135784816,8.77
2021-03-02,13.46125,-0.073168308,10.24
2021-03-03,8.788750000000004,0.0288479379999999,12.38
2021-03-04,8.769166666666669,-0.046645708,8.91
2021-03-05,5.821666666666666,-0.06076083,10.56
2021-03-06,3.289166666666666,-0.235897556,13.11
2021-03-07,1.905833333333333,0.004110398,13.51
2021-03-08,4.869583333333334,0.0572691992,9.85
2021-03-09,11.549166666666666,-0.014905098,8.4
2021-03-10,10.133333333333333,0.0040874954,10.95
2021-03-11,3.87375,0.111457437,8.81
2021-03-12,5.9433333333333325,0.230000004,9.72
2021-03-13,7.300833333333333,-0.000245609,15.66
2021-03-14,6.265652173913042,0.096418865,11.97
2021-03-15,7.735833333333332,0.0144957159999999,11.86
2021-03-16,6.260000000000001,0.037100267,12.48
2021-03-17,7.102916666666666,0.0683018774,16.47
2021-03-18,8.572083333333333,0.197781861,13.04
2021-03-19,5.204166666666666,0.0752731904,15.4
2021-03-20,7.966666666666666,-0.059887681,8.86
2021-03-21,4.5200000000000005,-0.039618772,11.42
2021-03-22,4.285833333333334,-0.109999999,7.63
2021-03-23,4.826250000000001,-0.077405818,7.56
2021-03-24,5.635833333333333,-0.0295731725999999,7.53
2021-03-25,11.785000000000002,-0.205355436,7.36
2021-03-26,6.452083333333332,-0.0258940048,11.47
2021-03-27,6.596666666666667,-0.02977402,10.45
2021-03-28,3.8679166666666656,-0.300000012,9.46
2021-03-29,1.6833333333333331,0.059072509,7.58
2021-03-30,3.6320833333333327,0.016983589115710723,6.79
2021-03-31,8.18625,0.0434659933999999,6.63
2021-04-01,5.73,0.059486799,7.69
2021-04-02,7.475833333333331,0.0346029615999999,9.3
2021-04-03,7.237083333333334,-0.099809475,11.69
2021-04-04,5.338333333333334,-0.0031761998,9.66
2021-04-05,2.3233333333333333,0.18702586,8.02
2021-04-06,4.017500000000001,-0.142904818,8.58
2021-04-07,9.94,-0.061523367,6.68
2021-04-08,8.598333333333333,-0.036696822,7.88
2021-04-09,5.005,-0.054933902,11.0
2021-04-10,4.98875,-0.136734888,9.89
2021-04-11,7.30583333333333,-0.0416074324,12.01
2021-04-12,12.15625,0.077840328,13.5
2021-04-13,5.4175,0.219860837,12.45
2021-04-14,3.0000000000000004,0.065451726,8.52
2021-04-15,2.76375,0.090808414,8.06
2021-04-16,7.379999999999999,1.81319988,8.07
2021-04-17,6.9325,0.166965798,17.69
2021-04-18,4.723333333333334,0.137608395,9.75
2021-04-19,5.09125,0.738161266,9.33
2021-04-20,4.940416666666668,0.041700616,9.44
2021-04-21,5.44875,-0.267569959,7.54
2021-04-22,2.796666666666667,-0.064947896,7.41
2021-04-23,5.947500000000001,-0.097728953,7.89
2021-04-24,3.4654166666666666,-0.074764006,7.82
2021-04-25,6.369166666666668,0.010241761,12.14
2021-04-26,8.171666666666665,-0.029695313,10.33
2021-04-27,5.63625,-0.0049316865999999,11.69
2021-04-28,5.75,0.103451468,8.07
2021-04-29,6.149583333333332,-0.226487026,7.94
2021-04-30,4.715416666666667,0.074276567,8.2
2021-05-01,2.8312499999999994,0.062167369,8.76
2021-05-02,2.825416666666666,-0.02165708,8.28
2021-05-03,4.910833333333334,0.039510869,7.14
2021-05-04,3.0683333333333334,0.0451491714,10.86
2021-05-05,5.253333333333334,0.028112894,11.14
2021-05-06,8.064583333333333,0.0869066406,10.0
2021-05-07,7.485833333333333,0.103594087,9.38
2021-05-08,6.722500000000001,0.058474366,7.98
2021-05-09,7.723333333333332,0.073753446,7.68
2021-05-10,3.540833333333333,0.001876462,6.0
2021-05-11,2.3729166666666663,0.103909381,7.32
2021-05-12,1.9908333333333332,0.005394101,8.81
2021-05-13,2.236666666666666,0.0010709201999999,14.15
2021-05-14,4.137916666666668,0.084981993,6.54
2021-05-15,5.068333333333333,0.112343132,8.08
2021-05-16,5.895416666666667,-0.125089049,6.72
2021-05-17,2.62375,0.070880532,5.87
2021-05-18,2.15125,-0.0412585825999999,8.59
2021-05-19,2.5429166666666663,-0.049189851,4.92
2021-05-20,1.4779166666666663,-0.0306242774,5.64
2021-05-21,1.3004166666666668,-0.124921627,6.66
2021-05-22,2.1104166666666666,-0.0011559778,6.01
2021-05-23,5.877083333333334,0.003162845,6.42
2021-05-24,3.4683333333333324,0.031354055,6.33
2021-05-25,2.505416666666666,-0.017407736,5.95
2021-05-26,1.9979166666666668,-0.013037488,4.5
2021-05-27,1.60375,-0.069880799,6.34
2021-05-28,1.33625,0.036177166,6.54
2021-05-29,1.0337500000000002,0.0251020696,7.33
2021-05-30,1.1095833333333331,0.049055468,7.94
2021-05-31,1.0145833333333334,-0.035398793,7.14
2021-06-01,1.47375,-0.017471978,7.17
2021-06-02,1.5575,0.06140266,7.25
2021-06-03,3.8141666666666656,-0.003913274,14.21
2021-06-04,2.2687500000000003,-0.028938333,6.62
2021-06-05,3.284166666666666,0.0356661456,8.96
2021-06-06,2.8008333333333333,-0.031796839,12.36
2021-06-07,2.4370833333333333,0.030721798,9.78
2021-06-08,1.07875,0.056861624,6.76
2021-06-09,1.2170833333333333,0.081265621,7.49
2021-06-10,1.01,-0.052317891,6.82
2021-06-11,0.9929166666666666,0.054734048,7.6
2021-06-12,0.8966666666666666,-0.0545482,6.54
2021-06-13,0.9700000000000002,0.044693828,7.47
2021-06-14,1.2833333333333334,-0.0707819498,7.08
2021-06-15,0.6500000000000001,-0.070149131,8.19
2021-06-16,1.45375,-0.048916869,7.74
2021-06-17,2.0004166666666667,-0.029139292,7.36
2021-06-18,2.6625,-0.054742187,6.73
2021-06-19,1.2137500000000003,-0.035491165,7.9
2021-06-20,0.9858333333333332,0.13315475,7.42
2021-06-21,1.2691666666666668,0.043516449,6.75
2021-06-22,1.4675,-0.061767776,7.01
2021-06-23,1.637916666666667,0.0530252258,10.47
2021-06-24,1.3891666666666664,-0.021136921,6.6
2021-06-25,1.092083333333333,-0.031128513,6.29
2021-06-26,1.5225000000000002,0.008624407,8.24
2021-06-27,3.4066666666666667,-0.04378774,10.31
2021-06-28,3.727916666666667,0.027388159,8.98
2021-06-29,2.334583333333333,0.015672993,7.56
2021-06-30,1.0445833333333336,-0.0698298396,7.99
2021-07-01,0.63625,0.092493258,13.4
2021-07-02,0.6454166666666666,-0.105950028,8.44
2021-07-03,0.7083333333333335,0.05179885,6.15
2021-07-04,1.0083333333333335,0.053694978,7.89
2021-07-05,1.977916666666667,0.003127835,7.36
2021-07-06,2.330416666666667,-0.006609503,7.71
2021-07-07,1.154166666666667,0.013080077,6.62
2021-07-08,1.36625,-0.039984841,6.92
2021-07-09,1.715833333333333,-0.002688323,8.16
2021-07-10,3.303333333333333,-0.002184907,9.1
2021-07-11,2.6270833333333337,-0.00817733,8.01
2021-07-12,6.295416666666667,0.144798979,9.8
2021-07-13,4.375833333333333,0.123999998,8.51
2021-07-14,4.765833333333333,0.043714978,12.33
2021-07-15,4.5175,0.019573955,10.49
2021-07-16,1.7474999999999998,-0.0520060644,7.36
2021-07-17,2.6241666666666665,-0.0548643043999999,8.02
2021-07-18,0.5537500000000001,-0.100000001,8.44
2021-07-19,0.8283333333333333,0.100000001,8.13
2021-07-20,0.8091666666666666,0.020406652,10.19
2021-07-21,1.1283333333333334,-0.061670769,9.33
2021-07-22,1.5150000000000003,-0.047179308,8.43
2021-07-23,2.3666666666666667,-0.0064906909999999,8.55
2021-07-24,2.825416666666667,0.046187311,8.97
2021-07-25,2.29875,-0.0551131738,8.08
2021-07-26,1.3333333333333333,-0.017656704,7.37
2021-07-27,0.65625,0.0052851255999999,7.71
2021-07-28,0.71,-0.0035841432,8.53
2021-07-29,1.0199999999999998,0.0832142274,10.84
2021-07-30,1.1154166666666667,0.114683144,5.66
2021-07-31,0.8879166666666666,-0.1467415766,7.55
2021-08-01,1.02125,0.0315978054,7.19
2021-08-02,1.049583333333333,-0.0132511323999999,7.56
2021-08-03,1.24875,0.007656194,7.43
2021-08-04,1.090833333333333,0.046701152,5.52
2021-08-05,0.8970833333333333,0.005378479,7.16
2021-08-06,0.8658333333333332,0.029677091,7.58
2021-08-07,0.8562500000000001,0.1026363,10.05
2021-08-08,1.133333333333333,0.0098022217999999,8.8
2021-08-09,1.00125,0.042052608,7.48
2021-08-10,0.8658333333333333,-0.0089474897999999,9.99
2021-08-11,0.9354166666666668,-0.011995757,7.78
2021-08-12,0.88625,0.010165594,12.16
2021-08-13,0.725,0.022759445,7.54
2021-08-14,0.5320833333333334,0.030227736,8.51
2021-08-15,0.7949999999999999,0.059741892,8.11
2021-08-16,1.3645833333333337,0.047878061,7.99
2021-08-17,3.555000000000001,-0.0049225922,10.26
2021-08-18,2.599583333333333,-0.059421346,7.25
2021-08-19,2.8720833333333338,-0.034376022,6.48
2021-08-20,2.2050000000000005,0.149620339,6.75
2021-08-21,2.012916666666667,-0.060638316,10.13
2021-08-22,2.745,0.040010642,9.56
2021-08-23,2.5316666666666663,0.073369026,12.04
2021-08-24,0.8791666666666665,0.044875657,9.68
2021-08-25,0.8083333333333331,0.078970976,11.93
2021-08-26,0.6470833333333333,0.034322168,6.7
2021-08-27,1.195,0.032649215,7.57
2021-08-28,1.3970833333333337,0.01011674,7.96
2021-08-29,5.534166666666667,0.020032989,9.12
2021-08-30,4.3325,-0.045550536,9.18
2021-08-31,2.7275000000000005,0.08358103,8.0
2021-09-01,3.557083333333333,0.0597334976,8.7
2021-09-02,4.195416666666668,0.0021910174,11.91
2021-09-03,5.4325,0.0339164956,12.15
2021-09-04,2.3366666666666664,-0.011539479,8.09
2021-09-05,1.4895833333333333,0.048264045,8.31
2021-09-06,3.657083333333334,-0.09262003,8.73
2021-09-07,4.18125,0.013472615,7.3
2021-09-08,3.2791666666666672,0.009356753,7.28
2021-09-09,3.3945833333333337,-0.1071421911999999,8.23
2021-09-10,5.605,0.1064538776,10.33
2021-09-11,4.274583333333333,0.0295402924,8.23
2021-09-12,3.724583333333333,0.055241589,6.96
2021-09-13,3.741666666666666,-0.017352969,7.97
2021-09-14,3.0941666666666667,0.0691507302,6.14
2021-09-15,3.4562500000000003,-0.00337064,7.49
2021-09-16,8.831666666666667,-0.0096271244,8.4
2021-09-17,4.049583333333333,-0.026881196,8.27
2021-09-18,3.3854166666666674,0.1257297916,7.23
2021-09-19,2.222083333333334,0.0868070278,7.99
2021-09-20,2.853333333333333,0.0040754359999999,8.45
2021-09-21,3.927916666666667,-0.075626947,7.78
2021-09-22,3.507916666666667,0.100000001,9.38
2021-09-23,5.19,0.0138885033999999,11.97
2021-09-24,5.655416666666667,0.1584954366,6.41
2021-09-25,2.9545833333333333,-0.098792254,10.91
2021-09-26,3.9083333333333337,-0.059999999,9.66
2021-09-27,3.963749999999999,0.0447854556,8.35
2021-09-28,3.6875,0.065408997,6.92
2021-09-29,4.824999999999999,-0.055558618,9.88
2021-09-30,2.54375,-0.1073668311999999,10.18
2021-10-01,3.1920833333333323,0.014139338,7.18
2021-10-02,3.056250000000001,0.0251653915999999,7.15
2021-10-03,1.75625,0.042583235,6.51
2021-10-04,1.1616666666666668,0.0326886728,6.88
2021-10-05,1.8616666666666664,-0.0244061798,7.94
2021-10-06,5.37125,0.0055225204,8.93
2021-10-07,4.07125,0.115195364,9.95
2021-10-08,2.435833333333333,-0.048385974,10.78
2021-10-09,1.7729166666666671,-0.0516708986,10.52
2021-10-10,1.4383333333333337,0.044121996,9.64
2021-10-11,2.361666666666667,-0.0160364709999999,9.26
2021-10-12,4.640416666666666,0.186011195,8.62
2021-10-13,8.6825,0.0703141009999999,9.47
2021-10-14,13.277083333333332,-0.022054914,8.97
2021-10-15,15.174583333333333,0.016619986,7.58
2021-10-16,12.117083333333332,0.272376686,10.69
2021-10-17,3.7779166666666666,0.16658847,10.41
2021-10-18,5.149166666666667,0.0005788974,11.15
2021-10-19,10.002083333333331,0.161103472,11.51
2021-10-20,4.644583333333332,-0.2995836236,12.42
2021-10-21,2.891666666666666,0.208527774,10.62
2021-10-22,1.0504166666666668,-0.029999999,13.01
2021-10-23,1.1879166666666665,-0.107639402,12.89
2021-10-24,2.635833333333333,-0.002591925,10.24
2021-10-25,5.415833333333333,-0.0151071175999999,9.36
2021-10-26,7.843750000000001,0.079682238,10.98
2021-10-27,7.554999999999999,0.0299039419999999,10.4
2021-10-28,10.95,0.131341711,12.97
2021-10-29,7.975833333333334,-0.0429107992,8.8
2021-10-30,6.362916666666667,-0.061180458,11.73
2021-10-31,6.084166666666666,0.004812837,12.52
2021-11-01,4.745833333333334,-0.2508111,12.86
2021-11-02,11.699583333333337,0.072012648,12.17
2021-11-03,12.647916666666672,0.0944615764,9.97
2021-11-04,11.0125,0.195600212,11.41
2021-11-05,8.345833333333337,-0.0370008678,12.62
2021-11-06,7.41458333333333,-0.245712802,11.85
2021-11-07,6.4556,-0.170000002,12.1
2021-11-08,9.17875,-0.092615701,11.97
2021-11-09,12.805000000000003,-0.119115539,10.09
2021-11-10,12.642916666666665,-0.022048485,12.22
2021-11-11,8.02208333333333,-0.137435108,12.95
2021-11-12,6.282916666666666,0.0474581916,11.81
2021-11-13,5.703749999999999,0.064825445,11.66
2021-11-14,7.903750000000001,0.0082892044,12.51
2021-11-15,7.440833333333333,0.308243155,11.72
2021-11-16,6.701249999999999,0.081627965,10.26
2021-11-17,7.555833333333333,0.004120972,10.48
2021-11-18,5.42125,0.111041762,10.88
2021-11-19,4.539583333333335,0.078608015,14.7
2021-11-20,3.733333333333333,-0.013620933,9.07
2021-11-21,5.866666666666666,0.0090535666,10.16
2021-11-22,9.525833333333336,0.074916907,10.01
2021-11-23,6.758333333333336,-0.109999999,11.95
2021-11-24,6.495000000000001,0.22595644,10.69
2021-11-25,16.450833333333332,-0.082960442,11.52
2021-11-26,14.017083333333332,0.014755146,12.1
2021-11-27,7.36,0.139659837,10.25
2021-11-28,12.447916666666666,-0.0012695001999999,10.86
2021-11-29,7.152500000000001,0.147886559,10.12
2021-11-30,5.420416666666667,0.0079497576,10.02
2021-12-01,5.811250000000001,0.0156582988,10.32
2021-12-02,3.842916666666667,-0.017211638,8.64
2021-12-03,4.107916666666667,0.019685643,9.39
2021-12-04,4.704166666666667,-0.070018627,11.54
2021-12-05,4.486666666666666,0.003922525,9.92
2021-12-06,4.979583333333333,-0.099024013,7.8
2021-12-07,6.966250000000001,0.016983589115710723,7.05
2021-12-08,7.484166666666664,0.246927485,8.0
2021-12-09,6.3566666666666665,0.230000004,8.16
2021-12-10,6.0808333333333335,0.144667804,9.17
2021-12-11,5.884583333333334,-0.00875371,9.68
2021-12-12,7.7875,-0.0195041966,8.55
2021-12-13,8.185416666666667,0.044195585,10.5
2021-12-14,7.195416666666668,0.0325799314,9.6
2021-12-15,7.677916666666667,0.081260674,9.23
2021-12-16,9.034999999999998,0.0081261162,9.91
2021-12-17,10.178333333333336,-0.218089417,8.93
2021-12-18,4.077916666666667,-0.190483555,8.7
2021-12-19,7.2366666666666655,-0.377591342,8.05
2021-12-20,14.840833333333336,0.127732292,8.55
2021-12-21,15.04,-0.0008522419999999,10.71
2021-12-22,10.265,0.04334845,11.58
2021-12-23,4.544583333333334,-0.007388833,15.39
2021-12-24,5.1625,0.0550853914,10.21
2021-12-25,9.767083333333334,0.189999998,9.02
2021-12-26,4.579166666666668,0.80405128,9.6
2021-12-27,4.895416666666667,0.028606977,9.76
2021-12-28,4.492500000000001,0.0752707782,8.38
2021-12-29,5.614166666666666,-0.063573718,8.99
2021-12-30,5.2525,0.0410192104,9.21
2021-12-31,6.996666666666669,0.050000001,8.85
