date,open_NO2,sate_NO2,"Civil Lines, Bareilly - UPPCB","Rajendra Nagar, Bareilly - UPPCB"
2020-11-24,36.5025,5623096000000000.0,40.91,40.91
2020-11-25,33.7375,9348580000000000.0,36.64,36.64
2020-11-26,29.58125,5964198000000000.0,13.85,13.85
2020-11-27,20.086250000000003,4527314000000000.0,19.01,19.01
2020-11-28,25.512083333333333,6531380000000000.0,20.21,20.21
2020-11-29,31.224166666666665,5386038000000000.0,13.96,13.96
2020-11-30,34.26958333333334,5416440000000000.0,23.47,23.47
2020-12-01,42.06708333333333,5001802000000000.0,3.17,3.17
2020-12-02,37.353333333333325,5589900000000000.0,5.51,5.51
2020-12-03,39.50791666666667,6004418000000000.0,15.21,15.21
2020-12-04,49.48916666666667,5133434000000000.0,21.14,21.14
2020-12-05,33.855833333333344,7019080000000000.0,8.74,8.74
2020-12-06,31.67750000000001,5368824000000000.0,13.62,13.62
2020-12-07,26.575416666666666,5678780000000000.0,14.48,14.48
2020-12-08,33.17791666666667,5416178000000000.0,11.45,11.45
2020-12-09,28.76625,5738990000000000.0,10.11,10.11
2020-12-10,20.662916666666668,6061842000000000.0,16.24,16.24
2020-12-11,31.65333333333334,4388790000000000.0,21.95,21.95
2020-12-12,23.77125000000001,3667340000000000.0,14.78,14.78
2020-12-13,10.140833333333337,5242824000000000.0,11.98,11.98
2020-12-14,24.40958333333333,4155550000000000.0,8.94,8.94
2020-12-15,28.097916666666677,4215651200000000.0,8.36,8.36
2020-12-16,13.228333333333332,4350780000000000.0,7.86,7.86
2020-12-17,11.957083333333337,4437570000000000.0,7.4,7.4
2020-12-18,14.948333333333336,5560890000000000.0,6.87,6.87
2020-12-19,23.324583333333333,4697950000000000.0,6.6,6.6
2020-12-20,44.97208333333333,5088196000000000.0,46.25,46.25
2020-12-21,36.985416666666666,6504850000000000.0,11.08,11.08
2020-12-22,30.367500000000007,5304322000000000.0,11.06,11.06
2020-12-23,28.67708333333333,7066260000000000.0,14.8,14.8
2020-12-24,21.37833333333333,5014803200000000.0,270.5,270.5
2020-12-25,11.121666666666664,4837750000000000.0,53.36,89.87
2020-12-26,30.688333333333336,6202208000000000.0,214.78,214.78
2020-12-27,28.526249999999997,5549770000000000.0,247.54,247.54
2020-12-28,19.5125,5599510000000000.0,187.9,187.9
2020-12-29,17.494166666666665,4916736000000000.0,261.43,261.43
2020-12-30,23.506249999999994,5486780000000000.0,308.73,308.73
2020-12-31,30.6075,4333599200000000.0,334.44,334.44
2021-01-01,70.34458333333333,4359900000000000.0,250.17,250.17
2021-01-02,43.2775,4965445200000000.0,284.4,284.4
2021-01-03,24.54125,4268396000000000.0,252.94,252.94
2021-01-04,26.286666666666665,4569480000000000.0,428.88,428.88
2021-01-05,21.960000000000004,5027174000000000.0,196.65,196.65
2021-01-06,24.416250000000005,2039500000000000.0,240.21,240.21
2021-01-07,15.596666666666662,5114990000000000.0,205.87,205.87
2021-01-08,14.780416666666662,5137630000000000.0,235.06,235.06
2021-01-09,8.637916666666667,4146677200000000.0,196.88,196.88
2021-01-10,7.854166666666665,4025330000000000.0,263.76,263.76
2021-01-11,10.284583333333332,4800204000000000.0,265.03,265.03
2021-01-12,25.63583333333333,4576030000000000.0,226.67,226.67
2021-01-13,30.650416666666672,8484070000000000.0,299.85,299.85
2021-01-14,35.114583333333336,4526396000000000.0,297.86,297.86
2021-01-15,35.35375000000001,6301480000000000.0,280.75,280.75
2021-01-16,19.144166666666663,5502848000000000.0,0.3,0.3
2021-01-17,12.894583333333337,3481214000000000.0,0.7,0.7
2021-01-18,39.67875,5541524000000000.0,1.1,1.1
2021-01-19,11.0425,4458930000000000.0,439.8,439.8
2021-01-20,9.0075,4244186000000000.0,390.73,390.73
2021-01-21,22.40625,5644756000000000.0,0.2,0.2
2021-01-22,24.63458333333333,3270450000000000.0,101.5,101.5
2021-01-23,20.399999999999995,6274362000000000.0,1.5,1.5
2021-01-24,14.704166666666666,4839464000000000.0,0.6,0.6
2021-01-25,18.307916666666667,4925196000000000.0,2.0,2.0
2021-01-26,13.688,3145122000000000.0,0.8,0.8
2021-01-27,33.6725,4368434000000000.0,13.88,13.88
2021-01-28,27.01125,3985400000000000.0,20.25,118.81
2021-01-29,9.96958333333333,5641010000000000.0,23.97,112.91
2021-01-30,12.62,3741114000000000.0,1.2,1.2
2021-01-31,38.46041666666667,5894770000000000.0,32.28,120.33
2021-02-01,25.87750000000001,4777566000000000.0,35.24,119.01
2021-02-02,27.92333333333333,5307150000000000.0,33.2,140.67
2021-02-03,24.051666666666662,4810388000000000.0,18.34,83.78
2021-02-04,11.95541666666667,6613790000000000.0,13.61,76.4
2021-02-05,26.06583333333334,5312642000000000.0,13.14,88.84
2021-02-06,9.937499999999998,4285148000000000.0,16.17,88.19
2021-02-07,19.639166666666668,6679640000000000.0,20.48,96.7
2021-02-08,17.12333333333333,3298205200000000.0,31.49,107.76
2021-02-09,28.819583333333338,5212850000000000.0,25.43,121.42
2021-02-10,25.195833333333336,4877552000000000.0,28.39,132.11
2021-02-11,17.726666666666667,4962750000000000.0,28.52,109.74
2021-02-12,23.619583333333328,6061842000000000.0,23.5,109.51
2021-02-13,16.886666666666667,5575120000000000.0,26.31,104.01
2021-02-14,15.512916666666664,6387330000000000.0,28.34,128.65
2021-02-15,18.32875,4172166000000000.0,26.3,103.53
2021-02-16,18.98875,7318240000000000.0,21.44,93.57
2021-02-17,40.59708333333333,5240112000000000.0,28.8,75.38
2021-02-18,24.73625,6643810000000000.0,28.68,99.03
2021-02-19,16.1525,5550836000000000.0,48.34,48.34
2021-02-20,11.479166666666666,5975030000000000.0,43.15,43.15
2021-02-21,10.328333333333337,4706952000000000.0,42.02,42.02
2021-02-22,11.26291666666667,3808096000000000.0,44.76,44.76
2021-02-23,17.407499999999995,8295310000000000.0,70.45,70.45
2021-02-24,9.161666666666669,6469054000000000.0,58.55,58.55
2021-02-25,10.393333333333333,6315190000000000.0,43.34,43.34
2021-02-26,11.21,5690238000000000.0,41.64,41.64
2021-02-27,11.892916666666666,5827930000000000.0,47.6,47.6
2021-02-28,11.977916666666664,6198418000000000.0,38.48,38.48
2021-03-01,6.462916666666668,4653830000000000.0,30.62,30.62
2021-03-02,7.1312500000000005,3966370000000000.0,28.37,28.37
2021-03-03,18.52333333333333,4235530000000000.0,41.37,41.37
2021-03-04,13.263333333333335,5304860000000000.0,70.15,70.15
2021-03-05,6.322083333333333,4374206000000000.0,33.99,33.99
2021-03-06,14.21,5730240000000000.0,31.38,31.38
2021-03-07,7.455833333333334,4879748000000000.0,37.12,37.12
2021-03-08,12.841666666666663,5215430000000000.0,27.64,27.64
2021-03-09,16.380000000000006,4370658000000000.0,34.8,34.8
2021-03-10,23.981250000000003,5082290000000000.0,38.48,38.48
2021-03-11,30.969999999999995,4392410000000000.0,43.84,43.84
2021-03-12,20.33208333333333,4544916000000000.0,37.86,37.86
2021-03-13,10.412499999999998,3565170000000000.0,30.21,30.21
2021-03-14,7.385217391304347,4894732000000000.0,29.52,29.52
2021-03-15,9.05625,4357750000000000.0,27.11,27.11
2021-03-16,8.902916666666666,4645832000000000.0,27.8,27.8
2021-03-17,10.234583333333337,4322320000000000.0,32.42,32.42
