date,open_NO2,sate_NO2,"DM College of Science, Imphal - Manipur PCB","Manipur University, Imphal - Manipur PCB"
2021-03-29,21.72041666666667,1.22e+16,2.63,2.63
2021-03-30,10.392083333333332,3593586000000000.0,2.58,2.58
2021-03-31,17.194583333333334,3358970000000000.0,2.43,2.43
2021-04-01,28.232916666666668,4825400000000000.0,2.55,2.55
2021-04-02,19.46333333333333,4264592000000000.0,2.75,2.75
2021-04-03,19.856666666666666,4922890000000000.0,2.62,2.62
2021-04-04,22.59,3985890000000000.0,2.6,2.6
2021-04-05,13.212083333333334,5658196000000000.0,2.58,2.58
2021-04-06,23.19708333333333,4514370000000000.0,2.58,2.58
2021-04-07,18.144166666666667,4444228000000000.0,2.61,2.61
2021-04-08,19.70291666666667,2688360000000000.0,2.74,2.74
2021-04-09,23.795,2591590000000000.0,2.55,2.55
2021-04-10,11.76375,4664510000000000.0,2.6,2.6
2021-04-11,17.263749999999998,4564210000000000.0,2.61,2.61
2021-04-12,15.7325,3653960000000000.0,2.64,2.64
2021-04-13,17.109583333333333,3785650000000000.0,2.57,2.57
2021-04-14,21.26083333333333,5428500000000000.0,2.6,2.6
2021-04-15,17.17125,3328350000000000.0,2.58,2.58
2021-04-16,14.092083333333331,3665506000000000.0,2.63,2.63
2021-04-17,11.110416666666666,5020780000000000.0,2.67,2.67
2021-04-18,7.574166666666667,4235408000000000.0,2.63,2.63
2021-04-19,16.238333333333333,3963640000000000.0,2.58,2.58
2021-04-20,16.003333333333334,5246730000000000.0,2.76,2.76
2021-04-21,17.987083333333334,5254810000000000.0,2.62,2.62
2021-04-22,8.109166666666669,5544760000000000.0,2.65,2.65
2021-04-23,19.026666666666667,3017764000000000.0,2.63,2.63
2021-04-24,12.930416666666668,4513280000000000.0,2.66,2.66
2021-04-25,11.6675,3582728000000000.0,2.58,2.58
2021-04-26,14.141249999999998,5916870000000000.0,2.61,2.61
2021-04-27,17.525000000000002,3035610000000000.0,2.61,2.61
2021-04-28,11.650416666666668,4931660000000000.0,2.63,2.63
2021-04-29,13.507916666666668,5818890000000000.0,2.69,2.69
2021-04-30,20.885,6034140000000000.0,2.67,2.67
2021-05-01,12.790833333333335,4995890000000000.0,2.66,2.66
2021-05-02,11.586666666666668,4748538000000000.0,2.68,2.68
2021-05-03,12.53041666666667,4536730000000000.0,2.58,2.58
2021-05-04,17.410416666666666,5351254000000000.0,2.66,2.66
2021-05-05,17.368750000000002,4290600000000000.0,2.6,2.6
2021-05-06,11.086666666666668,4569750000000000.0,2.63,2.63
2021-05-07,13.97875,4087450000000000.0,2.73,2.73
2021-05-08,16.14125,3270700000000000.0,2.67,2.67
2021-05-09,5.391666666666667,3078652000000000.0,2.62,2.62
2021-05-10,14.628749999999998,3748070000000000.0,2.67,2.67
2021-05-11,8.341666666666667,3588516000000000.0,2.65,2.65
2021-05-12,9.361666666666665,5020110000000000.0,2.59,2.59
2021-05-13,8.23375,3358478000000000.0,2.66,2.66
2021-05-14,7.590416666666669,3256590000000000.0,2.65,2.65
2021-05-15,9.982083333333334,3894620000000000.0,2.66,2.66
2021-05-16,11.037916666666668,3133828000000000.0,2.66,2.66
2021-05-17,15.63625,3017322000000000.0,2.58,2.58
2021-05-18,7.409999999999999,3108764000000000.0,2.66,2.66
2021-05-19,5.969583333333335,3753114000000000.0,2.69,2.69
2021-05-20,7.708750000000001,3573900000000000.0,2.65,2.65
2021-05-21,8.277916666666666,4458680000000000.0,2.66,2.66
2021-05-22,6.86625,3944000000000000.0,2.65,2.65
2021-05-23,3.977083333333333,4040510000000000.0,2.62,2.62
2021-05-24,2.584583333333333,4277090000000000.0,2.58,2.58
2021-05-25,2.43625,2971782000000000.0,2.72,2.72
2021-05-26,2.742083333333334,3952474000000000.0,2.66,2.66
2021-05-27,7.457916666666666,5926954000000000.0,2.66,2.66
2021-05-28,13.256249999999996,4130668000000000.0,2.65,2.65
2021-05-29,10.098333333333333,4294450000000000.0,2.64,2.64
2021-05-30,6.98125,4882750000000000.0,2.66,2.66
2021-05-31,8.837083333333334,4738860000000000.0,2.65,2.65
2021-06-01,3.790833333333332,3793278000000000.0,2.65,2.65
2021-06-02,8.448749999999999,3875658000000000.0,2.63,2.63
2021-06-03,8.495416666666669,2810628000000000.0,2.61,2.61
2021-06-04,9.060000000000002,3213670000000000.0,2.66,2.66
2021-06-05,6.872500000000001,3324184000000000.0,2.64,2.64
2021-06-06,7.958749999999999,4018810000000000.0,2.65,2.65
2021-06-07,7.949583333333336,2864133200000000.0,2.65,2.65
2021-06-08,8.552083333333334,2797814000000000.0,2.58,2.58
2021-06-09,6.015000000000001,5422630000000000.0,2.63,2.63
2021-06-10,6.760833333333333,4092730000000000.0,2.62,2.62
2021-06-11,4.0062500000000005,3406260000000000.0,2.64,2.64
2021-06-12,2.537916666666667,7152038000000000.0,2.59,2.59
2021-06-13,4.225416666666667,3909080000000000.0,2.65,2.65
2021-06-14,6.9558333333333335,4909480000000000.0,2.62,2.62
2021-06-15,4.843333333333334,3808996000000000.0,2.62,2.62
2021-06-16,3.637083333333333,3379040000000000.0,2.62,2.62
2021-06-17,2.985,2733666000000000.0,2.62,2.62
2021-06-18,6.099166666666664,2632526400000000.0,2.7,2.7
2021-06-19,4.9925,2903010000000000.0,2.6,2.6
2021-06-20,6.179999999999999,3190626000000000.0,2.63,2.63
2021-06-21,9.455416666666666,3515100000000000.0,2.62,2.62
2021-06-22,6.962083333333336,3492796000000000.0,2.65,2.65
2021-06-23,5.267083333333332,3562160000000000.0,2.68,2.68
2021-06-24,7.829166666666667,3645942000000000.0,2.63,2.63
2021-06-25,4.894583333333333,3058690000000000.0,2.67,2.67
2021-06-26,4.269166666666667,3169458000000000.0,2.68,2.68
2021-06-27,4.146666666666666,3884240000000000.0,2.72,2.72
2021-06-28,3.145833333333333,2620764000000000.0,2.66,2.66
2021-06-29,4.973333333333334,3030558000000000.0,2.62,2.62
2021-06-30,5.774166666666667,3492566000000000.0,2.57,2.57
2021-07-01,7.777083333333333,3433406000000000.0,2.62,2.62
2021-07-02,5.636666666666667,4921788000000000.0,2.6,2.6
2021-07-03,5.73375,3303586000000000.0,2.68,2.68
2021-07-04,6.34625,2751220000000000.0,2.68,2.68
2021-07-05,5.27625,3542440000000000.0,2.66,2.66
2021-07-06,7.228750000000002,4277220000000000.0,2.65,2.65
2021-07-07,7.486249999999999,3164884000000000.0,2.65,2.65
2021-07-08,13.228750000000003,3518484000000000.0,2.67,2.67
2021-07-09,6.061250000000001,2962740000000000.0,2.65,2.65
2021-07-10,4.37125,3058986000000000.0,2.66,2.66
2021-07-11,5.09625,5095420000000000.0,2.67,2.67
2021-07-12,5.121666666666666,3587990000000000.0,2.69,2.69
2021-07-13,7.725833333333334,3272950000000000.0,2.69,2.69
2021-07-14,8.59125,3546998000000000.0,2.67,2.67
2021-07-15,7.406666666666666,5472270000000000.0,2.7,2.7
2021-07-16,7.201666666666665,3257600000000000.0,2.68,2.68
2021-07-17,4.811666666666667,2838616000000000.0,2.6,2.6
2021-07-18,6.696666666666666,3697770000000000.0,2.71,2.71
2021-07-19,8.017083333333334,3125472000000000.0,2.65,2.65
2021-07-20,9.672083333333331,3585330000000000.0,2.65,2.65
2021-07-21,5.052916666666666,4182834000000000.0,2.64,2.64
2021-07-22,3.105833333333333,5387300000000000.0,2.64,2.64
2021-07-23,8.428749999999999,2452850000000000.0,2.63,2.63
2021-07-24,5.740833333333334,3070890000000000.0,2.6,2.6
2021-07-25,6.899583333333332,3091164000000000.0,2.65,2.65
2021-07-26,4.222499999999999,3879714000000000.0,2.67,2.67
2021-07-27,3.35375,4343354000000000.0,2.73,2.73
2021-07-28,4.255416666666667,2942482400000000.0,2.72,2.72
2021-07-29,4.480833333333333,3716556000000000.0,2.68,2.68
2021-07-30,9.2725,2638438000000000.0,2.59,2.59
2021-07-31,6.559166666666669,3179066000000000.0,2.69,2.69
2021-08-01,5.477499999999999,3040930000000000.0,2.59,2.59
2021-08-02,10.351666666666668,3186394000000000.0,2.66,2.66
2021-08-03,5.212083333333333,4008720000000000.0,2.68,2.68
2021-08-04,5.149166666666667,5415150000000000.0,2.66,2.66
2021-08-05,6.080000000000001,4443800000000000.0,2.67,2.67
2021-08-06,7.711250000000001,3716512000000000.0,2.64,2.64
2021-08-07,6.546666666666668,3726604000000000.0,2.65,2.65
2021-08-08,4.920833333333334,3481166000000000.0,2.68,2.68
2021-08-09,5.843333333333333,3474118000000000.0,2.69,2.69
2021-08-10,8.9075,2824738000000000.0,2.64,2.64
2021-08-11,7.590416666666666,4261136000000000.0,2.66,2.66
2021-08-12,4.770833333333333,3831020000000000.0,2.65,2.65
2021-08-13,5.133333333333334,3847638000000000.0,2.68,2.68
2021-08-14,5.956666666666667,5476915200000000.0,2.66,2.66
2021-08-15,10.344583333333333,2291110000000000.0,2.68,2.68
2021-08-16,7.409999999999999,2040456000000000.0,2.66,2.66
2021-08-17,5.0754166666666665,3999320000000000.0,2.72,2.72
2021-08-18,4.735833333333333,2271587800000000.0,2.68,2.68
2021-08-19,6.312916666666667,3274738000000000.0,2.7,2.7
2021-08-20,8.021249999999997,3636290000000000.0,2.67,2.67
2021-08-21,3.2645833333333325,3125896000000000.0,2.65,2.65
2021-08-22,7.334583333333334,4337556000000000.0,2.67,2.67
2021-08-23,7.212916666666666,3400416000000000.0,2.66,2.66
2021-08-24,9.141666666666667,4062146000000000.0,2.64,2.64
2021-08-25,9.105,3563844000000000.0,2.64,2.64
2021-08-26,5.370833333333334,3772192000000000.0,2.65,2.65
2021-08-27,5.7925,3101586000000000.0,2.68,2.68
2021-08-28,4.244583333333334,3395920000000000.0,2.64,2.64
2021-08-29,5.936250000000001,4360826000000000.0,2.62,2.62
2021-08-30,9.024583333333334,3837126000000000.0,2.66,2.66
2021-08-31,12.844583333333333,3387502000000000.0,2.64,2.64
2021-09-01,8.885833333333332,3343936000000000.0,2.69,2.69
2021-09-02,10.557083333333331,3901990000000000.0,2.68,2.68
2021-09-03,12.661666666666669,5322320000000000.0,2.66,2.66
2021-09-04,5.396250000000001,4424360000000000.0,2.68,2.68
2021-09-05,3.7116666666666673,4204808000000000.0,2.73,2.73
2021-09-06,5.118333333333333,2778168000000000.0,2.65,2.65
2021-09-07,12.538333333333334,2904954000000000.0,2.63,2.63
2021-09-08,11.162916666666668,4841340000000000.0,2.67,2.67
2021-09-09,5.865416666666666,3443566000000000.0,2.67,2.67
2021-09-10,5.422083333333333,4111690000000000.0,2.68,2.68
2021-09-11,4.301666666666667,3681420000000000.0,2.65,2.65
2021-09-12,4.061666666666667,4473050000000000.0,2.64,2.64
2021-09-13,4.877083333333334,1967460000000000.0,2.64,2.64
2021-09-14,6.361666666666667,3519280000000000.0,2.66,2.66
2021-09-15,7.593333333333333,4405994000000000.0,2.68,2.68
2021-09-16,5.520416666666667,3908524000000000.0,2.64,2.64
2021-09-17,5.2370833333333335,3208244000000000.0,2.66,2.66
2021-09-18,9.622083333333334,3138138000000000.0,2.69,2.69
2021-09-19,10.058750000000002,4094510000000000.0,2.63,2.63
2021-09-20,14.26708333333333,1.07e+16,2.68,2.68
2021-09-21,11.72125,3416986000000000.0,2.67,2.67
2021-09-22,10.365416666666668,4100210000000000.0,2.7,2.7
2021-09-23,5.339583333333333,3129628000000000.0,2.64,2.64
2021-09-24,4.825833333333333,4693800000000000.0,2.67,2.67
2021-09-25,5.19125,2765776000000000.0,2.66,2.66
2021-09-26,5.005833333333333,3333210000000000.0,2.66,2.66
2021-09-27,4.982916666666667,3407190000000000.0,2.6,2.6
2021-09-28,5.912499999999999,3786902000000000.0,2.69,2.69
2021-09-29,11.819166666666666,4320830000000000.0,2.65,2.65
2021-09-30,11.892916666666665,3616840000000000.0,2.63,2.63
2021-10-01,10.825,4159820000000000.0,2.66,2.66
2021-10-02,8.364583333333334,3466782000000000.0,2.71,2.71
2021-10-03,9.957916666666666,3834750000000000.0,2.65,2.65
2021-10-04,7.637916666666666,4733880000000000.0,2.64,2.64
2021-10-05,8.600833333333332,3783136000000000.0,2.68,2.68
2021-10-06,11.945416666666668,4596830000000000.0,2.84,2.84
2021-10-07,12.519999999999996,1872452200000000.0,2.69,2.69
2021-10-08,19.15083333333333,4078770000000000.0,2.71,2.71
2021-10-09,9.237500000000002,3021964000000000.0,2.69,2.69
2021-10-10,10.685833333333337,3809840000000000.0,2.63,2.63
2021-10-11,11.353333333333332,3058772000000000.0,2.67,2.67
2021-10-12,6.640833333333336,3638580000000000.0,2.66,2.66
2021-10-13,8.900833333333333,3392130000000000.0,2.64,2.64
2021-10-14,12.125416666666668,2466036000000000.0,2.65,2.65
2021-10-15,6.793333333333334,3261420000000000.0,2.68,2.68
2021-10-16,3.34,3536670000000000.0,2.67,2.67
2021-10-17,3.026250000000001,3890906000000000.0,2.78,2.78
2021-10-18,6.170416666666665,6796306000000000.0,2.68,2.68
2021-10-19,10.160833333333334,3076998000000000.0,2.63,2.63
2021-10-20,5.9245833333333335,3798556000000000.0,2.62,2.62
2021-10-21,7.829166666666667,3496116000000000.0,2.64,2.64
2021-10-22,15.327083333333334,-218119000000000.0,2.68,2.68
2021-10-23,12.755833333333335,3180298000000000.0,2.66,2.66
2021-10-24,7.15,3463810000000000.0,2.63,2.63
2021-10-25,9.327916666666663,3206482000000000.0,2.68,2.68
2021-10-26,8.312916666666666,2033697600000000.0,2.69,2.69
2021-10-27,9.12625,2609016000000000.0,2.64,2.64
2021-10-28,10.879583333333334,3437276000000000.0,2.62,2.62
2021-10-29,7.831249999999998,2525690000000000.0,2.66,2.66
2021-10-30,8.222083333333336,3213866000000000.0,2.64,2.64
2021-10-31,9.614999999999998,3361710000000000.0,2.62,2.62
2021-11-01,11.994999999999996,3408226000000000.0,2.68,2.68
2021-11-02,10.53875,2536420000000000.0,2.65,2.65
2021-11-03,8.958333333333334,2557620000000000.0,2.66,2.66
2021-11-04,12.694166666666668,3969310000000000.0,2.68,2.68
2021-11-05,15.66375,3833230000000000.0,2.62,2.62
2021-11-06,11.088333333333336,3068160000000000.0,2.63,2.63
2021-11-07,5.975599999999999,1159750000000000.0,2.62,2.62
2021-11-08,9.859999999999998,3653472000000000.0,2.73,2.73
2021-11-09,11.397083333333333,4664150000000000.0,2.72,2.72
2021-11-10,10.105833333333331,2621778000000000.0,2.64,2.64
2021-11-11,9.316666666666666,2822980000000000.0,2.74,2.74
2021-11-12,11.41125,3608056000000000.0,2.68,2.68
2021-11-13,7.805000000000001,3227240000000000.0,2.6,2.6
2021-11-14,11.75125,2170190000000000.0,2.72,2.72
2021-11-15,10.954583333333332,3834178000000000.0,2.69,2.69
2021-11-16,11.486666666666666,1043720000000000.0,2.61,2.61
2021-11-17,9.5625,3613172000000000.0,2.65,2.65
2021-11-18,15.504583333333333,3357560000000000.0,2.63,2.63
2021-11-19,26.723749999999995,3566952000000000.0,2.64,2.64
2021-11-20,18.001250000000002,2415670000000000.0,2.69,2.69
2021-11-21,18.86,1717100000000000.0,2.68,2.68
2021-11-22,19.780833333333334,2083781200000000.0,2.63,2.63
2021-11-23,13.528333333333334,1929270000000000.0,2.68,2.68
2021-11-24,15.795833333333327,3304644000000000.0,2.67,2.67
2021-11-25,14.595833333333331,2823890000000000.0,2.71,2.71
2021-11-26,12.72,4228216000000000.0,2.64,2.64
2021-11-27,10.102916666666667,2695730000000000.0,2.69,2.69
2021-11-28,8.97458333333333,3671410000000000.0,2.6,2.6
2021-11-29,10.854583333333332,2259620000000000.0,2.63,2.63
2021-11-30,10.621666666666664,1896990000000000.0,2.62,2.62
2021-12-01,8.452916666666667,2918088000000000.0,2.65,2.65
2021-12-02,9.692083333333333,2922170000000000.0,2.66,2.66
2021-12-03,11.658333333333331,3311600000000000.0,2.58,2.58
2021-12-04,11.456666666666669,2508834000000000.0,2.59,2.59
2021-12-05,11.540833333333332,2696546000000000.0,2.63,2.63
2021-12-06,6.548749999999999,3269562000000000.0,2.65,2.65
2021-12-07,8.953333333333333,3210684000000000.0,2.65,2.65
2021-12-08,9.716666666666669,2678356000000000.0,2.64,2.64
2021-12-09,17.81291666666667,3161600000000000.0,2.6,2.6
2021-12-10,16.72625,3620796000000000.0,2.61,2.61
2021-12-11,17.324583333333333,2044100000000000.0,2.65,2.65
2021-12-12,13.830833333333336,3166132000000000.0,2.66,2.66
2021-12-13,19.55208333333333,3241290000000000.0,2.63,2.63
2021-12-14,28.775,3162008000000000.0,2.62,2.62
2021-12-15,25.113749999999992,3627300000000000.0,2.72,2.72
2021-12-16,25.607916666666668,4879520000000000.0,2.61,2.61
2021-12-17,14.805,3639008000000000.0,2.61,2.61
2021-12-18,13.154583333333331,3105370000000000.0,2.62,2.62
2021-12-19,11.878333333333336,3291840000000000.0,2.65,2.65
2021-12-20,16.732916666666664,1646160000000000.0,2.64,2.64
2021-12-21,11.1575,3811838000000000.0,2.65,2.65
2021-12-22,12.1625,3897690000000000.0,2.63,2.63
2021-12-23,15.447083333333332,1329490000000000.0,2.71,2.71
2021-12-24,11.239166666666668,3160022000000000.0,2.62,2.62
2021-12-25,11.424166666666666,947938000000000.0,2.58,2.58
2021-12-26,11.882916666666668,3172722000000000.0,2.57,2.57
2021-12-27,17.00125,4916090000000000.0,2.64,2.64
2021-12-28,11.072499999999998,3213992000000000.0,2.64,2.64
2021-12-29,14.499166666666667,3469198000000000.0,2.58,2.58
2021-12-30,20.871250000000003,4065706000000000.0,2.6,2.6
2021-12-31,24.29458333333334,3542790000000000.0,2.6,2.6
