date,open_NO2,sate_NO2,"DM College of Science, Imphal - Manipur PCB","Manipur University, Imphal - Manipur PCB"
2020-11-24,10.305,3577740000000000.0,34.39,34.39
2020-11-25,16.990833333333335,2647368200000000.0,53.3,53.3
2020-11-26,16.481666666666666,3516260000000000.0,1.36,1.36
2020-11-27,30.602916666666665,3408190000000000.0,0.12,0.12
2020-11-28,31.580416666666665,3253004000000000.0,0.47,0.47
2020-11-29,12.35875,2254850000000000.0,0.32,0.32
2020-11-30,14.356666666666662,3040570000000000.0,0.08,0.08
2020-12-01,20.325,2841180000000000.0,0.29,0.29
2020-12-02,20.47958333333333,3572796000000000.0,2.67,2.67
2020-12-03,22.255,3159840000000000.0,2.62,2.62
2020-12-04,15.312500000000002,2195040000000000.0,2.69,2.69
2020-12-05,18.840416666666663,3477020000000000.0,2.66,2.66
2020-12-06,24.00625,3082020000000000.0,2.71,2.71
2020-12-07,18.73625,3885296000000000.0,2.67,2.67
2020-12-08,19.45583333333333,2979550000000000.0,2.62,2.62
2020-12-09,22.42958333333333,3157982000000000.0,2.72,2.72
2020-12-10,21.366666666666664,3225880000000000.0,2.72,2.72
2020-12-11,22.056666666666658,4131350000000000.0,2.66,2.66
2020-12-12,19.11875,3641770000000000.0,2.68,2.68
2020-12-13,20.245416666666667,3272810000000000.0,2.73,2.73
2020-12-14,33.09916666666666,3459956000000000.0,2.73,2.73
2020-12-15,32.09916666666666,2938690000000000.0,2.7,2.7
2020-12-16,35.56291666666666,3265002000000000.0,2.69,2.69
2020-12-17,23.48041666666666,3536330000000000.0,2.69,2.69
2020-12-18,26.632916666666677,3672158000000000.0,2.74,2.74
2020-12-19,25.306666666666672,3679340000000000.0,2.68,2.68
2020-12-20,13.088333333333336,1925580000000000.0,2.68,2.68
2020-12-21,16.48416666666667,3038336000000000.0,2.7,2.7
2020-12-22,20.28,2803640000000000.0,2.68,2.68
2020-12-23,15.957083333333332,3349462000000000.0,2.69,2.69
2020-12-24,18.628750000000007,1972970000000000.0,2.75,2.75
2020-12-25,33.59083333333333,3902264200000000.0,2.68,2.68
2020-12-26,27.13958333333333,2504400000000000.0,2.69,2.69
2020-12-27,26.115833333333327,3289704000000000.0,2.69,2.69
2020-12-28,33.62083333333334,3256510000000000.0,2.72,2.72
2020-12-29,18.5125,2855850000000000.0,2.71,2.71
2020-12-30,19.452916666666663,3163598000000000.0,2.62,2.62
2020-12-31,31.8025,2963520000000000.0,2.68,2.68
2021-01-01,24.655,3148158000000000.0,2.7,2.7
2021-01-02,22.7925,2686110000000000.0,2.7,2.7
2021-01-03,15.430416666666666,2294054000000000.0,2.7,2.7
2021-01-04,26.594583333333333,3862130000000000.0,2.71,2.71
2021-01-05,38.83958333333333,3283610000000000.0,2.7,2.7
2021-01-06,21.69875,3658678000000000.0,2.69,2.69
2021-01-07,23.684166666666663,2556910000000000.0,2.76,2.76
2021-01-08,35.343333333333334,4377874000000000.0,2.72,2.72
2021-01-09,25.097916666666663,3264940000000000.0,2.71,2.71
2021-01-10,17.264166666666664,2757872000000000.0,2.69,2.69
2021-01-11,24.55416666666667,2970500000000000.0,2.74,2.74
2021-01-12,25.16541666666667,3196770000000000.0,2.71,2.71
2021-01-13,30.83416666666666,3446940000000000.0,2.68,2.68
2021-01-14,26.39833333333334,2494210000000000.0,2.69,2.69
2021-01-15,25.47083333333333,3417442000000000.0,2.69,2.69
2021-01-16,16.147083333333338,2786460000000000.0,2.65,2.65
2021-01-17,10.175833333333337,2815956000000000.0,2.66,2.66
2021-01-18,18.61375,2154520000000000.0,2.67,2.67
2021-01-19,18.75375,2894736000000000.0,2.68,2.68
2021-01-20,41.17583333333334,2844200000000000.0,2.71,2.71
2021-01-21,32.40708333333334,-731584000000000.0,2.72,2.72
2021-01-22,15.999583333333332,3622510000000000.0,2.7,2.7
2021-01-23,18.574166666666667,4028110000000000.0,2.72,2.72
2021-01-24,24.507916666666663,3572954000000000.0,2.68,2.68
2021-01-25,27.360833333333343,1658390000000000.0,2.71,2.71
2021-01-26,28.80700000000001,3277584200000000.0,2.66,2.66
2021-01-27,10.4325,2738020000000000.0,2.72,2.72
2021-01-28,13.650416666666665,3345102200000000.0,2.72,2.72
2021-01-29,28.377083333333328,2415560000000000.0,2.74,2.74
2021-01-30,16.637916666666666,3085760000000000.0,2.69,2.69
2021-01-31,24.14958333333334,3442108000000000.0,2.73,2.73
2021-02-01,23.8275,2478840000000000.0,2.66,2.66
2021-02-02,20.90041666666667,2788116000000000.0,2.7,2.7
2021-02-03,16.301250000000003,2711510000000000.0,2.7,2.7
2021-02-04,15.570833333333336,2421332200000000.0,2.74,2.74
2021-02-05,15.678333333333333,4218620000000000.0,2.76,2.76
2021-02-06,24.803750000000004,3453930000000000.0,2.68,2.68
2021-02-07,24.328333333333333,2181948200000000.0,2.74,2.74
2021-02-08,26.196666666666665,2970740000000000.0,2.66,2.66
2021-02-09,32.685833333333335,2493316000000000.0,2.64,2.64
2021-02-10,34.055416666666666,2467530000000000.0,2.76,2.76
2021-02-11,37.9725,3145646000000000.0,2.72,2.72
2021-02-12,34.049166666666665,2826030000000000.0,2.69,2.69
2021-02-13,31.32958333333333,3571956000000000.0,2.7,2.7
2021-02-14,28.96541666666667,2735860000000000.0,2.72,2.72
2021-02-15,23.73166666666667,3051440000000000.0,2.73,2.73
2021-02-16,22.277083333333326,3017382000000000.0,2.71,2.71
2021-02-17,28.09625,3972440000000000.0,2.73,2.73
2021-02-18,15.996666666666668,3311060000000000.0,2.72,2.72
2021-02-19,13.383333333333333,2742080000000000.0,2.69,2.69
2021-02-20,23.72041666666668,3731760000000000.0,2.72,2.72
2021-02-21,21.86,3198170000000000.0,2.71,2.71
2021-02-22,23.755833333333342,4213230000000000.0,2.72,2.72
2021-02-23,24.76708333333333,3297340000000000.0,2.74,2.74
2021-02-24,19.974999999999994,4359840000000000.0,2.71,2.71
2021-02-25,25.209583333333327,3301138000000000.0,2.72,2.72
2021-02-26,30.277500000000003,4289620000000000.0,2.7,2.7
2021-02-27,25.2875,4053092000000000.0,2.69,2.69
2021-02-28,18.069166666666668,4818760000000000.0,2.7,2.7
2021-03-01,25.34708333333333,3460418000000000.0,2.69,2.69
2021-03-02,24.41708333333333,8122770000000000.0,2.72,2.72
2021-03-03,39.785,3238108000000000.0,2.71,2.71
2021-03-04,23.84208333333333,5565022400000000.0,2.73,2.73
2021-03-05,15.432083333333331,755592000000000.0,2.68,2.68
2021-03-06,6.559583333333333,3001380000000000.0,2.7,2.7
2021-03-07,21.49291666666667,3807280000000000.0,2.72,2.72
2021-03-08,22.76625,3068850000000000.0,2.69,2.69
2021-03-09,26.585833333333326,8227120000000000.0,2.7,2.7
2021-03-10,10.939166666666663,4274600000000000.0,2.69,2.69
2021-03-11,24.914583333333336,2453869200000000.0,2.67,2.67
2021-03-12,21.441666666666663,3831530000000000.0,2.64,2.64
2021-03-13,16.21541666666667,2956829600000000.0,2.65,2.65
2021-03-14,18.39695652173913,7024030000000000.0,0.95,0.95
2021-03-15,17.862916666666663,3446384000000000.0,2.17,2.17
2021-03-16,24.31708333333334,9019760000000000.0,1.81,1.81
2021-03-17,19.904166666666665,3746498000000000.0,3.25,3.25
2021-03-18,23.575,1.22e+16,2.74,2.74
2021-03-19,25.44708333333333,8700520000000000.0,2.62,2.62
2021-03-20,15.497916666666669,1.7e+16,2.56,2.56
2021-03-21,15.964166666666664,7649270000000000.0,2.65,2.65
2021-03-22,20.703333333333333,2832526000000000.0,2.57,2.57
2021-03-23,23.074583333333333,1.05e+16,2.64,2.64
2021-03-24,17.714999999999996,4623374000000000.0,2.68,2.68
2021-03-25,18.100000000000005,1.23e+16,2.62,2.62
2021-03-26,15.804583333333335,1.33e+16,2.7,2.7
2021-03-27,16.917083333333338,1.39e+16,2.74,2.74
2021-03-28,17.670833333333334,1.24e+16,2.74,2.74
