date,open_SO2,sate_SO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2020-11-24,12.2775,0.0779999972,5.73,22.2,5.73,5.73,5.73
2020-11-25,13.758750000000006,0.0100000038,8.85,17.04,8.85,8.85,8.85
2020-11-26,14.7925,-0.219999999,9.76,15.81,9.76,9.76,9.76
2020-11-27,21.529166666666665,0.239999995,7.55,10.84,7.55,7.55,7.55
2020-11-28,14.047083333333331,-0.280000001,7.71,15.44,7.71,7.71,7.71
2020-11-29,22.3275,-0.2559999972,4.72,11.74,4.72,4.72,4.72
2020-11-30,32.41416666666667,0.280000001,7.92,10.51,7.92,7.92,7.92
2020-12-01,26.659166666666668,0.662000014,7.39,10.29,7.39,7.39,7.39
2020-12-02,25.14916666666667,0.3579999883999999,13.85,9.39,13.85,13.85,13.85
2020-12-03,31.133750000000006,0.4800000212,2.44,8.5,2.44,2.44,2.44
2020-12-04,31.662499999999994,0.439999998,7.05,11.14,7.05,7.05,7.05
2020-12-05,26.22125,-0.059999999,8.27,16.08,8.27,8.27,8.27
2020-12-06,26.33083333333333,-0.0819999964,7.72,11.13,7.72,7.72,7.72
2020-12-07,24.890833333333333,0.3740000034,8.55,13.72,8.55,8.55,8.55
2020-12-08,34.57583333333334,0.1020000017999999,6.78,10.11,6.78,6.78,6.78
2020-12-09,22.35666666666667,0.382000007,8.76,7.41,8.76,8.76,8.76
2020-12-10,22.87333333333333,0.035999999,8.74,7.73,8.74,8.74,8.74
2020-12-11,18.8925,-0.080000001,8.42,7.38,8.42,8.42,8.42
2020-12-12,9.834583333333336,-0.0080000015999999,7.67,11.76,7.67,7.67,7.67
2020-12-13,17.569166666666664,1.48000002,7.22,11.64,7.22,7.22,7.22
2020-12-14,21.804583333333337,0.209999993,6.87,11.32,6.87,6.87,6.87
2020-12-15,22.75375,0.2359999984,8.76,11.36,8.76,8.76,8.76
2020-12-16,29.296666666666667,-0.1400000036,8.55,11.06,8.55,8.55,8.55
2020-12-17,20.29125,0.0779999993999999,6.67,10.93,6.67,6.67,6.67
2020-12-18,18.547083333333337,0.2240000048,8.17,10.83,8.17,8.17,8.17
