date,open_SO2,sate_SO2,"Central School, Lucknow - CPCB","Gomti Nagar, Lucknow - UPPCB","Kukrail Picnic Spot-1, Lucknow - UPPCB","Lalbagh, Lucknow - CPCB","Nishant Ganj, Lucknow - UPPCB"
2020-12-19,15.95041666666667,0.5080000232,7.37,10.95,7.37,7.37,7.37
2020-12-20,18.477083333333336,-0.02,9.61,10.7,9.61,9.61,9.61
2020-12-21,26.027916666666663,-0.409999996,12.84,10.43,12.84,12.84,12.84
2020-12-22,16.115,0.0980000048,8.71,9.81,8.71,8.71,8.71
2020-12-23,22.644166666666663,0.230000004,9.31,10.51,9.31,9.31,9.31
2020-12-24,24.76083333333334,0.0839999977999999,9.85,9.47,9.85,9.85,9.85
2020-12-25,15.400000000000004,-1.35000002,7.82,11.05,7.82,7.82,7.82
2020-12-26,24.175416666666663,0.6480000184,12.98,11.26,12.98,12.98,12.98
2020-12-27,14.166249999999998,0.5960000212000001,10.25,10.75,10.25,10.25,10.25
2020-12-28,16.545416666666664,0.1760000018,8.7,11.14,8.7,8.7,8.7
2020-12-29,14.399999999999997,-0.1340000006,12.38,11.16,12.38,12.38,12.38
2020-12-30,16.52625,-0.379999995,17.11,12.02,17.11,17.11,17.11
2020-12-31,21.42833333333333,-0.198000004,15.85,13.16,15.85,15.85,15.85
2021-01-01,44.34916666666666,0.439999998,17.65,15.37,17.65,17.65,17.65
2021-01-02,14.927083333333334,-0.1140000066,15.15,15.85,15.15,15.15,15.15
2021-01-03,12.572500000000003,0.0519999834,11.15,15.94,11.15,11.15,11.15
2021-01-04,11.074583333333337,0.286,7.65,16.38,7.65,7.65,7.65
2021-01-05,23.460000000000004,0.2100000016,13.85,16.68,13.85,13.85,13.85
2021-01-06,18.5025,0.540000021,19.73,15.26,19.73,19.73,19.73
2021-01-07,19.03458333333333,0.0180000035999999,12.56,15.27,12.56,12.56,12.56
2021-01-08,24.105833333333337,-0.1520000042,14.33,15.47,14.33,14.33,14.33
2021-01-09,12.915,0.0579999956,14.69,15.64,14.69,14.69,14.69
2021-01-10,14.235833333333332,0.050000001,13.44,15.91,13.44,13.44,13.44
2021-01-11,17.79708333333333,0.2680000079999999,12.48,16.13,12.48,12.48,12.48
2021-01-12,15.662500000000003,0.200000003,12.89,15.78,12.89,12.89,12.89
2021-01-13,23.414166666666663,0.295999998,19.96,13.36,19.96,19.96,19.96
2021-01-14,44.285,-0.0119999981999999,19.6,14.1,19.6,19.6,19.6
2021-01-15,19.285416666666663,-0.079999998,24.6,14.97,24.6,24.6,24.6
2021-01-16,11.444583333333332,-0.0560000037999999,20.72,15.37,20.72,20.72,20.72
2021-01-17,7.23875,-0.0680000006,23.07,15.77,23.07,23.07,23.07
2021-01-18,18.611666666666668,-0.1699999974,21.55,15.33,21.55,21.55,21.55
2021-01-19,15.550833333333337,0.1640000008,17.86,15.14,17.86,17.86,17.86
2021-01-20,17.231666666666666,0.1260000022,11.64,11.99,11.64,11.64,11.64
2021-01-21,25.03750000000001,0.560000002,9.38,12.45,9.38,9.38,9.38
2021-01-22,17.826666666666664,0.108,11.22,13.65,11.22,11.22,11.22
2021-01-23,10.365833333333333,0.212000005,9.95,14.87,9.95,9.95,9.95
2021-01-24,16.362083333333334,-0.219999999,8.19,15.3,8.19,8.19,8.19
2021-01-25,14.106250000000005,-0.066000007,6.41,14.62,6.41,6.41,6.41
2021-01-26,15.9325,0.1539999844,4.75,13.48,4.75,4.75,4.75
2021-01-27,29.2075,0.0719999966,7.38,13.46,7.38,7.38,7.38
2021-01-28,29.335416666666674,-0.0780000002,10.1,17.75,10.1,10.1,10.1
2021-01-29,17.976666666666663,-0.540000021,11.63,18.61,11.63,11.63,11.63
2021-01-30,13.47083333333333,-1.38,9.94,19.5,9.94,9.94,9.94
2021-01-31,19.064583333333328,0.25,9.05,20.22,9.05,9.05,9.05
2021-02-01,27.477916666666676,-0.0260000045999999,10.26,20.37,10.26,10.26,10.26
2021-02-02,26.042083333333338,-0.519999981,10.43,22.73,10.43,10.43,10.43
2021-02-03,14.792083333333336,0.1560000004,10.96,19.83,10.96,10.96,10.96
2021-02-04,11.000416666666666,0.1359999986,8.75,13.91,8.75,8.75,8.75
2021-02-05,16.88333333333333,0.0640000008,19.27,13.9,19.27,19.27,19.27
2021-02-06,15.534166666666664,-0.119999997,9.21,14.3,9.21,9.21,9.21
2021-02-07,15.075416666666664,-0.189999998,11.55,14.52,11.55,11.55,11.55
2021-02-08,16.53791666666667,-0.0820000014,6.32,14.78,6.32,6.32,6.32
2021-02-09,31.888333333333332,0.2260000012,10.74,15.2,10.74,10.74,10.74
2021-02-10,20.323749999999997,0.1880000042,7.82,14.88,7.82,7.82,7.82
2021-02-11,18.604166666666664,0.49000001,8.12,15.31,8.12,8.12,8.12
2021-02-12,17.58375,-0.0779999994,8.21,15.82,8.21,8.21,8.21
2021-02-13,16.35166666666667,0.0679999948,9.48,16.08,9.48,9.48,9.48
2021-02-14,14.530000000000006,0.660000026,8.17,16.06,8.17,8.17,8.17
2021-02-15,19.41125,-0.119999997,10.17,16.03,10.17,10.17,10.17
2021-02-16,29.53,-0.50400001,9.93,16.26,9.93,9.93,9.93
2021-02-17,16.82541666666667,-0.224000003,9.78,16.87,9.78,9.78,9.78
2021-02-18,17.080833333333327,0.180000007,12.97,16.4,12.97,12.97,12.97
2021-02-19,18.989166666666662,0.1120000004,13.38,16.06,13.38,13.38,13.38
2021-02-20,18.691666666666663,0.209999993,11.01,16.56,11.01,11.01,11.01
2021-02-21,15.83125,-0.0179999987999999,12.7,16.8,12.7,12.7,12.7
2021-02-22,18.687500000000007,0.389999986,12.84,16.21,12.84,12.84,12.84
2021-02-23,20.305416666666662,0.090000004,11.86,16.49,11.86,11.86,11.86
2021-02-24,18.86541666666667,0.6280000218,9.5,16.71,9.5,9.5,9.5
2021-02-25,19.41208333333333,0.810000002,10.4,16.63,10.4,10.4,10.4
2021-02-26,18.361249999999995,0.3140000004,11.46,17.1,11.46,11.46,11.46
2021-02-27,12.860833333333334,1.24000001,10.87,17.26,10.87,10.87,10.87
2021-02-28,15.567083333333336,-0.5579999969999999,13.84,17.04,13.84,13.84,13.84
2021-03-01,19.33125,-0.1539999966,12.46,16.59,12.46,12.46,12.46
2021-03-02,21.40458333333333,-0.370000005,11.86,16.5,11.86,11.86,11.86
2021-03-03,24.815416666666675,1.26999998,12.69,16.29,12.69,12.69,12.69
2021-03-04,20.211250000000003,0.49000001,11.31,16.83,11.31,11.31,11.31
2021-03-05,26.226250000000004,-0.1639999978,9.56,16.41,9.56,9.56,9.56
2021-03-06,19.59583333333333,0.610000014,11.93,15.29,11.93,11.93,11.93
2021-03-07,18.83083333333333,0.1119999996,12.18,14.93,12.18,12.18,12.18
2021-03-08,13.22291666666666,0.239999995,6.94,14.46,6.94,6.94,6.94
2021-03-09,30.940416666666668,0.0199999986,10.56,13.4,10.56,10.56,10.56
2021-03-10,22.199166666666667,0.75,8.3,13.14,8.3,8.3,8.3
2021-03-11,18.68958333333333,-0.370000005,12.52,12.87,12.52,12.52,12.52
2021-03-12,16.456666666666667,-0.1639999986,10.46,12.38,10.46,10.46,10.46
2021-03-13,12.032916666666663,-0.159999996,7.95,12.27,7.95,7.95,7.95
2021-03-14,14.167391304347824,0.1519999998,7.57,12.38,7.57,7.57,7.57
2021-03-15,15.852083333333333,-0.330000013,10.39,12.81,10.39,10.39,10.39
2021-03-16,16.297083333333337,0.0779999978,11.34,13.65,11.34,11.34,11.34
2021-03-17,18.505000000000003,0.1739999995999999,15.27,16.83,15.27,15.27,15.27
2021-03-18,15.690833333333332,-0.150000006,10.68,17.94,10.68,10.68,10.68
2021-03-19,15.702083333333334,0.256000001,11.92,20.39,11.92,11.92,11.92
2021-03-20,11.232500000000002,0.059999999,11.84,24.58,11.84,11.84,11.84
2021-03-21,23.872083333333336,0.1359999978,12.53,24.42,12.53,12.53,12.53
2021-03-22,27.180000000000007,0.209999993,12.69,22.08,12.69,12.69,12.69
2021-03-23,28.22333333333334,0.0220000012,9.37,21.15,9.37,9.37,9.37
2021-03-24,14.693333333333335,0.200000003,8.51,17.12,8.51,8.51,8.51
2021-03-25,13.15625,-0.1020000034,10.98,10.98,10.98,10.98,10.98
2021-03-26,18.42375,-0.720000029,12.39,6.01,12.39,12.39,12.39
2021-03-27,17.087083333333336,0.200000003,14.55,5.86,14.55,14.55,14.55
2021-03-28,27.742500000000003,0.1519999987999999,16.79,5.93,16.79,16.79,16.79
2021-03-29,26.57333333333333,0.239999995,15.68,5.99,15.68,15.68,15.68
2021-03-30,19.9975,0.07989027519750623,8.96,5.98,8.96,8.96,8.96
2021-03-31,20.42083333333333,0.920000017,9.3,5.9,9.3,9.3,9.3
2021-04-01,22.56,0.2620000036,11.08,8.34,11.08,11.08,11.08
2021-04-02,19.799166666666668,0.0039999999999999,13.68,14.24,13.68,13.68,13.68
2021-04-03,17.94125,0.49000001,13.58,14.68,13.58,13.58,13.58
2021-04-04,19.38666666666667,0.140000001,13.86,14.79,13.86,13.86,13.86
2021-04-05,22.54041666666667,-0.439999998,13.62,15.17,13.62,13.62,13.62
2021-04-06,19.86875,0.270000011,14.02,15.69,14.02,14.02,14.02
2021-04-07,22.13791666666667,-0.039999999,10.11,15.7,10.11,10.11,10.11
2021-04-08,24.30416666666667,-0.1179999967999999,8.01,13.78,8.01,8.01,8.01
2021-04-09,20.56916666666667,0.039999999,11.63,14.57,11.63,11.63,11.63
2021-04-10,17.535416666666674,-0.2419999977999999,10.14,14.83,10.14,10.14,10.14
2021-04-11,14.19333333333333,0.340000004,7.75,14.48,7.75,7.75,7.75
2021-04-12,24.72916666666667,-0.180000007,8.31,14.79,8.31,8.31,8.31
2021-04-13,20.83166666666667,0.150000006,8.9,14.46,8.9,8.9,8.9
2021-04-14,21.70958333333333,-0.319999993,8.21,14.95,8.21,8.21,8.21
2021-04-15,23.26541666666667,-0.0419999999999999,11.01,14.82,11.01,11.01,11.01
2021-04-16,28.288750000000004,-0.109999999,11.77,15.06,11.77,11.77,11.77
2021-04-17,11.377916666666666,0.1860000008,6.8,15.41,6.8,6.8,6.8
2021-04-18,18.45125,0.001999995,6.18,15.16,6.18,6.18,6.18
2021-04-19,20.578750000000003,1.87,6.55,15.6,6.55,6.55,6.55
2021-04-20,17.092083333333335,0.039999999,9.1,15.35,9.1,9.1,9.1
2021-04-21,9.409166666666666,0.270000011,8.25,15.75,8.25,8.25,8.25
2021-04-22,10.922916666666666,0.629999995,5.78,15.39,5.78,5.78,5.78
2021-04-23,10.014166666666666,0.449999988,5.29,15.37,5.29,5.29,5.29
2021-04-24,13.58041666666667,-0.048000001,6.49,15.78,6.49,6.49,6.49
2021-04-25,22.460833333333337,-0.100000001,7.12,15.94,7.12,7.12,7.12
2021-04-26,28.3275,0.0819999994,7.6,15.79,7.6,7.6,7.6
2021-04-27,30.69666666666667,-0.079999998,6.86,15.54,6.86,6.86,6.86
2021-04-28,22.520000000000007,0.039999999,9.38,15.55,9.38,9.38,9.38
2021-04-29,16.808749999999996,0.3040000008,6.23,15.56,6.23,6.23,6.23
2021-04-30,11.334583333333336,0.25999999,5.94,15.89,5.94,5.94,5.94
2021-05-01,8.744583333333333,-0.1700000024,5.6,15.66,5.6,5.6,5.6
2021-05-02,12.263333333333334,0.3559999958,4.1,15.72,4.1,4.1,4.1
2021-05-03,14.164583333333336,0.1039999995999999,4.63,15.42,4.63,4.63,4.63
2021-05-04,10.376666666666669,-0.1140000009999999,6.29,15.31,6.29,6.29,6.29
2021-05-05,11.931666666666668,0.340000004,4.08,15.76,4.08,4.08,4.08
2021-05-06,10.92791666666667,-0.219999999,4.9,15.44,4.9,4.9,4.9
2021-05-07,11.189166666666669,-0.0459999991999999,4.08,15.41,4.08,4.08,4.08
2021-05-08,11.492916666666668,0.25999999,4.98,15.19,4.98,4.98,4.98
2021-05-09,9.4675,0.349999994,3.99,15.05,3.99,3.99,3.99
2021-05-10,11.720416666666669,0.001999993,3.86,15.85,3.86,3.86,3.86
2021-05-11,13.200416666666664,0.090000004,4.17,16.28,4.17,4.17,4.17
2021-05-12,13.661666666666664,0.2800000005999999,4.81,16.57,4.81,4.81,4.81
2021-05-13,10.052083333333334,0.49000001,4.59,15.7,4.59,4.59,4.59
2021-05-14,11.950833333333334,-0.200000003,5.53,15.35,5.53,5.53,5.53
2021-05-15,15.336666666666666,0.360000014,5.74,15.87,5.74,5.74,5.74
2021-05-16,13.097916666666665,0.07,5.11,16.14,5.11,5.11,5.11
2021-05-17,21.741666666666674,-0.1059999994,6.53,15.91,6.53,6.53,6.53
2021-05-18,12.562083333333334,-0.0460000008,5.19,15.86,5.19,5.19,5.19
2021-05-19,4.922500000000002,-0.0799999944,5.07,15.95,5.07,5.07,5.07
2021-05-20,8.847500000000002,-0.1599999921999999,5.52,16.44,5.52,5.52,5.52
2021-05-21,10.917499999999997,0.1559999927999999,5.66,16.07,5.66,5.66,5.66
2021-05-22,19.75625,-0.540000021,6.24,15.97,6.24,6.24,6.24
2021-05-23,14.137083333333337,-0.079999998,6.64,16.07,6.64,6.64,6.64
2021-05-24,14.545833333333334,0.079999998,7.84,16.31,7.84,7.84,7.84
2021-05-25,18.319166666666664,0.529999971,14.44,16.51,14.44,14.44,14.44
2021-05-26,5.59875,0.1920000032,11.24,16.59,11.24,11.24,11.24
2021-05-27,6.187083333333331,0.0440000044,12.17,16.44,12.17,12.17,12.17
2021-05-28,5.183333333333335,-0.144000001,7.93,16.25,7.93,7.93,7.93
2021-05-29,5.381666666666668,0.349999998,9.61,16.21,9.61,9.61,9.61
2021-05-30,4.887083333333334,-0.270000011,13.36,15.96,13.36,13.36,13.36
2021-05-31,9.716666666666669,-0.109999999,9.66,16.18,9.66,9.66,9.66
2021-06-01,10.362916666666663,-0.050000001,5.27,15.89,5.27,5.27,5.27
2021-06-02,15.542499999999997,0.2039999994,6.42,16.1,6.42,6.42,6.42
2021-06-03,18.109166666666663,0.090000004,11.25,15.98,11.25,11.25,11.25
2021-06-04,18.37875,0.1760000028,6.85,16.27,6.85,6.85,6.85
2021-06-05,14.191249999999998,0.0179999964,4.84,15.72,4.84,4.84,4.84
2021-06-06,12.554583333333332,-0.170000002,5.81,15.79,5.81,5.81,5.81
2021-06-07,24.000833333333333,0.4040000038,7.82,16.28,7.82,7.82,7.82
2021-06-08,11.4825,0.090000004,4.79,16.73,4.79,4.79,4.79
2021-06-09,7.849166666666666,0.129999995,8.96,16.72,8.96,8.96,8.96
2021-06-10,9.303750000000004,0.0800000022,6.5,15.94,6.5,6.5,6.5
2021-06-11,8.166250000000002,1.199999999368373e-09,5.13,15.76,5.13,5.13,5.13
2021-06-12,4.202916666666668,-0.0199999996,5.44,15.96,5.44,5.44,5.44
2021-06-13,3.723749999999999,-0.0239999934,6.89,16.26,6.89,6.89,6.89
2021-06-14,7.681666666666665,0.2479999989999999,5.48,16.0,5.48,5.48,5.48
2021-06-15,10.577916666666669,0.370000005,5.9,16.03,5.9,5.9,5.9
2021-06-16,9.509583333333332,-0.209999993,6.94,16.36,6.94,6.94,6.94
2021-06-17,6.345833333333334,0.2380000008,7.11,16.39,7.11,7.11,7.11
2021-06-18,7.029166666666668,-0.2519999884,9.69,15.73,9.69,9.69,9.69
2021-06-19,9.75125,-0.0639999948,7.81,16.39,7.81,7.81,7.81
2021-06-20,6.944166666666667,0.280000004,5.99,16.2,5.99,5.99,5.99
2021-06-21,11.683333333333335,0.1700000106,13.17,16.21,13.17,13.17,13.17
2021-06-22,7.759583333333332,-0.029999999,8.32,16.39,8.32,8.32,8.32
2021-06-23,6.489999999999999,0.0820000112,6.61,16.44,6.61,6.61,6.61
2021-06-24,9.495416666666666,0.072000006,7.89,16.66,7.89,7.89,7.89
2021-06-25,6.357083333333332,-0.050000001,7.56,16.05,7.56,7.56,7.56
2021-06-26,4.422916666666667,-0.1659999988,9.24,16.72,9.24,9.24,9.24
2021-06-27,5.20625,0.104000002,10.94,16.46,10.94,10.94,10.94
2021-06-28,16.738333333333333,-0.3780000015999999,25.8,16.42,25.8,25.8,25.8
2021-06-29,12.92416666666667,0.2600000032,8.22,16.23,8.22,8.22,8.22
2021-06-30,16.725000000000005,-0.0039999971999999,10.8,16.76,10.8,10.8,10.8
2021-07-01,12.942083333333336,-0.109999999,6.0,13.43,6.0,6.0,6.0
2021-07-02,13.277499999999998,-0.0239999964,7.48,8.56,7.48,7.48,7.48
2021-07-03,8.968333333333332,0.1520000034,6.3,8.21,6.3,6.3,6.3
2021-07-04,7.422916666666665,0.1279999978,6.39,8.52,6.39,6.39,6.39
2021-07-05,11.358333333333333,-0.0180000028,6.59,8.46,6.59,6.59,6.59
2021-07-06,13.198749999999997,0.135999997,6.77,8.79,6.77,6.77,6.77
2021-07-07,12.166666666666666,0.1059999978,7.4,8.76,7.4,7.4,7.4
2021-07-08,6.575000000000002,0.0139999971999999,8.29,8.83,8.29,8.29,8.29
2021-07-09,6.090416666666666,-0.208000005,8.77,9.09,8.77,8.77,8.77
2021-07-10,5.06,0.3380000088,6.97,8.82,6.97,6.97,6.97
2021-07-11,4.6120833333333335,0.1320000008,13.5,9.02,13.5,13.5,13.5
2021-07-12,6.508750000000002,0.199999994,11.95,8.95,2.52,11.95,11.95
2021-07-13,6.982083333333333,0.4980000178,7.19,8.9,1.96,7.19,7.19
2021-07-14,7.177500000000001,-0.1520000092,7.5,8.79,2.24,7.5,7.5
2021-07-15,7.82125,0.0540000021999999,10.23,8.93,2.55,10.23,10.23
2021-07-16,8.344999999999999,0.3480000018,12.19,8.62,2.57,12.19,12.19
2021-07-17,6.820833333333334,-0.0780000017999999,14.14,8.69,2.63,14.14,14.14
2021-07-18,10.262916666666667,0.1840000021999999,9.25,8.61,2.73,9.25,9.25
2021-07-19,11.92125,0.2280000046,6.72,8.53,2.81,6.72,6.72
2021-07-20,13.539999999999996,-0.0299999974,4.6,8.42,2.81,4.6,4.6
2021-07-21,9.41625,-0.0180000021999999,6.2,8.3,2.95,6.2,6.2
2021-07-22,6.668333333333333,0.020000002,19.26,8.77,2.58,19.26,19.26
2021-07-23,7.935833333333334,0.2780000031999999,15.04,8.47,2.85,15.04,15.04
2021-07-24,4.490833333333334,0.200000003,6.1,8.74,2.92,6.1,6.1
2021-07-25,6.137916666666666,0.1919999925999999,5.29,9.04,3.09,5.29,5.29
2021-07-26,7.103333333333333,0.0840000026,5.9,8.94,3.15,5.9,5.9
2021-07-27,10.631666666666666,-0.0220000013999999,7.2,8.4,3.04,7.2,7.2
2021-07-28,9.124166666666666,0.3900000099999999,7.54,8.47,7.54,7.54,7.54
2021-07-29,6.889583333333332,0.051999997,6.66,9.47,2.67,6.66,6.66
2021-07-30,5.605,-0.0059999916,6.09,9.3,3.15,6.09,6.09
2021-07-31,3.60375,0.1859999981999999,6.55,8.62,3.15,6.55,6.55
2021-08-01,4.270833333333333,0.1420000016,6.62,8.72,2.98,6.62,6.62
2021-08-02,6.030416666666667,-0.2279999987999999,9.92,9.08,3.27,9.92,9.92
2021-08-03,4.616250000000001,-0.0019999933999999,4.32,9.16,3.45,4.32,4.32
2021-08-04,5.785416666666666,0.0080000013999999,4.34,9.41,3.49,4.34,4.34
2021-08-05,5.8500000000000005,-0.1580000018,5.02,9.07,3.62,5.02,5.02
2021-08-06,7.152916666666664,0.248000005,5.04,8.85,3.36,5.04,5.04
2021-08-07,5.799166666666667,0.2620000092,5.45,8.93,3.04,5.45,5.45
2021-08-08,6.166666666666669,0.1800000011999999,4.45,8.95,3.29,4.45,4.45
2021-08-09,15.230000000000004,-0.186000002,5.65,8.37,3.02,5.65,5.65
2021-08-10,14.102083333333333,0.1580000043999999,6.85,8.12,2.94,6.85,6.85
2021-08-11,18.55666666666667,0.1040000036,6.69,8.4,3.22,6.69,6.69
2021-08-12,13.456666666666663,-0.0839999956,5.69,8.2,3.14,5.69,5.69
2021-08-13,11.90125,0.3620000066,6.35,8.78,3.3,6.35,6.35
2021-08-14,8.412500000000001,0.128000002,5.22,8.43,3.29,5.22,5.22
2021-08-15,8.962916666666667,0.2699999968,6.15,8.91,3.34,6.15,6.15
2021-08-16,14.205416666666666,0.3180000006,8.04,8.47,3.48,8.04,8.04
2021-08-17,10.152916666666668,0.2299999961999999,6.17,8.87,3.53,6.17,6.17
2021-08-18,7.704583333333335,0.1139999992,4.3,9.1,3.66,4.3,4.3
2021-08-19,6.942083333333334,-0.1400000036,6.78,9.72,3.78,6.78,6.78
2021-08-20,7.14,0.2199999964,5.85,9.28,3.81,5.85,5.85
2021-08-21,6.432500000000001,0.1500000002,4.54,9.45,3.85,4.54,4.54
2021-08-22,8.178333333333333,-0.3039999902,4.81,9.11,3.92,4.81,4.81
2021-08-23,14.230833333333337,0.2480000016,5.63,8.91,3.88,5.63,5.63
2021-08-24,13.9125,0.1779999968,6.07,8.64,3.81,6.07,6.07
2021-08-25,11.074583333333337,0.0020000023999999,5.44,12.61,3.82,5.44,5.44
2021-08-26,12.750833333333333,-7.999999995789154e-10,4.43,80.55,4.04,4.43,4.43
2021-08-27,10.080833333333334,0.1780000006,5.09,3.92,3.92,5.09,5.09
2021-08-28,6.420833333333333,0.1019999987999999,5.2,4.03,4.03,5.2,5.2
2021-08-29,4.6795833333333325,0.0180000013999999,4.64,8.81,4.09,4.64,4.64
2021-08-30,6.052916666666666,0.0439999976,6.44,3.01,4.2,6.44,6.44
2021-08-31,7.522083333333334,0.1099999999999999,4.85,14.87,4.3,4.85,4.85
2021-09-01,8.902083333333335,0.1679999903999999,6.0,20.83,4.18,6.0,6.0
2021-09-02,10.312500000000002,-0.0399999992,5.79,22.74,4.14,5.79,5.79
2021-09-03,11.4775,0.1260000024,5.89,22.0,4.06,5.89,5.89
2021-09-04,10.736666666666666,-0.1260000034,6.15,3.39,4.14,6.15,6.15
2021-09-05,11.121666666666668,0.2239999984,6.2,4.48,4.25,6.2,6.2
2021-09-06,5.795833333333334,-0.2199999976,5.19,13.73,4.31,5.19,5.19
2021-09-07,5.602083333333334,-0.119999999,5.06,13.02,4.44,5.06,5.06
2021-09-08,6.276666666666666,0.2779999986,5.57,15.52,4.84,5.57,5.57
2021-09-09,6.244166666666666,0.064000004,5.52,16.59,5.36,5.52,5.52
2021-09-10,5.961666666666667,0.2200000047999999,7.53,29.97,5.32,7.53,7.53
2021-09-11,5.044166666666667,0.0440000028,6.07,45.53,5.43,6.07,6.07
2021-09-12,5.968750000000003,0.230000004,6.95,51.46,5.52,6.95,6.95
2021-09-13,5.634166666666666,0.670000017,7.56,47.2,4.93,7.56,7.56
2021-09-14,3.4824999999999986,-0.0459999948,8.78,26.74,4.33,8.78,8.78
2021-09-15,4.00125,0.0580000023999999,6.72,26.65,4.34,6.72,6.72
2021-09-16,7.621666666666665,0.1020000066,8.83,24.18,4.67,8.83,8.83
2021-09-17,8.472916666666668,0.0879999943999999,6.76,22.76,4.45,6.76,6.76
2021-09-18,5.61875,0.0439999925999999,6.12,4.88,4.88,6.12,6.12
2021-09-19,6.908750000000001,0.02,6.64,14.73,5.15,6.64,6.64
2021-09-20,8.044999999999998,0.0119999916,6.78,26.92,5.23,6.78,6.78
2021-09-21,7.17875,0.0579999982,6.47,29.12,5.29,6.47,6.47
2021-09-22,6.462083333333336,-0.0399999961999999,5.96,30.72,4.7,5.96,5.96
2021-09-23,6.727916666666666,0.0140000019999999,7.24,29.42,4.32,7.24,7.24
2021-09-24,7.81125,0.0780000011999999,6.64,28.71,5.32,6.64,6.64
2021-09-25,6.627083333333334,-0.0039999977999999,7.6,28.94,5.17,7.6,7.6
2021-09-26,5.739583333333335,0.0159999989999999,5.74,28.02,5.41,5.74,5.74
2021-09-27,6.540833333333334,-0.201999998,6.59,27.81,5.48,6.59,6.59
2021-09-28,6.466666666666665,0.200000003,6.55,26.46,5.75,6.55,6.55
2021-09-29,6.445833333333336,-0.004000004,6.49,25.74,5.79,6.49,6.49
2021-09-30,8.357916666666666,0.100000001,8.08,25.96,5.87,8.08,8.08
2021-10-01,9.554583333333332,0.2939999974,13.2,28.29,5.9,13.2,13.2
2021-10-02,18.092916666666664,-0.0679999918,10.12,26.45,5.82,10.12,10.12
2021-10-03,8.235416666666667,0.392000008,19.46,5.87,5.87,19.46,19.46
2021-10-04,13.045,0.1119999998,11.55,27.05,6.02,11.55,11.55
2021-10-05,14.834166666666668,-0.209999993,20.31,25.12,5.99,20.31,20.31
2021-10-06,26.77291666666667,0.052000001,19.86,26.27,5.82,19.86,19.86
2021-10-07,14.915000000000004,0.0739999974,17.73,30.63,5.92,17.73,17.73
2021-10-08,17.421666666666667,-0.071999997,14.48,35.12,6.18,14.48,14.48
2021-10-09,12.584583333333336,0.0179999966,15.12,31.05,6.31,15.12,15.12
2021-10-10,20.555000000000003,-0.0580000037999999,13.66,30.92,6.56,13.66,13.66
2021-10-11,46.352916666666665,0.1340000018,13.46,30.33,6.53,13.46,13.46
2021-10-12,28.689999999999998,-0.01,9.19,28.9,6.4,9.19,9.19
2021-10-13,26.18666666666668,-0.170000002,5.93,28.44,7.1,5.93,5.93
2021-10-14,23.11791666666666,-0.25,5.13,28.23,6.83,5.13,5.13
2021-10-15,30.135,0.0620000005999999,5.12,28.48,6.37,5.12,5.12
2021-10-16,6.391666666666667,0.079999998,4.62,27.22,6.23,4.62,4.62
2021-10-17,5.860833333333332,-0.1939999996,7.21,23.95,6.08,7.21,7.21
2021-10-18,5.742916666666667,-0.176000004,5.11,21.82,6.06,5.11,5.11
