date,open_NO2,sate_NO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2020-11-24,45.67,5894210000000000.0,30.48,40.99,30.48,35.77,47.53,47.53
2020-11-25,31.945000000000007,6328352000000000.0,31.3,45.09,31.3,23.95,42.73,42.73
2020-11-26,15.419166666666664,5333032000000000.0,27.1,33.45,27.1,17.05,46.76,46.76
2020-11-27,16.3625,6147124000000000.0,16.45,35.52,16.45,5.98,34.4,34.4
2020-11-28,17.137083333333333,6286814000000000.0,24.25,26.53,24.25,9.99,31.97,31.97
2020-11-29,38.92791666666667,5689760000000000.0,16.42,19.01,16.42,4.45,38.3,38.3
2020-11-30,51.795416666666654,4656330000000000.0,13.72,18.92,13.72,2.53,36.39,36.39
2020-12-01,47.20666666666667,5414660000000000.0,17.29,4.76,17.29,4.76,37.29,37.29
2020-12-02,72.80875000000002,4477164000000000.0,14.9,18.65,14.9,3.74,53.08,53.08
2020-12-03,64.25750000000001,4306530000000000.0,20.01,25.74,20.01,16.67,42.38,42.38
2020-12-04,66.6575,5484216000000000.0,22.52,35.85,22.52,21.31,58.68,58.68
2020-12-05,55.903333333333336,5630390000000000.0,30.53,43.31,30.53,27.96,60.98,60.98
2020-12-06,38.61124999999999,5230662000000000.0,22.55,36.13,22.55,22.08,55.36,55.36
2020-12-07,46.82125,5524010000000000.0,13.16,28.32,13.16,17.49,49.31,49.31
2020-12-08,51.15874999999999,5277810000000000.0,13.68,26.73,13.68,17.38,53.8,53.8
2020-12-09,54.03,5542680000000000.0,18.29,30.58,18.29,17.61,47.33,47.33
2020-12-10,40.75999999999999,5195080000000000.0,21.3,31.18,21.3,16.15,44.72,44.72
2020-12-11,43.35833333333333,4923294000000000.0,36.22,44.13,36.22,18.45,50.43,50.43
2020-12-12,28.532083333333333,4224900000000000.0,27.64,38.65,27.64,65.25,49.66,49.66
2020-12-13,30.931666666666672,5016820000000000.0,32.07,41.1,32.07,61.92,48.69,48.69
2020-12-14,27.129583333333333,4655840000000000.0,24.76,34.72,24.76,55.91,44.26,44.26
2020-12-15,34.54833333333333,4818036000000000.0,24.95,37.86,24.95,32.4,44.35,44.35
2020-12-16,33.59458333333334,5047600000000000.0,27.76,40.63,27.76,19.12,49.1,49.1
2020-12-17,46.24625,5101660000000000.0,28.86,54.3,28.86,21.2,52.66,52.66
2020-12-18,51.32291666666666,4984794000000000.0,29.59,44.56,29.59,25.98,65.22,65.22
2020-12-19,39.55166666666666,6607950000000000.0,22.73,42.56,22.73,24.29,59.61,59.61
2020-12-20,51.52375,4841030000000000.0,21.06,38.71,21.06,31.62,63.09,63.09
2020-12-21,69.57458333333332,6921280000000000.0,27.63,45.77,27.63,34.61,60.93,60.93
2020-12-22,77.61375,4314774000000000.0,33.5,62.19,33.5,31.19,73.25,73.25
2020-12-23,59.84208333333334,5091280000000000.0,37.54,63.3,37.54,30.61,63.37,63.37
2020-12-24,52.34374999999999,4669768000000000.0,36.06,48.42,36.06,26.54,59.15,59.15
2020-12-25,60.58416666666667,5416180000000000.0,36.29,50.61,36.29,23.52,53.37,53.37
