date,open_NO2,sate_NO2,"Bollaram Industrial Area, Hyderabad - TSPCB","Central University, Hyderabad - TSPCB","ECIL Kapra, Hyderabad - TSPCB","ICRISAT Patancheru, Hyderabad - TSPCB","IDA Pashamylaram, Hyderabad - TSPCB","IITH Kandi, Hyderabad - TSPCB"
2020-12-26,57.42374999999999,6914110000000000.0,38.18,62.88,38.18,25.14,62.0,62.0
2020-12-27,63.29125,5026156000000000.0,51.17,59.81,51.17,30.05,65.87,65.87
2020-12-28,53.84708333333333,5533010000000000.0,35.42,52.92,35.42,26.49,36.02,36.02
2020-12-29,37.08583333333333,5286526000000000.0,28.64,43.32,28.64,22.73,47.38,47.38
2020-12-30,25.22,4334830000000000.0,22.78,38.63,22.78,18.28,50.9,50.9
2020-12-31,25.280833333333334,5302070000000000.0,23.63,38.91,23.63,17.56,49.56,49.56
2021-01-01,28.46708333333333,5314060000000000.0,22.23,35.42,22.23,14.86,46.88,46.88
2021-01-02,28.875,6529240000000000.0,30.47,36.11,30.47,17.41,47.47,47.47
2021-01-03,20.09541666666666,5953410000000000.0,32.12,38.76,32.12,17.91,48.14,48.14
2021-01-04,25.015,3856250000000000.0,23.6,36.93,23.6,16.93,46.82,46.82
2021-01-05,33.14625,5734288000000000.0,20.45,34.98,20.45,14.77,47.57,47.57
2021-01-06,28.975000000000005,4501528000000000.0,22.37,35.57,22.37,15.44,50.68,50.68
2021-01-07,40.23499999999999,4938268000000000.0,34.11,45.07,34.11,24.3,51.07,51.07
2021-01-08,19.000833333333333,4125790000000000.0,21.8,35.54,21.8,17.37,46.75,46.75
2021-01-09,28.422500000000003,4314154000000000.0,32.34,35.86,32.34,16.57,45.37,45.37
2021-01-10,44.822083333333325,5256000000000000.0,38.0,39.89,38.0,19.68,52.68,52.68
2021-01-11,75.59416666666667,7101240000000000.0,49.48,62.44,49.48,30.26,54.76,54.76
2021-01-12,57.605833333333344,5473782000000000.0,52.43,57.96,52.43,29.99,59.51,59.51
2021-01-13,60.23333333333334,5045180000000000.0,43.69,47.54,43.69,18.06,50.5,50.5
2021-01-14,62.334166666666654,4616424000000000.0,20.16,34.28,20.16,17.15,52.12,52.12
2021-01-15,67.82458333333334,3736290000000000.0,26.57,35.62,26.57,16.39,46.79,46.79
2021-01-16,44.619166666666665,5281872000000000.0,24.25,37.85,24.25,15.49,47.04,47.04
2021-01-17,26.789166666666663,4566770000000000.0,24.08,35.21,24.08,15.0,50.09,50.09
2021-01-18,39.16333333333333,4020820000000000.0,21.86,29.41,21.86,12.32,33.64,33.64
2021-01-19,55.91416666666668,4725304000000000.0,31.61,38.61,31.61,16.34,16.34,16.34
2021-01-20,59.84125,5179850000000000.0,39.95,43.6,39.95,22.52,22.52,22.52
2021-01-21,79.90166666666666,4278972000000000.0,41.38,42.32,41.38,23.25,23.25,23.25
2021-01-22,65.12625000000001,4583760000000000.0,31.48,46.12,31.48,27.21,27.21,27.21
2021-01-23,51.02374999999999,4816330000000000.0,30.91,34.25,30.91,15.81,56.67,56.67
2021-01-24,71.49791666666665,6195580000000000.0,17.98,34.47,17.98,14.25,46.15,46.15
2021-01-25,60.70250000000001,4592536000000000.0,22.04,32.34,22.04,12.13,37.16,37.16
2021-01-26,91.6835,6125710000000000.0,22.19,28.63,22.19,11.17,46.78,46.78
2021-01-27,43.01,6590730000000000.0,22.32,25.08,22.32,10.37,44.14,44.14
2021-01-28,35.057916666666664,4897988000000000.0,21.85,24.7,21.85,13.84,44.46,44.46
2021-01-29,49.62166666666667,6116670000000000.0,23.78,28.18,23.78,11.69,45.05,45.05
2021-01-30,56.165,4911998000000000.0,32.71,31.44,32.71,17.03,43.77,43.77
2021-01-31,34.45083333333333,6625350000000000.0,24.37,29.35,24.37,18.72,44.97,44.97
2021-02-01,48.31125,3836360000000000.0,25.35,31.74,25.35,21.13,63.45,63.45
2021-02-02,57.025416666666665,5191510000000000.0,34.83,39.59,34.83,30.04,74.73,74.73
2021-02-03,71.16625,4538290000000000.0,48.69,44.61,48.69,29.48,69.31,69.31
2021-02-04,52.4475,5780186000000000.0,47.22,53.77,47.22,23.98,66.81,66.81
2021-02-05,63.16166666666668,5931950000000000.0,31.83,54.31,31.83,21.24,59.04,59.04
2021-02-06,50.248333333333335,5044794000000000.0,29.02,61.33,29.02,19.88,62.88,62.88
2021-02-07,26.06458333333333,7588540000000000.0,29.97,64.85,29.97,23.98,85.5,85.5
2021-02-08,63.605,3942956000000000.0,28.88,41.37,28.88,47.81,47.81,47.81
2021-02-09,79.69874999999999,5381450000000000.0,36.05,70.3,36.05,31.25,84.37,84.37
2021-02-10,92.60666666666668,4637414000000000.0,46.47,55.47,46.47,22.49,86.59,86.59
2021-02-11,45.45583333333334,4916170000000000.0,33.74,47.98,33.74,21.4,69.2,69.2
2021-02-12,45.74791666666666,5648720000000000.0,33.1,44.49,33.1,17.53,61.79,61.79
2021-02-13,47.09333333333333,4896174000000000.0,33.47,52.55,33.47,21.91,65.72,65.72
2021-02-14,40.57375,5465890000000000.0,31.67,45.39,31.67,16.15,60.92,60.92
2021-02-15,50.31625,4146332000000000.0,33.73,44.03,33.73,16.43,58.61,58.61
2021-02-16,33.359583333333326,4850020000000000.0,33.12,38.73,33.12,13.44,55.32,55.32
2021-02-17,18.745833333333334,4911600000000000.0,24.79,38.51,24.79,12.69,62.71,62.71
2021-02-18,24.958749999999995,4992930000000000.0,20.46,31.86,20.46,10.19,54.02,54.02
2021-02-19,22.80208333333334,5885480000000000.0,19.74,36.16,19.74,20.01,74.05,74.05
2021-02-20,19.6925,6016510000000000.0,25.39,37.55,25.39,20.99,73.32,73.32
2021-02-21,35.50125,5741780000000000.0,18.12,28.21,18.12,12.71,57.9,57.9
2021-02-22,66.33166666666666,6128644000000000.0,39.87,41.41,39.87,24.1,78.68,78.68
2021-02-23,73.63291666666667,8768180000000000.0,51.61,42.19,51.61,24.47,75.79,75.79
2021-02-24,75.61083333333333,4290532000000000.0,47.04,52.54,47.04,26.4,73.79,73.79
2021-02-25,104.50333333333332,6435890000000000.0,52.48,43.25,52.48,29.9,77.29,77.29
2021-02-26,44.72291666666666,4733170000000000.0,49.55,37.68,49.55,31.89,77.68,77.68
2021-02-27,43.81541666666666,6693410000000000.0,49.4,37.58,49.4,41.82,81.3,81.3
2021-02-28,56.99666666666668,7417910000000000.0,58.25,41.98,58.25,26.78,69.96,69.96
2021-03-01,49.56916666666666,5475990000000000.0,39.53,26.48,39.53,19.56,64.75,64.75
2021-03-02,63.809583333333336,7006710000000000.0,43.86,23.45,43.86,17.21,63.6,63.6
2021-03-03,63.92083333333334,5525360000000000.0,38.96,23.72,38.96,19.25,67.05,67.05
2021-03-04,41.09458333333334,5850730000000000.0,43.46,26.3,43.46,28.77,65.24,65.24
2021-03-05,53.391250000000014,4068002000000000.0,39.61,16.27,39.61,15.27,60.97,60.97
2021-03-06,56.81875,7728270000000000.0,43.05,29.83,43.05,18.38,64.5,64.5
2021-03-07,28.892916666666665,7112010000000000.0,44.13,42.71,44.13,16.35,50.09,50.09
2021-03-08,22.107916666666668,6966960000000000.0,31.79,36.07,31.79,13.96,48.55,48.55
2021-03-09,22.672916666666666,6417060000000000.0,24.99,32.92,24.99,13.59,50.16,50.16
2021-03-10,21.660416666666663,5559410000000000.0,30.37,39.72,30.37,20.27,52.73,52.73
2021-03-11,24.647499999999997,7120230000000000.0,27.07,40.42,27.07,18.39,50.74,50.74
2021-03-12,30.293750000000006,5003990000000000.0,20.59,37.47,20.59,13.18,45.61,45.61
2021-03-13,31.61916666666667,5295880000000000.0,29.57,35.64,29.57,16.15,57.96,57.96
2021-03-14,29.10434782608696,5711588000000000.0,34.94,39.35,34.94,18.8,57.32,57.32
2021-03-15,33.43833333333333,7363600000000000.0,42.4,40.78,42.4,24.83,39.52,39.52
2021-03-16,28.50833333333332,9341440000000000.0,35.59,38.51,35.59,19.88,48.6,48.6
2021-03-17,25.758750000000003,7867330000000000.0,34.07,37.53,34.07,15.76,46.21,46.21
2021-03-18,27.887083333333333,5984000000000000.0,24.7,29.14,24.7,8.92,39.19,39.19
2021-03-19,29.025416666666658,5628150000000000.0,27.39,35.14,27.39,13.53,46.59,46.59
2021-03-20,23.38416666666667,4812140000000000.0,21.64,36.16,21.64,15.43,46.34,46.34
2021-03-21,38.07541666666666,3571628000000000.0,20.72,36.17,20.72,16.8,52.77,52.77
2021-03-22,32.32291666666667,4825590000000000.0,36.45,42.86,36.45,16.54,58.04,58.04
2021-03-23,28.946250000000003,5888120000000000.0,19.25,32.44,19.25,20.99,60.72,60.72
2021-03-24,32.890416666666674,5917110000000000.0,25.86,32.35,25.86,21.19,55.54,55.54
2021-03-25,48.94083333333334,7316010000000000.0,41.87,52.1,41.87,28.64,74.99,74.99
2021-03-26,44.44,6900280000000000.0,36.2,45.12,36.2,24.99,60.43,60.43
2021-03-27,41.06958333333333,8709110000000000.0,41.02,48.35,41.02,24.69,69.06,69.06
2021-03-28,54.36833333333334,6699118000000000.0,34.75,33.52,34.75,17.19,56.5,56.5
2021-03-29,44.13041666666666,6689550000000000.0,24.4,30.31,24.4,14.75,37.54,37.54
2021-03-30,30.870416666666667,5779232000000000.0,30.92,29.27,30.92,12.58,53.18,53.18
2021-03-31,35.050416666666656,5473630000000000.0,39.45,44.39,39.45,24.96,70.99,70.99
2021-04-01,56.721250000000005,5289470000000000.0,41.74,38.62,41.74,20.64,73.16,73.16
2021-04-02,56.53458333333333,5315810000000000.0,41.21,43.48,41.21,22.86,68.0,68.0
2021-04-03,45.110833333333325,7005330000000000.0,38.4,40.69,38.4,22.54,60.86,60.86
2021-04-04,51.36666666666667,4494542000000000.0,26.21,44.15,26.21,17.89,57.79,57.79
2021-04-05,21.30958333333333,5897610000000000.0,25.43,43.08,25.43,22.18,55.7,55.7
2021-04-06,18.928333333333327,5717158000000000.0,20.06,37.71,20.06,11.06,43.05,43.05
2021-04-07,52.08374999999999,5467300000000000.0,21.1,35.52,21.1,9.28,39.73,39.73
2021-04-08,42.82458333333333,4033770000000000.0,31.15,40.87,31.15,16.39,50.45,50.45
2021-04-09,31.124166666666664,5140930000000000.0,29.09,45.84,29.09,23.56,53.51,53.51
2021-04-10,18.50625,5418370000000000.0,17.29,33.9,17.29,12.8,41.66,41.66
2021-04-11,15.904999999999996,5464950000000000.0,12.64,33.26,12.64,10.2,39.79,39.79
2021-04-12,41.185,4015160000000000.0,24.54,41.46,24.54,17.9,50.15,50.15
2021-04-13,42.37666666666666,6103632000000000.0,14.97,33.51,14.97,8.11,42.53,42.53
2021-04-14,39.57083333333333,4601790000000000.0,24.15,35.27,24.15,15.12,49.59,49.59
2021-04-15,31.07541666666667,5746414000000000.0,23.89,38.65,23.89,8.9,47.4,47.4
2021-04-16,28.53791666666666,5686970000000000.0,29.41,50.17,29.41,17.36,54.8,54.8
2021-04-17,36.07041666666666,6612550000000000.0,23.76,41.6,23.76,13.87,52.65,52.65
2021-04-18,34.34374999999999,5504988000000000.0,32.18,43.48,32.18,12.86,41.27,41.27
2021-04-19,28.075833333333332,7480830000000000.0,35.62,40.81,35.62,11.59,44.51,44.51
2021-04-20,17.190833333333334,4573832000000000.0,30.76,40.18,30.76,16.51,43.55,43.55
2021-04-21,35.51958333333333,5530410000000000.0,22.36,34.49,22.36,7.98,44.73,44.73
2021-04-22,22.563333333333333,4089716000000000.0,12.76,32.24,12.76,8.92,38.36,38.36
2021-04-23,23.4525,5585660000000000.0,17.86,29.27,17.86,8.01,47.17,47.17
2021-04-24,30.961250000000003,7036850000000000.0,18.33,34.83,18.33,8.89,48.02,48.02
2021-04-25,25.91125,4209950000000000.0,17.7,30.88,17.7,7.67,48.45,48.45
2021-04-26,22.252916666666664,7869810000000000.0,22.56,30.24,22.56,6.98,50.89,50.89
2021-04-27,53.39708333333334,5483392000000000.0,16.48,31.51,16.48,8.94,55.35,55.35
2021-04-28,56.56791666666666,4449660000000000.0,28.83,35.7,28.83,7.76,50.9,50.9
2021-04-29,40.72708333333333,7005138000000000.0,35.78,37.01,35.78,11.72,67.6,67.6
2021-04-30,22.080416666666665,5880390000000000.0,21.85,28.85,21.85,5.16,42.77,42.77
2021-05-01,15.245000000000005,4890902000000000.0,21.78,32.7,21.78,8.65,44.99,44.99
2021-05-02,34.13708333333334,3909150000000000.0,12.53,29.8,12.53,6.86,59.44,59.44
2021-05-03,33.14083333333333,5522710000000000.0,24.66,32.08,24.66,7.45,56.66,56.66
2021-05-04,41.6,8576460000000000.0,37.48,39.43,37.48,15.1,65.47,65.47
2021-05-05,21.692083333333333,6259140000000000.0,30.26,34.89,30.26,12.87,61.15,61.15
2021-05-06,25.123750000000005,4941560000000000.0,17.95,29.84,17.95,7.96,55.2,55.2
2021-05-07,26.653333333333336,4586160000000000.0,12.55,28.06,12.55,4.48,50.38,50.38
2021-05-08,12.869166666666668,5387974000000000.0,16.78,29.15,16.78,6.08,53.04,53.04
2021-05-09,33.20875,4387870000000000.0,11.62,26.18,11.62,4.35,51.57,51.57
2021-05-10,25.455,4066330000000000.0,18.54,27.55,18.54,4.21,56.69,56.69
2021-05-11,13.68125,5224096000000000.0,12.1,25.74,12.1,4.42,55.23,55.23
2021-05-12,10.1675,6978050000000000.0,10.0,21.89,10.0,1.95,47.28,47.28
2021-05-13,13.95,5502810000000000.0,11.4,24.55,11.4,3.2,52.8,52.8
2021-05-14,18.97458333333333,5986272000000000.0,13.28,26.29,13.28,5.63,57.7,57.7
2021-05-15,6.59875,4840184000000000.0,6.15,18.23,6.15,1.41,38.42,38.42
2021-05-16,14.238333333333337,7865296000000000.0,6.03,19.5,6.03,2.33,40.82,40.82
2021-05-17,14.74125,3665442000000000.0,8.45,21.67,8.45,2.07,51.71,51.71
2021-05-18,10.4,3226160000000000.0,11.48,24.55,11.48,2.29,54.21,54.21
2021-05-19,8.823750000000002,5905150000000000.0,9.74,23.11,9.74,1.38,57.12,57.12
2021-05-20,14.53458333333333,5691506000000000.0,14.9,22.73,14.9,1.56,57.26,57.26
2021-05-21,14.622083333333334,4629936000000000.0,15.57,26.7,15.57,2.88,54.32,54.32
2021-05-22,20.56416666666667,5225900000000000.0,14.83,24.9,14.83,3.73,50.57,50.57
2021-05-23,13.552083333333334,5619550000000000.0,14.33,23.58,14.33,3.09,56.83,56.83
2021-05-24,9.41125,5035980000000000.0,20.7,22.44,20.7,3.38,57.23,57.23
2021-05-25,13.399583333333338,4284370000000000.0,30.24,26.78,30.24,5.33,64.36,64.36
2021-05-26,10.78875,5609700000000000.0,32.54,23.98,32.54,4.13,55.98,55.98
2021-05-27,9.255416666666664,5144560000000000.0,15.31,20.27,15.31,1.77,48.68,48.68
2021-05-28,11.554583333333335,5994120000000000.0,19.73,22.66,19.73,2.2,57.61,57.61
2021-05-29,8.064166666666667,4478400000000000.0,14.89,24.27,14.89,2.34,53.76,53.76
2021-05-30,9.4925,4881960000000000.0,24.72,26.72,24.72,5.91,55.67,55.67
2021-05-31,11.8825,5127084000000000.0,24.18,23.53,24.18,3.41,62.72,62.72
2021-06-01,21.52083333333333,5139710000000000.0,16.89,28.27,16.89,5.01,64.2,64.2
2021-06-02,26.522916666666656,4566436000000000.0,21.8,30.15,21.8,5.26,55.74,55.74
2021-06-03,29.7825,5117336000000000.0,27.17,29.25,27.17,7.47,57.09,57.09
2021-06-04,25.27666666666667,4655778000000000.0,19.22,27.27,19.22,7.91,59.87,59.87
2021-06-05,17.914999999999996,5265590000000000.0,14.79,25.6,14.79,4.97,50.79,50.79
2021-06-06,12.844583333333333,4577340000000000.0,17.59,25.13,17.59,3.86,56.76,56.76
2021-06-07,15.415416666666667,4373590000000000.0,12.83,23.8,12.83,3.35,58.48,58.48
2021-06-08,9.639583333333333,3851950000000000.0,15.38,22.86,15.38,2.53,51.61,51.61
2021-06-09,8.189999999999998,6526866000000000.0,19.59,19.32,19.59,2.24,56.18,56.18
2021-06-10,6.983333333333332,5411734000000000.0,14.18,19.42,14.18,1.82,56.26,56.26
2021-06-11,6.544583333333335,5216510000000000.0,18.41,16.55,18.41,1.49,50.63,50.63
2021-06-12,7.020000000000002,5133194000000000.0,14.95,17.54,14.95,1.88,48.3,48.3
2021-06-13,7.004166666666666,3049510000000000.0,19.24,18.13,19.24,1.74,55.66,55.66
2021-06-14,9.885416666666668,4406406000000000.0,15.35,17.7,15.35,1.97,55.44,55.44
2021-06-15,8.590416666666668,4354820000000000.0,13.1,17.33,13.1,1.58,53.15,53.15
2021-06-16,8.498750000000001,5272692000000000.0,14.97,16.64,14.97,2.04,50.59,50.59
2021-06-17,8.304583333333335,4147926000000000.0,16.07,16.63,16.07,1.99,50.46,50.46
2021-06-18,6.8175,5099088000000000.0,12.49,16.36,12.49,1.8,54.41,54.41
2021-06-19,5.035833333333334,4222870000000000.0,8.88,16.8,8.88,0.93,53.85,53.85
2021-06-20,5.228750000000001,4392170000000000.0,18.75,18.23,18.75,1.81,57.85,57.85
2021-06-21,8.755416666666664,3870260000000000.0,18.24,22.13,18.24,3.34,63.84,63.84
2021-06-22,8.787916666666666,4379490000000000.0,22.92,25.01,22.92,5.17,65.9,65.9
2021-06-23,13.265416666666669,3540668000000000.0,20.89,24.04,20.89,4.86,71.79,71.79
2021-06-24,8.7475,4914632000000000.0,18.38,20.96,18.38,2.92,65.84,65.84
2021-06-25,8.287500000000001,4592778000000000.0,16.37,19.21,16.37,1.46,63.47,63.47
2021-06-26,8.211666666666668,5569820000000000.0,17.99,22.17,17.99,2.0,71.05,71.05
2021-06-27,9.728750000000002,5096996000000000.0,20.02,21.36,20.02,3.68,66.88,66.88
2021-06-28,21.424583333333327,5736890000000000.0,17.52,21.83,17.52,2.52,70.04,70.04
2021-06-29,13.777500000000002,5596890000000000.0,25.34,26.3,25.34,4.86,68.87,68.87
2021-06-30,21.94791666666667,5773570000000000.0,20.35,27.77,20.35,5.65,64.61,64.61
2021-07-01,15.187916666666665,4669492000000000.0,16.48,23.77,16.48,3.55,58.93,58.93
2021-07-02,16.243750000000002,4480284000000000.0,23.42,22.22,23.42,2.3,47.69,47.69
2021-07-03,20.897916666666664,5662260000000000.0,16.9,27.14,16.9,5.18,49.44,49.44
2021-07-04,16.62875,4420700000000000.0,21.53,29.56,21.53,6.94,51.08,51.08
2021-07-05,24.02916666666667,4139750000000000.0,26.35,29.38,26.35,6.67,55.68,55.68
2021-07-06,22.805416666666662,4430700000000000.0,25.24,28.13,25.24,4.13,55.59,55.59
2021-07-07,23.184166666666677,4972690000000000.0,20.19,27.8,20.19,4.23,52.87,52.87
2021-07-08,17.00875,5090712000000000.0,23.7,21.88,23.7,4.15,55.16,55.16
2021-07-09,16.2225,3539988000000000.0,20.13,20.76,20.13,2.28,54.18,54.18
2021-07-10,12.835,4474572000000000.0,16.93,19.28,16.93,1.66,53.21,53.21
2021-07-11,10.582916666666664,4326234000000000.0,17.91,21.72,17.91,1.41,52.58,52.58
2021-07-12,10.242916666666664,3653210000000000.0,12.66,18.02,12.66,0.7,51.08,51.08
2021-07-13,9.29625,4509306000000000.0,15.7,17.02,15.7,0.97,50.32,50.32
2021-07-14,8.712083333333334,5153998000000000.0,18.25,16.0,18.25,1.03,49.91,49.91
2021-07-15,9.521666666666668,5113910000000000.0,16.1,18.22,16.1,0.47,50.02,50.02
2021-07-16,11.924583333333333,3863106000000000.0,11.66,17.4,11.66,0.86,49.23,49.23
2021-07-17,13.624166666666666,3765170000000000.0,14.52,20.15,14.52,1.38,50.23,50.23
2021-07-18,13.52,4738728000000000.0,20.8,21.05,20.8,2.56,52.72,52.72
2021-07-19,6.963333333333335,3975004000000000.0,13.57,15.65,13.57,0.45,49.96,49.96
2021-07-20,8.079583333333334,4817140000000000.0,10.86,13.95,10.86,0.66,45.26,45.26
2021-07-21,6.810833333333334,4268626000000000.0,13.1,14.58,13.1,0.96,50.98,50.98
2021-07-22,7.612916666666668,5447784000000000.0,10.32,13.46,10.32,1.08,44.26,44.26
2021-07-23,8.925833333333335,4935858000000000.0,16.0,16.34,16.0,2.39,52.93,52.93
2021-07-24,6.089166666666666,5715410000000000.0,18.6,17.13,18.6,1.73,53.0,53.0
2021-07-25,6.328333333333334,5233720000000000.0,14.83,17.35,14.83,1.27,45.18,45.18
2021-07-26,6.470833333333331,3448994000000000.0,15.74,16.16,15.74,1.06,45.72,45.72
2021-07-27,6.193750000000001,5091862000000000.0,17.87,17.6,17.87,1.0,48.02,48.02
2021-07-28,6.66875,3944840000000000.0,12.94,17.18,12.94,1.04,48.56,48.56
2021-07-29,6.557083333333334,5052644000000000.0,13.76,15.49,13.76,1.25,49.27,49.27
2021-07-30,7.031249999999999,3916440000000000.0,14.66,16.67,14.66,0.86,51.18,51.18
2021-07-31,5.064166666666667,5427720000000000.0,17.33,16.07,17.33,0.75,54.19,54.19
2021-08-01,5.595,3765254000000000.0,59.17,16.6,59.17,0.98,52.72,52.72
2021-08-02,6.672916666666667,4098030000000000.0,37.23,17.44,37.23,0.83,51.89,51.89
2021-08-03,7.750833333333333,4927824000000000.0,15.85,20.14,15.85,2.78,64.0,64.0
2021-08-04,8.099166666666667,3965674000000000.0,13.93,18.44,13.93,0.97,70.12,70.12
2021-08-05,8.406250000000002,4558222000000000.0,15.69,18.41,15.69,0.95,60.48,60.48
2021-08-06,11.185833333333331,3126300000000000.0,19.4,20.71,19.4,3.7,59.23,59.23
2021-08-07,9.7875,4449110000000000.0,20.64,24.87,20.64,4.8,63.55,63.55
2021-08-08,15.076666666666668,4465664000000000.0,14.7,25.01,14.7,3.99,66.98,66.98
2021-08-09,14.9525,4171790000000000.0,14.78,26.47,14.78,5.94,51.45,51.45
2021-08-10,12.89875,4282506000000000.0,27.2,23.24,27.2,5.52,53.27,53.27
2021-08-11,10.648333333333332,3800080000000000.0,17.38,22.13,17.38,3.03,54.34,54.34
2021-08-12,14.433749999999998,4192722000000000.0,21.21,24.07,21.21,5.15,62.89,62.89
2021-08-13,15.758333333333333,4520416000000000.0,17.66,21.74,17.66,4.56,70.84,70.84
2021-08-14,7.379166666666669,4514110000000000.0,21.39,24.02,21.39,4.08,59.77,59.77
2021-08-15,9.079166666666666,3882614000000000.0,14.66,17.9,14.66,1.0,55.0,55.0
2021-08-16,11.389166666666668,4639904000000000.0,15.91,18.19,15.91,2.52,41.87,41.87
2021-08-17,13.010833333333332,5265924000000000.0,19.16,19.4,19.16,2.74,46.82,46.82
2021-08-18,9.59625,5172074000000000.0,18.0,17.0,18.0,2.56,46.37,46.37
2021-08-19,8.315,4425760000000000.0,14.99,17.08,14.99,3.17,47.97,47.97
2021-08-20,15.652499999999998,4831772000000000.0,21.76,18.98,21.76,2.54,58.63,58.63
2021-08-21,13.552916666666665,5034278000000000.0,15.58,21.98,15.58,2.41,58.6,58.6
2021-08-22,16.079166666666666,4827308000000000.0,16.39,25.52,16.39,3.97,59.94,59.94
2021-08-23,24.30125,5952810000000000.0,21.48,32.86,21.48,7.91,62.42,62.42
2021-08-24,18.53625,4750690000000000.0,29.21,32.88,29.21,10.88,62.62,62.62
2021-08-25,17.715416666666663,5535470000000000.0,22.31,25.45,22.31,6.49,67.28,67.28
2021-08-26,14.509583333333332,4141644000000000.0,20.42,23.15,20.42,4.76,52.28,52.28
2021-08-27,16.537916666666664,3693704000000000.0,21.77,23.69,21.77,3.76,59.83,59.83
2021-08-28,13.66625,4143352000000000.0,18.23,24.07,18.23,2.43,59.3,59.3
2021-08-29,10.178750000000004,4480154000000000.0,20.47,23.06,20.47,3.06,60.96,60.96
2021-08-30,11.08291666666667,4009004000000000.0,24.27,17.28,24.27,0.57,56.08,56.08
2021-08-31,15.90875,3997670000000000.0,12.61,18.92,12.61,0.41,56.5,56.5
2021-09-01,18.407499999999995,4056808000000000.0,19.26,22.05,19.26,2.81,60.35,60.35
2021-09-02,21.02125,4547660000000000.0,19.71,26.59,19.71,4.47,61.57,61.57
2021-09-03,16.72583333333333,4300138000000000.0,23.12,25.26,23.12,4.97,59.48,59.48
2021-09-04,11.046666666666663,3845746000000000.0,15.56,23.31,15.56,4.34,60.48,60.48
2021-09-05,10.517916666666668,4364632000000000.0,17.12,20.12,17.12,2.13,60.46,60.46
2021-09-06,12.984166666666669,5712296000000000.0,24.41,17.95,24.41,1.74,58.53,58.53
2021-09-07,9.497916666666669,4695856000000000.0,9.98,17.43,9.98,0.51,56.35,56.35
2021-09-08,6.971666666666667,3731832000000000.0,6.37,16.14,6.37,0.22,49.32,49.32
