,Station,Longitude,Latitude
25,"Delhi_Delhi_IHBAS, Dilshad Garden, Delhi - CPCB",77.3049532,28.6826275
26,"Delhi_Delhi_ITO, Delhi - CPCB",77.2505733,28.6308294
27,"Delhi_Delhi_Jahangirpuri, Delhi - DPCC",77.16663129999999,28.7296171
28,"Delhi_Delhi_Jawaharlal Nehru Stadium, Delhi - DPCC",77.2333304,28.5833047
29,"Delhi_Delhi_Lodhi Road, Delhi - IITM",77.2280791,28.5910626
30,"Delhi_Delhi_Lodhi Road, Delhi - IMD",77.2280791,28.5910626
31,"Delhi_Delhi_Major Dhyan Chand National Stadium, Delhi - DPCC",77.2367984,28.612569
32,"Delhi_Delhi_Mandir Marg, Delhi - DPCC",77.2004746,28.6341752
33,"Delhi_Delhi_Mundka, Delhi - DPCC",77.034937,28.6823144
34,"Delhi_Delhi_Najafgarh, Delhi - DPCC",76.9854526,28.6090126
35,"Delhi_Delhi_Narela, Delhi - DPCC",77.08921509999999,28.8548818
36,"Delhi_Delhi_Nehru Nagar, Delhi - DPCC",77.2505733,28.5706035
37,"Delhi_Delhi_North Campus, DU, Delhi - IMD",77.210336,28.687193
38,"Delhi_Delhi_NSIT Dwarka, Delhi - CPCB",77.0379647,28.6100216
39,"Delhi_Delhi_Okhla Phase-2, Delhi - DPCC",77.2764329,28.5357628
40,"Delhi_Delhi_Patparganj, Delhi - DPCC",77.30457109999999,28.6347308
41,"Delhi_Delhi_Punjabi Bagh, Delhi - DPCC",77.12847649999999,28.6706933
42,"Delhi_Delhi_Pusa, Delhi - DPCC",77.1571443,28.6376724
43,"Delhi_Delhi_Pusa, Delhi - IMD",77.1571443,28.6376724
44,"Delhi_Delhi_R K Puram, Delhi - DPCC",77.1767435,28.5660075
45,"Delhi_Delhi_Rohini, Delhi - DPCC",77.0822151,28.73826769999999
46,"Delhi_Delhi_Shadipur, Delhi - CPCB",77.1562196,28.651027
47,"Delhi_Delhi_Sirifort, Delhi - CPCB",77.214799,28.5505827
48,"Delhi_Delhi_Sonia Vihar, Delhi - DPCC",77.2495891,28.7332472
