,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
292,Pune,18.531,73.857,2021-09-12,222.10791666666668,4.2558333333333325,3.5387500000000003,4.365
293,Pune,18.531,73.857,2021-09-13,221.61999999999998,3.704166666666666,2.8945833333333333,8.917499999999999
294,Pune,18.531,73.857,2021-09-14,233.78875000000002,5.845416666666666,5.405833333333334,8.214166666666666
295,Pune,18.531,73.857,2021-09-15,241.43875,7.929166666666666,7.5183333333333335,9.130416666666667
296,Pune,18.531,73.857,2021-09-16,267.93250000000006,8.937083333333332,7.727083333333333,9.575
297,Pune,18.531,73.857,2021-09-17,262.16125000000005,8.31875,6.625,9.780416666666666
298,Pune,18.531,73.857,2021-09-18,253.74666666666664,7.5562499999999995,5.7225,8.400416666666667
299,Pune,18.531,73.857,2021-09-19,283.30083333333334,6.902916666666666,5.460416666666667,5.796666666666667
300,Pune,18.531,73.857,2021-09-20,285.11,6.90125,4.515416666666667,6.455416666666667
301,Pune,18.531,73.857,2021-09-21,280.5208333333333,8.242916666666666,5.277916666666665,6.363333333333333
302,Pune,18.531,73.857,2021-09-22,285.94499999999994,7.821666666666668,5.38625,8.227916666666667
303,Pune,18.531,73.857,2021-09-23,283.9966666666667,6.807500000000001,4.725416666666667,9.8
304,Pune,18.531,73.857,2021-09-24,291.36833333333334,7.499583333333334,4.623749999999999,9.886249999999999
305,Pune,18.531,73.857,2021-09-25,289.14250000000004,7.915416666666665,4.588333333333333,9.519166666666669
306,Pune,18.531,73.857,2021-09-26,313.34208333333333,8.769583333333332,6.816666666666669,17.603333333333335
307,Pune,18.531,73.857,2021-09-27,335.3158333333333,10.754583333333331,6.295833333333333,12.00166666666667
308,Pune,18.531,73.857,2021-09-28,259.10166666666663,6.07375,4.709166666666667,4.73875
309,Pune,18.531,73.857,2021-09-29,327.24999999999994,10.513333333333335,8.929166666666665,7.065833333333335
310,Pune,18.531,73.857,2021-09-30,660.8970833333334,13.203749999999998,10.927083333333334,29.25541666666666
311,Pune,18.531,73.857,2021-10-01,653.1079166666667,19.346666666666668,15.38375,48.13708333333333
312,Pune,18.531,73.857,2021-10-02,993.5695833333333,18.02625,12.442916666666669,47.048750000000005
313,Pune,18.531,73.857,2021-10-03,1072.2879166666664,26.802916666666665,18.755416666666665,68.62833333333334
314,Pune,18.531,73.857,2021-10-04,1177.4295833333333,25.89458333333333,18.145,133.92458333333332
315,Pune,18.531,73.857,2021-10-05,1036.4066666666668,22.623749999999998,14.772499999999999,54.32083333333335
316,Pune,18.531,73.857,2021-10-06,1081.7454166666669,22.860416666666666,14.44291666666667,44.82125
317,Pune,18.531,73.857,2021-10-07,1155.5954166666668,21.814166666666665,14.039166666666665,61.00541666666667
318,Pune,18.531,73.857,2021-10-08,1038.9091666666666,25.605,15.796249999999999,55.860833333333325
319,Pune,18.531,73.857,2021-10-09,571.3304166666667,13.155416666666666,7.620000000000001,22.38625
320,Pune,18.531,73.857,2021-10-10,741.5620833333334,15.996249999999996,8.924166666666666,41.11833333333333
321,Pune,18.531,73.857,2021-10-11,1156.0141666666666,18.279166666666672,13.895833333333336,68.67791666666666
322,Pune,18.531,73.857,2021-10-12,1592.5775,23.45125,17.99458333333333,106.47541666666667
323,Pune,18.531,73.857,2021-10-13,1144.6083333333333,24.495,16.079583333333332,89.22500000000001
324,Pune,18.531,73.857,2021-10-14,920.4154166666667,22.952916666666667,12.41291666666667,71.14041666666668
325,Pune,18.531,73.857,2021-10-15,1025.83625,24.515416666666663,15.09083333333333,113.00333333333333
326,Pune,18.531,73.857,2021-10-16,1089.2558333333332,31.999166666666667,15.766666666666667,113.73291666666667
327,Pune,18.531,73.857,2021-10-17,555.1983333333334,8.303333333333333,14.204166666666671,104.40791666666668
328,Pune,18.531,73.857,2021-10-18,441.43333333333334,10.502916666666666,12.289166666666665,58.029583333333335
329,Pune,18.531,73.857,2021-10-19,849.9029166666666,21.609583333333337,16.332500000000003,88.52208333333334
330,Pune,18.531,73.857,2021-10-20,1131.2570833333334,23.374166666666667,17.032916666666665,84.26958333333333
331,Pune,18.531,73.857,2021-10-21,1568.795,34.14833333333333,23.570000000000004,104.99875000000002
332,Pune,18.531,73.857,2021-10-22,1530.6879166666668,49.17208333333335,22.734583333333333,118.12291666666664
333,Pune,18.531,73.857,2021-10-23,1016.5179166666666,26.449583333333326,14.424583333333333,100.8279166666667
334,Pune,18.531,73.857,2021-10-24,726.4012499999999,16.829166666666666,12.256666666666668,63.763750000000016
335,Pune,18.531,73.857,2021-10-25,980.0795833333332,25.42458333333334,14.115833333333336,71.27541666666667
336,Pune,18.531,73.857,2021-10-26,1035.85,29.70125,15.359166666666665,74.21208333333334
337,Pune,18.531,73.857,2021-10-27,710.6875,19.212083333333336,13.571250000000001,53.692916666666655
338,Pune,18.531,73.857,2021-10-28,581.2062500000001,14.08625,12.338333333333338,70.06666666666666
339,Pune,18.531,73.857,2021-10-29,577.8670833333333,15.871666666666664,11.166666666666666,54.93208333333333
340,Pune,18.531,73.857,2021-10-30,587.88125,15.624999999999995,8.864583333333332,59.40333333333334
341,Pune,18.531,73.857,2021-10-31,975.4895833333334,26.32583333333334,13.027499999999998,102.92875
342,Pune,18.531,73.857,2021-11-01,1191.8933333333334,32.25958333333333,14.48208333333333,120.81624999999997
343,Pune,18.531,73.857,2021-11-02,673.6916666666667,19.877083333333335,12.562083333333332,69.11000000000001
344,Pune,18.531,73.857,2021-11-03,1169.085,22.161666666666672,15.68625,42.30166666666668
345,Pune,18.531,73.857,2021-11-04,1112.06375,23.90125,17.389583333333338,37.7525
346,Pune,18.531,73.857,2021-11-05,834.1875,20.292499999999997,11.556666666666667,24.362916666666663
347,Pune,18.531,73.857,2021-11-06,900.6670833333334,22.167500000000004,11.694583333333332,39.89125
348,Pune,18.531,73.857,2021-11-07,906.5624,24.451999999999995,14.277200000000002,77.3652
349,Pune,18.531,73.857,2021-11-08,1153.2304166666668,32.24374999999999,18.189166666666665,139.18458333333334
350,Pune,18.531,73.857,2021-11-09,1007.3379166666667,25.248333333333335,15.282916666666665,113.04416666666664
351,Pune,18.531,73.857,2021-11-10,1196.3445833333333,32.659166666666664,17.180833333333336,117.19291666666665
352,Pune,18.531,73.857,2021-11-11,939.3295833333335,20.919583333333335,14.45375,87.19833333333334
353,Pune,18.531,73.857,2021-11-12,751.8529166666667,15.08375,10.390416666666667,114.89916666666666
354,Pune,18.531,73.857,2021-11-13,682.3137499999999,12.594583333333334,7.829583333333335,66.99124999999998
355,Pune,18.531,73.857,2021-11-14,958.80125,23.512916666666666,10.627083333333335,40.79708333333334
356,Pune,18.531,73.857,2021-11-15,1048.9216666666669,26.004999999999995,13.022916666666665,40.50833333333333
357,Pune,18.531,73.857,2021-11-16,606.6558333333334,18.107083333333332,11.677083333333336,16.31875
358,Pune,18.531,73.857,2021-11-17,539.6216666666667,15.065,13.445833333333333,15.688333333333333
359,Pune,18.531,73.857,2021-11-18,1624.7033333333331,25.065416666666675,16.480416666666667,74.30375
360,Pune,18.531,73.857,2021-11-19,798.0262499999998,19.882083333333334,12.651250000000003,28.091250000000002
361,Pune,18.531,73.857,2021-11-20,544.6266666666667,9.420416666666666,7.902500000000001,10.687083333333334
362,Pune,18.531,73.857,2021-11-21,1009.4245833333334,23.19416666666667,12.754166666666663,31.16875
363,Pune,18.531,73.857,2021-11-22,1280.625416666667,40.04916666666667,21.741666666666664,77.19416666666667
364,Pune,18.531,73.857,2021-11-23,2117.872500000001,33.16583333333333,19.9825,120.08791666666667
365,Pune,18.531,73.857,2021-11-24,1426.0991666666666,27.40458333333334,14.79833333333333,74.95666666666666
366,Pune,18.531,73.857,2021-11-25,1333.4754166666664,32.30916666666666,19.570000000000004,108.17458333333333
367,Pune,18.531,73.857,2021-11-26,2151.2504166666668,46.092499999999994,30.14583333333333,180.05000000000004
368,Pune,18.531,73.857,2021-11-27,1116.5145833333333,30.42458333333333,13.763333333333335,122.24125000000004
369,Pune,18.531,73.857,2021-11-28,814.0195833333332,22.409166666666668,14.164166666666667,104.48083333333334
370,Pune,18.531,73.857,2021-11-29,868.9558333333333,21.460000000000004,15.527500000000003,104.52208333333333
371,Pune,18.531,73.857,2021-11-30,770.7670833333333,14.740833333333336,14.266250000000001,73.48833333333333
372,Pune,18.531,73.857,2021-12-01,769.3766666666669,18.67125,13.222083333333336,92.05124999999998
373,Pune,18.531,73.857,2021-12-02,1480.8975,23.32916666666667,17.13708333333333,62.59583333333333
374,Pune,18.531,73.857,2021-12-03,2123.9916666666663,35.89291666666667,30.839999999999993,96.94541666666667
375,Pune,18.531,73.857,2021-12-04,1818.29875,58.16958333333335,32.51416666666667,105.90958333333334
376,Pune,18.531,73.857,2021-12-05,1138.4891666666667,28.877916666666668,20.077083333333334,92.36958333333332
377,Pune,18.531,73.857,2021-12-06,1803.8358333333333,33.775416666666665,19.409583333333334,157.55124999999998
378,Pune,18.531,73.857,2021-12-07,1487.5737500000002,29.155000000000005,16.902916666666666,207.74541666666664
379,Pune,18.531,73.857,2021-12-08,1672.8241666666665,32.35208333333333,20.151249999999997,165.7133333333333
380,Pune,18.531,73.857,2021-12-09,1570.7420833333333,34.75833333333333,18.459999999999997,140.05958333333334
381,Pune,18.531,73.857,2021-12-10,1493.135416666667,29.332916666666666,15.5175,131.61583333333334
382,Pune,18.531,73.857,2021-12-11,1342.6549999999995,28.064166666666665,14.829583333333334,108.43791666666668
383,Pune,18.531,73.857,2021-12-12,1923.997916666666,31.44208333333334,19.714166666666667,132.70875000000004
384,Pune,18.531,73.857,2021-12-13,2255.2804166666665,55.41833333333333,28.63,190.78916666666666
385,Pune,18.531,73.857,2021-12-14,2774.5970833333326,64.46750000000002,46.203333333333326,226.8025
386,Pune,18.531,73.857,2021-12-15,2435.2475,42.09125,21.65791666666666,123.49833333333332
387,Pune,18.531,73.857,2021-12-16,2362.0920833333334,43.51624999999999,28.978333333333328,129.03083333333333
388,Pune,18.531,73.857,2021-12-17,2094.78625,42.89125000000001,19.709166666666665,185.27374999999998
389,Pune,18.531,73.857,2021-12-18,1112.8979166666666,30.694583333333338,12.601666666666665,125.48708333333333
390,Pune,18.531,73.857,2021-12-19,1528.1825000000001,34.791666666666664,17.886666666666663,179.0354166666667
391,Pune,18.531,73.857,2021-12-20,2467.234166666666,53.32791666666665,37.83958333333333,241.77874999999997
392,Pune,18.531,73.857,2021-12-21,2019.405,66.03125000000001,33.77666666666667,250.42375
393,Pune,18.531,73.857,2021-12-22,2310.3554166666668,88.54833333333333,48.91583333333333,314.6091666666666
394,Pune,18.531,73.857,2021-12-23,2044.4391666666663,59.30625000000001,39.721666666666664,334.1062500000001
395,Pune,18.531,73.857,2021-12-24,1463.3741666666663,42.885416666666664,32.35458333333333,236.3829166666667
396,Pune,18.531,73.857,2021-12-25,1160.7420833333335,34.215,22.789583333333336,128.4954166666667
397,Pune,18.531,73.857,2021-12-26,1504.263333333333,41.32958333333334,26.593333333333334,187.62750000000003
398,Pune,18.531,73.857,2021-12-27,2190.749166666667,64.37208333333334,36.289583333333326,218.53125
399,Pune,18.531,73.857,2021-12-28,1487.0166666666667,34.72208333333334,25.56583333333334,210.3829166666666
400,Pune,18.531,73.857,2021-12-29,1019.7158333333333,31.302499999999995,14.55625,93.36583333333334
401,Pune,18.531,73.857,2021-12-30,777.9979166666667,22.88041666666666,15.562083333333335,53.67041666666666
402,Pune,18.531,73.857,2021-12-31,973.8204166666666,27.977083333333336,13.623333333333333,73.99541666666667
403,Pune,18.531,73.857,2022-01-01,1401.0662499999996,29.094166666666666,13.651666666666669,98.27791666666667
404,Pune,18.531,73.857,2022-01-02,1154.9004166666666,30.13416666666667,14.004583333333334,82.94291666666668
405,Pune,18.531,73.857,2022-01-03,2014.399583333334,33.90958333333333,19.810833333333335,146.90458333333328
406,Pune,18.531,73.857,2022-01-04,2181.2916666666674,45.283333333333324,30.506666666666664,174.2675
407,Pune,18.531,73.857,2022-01-05,2111.7525,60.2275,30.836249999999996,212.86291666666668
408,Pune,18.531,73.857,2022-01-06,1611.3508333333332,38.19291666666666,33.01291666666666,221.75958333333332
409,Pune,18.531,73.857,2022-01-07,914.8516666666663,20.113749999999996,20.295416666666668,111.82958333333336
410,Pune,18.531,73.857,2022-01-08,803.1733333333332,21.559166666666666,11.3575,71.67541666666666
411,Pune,18.531,73.857,2022-01-09,830.4324999999999,20.935,12.422916666666667,56.92916666666665
412,Pune,18.531,73.857,2022-01-10,1139.8795833333336,32.35958333333333,22.897083333333338,106.44875000000002
413,Pune,18.531,73.857,2022-01-11,1128.1954166666665,26.335416666666664,19.381666666666664,157.80291666666665
