,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Agra,27.175,78.013,2020-11-24,1338.4850000000001,29.475,27.597499999999997,307.9225
1,Agra,27.175,78.013,2020-11-25,1156.0129166666668,22.739166666666662,20.592916666666664,222.52166666666665
2,Agra,27.175,78.013,2020-11-26,1472.5533333333333,44.62583333333333,15.423333333333332,162.30166666666668
3,Agra,27.175,78.013,2020-11-27,809.4320833333333,22.42208333333333,13.670416666666666,79.39791666666666
4,Agra,27.175,78.013,2020-11-28,1327.6341666666665,40.37500000000001,13.760000000000003,120.90875000000004
5,Agra,27.175,78.013,2020-11-29,1685.8975000000003,52.37,22.242499999999996,147.39583333333334
6,Agra,27.175,78.013,2020-11-30,1954.3183333333334,59.88416666666668,20.53916666666667,178.50791666666666
7,Agra,27.175,78.013,2020-12-01,2049.724583333333,58.774166666666666,18.229583333333327,258.6633333333333
8,Agra,27.175,78.013,2020-12-02,1973.7875000000001,48.816249999999975,20.012083333333333,222.87250000000003
9,Agra,27.175,78.013,2020-12-03,2218.0079166666665,58.21416666666667,23.59416666666667,247.06708333333333
10,Agra,27.175,78.013,2020-12-04,1860.8570833333333,50.68083333333334,20.631666666666664,212.46416666666667
11,Agra,27.175,78.013,2020-12-05,1106.2224999999999,23.39125,14.321250000000001,137.3825
12,Agra,27.175,78.013,2020-12-06,1348.7733333333335,36.01833333333333,18.824583333333326,210.15999999999997
13,Agra,27.175,78.013,2020-12-07,2156.815416666667,62.17666666666667,30.487500000000008,341.3041666666666
14,Agra,27.175,78.013,2020-12-08,2725.919583333334,72.50958333333332,49.69458333333335,387.9970833333334
15,Agra,27.175,78.013,2020-12-09,2552.0720833333335,65.6075,34.38791666666667,322.12624999999997
16,Agra,27.175,78.013,2020-12-10,2153.477916666667,54.89291666666666,27.010833333333334,299.435
17,Agra,27.175,78.013,2020-12-11,812.4916666666667,19.765,17.65541666666667,116.43166666666667
18,Agra,27.175,78.013,2020-12-12,1351.5558333333336,42.140833333333326,20.084166666666665,123.82874999999996
19,Agra,27.175,78.013,2020-12-13,1088.699583333333,30.074583333333333,18.36916666666666,121.14250000000004
20,Agra,27.175,78.013,2020-12-14,1451.9691666666665,47.982499999999995,27.964999999999993,165.08958333333334
21,Agra,27.175,78.013,2020-12-15,1629.4329166666664,64.02000000000001,34.12291666666667,175.24874999999997
22,Agra,27.175,78.013,2020-12-16,1136.2637499999998,37.70791666666667,30.115416666666675,127.44499999999998
23,Agra,27.175,78.013,2020-12-17,731.2695833333333,17.24166666666667,10.109166666666667,70.74708333333332
24,Agra,27.175,78.013,2020-12-18,811.1008333333334,23.673750000000002,10.236666666666663,66.29958333333335
25,Agra,27.175,78.013,2020-12-19,1016.0995833333333,29.46583333333334,9.047916666666667,92.69083333333333
26,Agra,27.175,78.013,2020-12-20,1121.2433333333333,31.592083333333335,10.185416666666669,115.65083333333335
27,Agra,27.175,78.013,2020-12-21,2123.435833333333,45.38666666666666,17.96625,296.31375
28,Agra,27.175,78.013,2020-12-22,2502.8395833333334,50.85291666666668,30.0825,415.73249999999985
29,Agra,27.175,78.013,2020-12-23,2607.9816666666666,58.04166666666666,41.83291666666666,472.0974999999999
30,Agra,27.175,78.013,2020-12-24,2226.351666666666,51.18416666666668,34.42749999999999,362.40083333333337
31,Agra,27.175,78.013,2020-12-25,1759.60875,42.57541666666667,23.05916666666667,208.1025
32,Agra,27.175,78.013,2020-12-26,1545.7075000000002,38.956250000000004,15.625833333333333,180.31416666666667
33,Agra,27.175,78.013,2020-12-27,853.65875,16.977916666666665,13.313333333333334,132.60625000000002
34,Agra,27.175,78.013,2020-12-28,1225.5516666666667,43.34125,29.514166666666668,149.76041666666669
35,Agra,27.175,78.013,2020-12-29,1106.77875,29.702083333333334,13.975,125.60541666666667
36,Agra,27.175,78.013,2020-12-30,1634.4391666666668,47.638749999999995,15.810416666666663,180.04999999999998
37,Agra,27.175,78.013,2020-12-31,1938.1845833333334,59.25291666666666,21.30875,187.13208333333333
38,Agra,27.175,78.013,2021-01-01,1278.4016666666664,23.885,24.29875,203.70583333333332
39,Agra,27.175,78.013,2021-01-02,1102.8845833333335,21.960416666666664,12.561666666666667,189.39166666666668
40,Agra,27.175,78.013,2021-01-03,675.6379166666665,12.774166666666664,12.907083333333333,112.27833333333332
41,Agra,27.175,78.013,2021-01-04,1215.2604166666667,20.579166666666662,11.705,103.04083333333331
42,Agra,27.175,78.013,2021-01-05,879.8058333333332,13.224583333333335,10.324583333333333,131.87708333333333
43,Agra,27.175,78.013,2021-01-06,1859.7441666666666,33.03125,16.403750000000006,217.86916666666664
44,Agra,27.175,78.013,2021-01-07,1223.8829166666667,28.5,13.764166666666666,162.23083333333332
45,Agra,27.175,78.013,2021-01-08,994.96125,20.021250000000006,20.142083333333332,133.14958333333334
46,Agra,27.175,78.013,2021-01-09,885.0900000000001,17.837083333333332,16.634583333333335,126.14208333333335
47,Agra,27.175,78.013,2021-01-10,778.0000000000001,12.583333333333336,7.796250000000001,94.09875
48,Agra,27.175,78.013,2021-01-11,794.6895833333334,16.342499999999998,9.512916666666664,85.99333333333335
49,Agra,27.175,78.013,2021-01-12,954.0716666666666,26.67916666666667,11.45375,98.24
50,Agra,27.175,78.013,2021-01-13,1503.7062500000002,29.065,15.609583333333335,160.05875
51,Agra,27.175,78.013,2021-01-14,2173.22375,49.781666666666666,29.777500000000007,290.83374999999995
52,Agra,27.175,78.013,2021-01-15,1923.1629166666662,46.150000000000006,26.614166666666666,308.0958333333334
53,Agra,27.175,78.013,2021-01-16,1698.6925000000003,33.558749999999996,16.687083333333337,347.7637500000001
54,Agra,27.175,78.013,2021-01-17,960.46875,10.257499999999999,14.246249999999998,243.61166666666665
55,Agra,27.175,78.013,2021-01-18,1361.0145833333333,20.821250000000003,12.139583333333333,223.77458333333334
56,Agra,27.175,78.013,2021-01-19,1364.0729166666665,29.474999999999998,13.597083333333329,268.5683333333334
57,Agra,27.175,78.013,2021-01-20,986.3379166666667,16.001250000000002,10.429166666666667,228.12875000000005
58,Agra,27.175,78.013,2021-01-21,1898.9650000000001,34.68791666666666,22.843750000000004,242.3608333333333
59,Agra,27.175,78.013,2021-01-22,1225.2733333333333,19.55375,13.771666666666668,225.66375000000002
60,Agra,27.175,78.013,2021-01-23,1217.486666666667,17.525000000000002,10.754583333333334,259.1908333333334
61,Agra,27.175,78.013,2021-01-24,1337.926666666667,20.786666666666665,12.462500000000004,280.79499999999996
62,Agra,27.175,78.013,2021-01-25,1528.4616666666668,40.40125,15.215000000000002,173.87416666666664
63,Agra,27.175,78.013,2021-01-26,1450.9689999999998,35.1085,16.157000000000004,144.066
64,Agra,27.175,78.013,2021-01-27,2610.2075,34.442499999999995,14.605,373.38750000000005
65,Agra,27.175,78.013,2021-01-28,1981.5775000000003,47.574999999999996,19.535833333333333,294.125
66,Agra,27.175,78.013,2021-01-29,1059.2150000000001,26.449166666666674,11.686250000000001,136.32
67,Agra,27.175,78.013,2021-01-30,1270.8916666666667,28.266250000000003,12.03791666666667,118.69624999999998
68,Agra,27.175,78.013,2021-01-31,1685.6187499999999,40.39375000000001,17.125833333333333,182.63250000000002
69,Agra,27.175,78.013,2021-02-01,2270.856666666667,43.23958333333334,33.954583333333325,219.81666666666663
70,Agra,27.175,78.013,2021-02-02,1604.6770833333333,35.16916666666666,17.4025,172.0745833333333
71,Agra,27.175,78.013,2021-02-03,932.3766666666666,15.791666666666664,14.877083333333333,153.68833333333336
72,Agra,27.175,78.013,2021-02-04,1013.0416666666664,18.26875,16.462083333333332,179.57291666666666
73,Agra,27.175,78.013,2021-02-05,1217.7629166666666,32.88791666666666,21.992916666666673,188.95541666666668
74,Agra,27.175,78.013,2021-02-06,768.8208333333333,17.848333333333336,7.697083333333332,79.43375000000002
75,Agra,27.175,78.013,2021-02-07,1235.2866666666669,26.711250000000003,11.255,131.07541666666665
76,Agra,27.175,78.013,2021-02-08,1678.3874999999996,28.960833333333326,15.214999999999998,167.21333333333328
77,Agra,27.175,78.013,2021-02-09,2004.6637500000004,46.650000000000006,20.83791666666667,230.48874999999998
