,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
0,Kanpur,26.447,80.326,2020-11-24,1431.9399999999998,23.0075,10.4,206.0125
1,Kanpur,26.447,80.326,2020-11-25,1675.6058333333333,35.594166666666666,17.822083333333335,235.97833333333332
2,Kanpur,26.447,80.326,2020-11-26,1146.2766666666666,24.662499999999998,13.582916666666668,199.1866666666667
3,Kanpur,26.447,80.326,2020-11-27,1661.9758333333332,44.21791666666666,18.04541666666667,196.04541666666663
4,Kanpur,26.447,80.326,2020-11-28,1412.4712499999996,32.17791666666667,21.204583333333336,172.45875
5,Kanpur,26.447,80.326,2020-11-29,1719.2758333333334,39.2675,21.883750000000003,202.39333333333332
6,Kanpur,26.447,80.326,2020-11-30,2381.0066666666667,53.86791666666665,25.43541666666667,240.41375000000002
7,Kanpur,26.447,80.326,2020-12-01,2050.55875,50.05291666666667,26.146666666666665,300.15874999999994
8,Kanpur,26.447,80.326,2020-12-02,2309.7999999999997,49.44541666666666,32.53916666666666,339.8374999999999
9,Kanpur,26.447,80.326,2020-12-03,2177.1200000000003,47.665,25.125833333333333,346.56583333333333
10,Kanpur,26.447,80.326,2020-12-04,2171.278333333333,44.622083333333336,28.913333333333327,366.1545833333333
11,Kanpur,26.447,80.326,2020-12-05,1678.6645833333332,32.33833333333334,21.532500000000002,299.32125
12,Kanpur,26.447,80.326,2020-12-06,2105.355833333334,50.12583333333334,38.03958333333333,309.05958333333336
13,Kanpur,26.447,80.326,2020-12-07,2777.9341666666664,54.640833333333326,20.094583333333333,388.10041666666666
14,Kanpur,26.447,80.326,2020-12-08,2862.7712500000002,58.52125000000001,30.27458333333333,446.91708333333344
15,Kanpur,26.447,80.326,2020-12-09,2427.18,51.47708333333333,29.314999999999998,324.95
16,Kanpur,26.447,80.326,2020-12-10,2131.780416666667,46.56833333333333,27.790833333333335,245.47291666666672
17,Kanpur,26.447,80.326,2020-12-11,1149.8925000000002,27.162083333333328,21.600833333333338,157.99541666666656
18,Kanpur,26.447,80.326,2020-12-12,793.7149999999998,20.131666666666664,11.914166666666667,76.56541666666668
19,Kanpur,26.447,80.326,2020-12-13,1070.3404166666667,27.56500000000001,11.6175,115.67166666666664
20,Kanpur,26.447,80.326,2020-12-14,1321.7937499999996,39.43458333333333,17.0025,120.05000000000001
21,Kanpur,26.447,80.326,2020-12-15,1707.0362500000003,48.93833333333334,25.56124999999999,182.75666666666663
22,Kanpur,26.447,80.326,2020-12-16,853.9370833333334,17.965833333333332,16.745416666666667,120.28874999999998
23,Kanpur,26.447,80.326,2020-12-17,722.9258333333333,14.645416666666668,16.486666666666668,84.95541666666666
24,Kanpur,26.447,80.326,2020-12-18,899.8312500000001,18.76833333333333,16.827083333333334,105.87
25,Kanpur,26.447,80.326,2020-12-19,1018.3254166666667,20.504166666666674,13.959166666666663,122.69624999999998
26,Kanpur,26.447,80.326,2020-12-20,1971.2841666666666,38.653749999999995,17.782083333333336,265.4891666666667
27,Kanpur,26.447,80.326,2020-12-21,2317.5891666666666,37.33999999999999,20.743333333333336,363.01
28,Kanpur,26.447,80.326,2020-12-22,2135.11875,36.40375,17.132500000000004,387.9604166666666
29,Kanpur,26.447,80.326,2020-12-23,2067.804583333333,48.79666666666668,25.797083333333333,325.34375
30,Kanpur,26.447,80.326,2020-12-24,1783.8083333333334,39.07791666666667,19.541249999999998,285.0825
31,Kanpur,26.447,80.326,2020-12-25,1177.708333333333,18.756666666666668,14.899583333333338,188.06625
32,Kanpur,26.447,80.326,2020-12-26,2227.1870833333337,35.30375,16.404166666666665,252.22208333333336
33,Kanpur,26.447,80.326,2020-12-27,1152.1179166666668,21.27458333333333,14.107083333333334,177.74499999999998
