,City,Lat,Lng,Date,CO,NO2,SO2,PM2_5
185,Dehradun,30.313,78.048,2021-05-28,695.6675,8.152499999999998,10.057916666666667,127.98041666666666
186,Dehradun,30.313,78.048,2021-05-29,601.9283333333333,5.938333333333335,7.022083333333334,96.47583333333331
187,Dehradun,30.313,78.048,2021-05-30,574.6691666666666,5.630416666666666,3.740416666666668,71.84166666666667
188,Dehradun,30.313,78.048,2021-05-31,566.60125,6.247083333333333,3.693750000000001,54.342916666666675
189,Dehradun,30.313,78.048,2021-06-01,671.0500000000001,13.287916666666666,4.089583333333333,26.923333333333332
190,Dehradun,30.313,78.048,2021-06-02,645.0408333333334,10.855833333333335,3.3575,30.642916666666665
191,Dehradun,30.313,78.048,2021-06-03,621.6766666666668,10.389166666666668,3.5104166666666674,33.16416666666667
192,Dehradun,30.313,78.048,2021-06-04,576.3375,10.610833333333334,4.333333333333333,35.65958333333333
193,Dehradun,30.313,78.048,2021-06-05,507.7725,6.888749999999998,3.554583333333334,31.507500000000004
194,Dehradun,30.313,78.048,2021-06-06,598.8670833333333,7.833749999999999,5.724999999999999,68.22500000000001
195,Dehradun,30.313,78.048,2021-06-07,658.5329166666667,10.637499999999998,4.2558333333333325,39.62583333333333
196,Dehradun,30.313,78.048,2021-06-08,706.2354166666668,11.858749999999999,6.657916666666669,74.36500000000001
197,Dehradun,30.313,78.048,2021-06-09,770.7679166666666,9.777916666666666,10.474166666666669,101.66666666666667
198,Dehradun,30.313,78.048,2021-06-10,654.2216666666667,8.368333333333336,5.3075,50.61958333333333
199,Dehradun,30.313,78.048,2021-06-11,551.3045833333334,4.526666666666666,2.9758333333333336,23.73125
200,Dehradun,30.313,78.048,2021-06-12,628.6320833333334,5.594999999999999,2.183333333333334,13.099583333333333
201,Dehradun,30.313,78.048,2021-06-13,565.7691666666667,4.604166666666667,1.9883333333333335,16.285416666666666
202,Dehradun,30.313,78.048,2021-06-14,685.9308333333332,11.294166666666667,3.8454166666666683,43.26208333333333
203,Dehradun,30.313,78.048,2021-06-15,768.8216666666667,9.612916666666667,14.083749999999997,108.34083333333335
204,Dehradun,30.313,78.048,2021-06-16,774.3850000000003,8.692083333333334,6.5808333333333335,90.70458333333333
205,Dehradun,30.313,78.048,2021-06-17,761.5895833333334,12.311250000000001,4.182916666666667,40.00458333333333
206,Dehradun,30.313,78.048,2021-06-18,616.11375,7.170833333333333,2.3174999999999994,22.507916666666663
207,Dehradun,30.313,78.048,2021-06-19,466.8837499999998,5.29375,1.7745833333333334,11.769166666666669
208,Dehradun,30.313,78.048,2021-06-20,449.77708333333334,6.3983333333333325,2.07375,14.65041666666667
209,Dehradun,30.313,78.048,2021-06-21,654.6395833333332,10.534999999999998,4.72625,38.90958333333333
210,Dehradun,30.313,78.048,2021-06-22,756.30375,10.464583333333334,8.7125,89.69041666666665
211,Dehradun,30.313,78.048,2021-06-23,822.5045833333335,8.247083333333334,6.944999999999999,126.57333333333332
212,Dehradun,30.313,78.048,2021-06-24,823.8958333333335,9.548333333333332,4.659583333333333,83.51583333333333
213,Dehradun,30.313,78.048,2021-06-25,867.5666666666666,9.639583333333333,6.341249999999998,98.49166666666666
214,Dehradun,30.313,78.048,2021-06-26,855.88375,7.694583333333331,6.912083333333334,116.44791666666669
215,Dehradun,30.313,78.048,2021-06-27,907.6195833333335,8.163333333333334,6.477083333333334,130.70333333333332
216,Dehradun,30.313,78.048,2021-06-28,932.6545833333334,10.119583333333333,7.194583333333331,119.09125000000002
217,Dehradun,30.313,78.048,2021-06-29,727.2370833333333,10.645000000000001,10.452916666666665,118.70625
218,Dehradun,30.313,78.048,2021-06-30,526.13125,9.739166666666666,9.551249999999998,83.21583333333334
219,Dehradun,30.313,78.048,2021-07-01,580.3716666666666,10.17125,7.888333333333333,103.51625
220,Dehradun,30.313,78.048,2021-07-02,602.7620833333333,10.78875,6.082083333333333,112.31208333333332
221,Dehradun,30.313,78.048,2021-07-03,553.2508333333334,8.711250000000001,6.5637500000000015,104.84791666666668
222,Dehradun,30.313,78.048,2021-07-04,562.1520833333335,7.400416666666666,9.952083333333333,121.83083333333332
223,Dehradun,30.313,78.048,2021-07-05,634.89,10.105000000000002,5.466249999999999,99.50291666666668
224,Dehradun,30.313,78.048,2021-07-06,599.5641666666667,10.301666666666671,6.418333333333332,100.84833333333336
225,Dehradun,30.313,78.048,2021-07-07,572.9995833333334,11.003333333333336,8.2525,95.83375000000001
226,Dehradun,30.313,78.048,2021-07-08,769.2383333333333,12.18,8.244166666666667,113.22374999999998
227,Dehradun,30.313,78.048,2021-07-09,798.5837500000001,9.912083333333333,3.8187499999999996,55.75125
228,Dehradun,30.313,78.048,2021-07-10,449.0824999999999,4.950000000000001,2.1283333333333325,10.932916666666666
229,Dehradun,30.313,78.048,2021-07-11,521.6808333333332,11.185833333333333,4.161250000000001,9.618333333333334
230,Dehradun,30.313,78.048,2021-07-12,586.07375,10.961666666666668,3.115833333333333,15.463333333333336
231,Dehradun,30.313,78.048,2021-07-13,601.9279166666666,10.786666666666669,3.1466666666666665,18.681666666666665
232,Dehradun,30.313,78.048,2021-07-14,637.5320833333333,11.074999999999998,3.182916666666667,19.36625
233,Dehradun,30.313,78.048,2021-07-15,486.0758333333334,6.726666666666667,2.910416666666667,13.913333333333334
